종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","서비스업","42750","-1100","-2.51","400330622250"
"068400","AJ렌터카","KOSPI","서비스업","12600","550","4.56","279043380000"
"006840","AK홀딩스","KOSPI","서비스업","78700","-1400","-1.75","1042583050700"
"027410","BGF리테일","KOSPI","유통업","196000","-6000","-2.97","4855696944000"
"138930","BNK금융지주","KOSPI","기타금융","14000","300","2.19","3583093444000"
"001460","BYC","KOSPI","섬유의복","378000","15500","4.28","236104470000"
"001465","BYC우","KOSPI","섬유의복","182000","2000","1.11","39200070000"
"001040","CJ","KOSPI","서비스업","268000","4000","1.52","7806370464000"
"079160","CJ CGV","KOSPI","서비스업","114000","9000","8.57","2412389682000"
"000120","CJ대한통운","KOSPI","운수창고업","204000","4500","2.26","4653718176000"
"011150","CJ씨푸드","KOSPI","음식료품","4740","-55","-1.15","170311864020"
"011155","CJ씨푸드1우","KOSPI","음식료품","19550","-300","-1.51","3910000000"
"001045","CJ우","KOSPI","서비스업","127500","0","0.00","288178432500"
"097950","CJ제일제당","KOSPI","음식료품","384000","3500","0.92","5052748032000"
"097955","CJ제일제당 우","KOSPI","음식료품","233000","-2000","-0.85","309291889000"
"037560","CJ헬로비전","KOSPI","서비스업","11300","100","0.89","875149574500"
"000590","CS홀딩스","KOSPI","서비스업","82500","-100","-0.12","95244765000"
"139130","DGB금융지주","KOSPI","기타금융","10600","100","0.95","1791963432400"
"004840","DRB동일","KOSPI","서비스업","15300","650","4.44","275553000000"
"155660","DSR","KOSPI","섬유의복","3760","-15","-0.40","60160000000"
"069730","DSR제강","KOSPI","철강금속","4135","45","1.10","59544000000"
"017940","E1","KOSPI","유통업","69600","100","0.14","477456000000"
"007700","F&F","KOSPI","섬유의복","20550","1200","6.20","316470000000"
"114090","GKL","KOSPI","서비스업","33550","300","0.90","2075257728500"
"078930","GS","KOSPI","서비스업","47450","1900","4.17","4408834686100"
"006360","GS건설","KOSPI","건설업","25400","850","3.46","1803400000000"
"001250","GS글로벌","KOSPI","유통업","6550","80","1.24","147596154200"
"007070","GS리테일","KOSPI","유통업","60800","-200","-0.33","4681600000000"
"078935","GS우","KOSPI","서비스업","31850","300","0.95","56846708100"
"001500","HMC투자증권","KOSPI","증권","10600","150","1.44","310973376600"
"011420","IB월드와이드","KOSPI","서비스업","3400","80","2.41","66716241600"
"003560","IHQ","KOSPI","서비스업","2520","40","1.61","361140572520"
"175330","JB금융지주","KOSPI","기타금융","6050","0","0.00","765348879350"
"001060","JW중외제약","KOSPI","의약품","38300","300","0.79","683690695600"
"001067","JW중외제약2우B","KOSPI","의약품","32500","100","0.31","2564542500"
"001065","JW중외제약우","KOSPI","의약품","26900","150","0.56","4042101600"
"096760","JW홀딩스","KOSPI","서비스업","9980","410","4.28","565067510180"
"105560","KB금융","KOSPI","기타금융","35300","50","0.14","13638214762900"
"002550","KB손해보험","KOSPI","보험","23700","100","0.42","1422000000000"
"002380","KCC","KOSPI","화학","421500","8500","2.06","4434180000000"
"009070","KCTC","KOSPI","운수창고업","3140","30","0.96","94200000000"
"009440","KC그린홀딩스","KOSPI","서비스업","9520","20","0.21","213581009600"
"119650","KC코트렐","KOSPI","기계","8200","-150","-1.80","82000000000"
"092220","KEC","KOSPI","전기전자","1160","-5","-0.43","68494965440"
"109070","KGP","KOSPI","종이목재","2905","10","0.35","108521669585"
"001390","KG케미칼","KOSPI","화학","17400","400","2.35","199732338000"
"001940","KISCO홀딩스","KOSPI","서비스업","63900","0","0.00","236128136400"
"083420","KPX그린케미칼","KOSPI","화학","4585","5","0.11","91700000000"
"025000","KPX케미칼","KOSPI","화학","55700","1100","2.01","269588000000"
"092230","KPX홀딩스","KOSPI","서비스업","73300","0","0.00","309666551800"
"000040","KR모터스","KOSPI","운수장비","1015","10","1.00","177937380460"
"044450","KSS해운","KOSPI","운수창고업","17500","0","0.00","202876450000"
"030200","KT","KOSPI","통신업","30450","-250","-0.81","7950854553600"
"033780","KT&G","KOSPI","기타제조업","107000","-4500","-4.04","14690297179000"
"030210","KTB투자증권","KOSPI","증권","2760","30","1.10","166466893920"
"058850","KTcs","KOSPI","서비스업","3815","60","1.60","162843275000"
"093050","LF","KOSPI","섬유의복","32950","200","0.61","963458000000"
"003550","LG","KOSPI","서비스업","61300","400","0.66","10577752130300"
"034220","LG디스플레이","KOSPI","전기전자","22450","-200","-0.88","8032962465000"
"001120","LG상사","KOSPI","유통업","27250","100","0.37","1056210000000"
"068870","LG생명과학","KOSPI","의약품","55700","500","0.91","923338343000"
"068875","LG생명과학우","KOSPI","의약품","41650","1600","4.00","9838396400"
"051900","LG생활건강","KOSPI","화학","856000","2000","0.23","13369176632000"
"051905","LG생활건강우","KOSPI","화학","394000","-5000","-1.25","827280618000"
"003555","LG우","KOSPI","서비스업","38750","100","0.26","128443733750"
"032640","LG유플러스","KOSPI","통신업","12300","200","1.65","5370319740300"
"011070","LG이노텍","KOSPI","전기전자","88400","400","0.45","2092172258800"
"066570","LG전자","KOSPI","전기전자","45650","0","0.00","7470522709100"
"066575","LG전자우","KOSPI","전기전자","22500","-300","-1.32","386684820000"
"108670","LG하우시스","KOSPI","화학","167000","6500","4.05","1497600890000"
"108675","LG하우시스우","KOSPI","화학","81000","0","0.00","83618730000"
"051910","LG화학","KOSPI","화학","288000","2500","0.88","19086076800000"
"051915","LG화학우","KOSPI","화학","189000","-1000","-0.53","1441866069000"
"006260","LS","KOSPI","서비스업","35000","700","2.04","1127000000000"
"000680","LS네트웍스","KOSPI","유통업","4090","15","0.37","318880592350"
"000687","LS네트웍스전환상환2우B","KOSPI","유통업","4190","-10","-0.24","3489578650"
"010120","LS산전","KOSPI","전기전자","46400","900","1.98","1392000000000"
"023150","MH에탄올","KOSPI","음식료품","11050","250","2.31","81532712300"
"035420","NAVER","KOSPI","서비스업","546000","33000","6.43","17997622734000"
"181710","NHN엔터테인먼트","KOSPI","서비스업","63900","-600","-0.93","1250205097500"
"005940","NH투자증권","KOSPI","증권","10150","210","2.11","2856300203050"
"005945","NH투자증권우","KOSPI","증권","7150","60","0.85","134927421200"
"034310","NICE","KOSPI","서비스업","27100","250","0.93","1026610330000"
"008260","NI스틸","KOSPI","철강금속","2490","55","2.26","70782856500"
"004250","NPC","KOSPI","화학","6490","0","0.00","238312800000"
"004255","NPC우","KOSPI","화학","3100","-15","-0.48","16368000000"
"010060","OCI","KOSPI","화학","82900","500","0.61","1977112855900"
"005490","POSCO","KOSPI","철강금속","171000","2500","1.48","14908948785000"
"100840","S&TC","KOSPI","기계","24950","150","0.60","176761069400"
"064960","S&T모티브","KOSPI","운수장비","70000","3600","5.42","1008237020000"
"003570","S&T중공업","KOSPI","운수장비","14150","350","2.54","459499161850"
"036530","S&T홀딩스","KOSPI","서비스업","28800","500","1.77","442658188800"
"010950","S-Oil","KOSPI","화학","63300","700","1.12","7126490733600"
"010955","S-Oil우","KOSPI","화학","40800","150","0.37","164094621600"
"034120","SBS","KOSPI","서비스업","39600","-100","-0.25","722802247200"
"101060","SBS미디어홀딩스","KOSPI","서비스업","3980","-5","-0.13","556786836200"
"004060","SG세계물산","KOSPI","유통업","1435","290","25.33","290479817600"
"001380","SG충남방적","KOSPI","운수장비","1665","45","2.78","69509537550"
"002360","SH에너지화학","KOSPI","화학","1495","65","4.55","166144926350"
"009160","SIMPAC","KOSPI","기계","7350","-100","-1.34","213774198750"
"123700","SJM","KOSPI","운수장비","6850","-80","-1.15","106893551300"
"025530","SJM홀딩스","KOSPI","서비스업","5410","120","2.27","80792983280"
"034730","SK","KOSPI","서비스업","246000","2000","0.82","17308633062000"
"011790","SKC","KOSPI","화학","38650","550","1.44","1421514649950"
"018670","SK가스","KOSPI","유통업","85700","500","0.59","753849508900"
"001740","SK네트웍스","KOSPI","유통업","7010","120","1.74","1739795405470"
"001745","SK네트웍스우","KOSPI","유통업","61900","0","0.00","7034811200"
"096770","SK이노베이션","KOSPI","서비스업","101000","3000","3.06","9339021964000"
"096775","SK이노베이션우","KOSPI","서비스업","57000","1100","1.97","71160282000"
"001510","SK증권","KOSPI","증권","1215","25","2.10","388942362765"
"001515","SK증권우","KOSPI","증권","2405","0","0.00","9409596170"
"006120","SK케미칼","KOSPI","화학","72600","-900","-1.22","1513205212200"
"006125","SK케미칼우","KOSPI","화학","31800","300","0.95","89584575000"
"017670","SK텔레콤","KOSPI","통신업","261500","-1500","-0.57","21115003426500"
"000660","SK하이닉스","KOSPI","전기전자","33700","150","0.45","24533679700500"
"011810","STX","KOSPI","유통업","3925","0","0.00","117277861750"
"077970","STX엔진","KOSPI","기계","7830","30","0.38","180159718320"
"071970","STX중공업","KOSPI","기계","6500","-20","-0.31","145112675500"
"002710","TCC동양","KOSPI","철강금속","2375","15","0.64","47500000000"
"024070","WISCOM","KOSPI","화학","5080","-30","-0.59","76331673600"
"037270","YG PLUS","KOSPI","서비스업","4550","115","2.59","261674385700"
"000500","가온전선","KOSPI","전기전자","20700","0","0.00","86119182900"
"035250","강원랜드","KOSPI","서비스업","43050","750","1.77","9210138525000"
"000860","건설화학","KOSPI","화학","48900","-800","-1.61","317850000000"
"008020","경남에너지","KOSPI","전기가스업","8460","-250","-2.87","348966607680"
"002100","경농","KOSPI","화학","5380","60","1.13","116701615000"
"012320","경동가스","KOSPI","전기가스업","108000","0","0.00","376358400000"
"009450","경동나비엔","KOSPI","전기전자","40000","1150","2.96","509580400000"
"000050","경방","KOSPI","섬유의복","208000","0","0.00","570237616000"
"214390","경보제약","KOSPI","의약품","14750","650","4.61","352626185000"
"012610","경인양행","KOSPI","화학","3990","50","1.27","161181496350"
"009140","경인전자","KOSPI","전기전자","20300","50","0.25","31887179100"
"013580","계룡건설","KOSPI","건설업","9450","50","0.53","84397071150"
"012200","계양전기","KOSPI","기계","5020","295","6.24","163652000000"
"012205","계양전기우","KOSPI","기계","3910","130","3.44","5474000000"
"004200","고려개발","KOSPI","건설업","5150","-350","-6.36","103000000000"
"002140","고려산업","KOSPI","음식료품","2165","-5","-0.23","53993855125"
"010130","고려아연","KOSPI","철강금속","479000","13500","2.90","9038730000000"
"002240","고려제강","KOSPI","철강금속","47200","900","1.94","849600000000"
"009810","고려포리머","KOSPI","유통업","1430","270","23.28","48204321880"
"001290","골든브릿지증권","KOSPI","증권","1195","15","1.27","76165795065"
"009290","광동제약","KOSPI","의약품","12950","0","0.00","678850020450"
"017040","광명전기","KOSPI","전기전자","2375","45","1.93","102926835625"
"017900","광전자","KOSPI","전기전자","2320","-30","-1.28","134429530160"
"037710","광주신세계","KOSPI","유통업","304000","-6000","-1.94","486400000000"
"192530","광주은행","KOSPI","은행","7720","10","0.13","396159960040"
"140910","광희리츠","KOSPI","서비스업","5500","-100","-1.79","19958042500"
"030610","교보증권","KOSPI","증권","9910","110","1.12","356760000000"
"007690","국도화학","KOSPI","화학","69900","800","1.16","406162058400"
"005320","국동","KOSPI","유통업","12400","400","3.33","58231937600"
"001140","국보","KOSPI","운수창고업","16200","850","5.54","16642324800"
"002720","국제약품","KOSPI","의약품","4965","-5","-0.10","82455333870"
"014530","극동유화","KOSPI","화학","30850","550","1.82","107572160700"
"014280","금강공업","KOSPI","철강금속","67800","-600","-0.88","329234359200"
"014285","금강공업우","KOSPI","철강금속","38800","2150","5.87","4577430000"
"008870","금비","KOSPI","비금속광물","73900","-1400","-1.86","73900000000"
"001570","금양","KOSPI","화학","1690","15","0.90","66507090520"
"002990","금호산업","KOSPI","건설업","17800","-100","-0.56","616255597800"
"002995","금호산업우","KOSPI","건설업","30400","500","1.67","8884886400"
"011780","금호석유","KOSPI","화학","56000","2800","5.26","1706190696000"
"011785","금호석유우","KOSPI","화학","34600","550","1.62","104612615600"
"001210","금호전기","KOSPI","전기전자","15950","200","1.27","110311013450"
"073240","금호타이어","KOSPI","화학","7250","30","0.42","1145450395500"
