종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"026150","특수건설","KOSDAQ","건설","6980","-80","-1.13","69763801720"
"033830","티비씨","KOSDAQ","방송서비스","633","-5","-0.78","63300000000"
"064760","티씨케이","KOSDAQ","반도체","61700","400","0.65","720347500000"
"131290","티에스이","KOSDAQ","반도체","8650","110","1.29","95681360850"
"246690","티에스인베스트먼트","KOSDAQ","금융","2845","45","1.61","63787756380"
"062860","티엘아이","KOSDAQ","반도체","4890","-15","-0.31","48277600800"
"104480","티케이케미칼","KOSDAQ","화학","2005","5","0.25","182245345170"
"081150","티플랙스","KOSDAQ","금속","3410","110","3.33","82755250820"
"130740","티피씨글로벌","KOSDAQ","운송장비·부품","3255","-85","-2.54","30759750000"
"084730","팅크웨어","KOSDAQ","통신장비","8200","-160","-1.91","85490592400"
"046210","파나진","KOSDAQ","의료·정밀기기","7230","-260","-3.47","231606976800"
"034230","파라다이스","KOSDAQ","오락·문화","20050","-900","-4.30","1823400573600"
"033540","파라텍","KOSDAQ","기계·장비","5650","-50","-0.88","95149118800"
"043200","파루","KOSDAQ","IT부품","3420","20","0.59","101463079140"
"214450","파마리서치프로덕트","KOSDAQ","유통","44100","-750","-1.67","417460169700"
"177830","파버나인","KOSDAQ","일반전기전자","6150","-240","-3.76","66631707600"
"037070","파세코","KOSDAQ","일반전기전자","4920","-10","-0.20","68880000000"
"150900","파수닷컴","KOSDAQ","소프트웨어","4055","-15","-0.37","38710903410"
"037030","파워넷","KOSDAQ","일반전기전자","5010","-110","-2.15","60168166140"
"047310","파워로직스","KOSDAQ","IT부품","5390","-10","-0.19","184801701700"
"170790","파이오링크","KOSDAQ","통신장비","4995","40","0.81","34247368350"
"049120","파인디앤씨","KOSDAQ","IT부품","2150","-40","-1.83","51746494550"
"038950","파인디지털","KOSDAQ","통신장비","4325","5","0.12","44161558625"
"106240","파인테크닉스","KOSDAQ","IT부품","2195","45","2.09","82550628965"
"131760","파인텍","KOSDAQ","IT부품","3410","-130","-3.67","37965391860"
"140860","파크시스템스","KOSDAQ","의료·정밀기기","42900","-600","-1.38","284901259500"
"091700","파트론","KOSDAQ","IT부품","7500","0","0.00","406173075000"
"194510","파티게임즈","KOSDAQ","디지털컨텐츠","830","20","2.47","20325330500"
"038160","팍스넷","KOSDAQ","금융","9180","-10","-0.11","101691642780"
"032800","판타지오","KOSDAQ","오락·문화","676","-20","-2.87","49147865468"
"043090","팜스웰바이오","KOSDAQ","유통","5020","-120","-2.33","134171502820"
"027710","팜스토리","KOSDAQ","음식료·담배","1270","10","0.79","112201237370"
"225590","패션플랫폼","KOSDAQ","금융","1585","30","1.93","36921837975"
"054300","팬스타엔터프라이즈","KOSDAQ","기계·장비","1045","-20","-1.88","42975565435"
"068050","팬엔터테인먼트","KOSDAQ","오락·문화","3910","-70","-1.76","53735118270"
"222110","팬젠","KOSDAQ","제약","15950","-550","-3.33","153786406950"
"060900","퍼시픽바이오","KOSDAQ","화학","1120","-15","-1.32","54419887200"
"263750","펄어비스","KOSDAQ","디지털컨텐츠","214000","200","0.09","2755571000000"
"087010","펩트론","KOSDAQ","제약","29500","-2150","-6.79","452131750000"
"043370","평화정공","KOSDAQ","운송장비·부품","7520","-50","-0.66","157920000000"
"119500","포메탈","KOSDAQ","금속","4035","-15","-0.37","47803581120"
"016670","포비스티앤씨","KOSDAQ","유통","1165","0","0.00","46690937570"
"056730","포스링크","KOSDAQ","유통","2600","-10","-0.38","120026056800"
"022100","포스코 ICT","KOSDAQ","기타서비스","7450","-90","-1.19","1132658731050"
"009520","포스코엠텍","KOSDAQ","금속","8160","60","0.74","339804456480"
"003670","포스코켐텍","KOSDAQ","비금속","72400","-600","-0.82","4276668000000"
"189690","포시에스","KOSDAQ","소프트웨어","6250","150","2.46","44803518750"
"141020","포티스","KOSDAQ","유통","1990","15","0.76","89592651670"
"005670","푸드웰","KOSDAQ","음식료·담배","6400","30","0.47","51200000000"
"094940","푸른기술","KOSDAQ","정보기기","27600","100","0.36","181447975200"
"007330","푸른저축은행","KOSDAQ","금융","8230","80","0.98","124131444000"
"093380","풍강","KOSDAQ","금속","3330","5","0.15","32898112290"
"023900","풍국주정","KOSDAQ","음식료·담배","10350","200","1.97","130410000000"
"195440","퓨전데이타","KOSDAQ","소프트웨어","7650","-230","-2.92","64323112500"
"214270","퓨쳐스트림네트웍스","KOSDAQ","출판·매체복제","1355","-55","-3.90","117778379115"
"220100","퓨쳐켐","KOSDAQ","제약","18200","-600","-3.19","104634329800"
"035200","프럼파스트","KOSDAQ","화학","4610","-20","-0.43","40780599370"
"203690","프로스테믹스","KOSDAQ","제약","9090","-230","-2.47","412457086530"
"053610","프로텍","KOSDAQ","반도체","14550","200","1.39","137645953650"
"053160","프리엠스","KOSDAQ","일반전기전자","6730","-10","-0.15","40380000000"
"075130","플랜티넷","KOSDAQ","컴퓨터서비스","5280","-40","-0.75","47308800000"
"023770","플레이위드","KOSDAQ","디지털컨텐츠","6980","-180","-2.51","24156733000"
"032580","피델릭스","KOSDAQ","반도체","1990","-70","-3.40","42667705420"
"051380","피씨디렉트","KOSDAQ","유통","4970","90","1.84","37474475920"
"241820","피씨엘","KOSDAQ","제약","10950","-250","-2.23","97905745800"
"237750","피앤씨테크","KOSDAQ","일반전기전자","11250","100","0.90","73086750000"
"131390","피앤이솔루션","KOSDAQ","일반전기전자","15400","-300","-1.91","219912000000"
"054340","피앤텔","KOSDAQ","IT부품","709","-49","-6.46","21827693019"
"024850","피에스엠씨","KOSDAQ","반도체","1060","-60","-5.36","41049773060"
"031980","피에스케이","KOSDAQ","반도체","16650","-50","-0.30","338521206600"
"002230","피에스텍","KOSDAQ","의료·정밀기기","5360","-90","-1.65","105427142480"
"137400","피엔티","KOSDAQ","기계·장비","15050","-100","-0.66","132701087400"
"073570","피엠지파마","KOSDAQ","반도체","6460","-270","-4.01","68259015060"
"128660","피제이메탈","KOSDAQ","금속","2315","-10","-0.43","57419799235"
"006140","피제이전자","KOSDAQ","의료·정밀기기","5160","60","1.18","51600000000"
"087600","픽셀플러스","KOSDAQ","반도체","8970","-10","-0.11","73254025260"
"064800","필링크","KOSDAQ","유통","2875","-145","-4.80","176705846125"
"161580","필옵틱스","KOSDAQ","IT부품","8620","-680","-7.31","148888070760"
"270520","하나금융10호스팩","KOSDAQ","금융","2090","-10","-0.48","9618180000"
"284620","하나금융11호스팩","KOSDAQ","금융","2050","-10","-0.49","11072050000"
"230240","하나금융7호스팩","KOSDAQ","금융","2600","-175","-6.31","20800000000"
"261200","하나금융9호스팩","KOSDAQ","금융","2095","-5","-0.24","8924700000"
"067310","하나마이크론","KOSDAQ","반도체","4440","-95","-2.09","100908226320"
"166090","하나머티리얼즈","KOSDAQ","반도체","17500","-500","-2.78","336288295000"
"136480","하림","KOSDAQ","음식료·담배","3075","25","0.82","267358759350"
"003380","하림지주","KOSDAQ","금융","11200","650","6.16","1048143017600"
"149980","하이로닉","KOSDAQ","의료·정밀기기","7440","340","4.79","104864902800"
"013030","하이록코리아","KOSDAQ","금속","23700","-50","-0.21","322633598400"
"126700","하이비젼시스템","KOSDAQ","의료·정밀기기","15650","250","1.62","233844052800"
"200470","하이셈","KOSDAQ","반도체","5900","110","1.90","103566712000"
"235010","하이에이아이1호스팩","KOSDAQ","금융","2045","0","0.00","10122750000"
"221840","하이즈항공","KOSDAQ","운송장비·부품","6320","-100","-1.56","111839775440"
"106190","하이텍팜","KOSDAQ","유통","14050","500","3.69","99597387100"
"066130","하츠","KOSDAQ","일반전기전자","5070","100","2.01","64896000000"
"240540","한국4호스팩","KOSDAQ","금융","2045","-10","-0.49","11247500000"
"004590","한국가구","KOSDAQ","유통","22300","-100","-0.45","66900000000"
"039340","한국경제TV","KOSDAQ","방송서비스","3920","10","0.26","90160000000"
"034950","한국기업평가","KOSDAQ","기타서비스","52200","0","0.00","237014830800"
"222980","한국맥널티","KOSDAQ","음식료·담배","11200","100","0.90","55720000000"
"025550","한국선재","KOSDAQ","금속","2915","0","0.00","71482370410"
"017890","한국알콜","KOSDAQ","화학","7950","80","1.02","171765792000"
"080720","한국유니온제약","KOSDAQ","제약","22100","1500","7.28","130472388800"
"063570","한국전자금융","KOSDAQ","통신서비스","13450","-300","-2.18","465985041600"
"041460","한국전자인증","KOSDAQ","소프트웨어","5190","-110","-2.08","111373502310"
"101680","한국정밀기계","KOSDAQ","기계·장비","2410","0","0.00","20253640000"
"039740","한국정보공학","KOSDAQ","유통","3945","25","0.64","31632576165"
"053300","한국정보인증","KOSDAQ","소프트웨어","4770","-80","-1.65","148657050000"
"025770","한국정보통신","KOSDAQ","통신서비스","9660","-20","-0.21","374931097380"
"271740","한국제5호스팩","KOSDAQ","금융","2075","15","0.73","8300000000"
"281410","한국제6호스팩","KOSDAQ","금융","2065","-10","-0.48","9313150000"
"291210","한국제7호스팩","KOSDAQ","금융","2045","-10","-0.49","10347700000"
"023760","한국캐피탈","KOSDAQ","금융","647","-2","-0.31","108831595672"
"054040","한국컴퓨터","KOSDAQ","IT부품","3020","0","0.00","48535295800"
"050540","한국코퍼레이션","KOSDAQ","기타서비스","2910","-545","-15.77","76570367310"
"021650","한국큐빅","KOSDAQ","화학","2710","-75","-2.69","44310025730"
"053590","한국테크놀로지","KOSDAQ","기계·장비","1180","60","5.36","79035395820"
"037230","한국팩키지","KOSDAQ","종이·목재","2305","5","0.22","57625000000"
"030520","한글과컴퓨터","KOSDAQ","소프트웨어","15800","-100","-0.63","364698933800"
"052600","한네트","KOSDAQ","통신서비스","3195","65","2.08","36946021500"
"092460","한라IMS","KOSDAQ","운송장비·부품","7070","-210","-2.88","81018679140"
"047080","한빛소프트","KOSDAQ","디지털컨텐츠","3720","-55","-1.46","92180989920"
"070300","한솔시큐어","KOSDAQ","소프트웨어","5130","0","0.00","37787959620"
"221610","한솔씨앤피","KOSDAQ","화학","6910","0","0.00","27596280430"
"070590","한솔인티큐브","KOSDAQ","컴퓨터서비스","2010","-15","-0.74","27897837210"
"226440","한송네오텍","KOSDAQ","기계·장비","1730","-10","-0.57","66087743840"
"042520","한스바이오메드","KOSDAQ","제약","30700","-700","-2.23","302636209900"
"078350","한양디지텍","KOSDAQ","반도체","5650","-110","-1.91","56500000000"
"045100","한양이엔지","KOSDAQ","기타서비스","16100","50","0.31","289800000000"
"046110","한일네트웍스","KOSDAQ","컴퓨터서비스","6320","-30","-0.47","75550714640"
"024740","한일단조","KOSDAQ","운송장비·부품","1550","-5","-0.32","46331558400"
"005860","한일사료","KOSDAQ","음식료·담배","2075","-45","-2.12","81762646375"
"123840","한일진공","KOSDAQ","기계·장비","1765","-30","-1.67","97035968790"
"007770","한일화학","KOSDAQ","화학","13400","100","0.75","47034000000"
"079170","한창산업","KOSDAQ","금속","6610","80","1.23","34372000000"
"086960","한컴MDS","KOSDAQ","소프트웨어","17950","-350","-1.91","158473513600"
"054920","한컴시큐어","KOSDAQ","소프트웨어","3035","-15","-0.49","42904435320"
"215090","한컴유니맥스","KOSDAQ","의료·정밀기기","2410","-145","-5.68","43746529670"
"077280","한컴지엠디","KOSDAQ","소프트웨어","2425","5","0.21","28533372075"
"002680","한탑","KOSDAQ","음식료·담배","2365","30","1.28","49192000000"
"066110","한프","KOSDAQ","정보기기","1565","-35","-2.19","71120496955"
"265920","한화수성스팩","KOSDAQ","금융","2080","0","0.00","9235200000"
"264290","한화에이스스팩3호","KOSDAQ","금융","2115","0","0.00","6514200000"
"279410","한화에이스스팩4호","KOSDAQ","금융","2065","-25","-1.20","7217175000"
"102210","해덕파워웨이","KOSDAQ","운송장비·부품","3390","90","2.73","249830812950"
"220630","해마로푸드서비스","KOSDAQ","유통","2830","-60","-2.08","265730734380"
"034810","해성산업","KOSDAQ","기타서비스","12750","-200","-1.54","124695000000"
"076610","해성옵틱스","KOSDAQ","IT부품","4210","310","7.95","70201750000"
"220180","핸디소프트","KOSDAQ","소프트웨어","4515","-115","-2.48","33695485635"
"008800","행남사","KOSDAQ","비금속","3410","-10","-0.29","86447196440"
"900270","헝셩그룹","KOSDAQ","금융","1475","45","3.15","118000000000"
"170030","현대공업","KOSDAQ","운송장비·부품","3160","70","2.27","48474400000"
"048410","현대바이오","KOSDAQ","화학","8770","-670","-7.10","292875009460"
"016790","현대사료","KOSDAQ","음식료·담배","22800","0","0.00","140231080800"
"026180","현대정보기술","KOSDAQ","컴퓨터서비스","1925","-5","-0.26","114609100375"
"039010","현대통신","KOSDAQ","통신장비","13050","1000","8.30","112556250000"
"204990","현성바이탈","KOSDAQ","음식료·담배","4010","925","29.98","126916993230"
"092300","현우산업","KOSDAQ","IT부품","3420","0","0.00","48965193360"
"053660","현진소재","KOSDAQ","금속","3265","-70","-2.10","43822059460"
"011080","형지I&C","KOSDAQ","섬유·의류","1015","-10","-0.98","39540003020"
"060560","홈센타홀딩스","KOSDAQ","금융","1790","35","1.99","151882176620"
"064240","홈캐스트","KOSDAQ","통신장비","8300","-20","-0.24","267433411900"
"039610","화성밸브","KOSDAQ","기계·장비","16450","-150","-0.90","119756000000"
"126640","화신정공","KOSDAQ","운송장비·부품","1320","0","0.00","48013530840"
"086250","화신테크","KOSDAQ","기계·장비","4580","125","2.81","44426000000"
"204630","화이브라더스코리아","KOSDAQ","오락·문화","3520","25","0.72","100719432000"
"061250","화일약품","KOSDAQ","제약","8160","-150","-1.81","117593417280"
"134780","화진","KOSDAQ","운송장비·부품","3060","0","0.00","73560710880"
"097870","효성오앤비","KOSDAQ","화학","11200","-450","-3.86","95088000000"
"050090","휘닉스소재","KOSDAQ","IT부품","807","-20","-2.42","55795126194"
"290270","휴네시온","KOSDAQ","소프트웨어","12200","800","7.02","58606799200"
"205470","휴마시스","KOSDAQ","금융","1880","-20","-1.05","52121136920"
"115160","휴맥스","KOSDAQ","통신장비","6390","-60","-0.93","152796389220"
"028080","휴맥스홀딩스","KOSDAQ","금융","3770","-75","-1.95","47417197620"
"200670","휴메딕스","KOSDAQ","제약","32100","-800","-2.43","300062871300"
"065510","휴비츠","KOSDAQ","의료·정밀기기","10800","-300","-2.70","128335006800"
"243070","휴온스","KOSDAQ","제약","96400","-2600","-2.63","787403394000"
"084110","휴온스글로벌","KOSDAQ","금융","54500","-600","-1.09","567034295500"
"145020","휴젤","KOSDAQ","제약","425000","-2800","-0.65","1852237125000"
"024060","흥구석유","KOSDAQ","유통","2740","-10","-0.36","41100000000"
"010240","흥국","KOSDAQ","기계·장비","5550","220","4.13","68390962800"
"189980","흥국에프엔비","KOSDAQ","음식료·담배","8360","10","0.12","61373192760"
"037440","희림","KOSDAQ","기타서비스","5440","130","2.45","75738264000"
"238490","힘스","KOSDAQ","반도체","14650","-50","-0.34","77078924000"
