종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"068400","AJ렌터카","KOSPI","서비스업","10450","-350","-3.24","231428835000"
"006840","AK홀딩스","KOSPI","서비스업","39500","-650","-1.62","460078659500"
"138930","BS금융지주","KOSPI","기타금융","15850","-200","-1.25","3065071399150"
"001460","BYC","KOSPI","섬유의복","188500","1000","0.53","117739927500"
"001465","BYC우","KOSPI","섬유의복","70300","200","0.29","15141565500"
"001040","CJ","KOSPI","서비스업","116000","0","0.00","3366647932000"
"079160","CJ CGV","KOSPI","서비스업","54100","-900","-1.64","1144827033300"
"000120","CJ대한통운","KOSPI","운수창고업","95200","-1000","-1.04","2171735148800"
"011150","CJ씨푸드","KOSPI","음식료품","2630","-55","-2.05","94497932990"
"011155","CJ씨푸드1우","KOSPI","음식료품","10700","-850","-7.36","2140000000"
"001045","CJ우","KOSPI","서비스업","39300","300","0.77","88826763900"
"097950","CJ제일제당","KOSPI","음식료품","276000","-500","-0.18","3615199248000"
"097955","CJ제일제당 우","KOSPI","음식료품","94700","0","0.00","125707905100"
"037560","CJ헬로비전","KOSPI","서비스업","16850","0","0.00","1304979675250"
"000590","CS홀딩스","KOSPI","서비스업","37400","-750","-1.97","43177626800"
"139130","DGB금융지주","KOSPI","기타금융","16150","-50","-0.31","2164958437100"
"004840","DRB동일","KOSPI","화학","7890","-70","-0.88","100203000000"
"155660","DSR","KOSPI","섬유의복","4355","85","1.99","69680000000"
"069730","DSR제강","KOSPI","철강금속","3370","-10","-0.30","48528000000"
"017940","E1","KOSPI","유통업","75400","-300","-0.40","517244000000"
"007700","F&F","KOSPI","섬유의복","6240","0","0.00","96096000000"
"114090","GKL","KOSPI","서비스업","34450","-150","-0.43","2130927831500"
"078930","GS","KOSPI","서비스업","56200","-200","-0.35","5221844243600"
"006360","GS건설","KOSPI","건설업","37000","-450","-1.20","1887000000000"
"001250","GS글로벌","KOSPI","유통업","9300","-50","-0.53","209564005200"
"007070","GS리테일","KOSPI","유통업","30600","-800","-2.55","2356200000000"
"078935","GS우","KOSPI","서비스업","28350","-250","-0.87","50599817100"
"035000","GⅡR","KOSPI","서비스업","7850","50","0.64","130054160650"
"001500","HMC투자증권","KOSPI","증권","10850","-50","-0.46","318307654350"
"011420","IB월드와이드","KOSPI","서비스업","1945","20","1.04","38165614680"
"003560","IHQ","KOSPI","서비스업","2395","-55","-2.24","98135647110"
"175330","JB금융지주","KOSPI","기타금융","7180","150","2.13","479798919160"
"005560","JS전선","KOSPI","전기전자","6610","50","0.76","75212810400"
"001060","JW중외제약","KOSPI","의약품","16650","-200","-1.19","218130401250"
"001067","JW중외제약2우B","KOSPI","의약품","19950","-1900","-8.70","1429337700"
"001065","JW중외제약우","KOSPI","의약품","13600","-1550","-10.23","1853761600"
"096760","JW홀딩스","KOSPI","서비스업","2815","10","0.36","144696993135"
"105560","KB금융","KOSPI","기타금융","38000","400","1.06","14681364334000"
"002380","KCC","KOSPI","화학","449000","-3000","-0.66","4723480000000"
"009070","KCTC","KOSPI","운수창고업","19400","650","3.47","58200000000"
"009440","KC그린홀딩스","KOSPI","서비스업","8260","-130","-1.55","185312934800"
"119650","KC코트렐","KOSPI","기계","11400","-200","-1.72","114000000000"
"092220","KEC","KOSPI","전기전자","1445","-50","-3.34","27523469880"
"109070","KGP","KOSPI","종이목재","1565","-50","-3.10","7003612880"
"001390","KG케미칼","KOSPI","화학","16950","-250","-1.45","181365000000"
"001940","KISCO홀딩스","KOSPI","서비스업","42000","2150","5.40","155201592000"
"083420","KPX그린케미칼","KOSPI","화학","4700","20","0.43","94000000000"
"025000","KPX케미칼","KOSPI","화학","69400","1800","2.66","335896000000"
"092230","KPX홀딩스","KOSPI","서비스업","50800","100","0.20","214612016800"
"025850","KPX화인케미칼","KOSPI","화학","21200","-350","-1.62","80560000000"
"044450","KSS해운","KOSPI","운수창고업","11700","-300","-2.50","135637398000"
"030200","KT","KOSPI","통신업","36050","100","0.28","9413080678400"
"033780","KT&G","KOSPI","기타제조업","76900","-100","-0.13","10557793019300"
"030210","KTB투자증권","KOSPI","증권","2455","55","2.29","148071095860"
"058850","KTcs","KOSPI","서비스업","3080","5","0.16","140709800000"
"003550","LG","KOSPI","서비스업","66300","100","0.15","11440537785300"
"034220","LG디스플레이","KOSPI","전기전자","25850","-100","-0.39","9249535845000"
"001120","LG상사","KOSPI","유통업","32400","50","0.15","1255824000000"
"068870","LG생명과학","KOSPI","의약품","51900","100","0.19","860345781000"
"068875","LG생명과학우","KOSPI","의약품","25100","-400","-1.57","5929021600"
"051900","LG생활건강","KOSPI","화학","540000","-5000","-0.92","8433826380000"
"051905","LG생활건강우","KOSPI","화학","210000","0","0.00","440936370000"
"003555","LG우","KOSPI","서비스업","35600","-450","-1.25","118002501200"
"032640","LG유플러스","KOSPI","통신업","11500","-50","-0.43","5021030651500"
"011070","LG이노텍","KOSPI","전기전자","85100","-800","-0.93","1716531165400"
"066570","LG전자","KOSPI","전기전자","70800","-400","-0.56","11586265231200"
"066575","LG전자우","KOSPI","전기전자","25150","-50","-0.20","432227698800"
"093050","LG패션","KOSPI","섬유의복","30100","-100","-0.33","880124000000"
"108670","LG하우시스","KOSPI","화학","129500","-1000","-0.77","1161313265000"
"108675","LG하우시스우","KOSPI","화학","45200","-1050","-2.27","46661316000"
"051910","LG화학","KOSPI","화학","303500","-4000","-1.30","20113278850000"
"051915","LG화학우","KOSPI","화학","139500","-500","-0.36","1064234479500"
"002550","LIG손해보험","KOSPI","보험","25150","750","3.07","1509000000000"
"006260","LS","KOSPI","서비스업","76200","-1300","-1.68","2453640000000"
"000680","LS네트웍스","KOSPI","유통업","5090","-80","-1.55","394359431550"
"000685","LS네트웍스우","KOSPI","유통업","63800","8300","14.95","975119200"
"000687","LS네트웍스전환상환2우B","KOSPI","유통업","5180","-60","-1.15","6840329860"
"010120","LS산전","KOSPI","전기전자","65900","900","1.38","1977000000000"
"023150","MH에탄올","KOSPI","음식료품","3500","5","0.14","24500000000"
"035420","NAVER","KOSPI","서비스업","557000","0","0.00","18360212203000"
"181710","NHN엔터테인먼트","KOSPI","서비스업","117500","-500","-0.42","1781890437500"
"016420","NH농협증권","KOSPI","증권","4800","0","0.00","576600139200"
"034310","NICE","KOSPI","서비스업","13150","-50","-0.38","498152245000"
"008260","NI스틸","KOSPI","철강금속","1820","20","1.11","51736867000"
"004250","NPC","KOSPI","화학","5000","-50","-0.99","183600000000"
"004255","NPC우","KOSPI","화학","1755","-5","-0.28","9266400000"
"010060","OCI","KOSPI","화학","176500","4000","2.32","4209413981500"
"005490","POSCO","KOSPI","철강금속","312500","-7000","-2.19","27245885937500"
"100840","S&TC","KOSPI","기계","19050","-150","-0.78","134961858600"
"000040","S&T모터스","KOSPI","운수장비","565","-2","-0.35","67427879135"
"064960","S&T모티브","KOSPI","운수장비","31350","-150","-0.48","451546151100"
"003570","S&T중공업","KOSPI","운수장비","14100","-50","-0.35","457875489900"
"036530","S&T홀딩스","KOSPI","서비스업","19450","-400","-2.02","290260577350"
"010950","S-Oil","KOSPI","화학","77400","-500","-0.64","8713908100800"
"010955","S-Oil우","KOSPI","화학","57100","400","0.71","229652031700"
"950100","SBI모기지","KOSPI","기타금융","17000","150","0.89","403597000000"
"034120","SBS","KOSPI","서비스업","39800","-1400","-3.40","726452763600"
"101060","SBS미디어홀딩스","KOSPI","서비스업","4215","-190","-4.31","589662440850"
"004060","SG세계물산","KOSPI","유통업","711","-13","-1.80","143924146560"
"001380","SG충남방적","KOSPI","섬유의복","1680","-5","-0.30","70135749600"
"001385","SG충남방적우","KOSPI","섬유의복","1575000","0","0.00","173250000"
"002360","SH에너지화학","KOSPI","화학","892","-18","-1.98","99131287160"
"002365","SH에너지화학우","KOSPI","화학","165500","21500","14.93","1029410000"
"009160","SIMPAC","KOSPI","기계","6550","80","1.24","190506258750"
"123700","SJM","KOSPI","운수장비","11200","-300","-2.61","174774857600"
"025530","SJM홀딩스","KOSPI","서비스업","5310","-80","-1.48","79299582480"
"003600","SK","KOSPI","서비스업","191500","-2500","-1.29","8993186998000"
"034730","SK C&C","KOSPI","서비스업","114000","-1000","-0.87","5700000000000"
"011790","SKC","KOSPI","화학","30600","550","1.83","1108180927800"
"018670","SK가스","KOSPI","유통업","74000","-1600","-2.12","638521210000"
"001740","SK네트웍스","KOSPI","유통업","6540","10","0.15","1623147211380"
"001745","SK네트웍스우","KOSPI","유통업","15000","-400","-2.60","1704720000"
"003605","SK우","KOSPI","서비스업","78300","-400","-0.51","39926736000"
"096770","SK이노베이션","KOSPI","서비스업","145500","-500","-0.34","13453739562000"
"096775","SK이노베이션우","KOSPI","서비스업","66300","100","0.15","82770643800"
"001510","SK증권","KOSPI","증권","841","1","0.12","269218540811"
"001515","SK증권우","KOSPI","증권","838","-93","-9.99","3278686732"
"006120","SK케미칼","KOSPI","화학","46600","-200","-0.43","971285990200"
"006125","SK케미칼우","KOSPI","화학","15450","50","0.32","43524581250"
"017670","SK텔레콤","KOSPI","통신업","224000","5500","2.52","18087039264000"
"000660","SK하이닉스","KOSPI","전기전자","29950","-300","-0.99","21270516685450"
"011810","STX","KOSPI","유통업","2895","100","3.58","176993650185"
"077970","STX엔진","KOSPI","기계","6370","-190","-2.90","182671426210"
"067250","STX조선해양","KOSPI","운수장비","4240","-110","-2.53","363680602480"
"071970","STX중공업","KOSPI","기계","4190","-160","-3.68","181959201230"
"028670","STX팬오션","KOSPI","운수창고업","2255","-35","-1.53","464210730335"
"002710","TCC동양","KOSPI","철강금속","3765","0","0.00","67770000000"
"011000","VGX인터","KOSPI","유통업","1405","-55","-3.77","77836460480"
"024070","WISCOM","KOSPI","화학","4990","-10","-0.20","74979340800"
"000500","가온전선","KOSPI","전기전자","20750","50","0.24","86327200250"
"035250","강원랜드","KOSPI","서비스업","28150","-350","-1.23","6022425075000"
"000860","건설화학","KOSPI","화학","27900","-500","-1.76","181350000000"
"000800","경남기업","KOSPI","건설업","5310","-50","-0.93","83914609680"
"008020","경남에너지","KOSPI","전기가스업","5790","-40","-0.69","172526135400"
"002100","경농","KOSPI","화학","3850","10","0.26","83513237500"
"012320","경동가스","KOSPI","전기가스업","89500","200","0.22","311889600000"
"009450","경동나비엔","KOSPI","전기전자","19300","-200","-1.03","245872543000"
"000050","경방","KOSPI","섬유의복","115500","0","0.00","287860419000"
"012610","경인양행","KOSPI","화학","4195","95","2.32","169462751175"
"009140","경인전자","KOSPI","전기전자","16350","50","0.31","25682530950"
"013580","계룡건설","KOSPI","건설업","9040","180","2.03","80735399280"
"012200","계양전기","KOSPI","기계","3290","-80","-2.37","107254000000"
"012205","계양전기우","KOSPI","기계","1850","-40","-2.12","2590000000"
"004200","고려개발","KOSPI","건설업","1940","25","1.31","38800000000"
"002140","고려산업","KOSPI","음식료품","1145","-5","-0.43","28555641625"
"010130","고려아연","KOSPI","철강금속","319000","-6000","-1.85","6019530000000"
"002240","고려제강","KOSPI","철강금속","36400","0","0.00","546000000000"
"009810","고려포리머","KOSPI","유통업","567","1","0.18","15989803704"
"009815","고려포리머우","KOSPI","유통업","1552000","0","0.00","268496000"
"119250","골든나래리츠","KOSPI","서비스업","221","-16","-6.75","11851102900"
"001290","골든브릿지증권","KOSPI","증권","849","0","0.00","79582769883"
"009290","광동제약","KOSPI","의약품","7780","-30","-0.38","407834220780"
"017040","광명전기","KOSPI","전기전자","2390","-40","-1.65","103576899850"
"017900","광전자","KOSPI","전기전자","2675","0","0.00","154999566025"
"037710","광주신세계","KOSPI","유통업","267000","0","0.00","427200000000"
"140910","광희리츠","KOSPI","서비스업","3745","-10","-0.27","13589612575"
"030610","교보증권","KOSPI","증권","4725","30","0.64","170100000000"
"007690","국도화학","KOSPI","화학","52900","600","1.15","307381586400"
"005320","국동","KOSPI","유통업","1680","0","0.00","7671306720"
"001140","국보","KOSPI","운수창고업","12100","-150","-1.22","12430378400"
"002720","국제약품","KOSPI","의약품","2230","50","2.29","34427743500"
"014530","극동유화","KOSPI","화학","23100","-200","-0.86","80548360200"
"002250","근화제약","KOSPI","의약품","22350","200","0.90","109291187100"
"014280","금강공업","KOSPI","철강금속","14400","0","0.00","69925881600"
"014285","금강공업우","KOSPI","철강금속","13600","-100","-0.73","1604460000"
"008870","금비","KOSPI","비금속광물","28850","-100","-0.35","28850000000"
"001570","금양","KOSPI","화학","1040","5","0.48","40927440320"
"002990","금호산업","KOSPI","건설업","15700","100","0.64","382385055200"
"002995","금호산업우","KOSPI","건설업","19200","1800","10.34","5611507200"
"011780","금호석유","KOSPI","화학","99800","-1700","-1.67","3040675561800"
"011785","금호석유우","KOSPI","화학","36600","-350","-0.95","110659587600"
"001210","금호전기","KOSPI","전기전자","25550","-50","-0.20","176705103050"
"010050","금호종금","KOSPI","기타금융","753","-4","-0.53","251890559295"
"073240","금호타이어","KOSPI","화학","12500","250","2.04","1847639975000"
"092440","기신정기","KOSPI","기계","7640","20","0.26","223088000000"
"000270","기아차","KOSPI","운수장비","65800","500","0.77","26672908232600"
"024110","기업은행","KOSPI","은행","11950","50","0.42","6574830309750"
"004540","깨끗한나라","KOSPI","종이목재","5550","0","0.00","134752834500"
"004545","깨끗한나라우","KOSPI","종이목재","6550","-10","-0.15","2398348000"
"007460","나라케이아이씨","KOSPI","기계","2335","70","3.09","24343605545"
"001260","남광토건","KOSPI","건설업","9260","120","1.31","71514220680"
"008350","남선알미늄","KOSPI","철강금속","615","-5","-0.81","67760140350"
"008355","남선알미우","KOSPI","철강금속","5070","-10","-0.20","1561002300"
"004270","남성","KOSPI","유통업","8300","0","0.00","30056092800"
"003920","남양유업","KOSPI","음식료품","871000","-12000","-1.36","627120000000"
"003925","남양유업우","KOSPI","음식료품","423000","55000","14.95","70498026000"
"002070","남영비비안","KOSPI","섬유의복","6460","0","0.00","44366924700"
"025860","남해화학","KOSPI","화학","7470","0","0.00","371100957210"
"005720","넥센","KOSPI","서비스업","79300","100","0.13","403479748100"
"005725","넥센우","KOSPI","서비스업","23950","850","3.68","8623437000"
"002350","넥센타이어","KOSPI","화학","16100","100","0.63","1528216186000"
"002355","넥센타이어1우B","KOSPI","화학","4500","150","3.45","29250000000"
