종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2390","-85","-3.43","2495","2520","2370","185487","447572470","97732520520","40892268"
"095570","AJ네트웍스","KOSPI",,"47400","350","0.74","47000","48600","46400","22733","1078650450","443875356600","9364459"
"068400","AJ렌터카","KOSPI",,"10600","-350","-3.20","10950","11000","10500","213355","2273779250","234750780000","22146300"
"006840","AK홀딩스","KOSPI",,"86000","0","0.00","86000","86600","84400","50005","4288520800","1139290246000","13247561"
"054620","AP시스템","KOSDAQ","우량기업부","7980","-70","-0.87","8020","8240","7890","299173","2399236360","186811488780","23409961"
"090470","AST젯텍","KOSDAQ","중견기업부","3650","145","4.14","3515","3650","3450","66669","234133395","53281999200","14597808"
"027410","BGF리테일","KOSPI",,"170000","3500","2.10","169500","172000","165000","59646","10051079500","4211573880000","24773964"
"138930","BNK금융지주","KOSPI",,"14000","-50","-0.36","14050","14300","14000","651080","9209454200","3583093444000","255935246"
"001460","BYC","KOSPI",,"399000","0","0.00","396000","399000","382000","698","275236000","249221385000","624615"
"001465","BYC우","KOSPI",,"189500","0","0.00","188000","189500","185000","308","58183500","40815457500","215385"
"032040","C&S자산관리","KOSDAQ","중견기업부","5900","-10","-0.17","6040","6040","5740","413476","2424718570","168473561900","28554841"
"001040","CJ","KOSPI",,"240000","-7000","-2.83","245500","249500","240000","96665","23383276000","6990779520000","29128248"
"079160","CJ CGV","KOSPI",,"104000","-4500","-4.15","107000","107500","103500","146848","15358055500","2200776552000","21161313"
"130960","CJ E&M","KOSDAQ","우량기업부","83600","-1400","-1.65","85000","85800","82700","257281","21533483700","3238002640400","38732089"
"000120","CJ대한통운","KOSPI",,"195000","-1000","-0.51","194000","197500","191500","29876","5801965000","4448407080000","22812344"
"011150","CJ씨푸드","KOSPI",,"3655","-170","-4.44","3805","3825","3645","384377","1421521830","131326975315","35930773"
"011155","CJ씨푸드1우","KOSPI",,"20100","250","1.26","20450","20450","19800","215","4279800","4020000000","200000"
"035760","CJ오쇼핑","KOSDAQ","우량기업부","176500","-1100","-0.62","177700","178900","174600","36925","6516336500","1095582802000","6207268"
"001045","CJ우","KOSPI",,"122500","4000","3.38","118500","124500","115500","18042","2169877500","276877317500","2260223"
"097950","CJ제일제당","KOSPI",,"350000","-10500","-2.91","360000","360500","345500","86792","30222265000","4605369300000","13158198"
"097955","CJ제일제당 우","KOSPI",,"222000","0","0.00","222000","226000","218000","4996","1110433500","294690126000","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","73700","0","0.00","73700","74100","71500","26014","1896416300","868183715300","11779969"
"037560","CJ헬로비전","KOSPI",,"10900","500","4.81","10400","10900","10400","566815","6197982300","844170828500","77446865"
"058820","CMG제약","KOSDAQ","중견기업부","2370","-90","-3.66","2455","2500","2360","1271616","3045834065","209264468280","88297244"
"023460","CNH","KOSDAQ","중견기업부","1770","-45","-2.48","1825","1825","1750","89937","160575770","65844000000","37200000"
"065770","CS","KOSDAQ","중견기업부","2900","-550","-15.94","3225","3275","2830","1534281","4573317930","34800000000","12000000"
"000590","CS홀딩스","KOSPI",,"79900","-1100","-1.36","81000","81000","78100","831","65532500","92243111800","1154482"
"139130","DGB금융지주","KOSPI",,"10600","0","0.00","10650","10700","10550","297521","3164212800","1791963432400","169053154"
"068790","DMS","KOSDAQ","중견기업부","5460","0","0.00","5390","5550","5390","133430","730195600","108585329580","19887423"
"004840","DRB동일","KOSPI",,"14650","-450","-2.98","15100","15200","14500","82699","1216837600","263846500000","18010000"
"155660","DSR","KOSPI",,"3710","10","0.27","3700","3720","3625","22458","82504625","59360000000","16000000"
"069730","DSR제강","KOSPI",,"4085","-135","-3.20","4190","4220","4020","21840","89239210","58824000000","14400000"
"017940","E1","KOSPI",,"69000","100","0.15","68900","69100","68100","5569","382567300","473340000000","6860000"
"037370","EG","KOSDAQ","중견기업부","12300","0","0.00","12300","12750","12150","18969","234018700","92250000000","7500000"
"079190","EMW","KOSDAQ","벤처기업부","2200","-15","-0.68","2250","2265","2165","947861","2088561750","58846398600","26748363"
"007700","F&F","KOSPI",,"19900","-800","-3.86","20550","20700","19900","71262","1437762400","306460000000","15400000"
"114090","GKL","KOSPI",,"31800","-300","-0.93","32050","32050","31450","218849","6936893950","1967010306000","61855670"
"078930","GS","KOSPI",,"50200","550","1.11","49900","50300","49150","186419","9304537750","4664351975600","92915378"
"083450","GST","KOSDAQ","벤처기업부","6150","-70","-1.13","6220","6220","6020","31391","191326170","57304131750","9317745"
"006360","GS건설","KOSPI",,"23300","-700","-2.92","23900","24050","23050","645697","15087022850","1654300000000","71000000"
"001250","GS글로벌","KOSPI",,"6200","-130","-2.05","6400","6400","6180","31024","194146050","139709336800","22533764"
