종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"900300","오가닉티코스메틱","KOSDAQ","외국기업(소속부없음)","2955","10","0.34","2955","3005","2915","182065","538569965","168213375000","56925000"
"045060","오공","KOSDAQ","중견기업부","2940","200","7.30","2750","2970","2750","254080","732528055","49809403560","16941974"
"080520","오디텍","KOSDAQ","우량기업부","5000","200","4.17","4805","5000","4770","21600","105690650","58733045000","11746609"
"007310","오뚜기","KOSPI",,"659000","-9000","-1.35","661000","667000","650000","6432","4244946000","2375851183000","3605237"
"079440","오렌지라이프","KOSPI",,"30650","150","0.49","30600","30800","30100","271531","8305639250","2513300000000","82000000"
"039830","오로라","KOSDAQ","우량기업부","7970","110","1.40","7790","8000","7700","18444","145791880","85780233300","10762890"
"046120","오르비텍","KOSDAQ","벤처기업부","3415","135","4.12","3280","3630","3280","1312014","4555607865","81244806795","23790573"
"014940","오리엔탈정공","KOSDAQ","중견기업부","752","8","1.08","744","759","734","29492","22091665","34271393072","45573661"
"002630","오리엔트바이오","KOSPI",,"825","5","0.61","837","838","805","875368","717016276","139041460800","168535104"
"065500","오리엔트정공","KOSDAQ","중견기업부","429","6","1.42","430","435","418","378604","161689430","50285047098","117214562"
"271560","오리온","KOSPI",,"95100","-2400","-2.46","97600","97900","95100","137147","13155582300","3759679691100","39533961"
"001800","오리온홀딩스","KOSPI",,"15650","150","0.97","15500","15650","15200","71783","1113549250","980383185450","62644293"
"010470","오리콤","KOSDAQ","우량기업부","4460","20","0.45","4520","4685","4440","29457","133306475","51284425000","11498750"
"227420","오백볼트","KONEX","일반기업부","776","-5","-0.64","665","776","665","4","2771","5888238336","7587936"
"053980","오상자이엘","KOSDAQ","중견기업부","6600","610","10.18","5970","6600","5930","99203","626007340","117136021200","17747882"
"052420","오성첨단소재","KOSDAQ","중견기업부","1910","0","0.00","1920","1970","1890","446828","857850330","94961187090","49717899"
"241790","오션브릿지","KOSDAQ","벤처기업부","7990","60","0.76","7930","8100","7810","9461","75025110","72908590200","9124980"
"039200","오스코텍","KOSDAQ","벤처기업부","23450","1450","6.59","22300","23950","21600","367273","8456099800","639030955150","27250787"
"226400","오스테오닉","KOSDAQ","기술성장기업부","4385","135","3.18","4250","4420","4250","14912","64977760","37090373410","8458466"
"031510","오스템","KOSDAQ","우량기업부","3870","470","13.82","3400","3870","3400","271683","994239425","100620000000","26000000"
"048260","오스템임플란트","KOSDAQ","우량기업부","42700","-800","-1.84","43200","43550","42300","77371","3300136100","610000115900","14285717"
"138080","오이솔루션","KOSDAQ","벤처기업부","11650","350","3.10","11400","11750","11150","46097","528306700","90165547800","7739532"
"080580","오킨스전자","KOSDAQ","벤처기업부","2600","-80","-2.99","2680","2680","2595","19641","51680190","16120000000","6200000"
