종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"069110","3H","KOSDAQ","중견기업부","4745","320","7.23","4415","4990","4415","209950","1012131885","63893968320","13465536"
"060310","3S","KOSDAQ","중견기업부","9020","-50","-0.55","9070","9310","9000","220237","2011519760","367887555200","40785760"
"900010","3노드디지탈","KOSDAQ","외국기업(소속부없음)","824","13","1.60","813","825","813","254082","208360110","49596706672","60190178"
"038120","AD모터스","KOSDAQ","관리종목(소속부없음)","70","4","6.06","66","72","66","2597024","179627271","6505608200","92937260"
"013340","AJS","KOSDAQ","벤처기업부","927","11","1.20","925","932","920","208276","192493579","35437702698","38228374"
"068400","AJ렌터카","KOSPI",,"7990","90","1.14","8040","8040","7840","60050","474669200","176948937000","22146300"
"006840","AK홀딩스","KOSPI",,"22350","1050","4.93","22000","22450","21650","36998","816844750","127305600000","5696000"
"054620","AP시스템","KOSDAQ","벤처기업부","6710","170","2.60","6660","6790","6600","679330","4547723730","145070743510","21620081"
"090470","AST젯텍","KOSDAQ","벤처기업부","4495","-5","-0.11","4470","4500","4430","12861","57395680","37290969500","8296100"
"138930","BS금융지주","KOSPI",,"12350","100","0.82","12300","12350","12250","300864","3706059900","2388241752650","193379899"
"001460","BYC","KOSPI",,"185000","-500","-0.27","186500","186500","182000","177","32593500","115553775000","624615"
"001465","BYC우","KOSPI",,"67400","-100","-0.15","67400","67400","66000","105","6979300","14516949000","215385"
"032040","C&S자산관리","KOSDAQ","중견기업부","5340","470","9.65","4920","5600","4880","1694855","9211465980","87837718740","16449011"
"001040","CJ","KOSPI",,"106500","-1000","-0.93","109000","110000","102500","250495","26266580500","3088967322000","29004388"
"079160","CJ CGV","KOSPI",,"33800","350","1.05","34000","34000","32700","109163","3618419600","696870080400","20617458"
"130960","CJ E&M","KOSDAQ","우량기업부","29350","1950","7.12","27700","29350","27400","582743","16757173450","1113232703400","37929564"
"000120","CJ대한통운","KOSPI",,"113500","-1500","-1.30","116000","118000","112500","31415","3609797500","2589201044000","22812344"
"011150","CJ씨푸드","KOSPI",,"3095","95","3.17","3000","3165","2975","928812","2854779495","111205742435","35930773"
"011155","CJ씨푸드1우","KOSPI",,"5800","70","1.22","5750","5830","5530","640","3680200","1160000000","200000"
"035760","CJ오쇼핑","KOSDAQ","우량기업부","243200","1500","0.62","244500","245500","240000","17879","4330618900","1508724761600","6203638"
"001045","CJ우","KOSPI",,"23500","100","0.43","23450","23500","22800","6360","147609000","53115240500","2260223"
"097950","CJ제일제당","KOSPI",,"342500","2500","0.74","340000","343500","336500","31440","10682747000","4479522222500","13078897"
"097955","CJ제일제당 우","KOSPI",,"66700","400","0.60","66300","66900","66200","821","54618900","88539781100","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","42900","400","0.94","43300","43300","41400","45956","1952360050","463890570000","10813300"
"023460","CNH","KOSDAQ","우량기업부","1360","-15","-1.09","1375","1400","1360","178571","245404035","50592000000","37200000"
"065770","CS","KOSDAQ","벤처기업부","6490","40","0.62","6460","6540","6340","72262","464267260","77880000000","12000000"
"000590","CS홀딩스","KOSPI",,"35550","-1150","-3.13","35500","35850","35200","340","12050000","41041835100","1154482"
"056340","CU전자","KOSDAQ","중견기업부","505","-19","-3.63","530","534","505","1548479","802957728","26025753730","51536146"
"139130","DGB금융지주","KOSPI",,"13800","100","0.73","13700","13850","13550","87652","1202734500","1849933525200","134053154"
"068790","DMS","KOSDAQ","벤처기업부","3480","-20","-0.57","3530","3660","3460","322208","1149058705","69208232040","19887423"
"004840","DRB동일","KOSPI",,"5810","-170","-2.84","6400","6750","5810","590450","3727692000","71452971940","12298274"
"069730","DSR제강","KOSPI",,"2940","15","0.51","2935","2970","2905","6311","18524125","42336000000","14400000"
"009730","DS제강","KOSDAQ","중견기업부","1465","15","1.03","1440","1500","1435","168610","246317675","35972782000","24554800"
"017940","E1","KOSPI",,"62100","-700","-1.11","63300","63300","61800","2642","164377100","426006000000","6860000"
"037370","EG","KOSDAQ","벤처기업부","39600","550","1.41","39050","40350","38900","102861","4088296900","297000000000","7500000"
"080220","EMLSI","KOSDAQ","벤처기업부","7000","500","7.69","6490","7000","6490","115931","782448510","158799284000","22685612"
"079190","EMW","KOSDAQ","벤처기업부","3015","5","0.17","3010","3030","2920","25746","76573450","37873344600","12561640"
"007700","F&F","KOSPI",,"6100","60","0.99","6130","6130","6040","820","4987700","93940000000","15400000"
"114090","GKL","KOSPI",,"30700","50","0.16","30700","30800","29850","196439","5946705500","1898969069000","61855670"
"078930","GS","KOSPI",,"68600","700","1.03","68500","69800","68300","519827","35913827500","6373994930800","92915378"
"083450","GST","KOSDAQ","벤처기업부","4060","60","1.50","3950","4120","3950","19261","77970030","34180628440","8418874"
"006360","GS건설","KOSPI",,"61400","0","0.00","62000","62800","60800","321780","19894611900","3131400000000","51000000"
"001250","GS글로벌","KOSPI",,"13800","550","4.15","13400","13850","13400","141883","1930973950","310965943200","22533764"
"007070","GS리테일","KOSPI",,"31900","-1000","-3.04","32900","33300","31800","135384","4383374100","2456300000000","77000000"
"078935","GS우","KOSPI",,"22950","100","0.44","22800","22950","22650","6421","146830050","40961756700","1784826"
"028150","GS홈쇼핑","KOSDAQ","우량기업부","139100","2600","1.90","136300","139900","136200","10202","1416798600","912843750000","6562500"
"053870","GT&T","KOSDAQ","벤처기업부","738","8","1.10","731","750","722","36714","27076890","5904000000","8000000"
"035000","GⅡR","KOSPI",,"6850","50","0.74","6800","6870","6710","14589","98328170","113486751650","16567409"
"032800","G러닝","KOSDAQ","중견기업부","1975","-55","-2.71","2010","2095","1835","1766846","3502067905","46610444375","23600225"
"041590","H&H","KOSDAQ","중견기업부","1365","15","1.11","1385","1390","1340","62994","85889215","22070448855","16168827"
"078150","HB테크놀러지","KOSDAQ","벤처기업부","1075","25","2.38","1050","1085","1050","107403","114615410","42390870600","39433368"
"001500","HMC투자증권","KOSPI",,"12900","50","0.39","13050","13150","12750","86946","1121359000","378448731900","29337111"
"036640","HRS","KOSDAQ","중견기업부","3115","-10","-0.32","3125","3180","3095","273683","856452770","50945202000","16354800"
"126680","IBKS스팩1호","KOSDAQ","SPAC(소속부없음)","983","-1","-0.10","984","984","983","1641","1614729","20525040000","20880000"
"011420","IB스포츠","KOSPI",,"1815","15","0.83","1830","1835","1790","81781","147710220","35614699560","19622424"
"003560","IHQ","KOSPI",,"2525","95","3.91","2440","2535","2425","271912","674595350","103462425450","40975218"
"095340","ISC","KOSDAQ","벤처기업부","10650","-150","-1.39","10850","10850","10550","20571","220227700","81898500000","7690000"
"099520","ITX시큐리티","KOSDAQ","벤처기업부","2655","-130","-4.67","2805","2850","2600","282737","767882530","18407369880","6933096"
"067000","JCE","KOSDAQ","벤처기업부","23400","-50","-0.21","23650","24450","23400","273406","6572840200","269826453000","11531045"
"005560","JS전선","KOSPI",,"8800","230","2.68","8570","8830","8520","16590","144554400","100132032000","11378640"
"067290","JW중외신약","KOSDAQ","중견기업부","6730","250","3.86","6530","6840","6460","311105","2074233910","240605784630","35751231"
"001060","JW중외제약","KOSPI",,"14000","450","3.32","13600","14250","13500","88363","1239728000","159375104000","11383936"
"001067","JW중외제약2우B","KOSPI",,"17850","-100","-0.56","0","0","0","0","0","1218458850","68261"
"001065","JW중외제약우","KOSPI",,"12500","450","3.73","12500","12500","12500","10","125000","1622700000","129816"
"096760","JW홀딩스","KOSPI",,"2410","35","1.47","2400","2445","2380","54295","131031250","118036751050","48977905"
"035900","JYP Ent.","KOSDAQ","중견기업부","5680","460","8.81","5220","5790","5220","2583106","14392821100","131504513040","23152203"
"105560","KB금융","KOSPI",,"37100","50","0.13","37200","37500","36900","730720","27132539000","14333647810300","386351693"
"024120","KB오토시스","KOSDAQ","중견기업부","4060","130","3.31","3880","4135","3880","8444","34214605","46690000000","11500000"
"002380","KCC","KOSPI",,"306000","-4000","-1.29","312500","315500","306000","18682","5800525000","3219120000000","10520000"
"021320","KCC건설","KOSDAQ","우량기업부","24950","0","0.00","24950","25150","24850","1723","42998900","144710000000","5800000"
"036670","KCI","KOSDAQ","벤처기업부","2745","95","3.58","2685","2805","2615","18198","49493520","30195000000","11000000"
"009070","KCTC","KOSPI",,"15550","100","0.65","15450","15900","15350","1930","29770500","46650000000","3000000"
"068060","KCW","KOSDAQ","벤처기업부","4075","80","2.00","4010","4140","3950","12417","49539675","22168000000","5440000"
"009440","KC그린홀딩스","KOSPI",,"2935","65","2.26","2870","2960","2820","167744","481389925","65846666300","22434980"
"119650","KC코트렐","KOSPI",,"14000","50","0.36","14000","14100","13750","23020","319531500","85680000000","6120000"
"092220","KEC","KOSPI",,"542","5","0.93","543","549","534","260065","140794110","77064378942","142185201"
"109070","KGP","KOSPI",,"1610","-80","-4.73","1590","1730","1590","12304","20167440","7204994720","4475152"
"046440","KG모빌리언스","KOSDAQ","우량기업부","10750","500","4.88","10400","10800","10050","1898147","19823783250","199691634500","18575966"
"035600","KG이니시스","KOSDAQ","우량기업부","11700","-100","-0.85","11900","12000","11400","1222126","14324047350","297567995400","25433162"
"001390","KG케미칼","KOSPI",,"11550","-300","-2.53","11850","11950","11550","94155","1100715050","123585000000","10700000"
"060720","KH바텍","KOSDAQ","우량기업부","11450","100","0.88","11350","11850","11250","473079","5466611050","183200000000","16000000"
"001940","KISCO홀딩스","KOSPI",,"37400","2350","6.70","37000","37400","37000","250","9258000","138203322400","3695276"
"083470","KJ프리텍","KOSDAQ","투자주의환기종목(소속부없음)","1650","50","3.13","1600","1650","1550","22666","36511330","22481124600","13624924"
"122450","KMH","KOSDAQ","벤처기업부","7530","0","0.00","7600","7670","7480","115750","878040310","96198460800","12775360"
"058400","KNN","KOSDAQ","우량기업부","7450","-100","-1.32","7650","7650","7450","59","440350","98660141400","13242972"
"083420","KPX그린케미칼","KOSPI",,"3995","30","0.76","3980","4015","3900","9031","35768715","79900000000","20000000"
"114450","KPX생명과학","KOSDAQ","중견기업부","4375","255","6.19","4220","4695","4120","2340535","10269989025","65625000000","15000000"
"025000","KPX케미칼","KOSPI",,"50200","-300","-0.59","50500","50700","50000","443","22217500","242968000000","4840000"
"092230","KPX홀딩스","KOSPI",,"40400","50","0.12","40450","40450","40000","581","23252900","170675698400","4224646"
"025850","KPX화인케미칼","KOSPI",,"27250","0","0.00","27250","27500","26800","9130","248913500","103550000000","3800000"
"044450","KSS해운","KOSPI",,"7000","10","0.14","6990","7040","6860","10814","75540800","81150580000","11592940"
"030200","KT","KOSPI",,"36950","-200","-0.54","37300","37650","36950","565996","21053532350","9648081305600","261111808"
"033780","KT&G","KOSPI",,"83100","-200","-0.24","84000","84200","82400","216434","18043205100","11409006500700","137292497"
"030210","KTB투자증권","KOSPI",,"2065","15","0.73","2060","2085","2035","294530","606325450","124548599980","60314092"
"036030","KTH","KOSDAQ","중견기업부","8840","140","1.61","8750","8900","8630","72131","632627230","304980000000","34500000"
"058850","KTcs","KOSPI",,"2170","5","0.23","2165","2185","2150","82536","178818685","99136450000","45685000"
"043610","KT뮤직","KOSDAQ","중견기업부","3080","90","3.01","3020","3100","2950","717641","2182370035","91681938040","29766863"
"060370","KT서브마린","KOSDAQ","우량기업부","15100","150","1.00","14600","15150","14600","1617","24141550","66138000000","4380000"
"003550","LG","KOSPI",,"66600","1000","1.52","66600","67900","66200","810741","54565559300","11492304924600","172557131"
"034220","LG디스플레이","KOSPI",,"32400","-100","-0.31","32600","33000","32100","2457221","80088680430","11593228680000","357815700"
"001120","LG상사","KOSPI",,"39600","2000","5.32","37850","39950","37800","343378","13358142950","1534896000000","38760000"
"068870","LG생명과학","KOSPI",,"45650","-100","-0.22","46450","46450","45050","51939","2378558350","756739593500","16576990"
"068875","LG생명과학우","KOSPI",,"21450","-50","-0.23","21050","21950","21050","80","1725500","5066833200","236216"
"051900","LG생활건강","KOSPI",,"641000","-13000","-1.99","657000","662000","641000","17306","11249284000","10011264277000","15618197"
"051905","LG생활건강우","KOSPI",,"193500","0","0.00","191000","194000","191000","1794","343033000","406291369500","2099697"
"003555","LG우","KOSPI",,"22950","50","0.22","22900","23600","22600","16068","369147000","76071837150","3314677"
"032640","LG유플러스","KOSPI",,"6970","-80","-1.13","7110","7130","6970","1485419","10480907830","3043181186170","436611361"
"011070","LG이노텍","KOSPI",,"75300","-400","-0.53","76600","77900","75100","133760","10232931000","1518857776200","20170754"
"066570","LG전자","KOSPI",,"75900","200","0.26","76500","76800","75200","1076589","81894237400","12420869082600","163647814"
"066575","LG전자우","KOSPI",,"20000","200","1.01","20000","20350","19700","156302","3142731000","343719840000","17185992"
"093050","LG패션","KOSPI",,"30400","-1100","-3.49","31700","31800","29650","464821","14184815400","888896000000","29240000"
"108670","LG하우시스","KOSPI",,"78400","3200","4.26","75800","78400","75600","14455","1120424000","703065328000","8967670"
"108675","LG하우시스우","KOSPI",,"22150","100","0.45","21400","22150","21400","421","9295650","22866109500","1032330"
"051910","LG화학","KOSPI",,"306000","12000","4.08","297000","307500","297000","370182","112751276000","20278956600000","66271100"
"051915","LG화학우","KOSPI",,"97500","3700","3.94","94000","98000","94000","16036","1551564200","743819797500","7628921"
"002550","LIG손해보험","KOSPI",,"27800","-100","-0.36","27350","28200","27200","139514","3869971200","1668000000000","60000000"
"079950","LIG에이디피","KOSDAQ","중견기업부","2250","55","2.51","2190","2260","2160","12843","28489955","52200000000","23200000"
"006260","LS","KOSPI",,"89200","100","0.11","90100","90400","87600","163555","14507654000","2872240000000","32200000"
"000680","LS네트웍스","KOSPI",,"4320","35","0.82","4300","4325","4265","12551","53959120","334160830080","77352044"
"000685","LS네트웍스우","KOSPI",,"30350","0","0.00","0","0","0","0","0","463869400","15284"
"000687","LS네트웍스전환상환2우B","KOSPI",,"4700","100","2.17","4500","4700","4500","20","92000","6791058200","1444906"
"010120","LS산전","KOSPI",,"68200","4400","6.90","65900","68200","65700","189158","12700449500","2046000000000","30000000"
"086960","MDS테크","KOSDAQ","중견기업부","13150","250","1.94","13050","13350","13000","37066","488561950","114319143650","8693471"
"023150","MH에탄올","KOSPI",,"3025","-30","-0.98","3030","3075","3005","23099","69838825","21175000000","7000000"
