,기업코드,ESG등급,환경,사회,지배구조,평가년도,업종명
금양,1570,D,D,D,C,2022,화학
금호건설,2990,C,C,B+,D,2022,건설업
금호에이치티,214330,D,D,D,D,2022,운수장비
금호전기,1210,D,D,C,D,2022,전기전자
금호타이어,73240,B+,B,A,B,2022,화학
기신정기,92440,D,D,D,D,2022,기계
기아,270,B+,A,A,B,2022,운수장비
기업은행,24110,A,A+,A+,B+,2022,은행
까뮤이앤씨,13700,C,D,D,B,2022,건설업
깨끗한나라,4540,C,C,B,C,2022,종이목재
나노스,151910,D,D,D,D,2022,IT부품
나노엔텍,39860,D,D,D,D,2022,의료·정밀기기
나스미디어,89600,B+,B,B,B+,2022,기타서비스
나우IB,293580,D,D,D,C,2022,금융
남광토건,1260,C,D,D,B,2022,건설업
남선알미늄,8350,D,D,D,C,2022,철강금속
남성,4270,D,D,D,D,2022,유통업
남양유업,3920,C,B,B+,D,2022,음식료품
남해화학,25860,C,C,C,C,2022,화학
네오위즈,95660,C,D,C,B,2022,디지털컨텐츠
네이처셀,7390,D,D,D,D,2022,제약
네패스,33640,C,C,B+,D,2022,반도체
넥센,5720,B+,B+,A,B,2022,화학
넥센타이어,2350,B+,B+,A,B,2022,화학
넵튠,217270,C,D,C,C,2022,출판·매체복제
넷마블,251270,B,C,B+,B,2022,서비스업
노루페인트,90350,A,B+,A+,B+,2022,화학
노루홀딩스,320,A,B+,A+,B+,2022,기타금융
녹십자,6280,B+,B,A,B,2022,의약품
녹십자홀딩스,5250,B+,B,A,B+,2022,서비스업
농심,4370,C,B,A,D,2022,음식료품
농심홀딩스,72710,C,B,B+,C,2022,기타금융
농우바이오,54050,D,D,D,D,2022,"농업, 임업 및 어업"
다나와,119860,C,D,C,B,2022,인터넷
다날,64260,D,D,C,D,2022,디지털컨텐츠
다스코,58730,D,D,D,C,2022,기계
다우기술,23590,C,B+,A,C,2022,서비스업
다우데이타,32190,C,D,C,C,2022,유통
다원시스,68240,D,D,C,D,2022,IT부품
다이나믹디자인,145210,D,D,D,C,2022,기계
대교,19680,B,D,B+,B+,2022,서비스업
대구백화점,6370,C,D,D,B+,2022,유통업
대덕,8060,B+,B,A,B,2022,기타금융
대덕전자,353200,B+,B,A,B+,2022,전기전자
대동,490,D,C,C,D,2022,기계
대동전자,8110,C,D,D,B,2022,전기전자
대림통상,6570,D,D,D,D,2022,기계
대상,1680,B+,A,A+,B,2022,음식료품
대상홀딩스,84690,B+,A,A+,B,2022,기타금융
대성산업,128820,D,D,C,D,2022,유통업
대성에너지,117580,C,D,B,C,2022,전기가스업
대성홀딩스,16710,C,D,B,C,2022,서비스업
대신증권,3540,B+,B,B+,B+,2022,증권
대아티아이,45390,C,D,D,B,2022,일반전기전자
대양금속,9190,D,D,D,D,2022,철강금속
대영포장,14160,D,D,D,D,2022,종이목재
대우건설,47040,B+,B+,B+,B+,2022,건설업
대우부품,9320,D,D,D,D,2022,운수장비
대우조선해양,42660,B+,B,B+,B+,2022,운수장비
대웅,3090,B+,B,A,B,2022,기타금융
대웅제약,69620,B+,B,A,B,2022,의약품
대원강업,430,C,C,D,C,2022,운수장비
대원전선,6340,D,D,D,D,2022,전기전자
대원제약,3220,B,D,B,B+,2022,의약품
대원화성,24890,D,C,C,D,2022,화학
대유에이텍,2880,D,D,C,D,2022,운수장비
대유플러스,300,D,D,D,D,2022,전기전자
대주전자재료,78600,D,D,C,C,2022,IT부품
대창,12800,D,D,C,D,2022,철강금속
대창단조,15230,C,C,C,C,2022,운수장비
대한방직,1070,C,D,D,B,2022,섬유의복
대한유화,6650,C,B,B,D,2022,화학
대한전선,1440,A,B+,A+,B+,2022,전기전자
대한제강,84010,D,D,D,C,2022,철강금속
대한제당,1790,D,D,D,C,2022,음식료품
대한제분,1130,D,C,D,D,2022,음식료품
대한항공,3490,A,A,A,A,2022,운수창고업
대한해운,5880,C,C,B+,C,2022,운수창고업
대한화섬,3830,C,C,C,B,2022,화학
대현,16090,C,D,D,B+,2022,섬유의복
대호에이엘,69460,D,C,D,D,2022,철강금속
더블유게임즈,192080,B,D,C,B+,2022,서비스업
더존비즈온,12510,D,D,C,D,2022,서비스업
덕산네오룩스,213420,D,D,C,C,2022,반도체
덕성,4830,D,D,C,C,2022,화학
덕양산업,24900,D,D,C,D,2022,운수장비
데브시스터즈,194480,B,D,B,B+,2022,디지털컨텐츠
덴티움,145720,D,D,C,D,2022,의료정밀
도화엔지니어링,2150,C,D,C,C,2022,서비스업
동국제강,1230,B,B+,B,B,2022,철강금속
동국제약,86450,C,D,B,C,2022,제약
동남합성,23450,C,D,D,B,2022,화학
동방,4140,D,C,C,D,2022,운수창고업
동방아그로,7590,D,D,D,C,2022,화학
동부건설,5960,C,C,B+,C,2022,건설업
동서,26960,D,C,C,D,2022,유통업
동성제약,2210,C,D,D,B,2022,의약품
동성케미컬,102260,B+,B+,A,B,2022,서비스업
동아쏘시오홀딩스,640,A,B,A,A,2022,기타금융
동아에스티,170900,A,B,A,A,2022,의약품
동아지질,28100,D,D,D,D,2022,건설업
동아타이어,282690,D,D,D,C,2022,화학
동양,1520,D,D,D,C,2022,비금속광물
동양고속,84670,D,D,D,D,2022,운수창고업
동양생명,82640,B,D,B,B+,2022,보험
동양철관,8970,D,D,D,D,2022,철강금속
동양피스톤,92780,C,D,B,D,2022,운수장비
동원F&B,49770,B,B,A,C,2022,음식료품
동원개발,13120,D,D,C,C,2022,건설
동원금속,18500,D,D,D,C,2022,운수장비
동원산업,6040,C,B,B+,C,2022,"농업, 임업 및 어업"
동원수산,30720,D,D,D,D,2022,"농업, 임업 및 어업"
동원시스템즈,14820,C,B,B+,D,2022,화학
동일고무벨트,163560,B,C,B+,B,2022,화학
동일산업,4890,C,C,D,B+,2022,철강금속
동일제강,2690,D,D,D,C,2022,철강금속
동진쎄미켐,5290,C,C,B+,D,2022,반도체
동화기업,25900,D,C,C,D,2022,종이·목재
동화약품,20,C,C,B+,C,2022,의약품
두산,150,B+,B+,A,B,2022,서비스업
두산밥캣,241560,B+,B,A,B+,2022,기계
두산퓨얼셀,336260,B+,B+,A+,B,2022,전기전자
두올,16740,D,D,C,C,2022,운수장비
드림어스컴퍼니,60570,C,D,C,B,2022,디지털컨텐츠
드림텍,192650,D,D,D,C,2022,전기전자
디씨엠,24090,C,D,C,B,2022,철강금속
디아이,3160,D,D,C,D,2022,의료정밀
디아이씨,92200,D,D,C,D,2022,운수장비
디와이,13570,C,D,D,B+,2022,기타금융
디와이파워,210540,C,D,D,B,2022,기계
디티알오토모티브,7340,C,C,D,B,2022,전기전자
락앤락,115390,B,B,B+,B,2022,화학
레고켐바이오,141080,C,D,C,B,2022,기타서비스
로보스타,90360,C,D,C,C,2022,기계·장비
롯데관광개발,32350,D,D,C,D,2022,서비스업
롯데손해보험,400,B+,B,B+,B+,2022,보험
롯데쇼핑,23530,A,A,A+,A,2022,유통업
롯데정밀화학,4000,A,A,A+,A,2022,화학
롯데정보통신,286940,A,A,A,A,2022,서비스업
롯데제과,280360,A,B,A,A,2022,음식료품
롯데지주,4990,A,A,A+,B+,2022,기타금융
롯데케미칼,11170,A,B+,A+,A,2022,화학
롯데하이마트,71840,A,A,A+,A,2022,유통업
리노공업,58470,C,D,D,B+,2022,반도체
리더스 기술투자,19570,D,D,D,D,2022,금융
마니커,27740,D,D,D,D,2022,음식료품
만도,204320,A,A,A,B+,2022,운수장비
만호제강,1080,C,D,C,B+,2022,철강금속
매일유업,267980,A,A,A,A,2022,음식료·담배
멀티캠퍼스,67280,B,D,B,B,2022,디지털컨텐츠
메가스터디교육,215200,B,D,B,B,2022,기타서비스
메드팩토,235980,D,D,D,C,2022,기타서비스
메디톡스,86900,D,D,D,C,2022,제약
메리츠금융지주,138040,B,C,C,B+,2022,기타금융
메리츠증권,8560,B+,C,A,B+,2022,증권
메리츠화재,60,B,C,B,B+,2022,보험
메이슨캐피탈,21880,D,D,D,D,2022,금융
메지온,140410,D,D,D,D,2022,기타서비스
메타랩스,90370,D,D,D,D,2022,섬유의복
명문제약,17180,D,D,D,C,2022,의약품
명신산업,9900,D,D,D,D,2022,운수장비
모나리자,12690,D,D,C,D,2022,종이목재
모나미,5360,D,D,D,D,2022,유통업
모두투어,80160,C,D,C,B,2022,기타서비스
모토닉,9680,B,C,B,B+,2022,운수장비
무림P&P,9580,B+,B,A,B+,2022,종이목재
무림페이퍼,9200,B,B,B+,B,2022,종이목재
무학,33920,C,D,C,B,2022,음식료품
문배철강,8420,D,D,D,C,2022,철강금속
미래산업,25560,D,D,D,D,2022,의료정밀
미래아이앤지,7120,D,D,D,D,2022,서비스업
미래에셋생명,85620,B+,B,A,B+,2022,보험
미래에셋증권,6800,A,A,A+,B+,2022,증권
미원상사,2840,C,C,D,C,2022,화학
미원에스씨,268280,C,C,C,B,2022,화학
미원홀딩스,107590,C,C,C,B,2022,기타금융
미원화학,134380,C,C,D,C,2022,화학
바이넥스,53030,D,D,D,D,2022,제약
바이오니아,64550,D,D,D,D,2022,제약
바텍,43150,D,D,D,D,2022,의료·정밀기기
박셀바이오,323990,D,D,D,C,2022,기타서비스
방림,3610,D,D,D,C,2022,섬유의복
백광산업,1340,D,C,D,D,2022,화학
백산,35150,D,D,D,D,2022,화학
범양건영,2410,D,D,C,D,2022,건설업
벽산,7210,D,C,C,D,2022,비금속광물
보락,2760,D,D,D,D,2022,화학
보해양조,890,D,D,D,C,2022,음식료품
부광약품,3000,C,D,D,B,2022,의약품
부국증권,1270,C,D,C,B,2022,증권
부국철강,26940,D,D,D,D,2022,철강금속
부산산업,11390,C,D,D,B,2022,비금속광물
부산주공,5030,D,D,D,D,2022,운수장비
비덴트,121800,D,D,D,D,2022,통신장비
비비안,2070,D,D,D,D,2022,섬유의복
비상교육,100220,B,D,B,B,2022,서비스업
비에이치,90460,C,C,B+,C,2022,IT부품
비케이탑스,30790,D,D,D,D,2022,서비스업
빙그레,5180,A,A,A,B+,2022,음식료품
사람인에이치알,143240,C,D,C,B,2022,인터넷
사조대림,3960,C,B,B,D,2022,음식료품
사조동아원,8040,C,C,B+,C,2022,음식료품
사조산업,7160,C,C,B,D,2022,"농업, 임업 및 어업"
사조씨푸드,14710,C,D,B,B,2022,음식료품
사조오양,6090,C,C,B,D,2022,음식료품
삼강엠앤티,100090,D,C,C,D,2022,금속
삼부토건,1470,D,D,D,C,2022,건설업
삼성SDI,6400,A,A,A+,B+,2022,전기전자
삼성공조,6660,C,D,C,B,2022,운수장비
삼성물산,28260,A,A,A,A,2022,유통업
삼성바이오로직스,207940,A,A,A+,A,2022,의약품
삼성생명,32830,A,A,A+,B+,2022,보험
삼성에스디에스,18260,A,A,A+,A,2022,서비스업
삼성엔지니어링,28050,A,A,A+,B+,2022,서비스업
삼성전기,9150,A,A,A+,A,2022,전기전자
삼성전자,5930,A,A,A+,B+,2022,전기전자
삼성제약,1360,D,D,D,D,2022,의약품
삼성중공업,10140,B+,B+,B+,B+,2022,운수장비
삼성증권,16360,A,A,A+,B+,2022,증권
삼성출판사,68290,C,D,D,B+,2022,서비스업
삼성카드,29780,A,A,A+,A,2022,기타금융
삼아알미늄,6110,C,D,D,B,2022,철강금속
삼양사,145990,B+,B+,A,B,2022,음식료품
삼양식품,3230,B+,A,A+,B,2022,음식료품
삼양통상,2170,C,D,D,B,2022,기타제조업
삼양패키징,272550,B,C,B+,B,2022,화학
삼양홀딩스,70,B+,B+,A,B,2022,기타금융
삼영무역,2810,B,D,C,B+,2022,유통업
삼원강재,23000,C,C,D,C,2022,운수장비
삼익THK,4380,C,C,C,C,2022,기계
삼익악기,2450,D,C,D,D,2022,기타제조업
삼일씨엔에스,4440,D,D,D,D,2022,비금속광물
삼일제약,520,D,D,D,C,2022,의약품
삼정펄프,9770,D,D,C,D,2022,종이목재
삼진제약,5500,D,D,D,D,2022,의약품
삼천당제약,250,D,D,D,C,2022,제약
삼천리,4690,C,C,B+,C,2022,전기가스업
삼표시멘트,38500,C,B,B,C,2022,비금속
삼호개발,10960,B,C,B+,B,2022,건설업
삼화왕관,4450,D,D,D,D,2022,기계
삼화전기,9470,D,D,D,D,2022,전기전자
상상인,38540,D,D,D,D,2022,컴퓨터서비스
상상인증권,1290,D,D,C,D,2022,증권
상신브레이크,41650,D,D,C,C,2022,운수장비
상아프론테크,89980,C,C,B+,C,2022,화학
새론오토모티브,75180,D,D,C,C,2022,운수장비
샘표,7540,C,D,C,C,2022,기타금융
샘표식품,248170,C,D,C,C,2022,음식료품
서부T&D,6730,D,D,D,C,2022,숙박·음식
서연,7860,B+,B,A,B,2022,기타금융
서연이화,200880,B+,B,A,B+,2022,운수장비
서울바이오시스,92190,D,D,C,C,2022,IT부품
서울반도체,46890,B,D,B+,B+,2022,반도체
서원,21050,C,C,D,C,2022,철강금속
서진시스템,178320,D,D,D,D,2022,통신장비
서흥,8490,B,C,B,B+,2022,화학
선도전기,7610,D,D,D,D,2022,전기전자
선진,136490,C,C,B+,C,2022,음식료품
성문전자,14910,D,D,C,D,2022,전기전자
성보화학,3080,D,D,C,C,2022,화학
성신양회,4980,C,C,B,C,2022,비금속광물
성안,11300,C,D,D,B,2022,섬유의복
성우하이텍,15750,D,D,C,D,2022,운송장비·부품
성창기업지주,180,D,D,D,D,2022,서비스업
세기상사,2420,D,D,D,D,2022,서비스업
세방,4360,C,C,C,B,2022,운수창고업
세방전지,4490,C,B,C,C,2022,전기전자
세아제강,306200,B+,B,B+,B+,2022,철강금속
세아제강지주,3030,B,B,B+,B,2022,기타금융
세아특수강,19440,B+,C,B+,A,2022,철강금속
세아홀딩스,58650,C,C,B+,C,2022,철강금속
세우글로벌,13000,D,D,D,D,2022,유통업
세원이앤씨,91090,D,D,C,D,2022,기계
세원정공,21820,D,D,C,D,2022,운수장비
세이브존I&C,67830,C,D,C,C,2022,유통업
세종공업,33530,C,D,B,D,2022,운수장비
세진중공업,75580,D,D,D,C,2022,운수장비
세하,27970,D,D,C,D,2022,종이목재
센트랄모텍,308170,B,D,B,B+,2022,운수장비
센트럴인사이트,12600,D,D,D,D,2022,기계
셀리드,299660,D,D,D,D,2022,기타서비스
셀리버리,268600,C,D,D,B,2022,기타서비스
셀트리온,68270,B,C,B+,B,2022,의약품
셀트리온제약,68760,D,D,C,D,2022,제약
셀트리온헬스케어,91990,B,D,B,B,2022,유통
솔루스첨단소재,336370,C,D,C,B,2022,전기전자
솔브레인,357780,C,C,B+,C,2022,화학
솔브레인홀딩스,36830,C,C,B+,C,2022,기타서비스
송원산업,4430,D,C,C,D,2022,화학
수산중공업,17550,D,D,D,C,2022,기계
스튜디오드래곤,253450,C,C,B,C,2022,오락·문화
시그네틱스,33170,D,C,D,D,2022,반도체
시디즈,134790,C,D,C,C,2022,기타제조업
신대양제지,16590,D,D,C,D,2022,종이목재
신도리코,29530,C,C,D,B+,2022,전기전자
신라교역,4970,D,D,D,C,2022,"농업, 임업 및 어업"
신성이엔지,11930,D,D,C,C,2022,전기전자
신성통상,5390,D,D,D,D,2022,유통업
신세계,4170,A,A,A+,B+,2022,유통업
신세계건설,34300,B+,B,A,B+,2022,건설업
신세계인터내셔날,31430,B+,C,B+,B+,2022,유통업
신세계푸드,31440,B,C,B+,B+,2022,서비스업
신송홀딩스,6880,D,D,D,C,2022,유통업
신영와코루,5800,D,D,D,D,2022,섬유의복
신영증권,1720,B+,C,B+,B+,2022,증권
신원,9270,D,D,C,C,2022,섬유의복
신일전자,2700,D,D,D,D,2022,유통업
신풍제약,19170,D,D,C,D,2022,의약품
신풍제지,2870,D,D,D,C,2022,종이목재
신한지주,55550,A+,A+,A+,A+,2022,기타금융
신화인터텍,56700,D,D,D,C,2022,IT부품
신흥,4080,D,D,C,D,2022,유통업
심텍,222800,C,C,B,D,2022,반도체
쌍방울,102280,D,D,C,D,2022,섬유의복
써니전자,4770,D,D,D,C,2022,전기전자
쎌마테라퓨틱스,15540,D,D,D,D,2022,서비스업
씨아이에스,222080,D,D,D,C,2022,기계·장비
씨아이테크,4920,D,D,D,D,2022,기타제조업
씨에스윈드,112610,C,C,B,C,2022,기계
씨젠,96530,C,B,B+,D,2022,제약
아난티,25980,C,C,B,D,2022,숙박·음식
아남전자,8700,D,D,C,D,2022,전기전자
아모레퍼시픽,90430,A,A,A+,A,2022,화학
아미코젠,92040,C,C,B+,C,2022,음식료·담배
아세아,2030,B+,B,B+,B+,2022,서비스업
아세아시멘트,183190,C,B,B+,C,2022,비금속광물
아세아제지,2310,C,C,B+,D,2022,종이목재
아센디오,12170,D,D,D,D,2022,서비스업
아시아나IDT,267850,C,D,C,C,2022,서비스업
아시아나항공,20560,B,B+,A,C,2022,운수창고업
아이마켓코리아,122900,C,D,B+,C,2022,유통업
아이에스동서,10780,B+,B,A,B+,2022,비금속광물
아이티엠반도체,84850,B,C,B+,B,2022,반도체
아주IB투자,27360,B,C,B+,B,2022,금융
아프리카TV,67160,C,C,B+,D,2022,소프트웨어
안랩,53800,B+,B+,A,B+,2022,소프트웨어
알루코,1780,D,D,C,D,2022,철강금속
알서포트,131370,D,D,C,D,2022,디지털컨텐츠
알테오젠,196170,C,D,C,B+,2022,기타서비스
압타바이오,293780,D,D,D,C,2022,기타서비스
애경산업,18250,A,B+,A+,B+,2022,화학
에넥스,11090,C,D,C,C,2022,기타제조업
에스앤에스텍,101490,C,D,D,B,2022,반도체
에스에프에이,56190,C,D,C,B,2022,기계·장비
에스엘,5850,B+,B,B+,B+,2022,운수장비
에스엠,41510,C,D,B,D,2022,오락·문화
에스엠코어,7820,C,D,D,B,2022,기계·장비
에스원,12750,B+,B+,A,B,2022,서비스업
에스티팜,237690,B+,B,B+,A,2022,제약
에쓰씨엔지니어링,23960,D,D,D,D,2022,건설업
에어부산,298690,D,C,C,D,2022,운수창고업
에이블씨엔씨,78520,B,D,B,B,2022,화학
에이비엘바이오,298380,C,D,D,B+,2022,제약
에이스침대,3800,C,D,C,B,2022,기타제조
에이스테크,88800,D,D,C,C,2022,통신장비
에이엔피,15260,D,D,D,D,2022,전기전자
에이프로젠 MED,7460,D,D,D,D,2022,기계
에이프로젠제약,3060,D,D,D,D,2022,의약품
에이플러스에셋,244920,D,D,D,C,2022,기타금융
에이피티씨,89970,C,D,D,B+,2022,기계·장비
에코마케팅,230360,C,D,D,B,2022,기타서비스
에코프로,86520,C,C,B,D,2022,IT부품
에코프로비엠,247540,B,C,B+,B,2022,일반전기전자
에프에스티,36810,D,D,D,D,2022,반도체
엑세스바이오,950130,D,D,D,D,2022,제약
엔씨소프트,36570,A,B+,A,A,2022,서비스업
엔지켐생명과학,183490,D,D,D,D,2022,제약
엔케이,85310,D,D,D,D,2022,기계
엘비세미콘,61970,D,C,C,D,2022,반도체
엘앤씨바이오,290650,C,D,D,B+,2022,제약
엘앤에프,66970,C,D,B,C,2022,IT부품
엠투엔,33310,D,D,D,D,2022,금속
영보화학,14440,D,C,C,D,2022,화학
영원무역,111770,B+,C,B+,B+,2022,유통업
영원무역홀딩스,9970,C,C,B+,C,2022,기타금융
영진약품,3520,B+,B+,B+,B,2022,의약품
영풍,670,B,C,B+,B,2022,철강금속
영풍정밀,36560,B,C,B,B+,2022,기계·장비
영풍제지,6740,D,C,D,D,2022,종이목재
영화금속,12280,D,D,D,C,2022,운수장비
영흥,12160,C,D,D,B,2022,철강금속
예스코홀딩스,15360,B,C,B,B,2022,기타금융
오뚜기,7310,C,C,B+,C,2022,음식료품
오리엔트바이오,2630,D,D,D,D,2022,의약품
오리온,271560,A,B+,A,A,2022,음식료품
오리온홀딩스,1800,A,B+,A,A,2022,기타금융
