회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(비교)(IFRS연결)(천원),PBR(최고)(IFRS),PBR(최저)(IFRS),매출액(영업수익)(*)(연결)(천원),배당성향(IFRS연결)
(주)BNK금융지주,138930,2013/12,,,,,-794301716,,,3162829387,
(주)DB하이텍,000990,2013/12,1058391832,416.9,19.35,-16.42,28380938,3.25,1.79,493752028,
(주)HJ중공업,097230,2013/12,6683379000,307.77,24.52,-0.78,-321347000,0.52,0.26,2529341000,
(주)JB금융지주,175330,2013/12,,,,,-610294000,,,555318000,
(주)KB금융지주,105560,2013/12,,,,,-6345527000,,,22597185000,
(주)MH에탄올,023150,2013/12,129697936,182.66,35.38,4.07,5620367,0.62,0.41,62199887,
(주)SH에너지화학,002360,2013/12,110488951,58.75,62.99,19.57,5949724,2.32,1.16,231912218,
(주)SIMPAC,009160,2013/12,361985890,73.34,57.69,-8.7,12060558,1.14,0.78,205751154,
(주)SNT에너지,100840,2013/12,,,,,,0.76,0.54,,
(주)SNT홀딩스,036530,2013/12,2149176237,56.38,63.95,-5.54,94174241,0.77,0.36,1576368464,
(주)STX,011810,2013/12,1342520000,0,0,-60.24,130779000,0,0,2449401000,
(주)TCC스틸,002710,2013/12,543708595,164.27,37.84,-0.1,-29220038,0.41,0.28,500832754,
(주)강원랜드,035250,2013/12,3102036846,23.21,81.16,5.02,424407127,3.33,2.32,1361286598,
(주)갤럭시아에스엠,011420,2013/12,37636664,75.11,57.11,-15.64,4527179,2.44,1.58,46437304,
(주)경농,002100,2013/12,255984725,56.89,63.74,43.36,18563319,0.58,0.43,196358952,
(주)경동나비엔,009450,2013/12,354779867,89.44,52.79,9.28,20912632,1.75,0.87,414177562,
(주)경동인베스트,012320,2013/12,1205008353,141.61,41.39,11.41,69233629,0.68,0.5,2788264380,
(주)경방,000050,2013/12,1296989142,103.79,49.07,4.07,51153970,0.54,0.3,347189559,
(주)경보제약,214390,2013/12,,,,,,0,0,,
