회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(비교)(IFRS연결)(천원),PBR(최고)(IFRS),PBR(최저)(IFRS),매출액(영업수익)(*)(연결)(천원),배당성향(IFRS연결)
인천도시가스(주),034590,2015/12,,,,,,1.34,0.9,,
인터지스(주),129260,2015/12,528489692,146.19,40.62,3.82,2803007,0.72,0.24,599512015,
일동홀딩스(주),000230,2015/12,705637923,101.62,49.6,14.1,56110514,3.8,1.34,476385097,
일성건설(주),013360,2015/12,257478729,185.64,35.01,20.31,-11881887,1.1,0.32,231102049,
일성신약(주),003120,2015/12,,,,,,1.43,0.83,,
일신방직(주),003200,2015/12,889516557,31.03,76.32,5.29,18028601,1.26,0.64,454669023,
일양약품(주),007570,2015/03,430830075,134.83,42.58,0,18507347,5,3.16,211797503,
일정실업(주),008500,2015/12,69075803,19.89,83.41,-13.4,3383320,0.8,0.49,68103445,
일진다이아몬드(주),081000,2015/12,141019036,74.84,57.2,20.57,8772096,1.7,0.84,109591037,
일진디스플레이(주),020760,2015/12,,,,,,2.83,1.09,,
일진전기(주),103590,2015/12,735434079,128.92,43.68,-7.27,26722775,1.09,0.56,714649869,
일진하이솔루스(주),271940,2015/12,,,,,,0,0,,
일진홀딩스(주),015860,2015/12,1075919203,136.08,42.36,-4.38,34272945,2.89,0.96,890895409,
자이에스앤디(주),317400,2015/12,,,,,,,,,
자화전자(주),033240,2015/12,399278574,45.24,68.85,-18.03,49548555,1.22,0.69,267314570,
전방(주),000950,2015/12,519484803,179.43,35.79,-3.23,1963371,0.7,0.31,237295667,
제이더블유생명과학(주),234080,2015/12,179880690,117.16,46.05,13.34,25896779,0,0,125950121,
제이더블유중외제약(주),001060,2015/12,613481028,172.17,36.74,5.22,-4174930,6.1,1.27,434352380,
제이더블유홀딩스(주),096760,2015/12,1082862853,300.61,24.96,8.52,-23975359,4.83,0.81,622825322,
제이준코스메틱(주),025620,2015/12,32748491,150.97,39.85,0,-16235111,81.77,11.88,8011257,
제일연마공업(주),001560,2015/12,97389006,45.77,68.6,-1.89,8757762,2.44,1.06,86575558,
제일파마홀딩스(주),002620,2015/12,,,,,2743174,2.67,1.13,,
조광페인트(주),004910,2015/12,240788271,44.99,68.97,-2.22,21198381,2.61,0.93,189482109,
조광피혁(주),004700,2015/12,196853700,11.15,89.97,-8.22,23303026,5.64,1.24,181883465,
조선내화(주),000480,2015/12,903697171,50.29,66.54,-14.93,51551245,1.18,0.77,728337552,
조선선재(주),120030,2015/12,,,,,,1.55,1.01,,
조일알미늄(주),018470,2015/12,,,,,,1.28,0.42,,
중소기업은행,024110,2015/12,,,,,-6006965000,,,13732682000,
지에스건설(주),006360,2015/12,13005492988,288.45,25.74,11.44,-7759525,0.8,0.41,10572620348,
지엠비코리아(주),013870,2015/12,459399994,114.37,46.65,1.77,14288144,0.67,0.45,467536890,
진양산업(주),003780,2015/12,43050956,17.88,84.83,13.68,5732689,1.39,1.04,43726798,
진양폴리우레탄(주),010640,2015/12,,,,,,3.25,1.89,,
진양화학(주),051630,2015/12,,,,,,2.65,1.32,,
진원생명과학(주),011000,2015/12,47691247,20.92,82.7,15.19,778498,9.44,0.65,28364785,
진흥기업(주),002780,2015/12,530471940,705.13,12.42,14.06,100208210,9.27,3.01,727826358,
참엔지니어링(주),009310,2015/12,643323602,2458.97,3.91,47,35129456,2.32,2.32,196878931,
컨버즈(주),109070,2015/12,,,,,744290,11.34,1.68,,
케이비아이동국실업(주),001620,2015/12,570697476,212.89,31.96,-7.44,37676057,0.8,0.51,622316659,
케이씨그린홀딩스(주),009440,2015/12,450314764,129.96,43.49,-1.68,38985172,2.62,1.26,377659976,
케이씨코트렐(주),119650,2015/12,146743579,161.69,38.21,-10.92,-1874053,2.13,1.1,186774294,
