회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(비교)(IFRS연결)(천원),PBR(최고)(IFRS),PBR(최저)(IFRS),매출액(영업수익)(*)(연결)(천원),배당성향(IFRS연결)
(주)BNK금융지주,138930,2022/12,,,,,,,,7575597423,
(주)DB하이텍,000990,2022/12,2122700475,29.57,77.18,37.92,,2.43,0.99,1675287534,
(주)HJ중공업,097230,2022/12,2567697000,566.95,14.99,4.78,,1.84,0.7,1788163000,
(주)JB금융지주,175330,2022/12,,,,,,,,3117122000,
(주)KB금융지주,105560,2022/12,,,,,,,,88895934000,
(주)MH에탄올,023150,2022/12,447440404,369.03,21.32,8.48,,1.68,0.88,110722402,
(주)SH에너지화학,002360,2022/12,124160292,31.94,75.79,19.71,,2.17,1,167355875,
(주)SIMPAC,009160,2022/12,965098439,60.93,62.14,9.66,,1.21,0.57,672228713,
(주)SNT에너지,100840,2022/12,429772702,68.25,59.43,18.58,,0.84,0.44,202878635,
(주)SNT홀딩스,036530,2022/12,2558426987,40.86,70.99,16.06,,0.83,0.51,1629520925,
(주)STX,011810,2022/12,741784000,624.35,13.81,28.42,,5.85,2.05,1188575000,
(주)TCC스틸,002710,2022/12,507482317,143.04,41.15,27.53,,2.24,1.15,684414631,
(주)강원랜드,035250,2022/12,4167752671,22.03,81.95,61.17,,1.84,1.45,1270685819,
(주)갤럭시아에스엠,011420,2022/12,,,,,,2.68,1.27,,
(주)경농,002100,2022/12,448632689,72.23,58.06,33.79,,1.38,0.77,361604573,
(주)경동나비엔,009450,2022/12,1018019428,96.64,50.85,5.25,,2.47,1.25,1160860789,
(주)경동도시가스,267290,2022/12,1067615033,170.29,37,58.18,,0.58,0.31,2304945010,
(주)경동인베스트,012320,2022/12,586813598,30.2,76.81,-7.68,,1.13,0.23,275539562,
(주)경방,000050,2022/12,1248318314,65.34,60.48,1.53,,0.64,0.38,389227583,
(주)경보제약,214390,2022/12,,,,,,1.91,0.84,,
(주)경인양행,012610,2022/12,548252999,105.99,48.55,-0.17,,1.55,0.81,402637341,
(주)광명전기,017040,2022/12,172178417,44.85,69.04,0.84,,1.84,0.79,138239356,
(주)광주신세계,037710,2022/12,,,,,,2.05,0.32,,
(주)국동,005320,2022/12,175008166,60.48,62.31,45.34,,2.01,0.7,329876667,
(주)국보,001140,2022/12,109959854,155.2,39.19,5.58,,3.9,1.35,102255057,
(주)금양,001570,2022/12,282778726,131.91,43.12,-2.11,,25.66,2.64,213135768,
(주)금호에이치티,214330,2022/12,426633825,30.95,76.37,18.71,,1.83,0.56,277770353,
(주)까뮤이앤씨,013700,2022/12,,,,,,2.89,0.94,,
(주)나이스홀딩스,034310,2022/12,3378563521,155.9,39.08,12.37,,2.35,1.56,2752922079,
(주)남선알미늄,008350,2022/12,401195144,30.84,76.43,11.03,,2.62,0.91,255740300,
(주)남성,004270,2022/12,271152129,126.91,44.07,-4.09,,1.05,0.51,98137172,
(주)넥센,005720,2022/12,4726896214,121.8,45.09,24.96,,0.48,0.3,3003950006,
(주)노루페인트,090350,2022/12,668177302,89.46,52.78,3.05,,1.04,0.5,753255210,
(주)노루홀딩스,000320,2022/12,1171989378,77.35,56.38,8.66,,0.71,0.41,1037899570,
(주)녹십자,006280,2022/12,2525537081,61.21,62.03,11.28,,2.4,1.21,1711312740,
(주)녹십자홀딩스,005250,2022/12,3592060735,82.61,54.76,12.99,,2.31,1.17,2079559971,
(주)농심,004370,2022/12,3034718536,31.07,76.3,17.5,,1.07,0.77,3129065208,
(주)농심홀딩스,072710,2022/12,1389130864,28.95,77.55,5.16,,0.66,0.49,674579201,
(주)다우기술,023590,2022/12,49260008743,849.42,10.53,51.32,,1.78,1.27,9210610313,
(주)다이나믹디자인,145210,2022/12,97847548,100.33,49.92,9.9,,17.21,0.19,58198972,
(주)대교,019680,2022/12,666723789,64.87,60.65,7,,1.12,0.58,683076344,
(주)대구백화점,006370,2022/12,470347263,103.24,49.2,-7.21,,0.55,0.36,75899713,
(주)대덕,008060,2022/12,1903351069,28.24,77.98,21.16,,0.57,0.4,1661906969,
(주)대동,000490,2022/12,1713773206,263.09,27.54,24.13,,1.75,0.84,1463737930,
(주)대양금속,009190,2022/12,400877091,129.73,43.53,0,,2.38,1.26,254967649,
(주)대우건설,047040,2022/12,11140353752,199.1,33.43,19.97,,1.06,0.56,10419213132,
(주)대웅,003090,2022/12,2158905107,68.73,59.27,12.3,,4.87,2.44,1697338483,
(주)대웅제약,069620,2022/12,1563340614,110.91,47.41,11.03,,4.76,3.09,1280091851,
(주)대유에이텍,002880,2022/12,1375206765,476.7,17.34,-15.21,,2.3,0.97,1403967295,
(주)대유플러스,000300,2022/12,543210277,388.27,20.48,4.83,,3.3,1.65,536676753,
(주)대창,012800,2022/12,840153818,203.62,32.94,12.81,,1,0.45,1441272496,
(주)대한항공,003490,2022/12,28997701022,212.06,32.05,56.33,,1.38,0.86,14096094819,
(주)대현,016090,2022/12,,,,,,0.6,0.35,,
(주)대호에이엘,069460,2022/12,,,,,,2.97,0.88,,
(주)더메디팜,118000,2022/12,189857328,46.52,68.25,2.61,,1.78,0.54,19098327,
(주)더블유게임즈,192080,2022/12,1235636098,22.79,81.44,-1.09,,1.74,1.06,617262020,
