회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(비교)(IFRS연결)(천원),PBR(최고)(IFRS),PBR(최저)(IFRS),매출액(영업수익)(*)(연결)(천원),배당성향(IFRS연결)
(주)BNK금융지주,138930,2014/12,,,,,-130549478,,,4583363182,
(주)DB하이텍,000990,2014/12,984876636,715.95,12.26,14.98,48078139,5.25,2.02,567718224,
(주)HJ중공업,097230,2014/12,6470284000,311.31,24.31,-0.36,-238336000,0.68,0.2,2520325000,
(주)JB금융지주,175330,2014/12,,,,,-1198498000,,,1327434000,
(주)KB금융지주,105560,2014/12,,,,,3276746000,,,21447384000,
(주)MH에탄올,023150,2014/12,85534839,62.03,61.72,-21.25,5159224,1.63,0.41,48983781,
(주)SH에너지화학,002360,2014/12,110741407,31.46,76.07,-0.43,24749424,3.07,1.02,230912587,
(주)SIMPAC,009160,2014/12,381939281,74.3,57.37,27.9,34443800,1.11,0.72,263152264,
(주)SNT에너지,100840,2014/12,,,,,,0.65,0.52,,
(주)SNT홀딩스,036530,2014/12,2039388864,50.39,66.49,-1.52,95278602,0.83,0.55,1552374806,
(주)STX,011810,2014/12,1255002000,1239.93,7.46,-33.27,-76097000,28.64,1.7,1634606000,
(주)TCC스틸,002710,2014/12,551000563,191.48,34.31,3.63,-21440429,0.37,0.24,518995240,
(주)강원랜드,035250,2014/12,3375127289,24.76,80.16,9.94,510413141,3.09,2.35,1496541441,
(주)갤럭시아에스엠,011420,2014/12,45274078,95.1,51.26,-5.49,-70410,3.78,1.6,43885894,
(주)경농,002100,2014/12,284623063,68.5,59.35,-4.01,14706590,0.88,0.47,188483147,
(주)경동나비엔,009450,2014/12,401658957,111.38,47.31,3.58,-13266158,2.62,1.35,428985365,
(주)경동인베스트,012320,2014/12,1320789066,117.43,45.99,-6.64,20818461,0.85,0.61,2603059058,
(주)경방,000050,2014/12,1301841379,101,49.75,-5.23,23819336,0.85,0.45,329036023,
(주)경보제약,214390,2014/12,,,,,,0,0,,
(주)경인양행,012610,2014/12,313039125,57.91,63.33,6.28,18368986,1.79,0.84,277181095,
(주)광명전기,017040,2014/12,138580023,76.1,56.79,14.36,11464334,1.8,1.36,134778387,
(주)광주신세계,037710,2014/12,,,,,,1.21,0.83,,
(주)국동,005320,2014/12,89271398,211.71,32.08,25.85,-12910,4.52,0.52,186086561,
(주)국보,001140,2014/12,91005502,302.32,24.86,-16.7,-238084,1.03,0.72,97520169,
(주)금양,001570,2014/12,160244911,260.18,27.76,1.44,34150831,1.53,0.9,158550531,
(주)금호에이치티,214330,2014/12,110805833,75.86,56.86,44.49,0,0,0,179174058,
(주)까뮤이앤씨,013700,2014/12,,,,,,0.98,0.42,,
(주)나이스홀딩스,034310,2014/12,1191004551,78.54,56.01,24.22,145729459,2.23,1.35,936827214,
(주)남선알미늄,008350,2014/12,,,,,,1.98,0.74,,
(주)남성,004270,2014/12,195514519,169.15,37.15,-5.49,-6987144,0.63,0.36,69059783,
(주)넥센,005720,2014/12,837243995,27.32,78.54,-6.72,31030474,1.25,0.94,354340603,
(주)노루페인트,090350,2014/12,544220095,125.58,44.33,5.69,26737511,0.85,0.44,458147572,
(주)노루홀딩스,000320,2014/12,899883032,104.59,48.88,9.26,52878984,1.68,0.98,669995655,
(주)녹십자,006280,2014/12,1330351374,44.5,69.2,9.81,56763006,2.12,1.67,975327106,
(주)녹십자홀딩스,005250,2014/12,1790874896,51.63,65.95,11.35,54542863,2.28,1.1,1044768160,
(주)농심,004370,2014/12,2224132075,43.17,69.85,-2.15,98665546,1.29,0.99,2041702670,
(주)농심홀딩스,072710,2014/12,1034455583,39.75,71.55,8.5,34813004,1.19,0.69,387375241,
