회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(비교)(IFRS연결)(천원),PBR(최고)(IFRS),PBR(최저)(IFRS),매출액(영업수익)(*)(연결)(천원),배당성향(IFRS연결)
(주)BNK금융지주,138930,2012/12,,,,,-931685189,,,3048983304,
(주)DB하이텍,000990,2012/12,1157755031,298,25.13,6.98,73876619,2.49,1.35,590786488,
(주)HJ중공업,097230,2012/12,6585093000,283.85,26.05,-11.83,-84391000,0.62,0.28,2549319000,
(주)KB금융지주,105560,2012/12,,,,,7644558000,,,25295751000,
(주)MH에탄올,023150,2012/12,134385813,238.69,29.53,33.46,-4906202,0.71,0.31,59768175,
(주)SH에너지화학,002360,2012/12,103690070,59.82,62.57,11.97,-855725,2.74,0.54,193950102,
(주)SIMPAC,009160,2012/12,318665505,69.63,58.95,4.64,,1.37,0.77,225353321,
(주)SNT에너지,100840,2012/12,,,,,,0.97,0.56,,
(주)SNT홀딩스,036530,2012/12,2074903906,57.43,63.52,0.29,57310654,0.56,0.34,1668749904,
(주)STX,011810,2012/12,5067029000,236.31,29.73,3.22,250636000,0.94,0.41,6159850000,
(주)TCC스틸,002710,2012/12,547013976,142.04,41.31,-2.54,-4610373,0.49,0.35,501337475,
(주)강원랜드,035250,2012/12,2906655321,22.54,81.61,2.41,446539739,3.06,2.14,1296191223,
(주)갤럭시아에스엠,011420,2012/12,43979072,69.76,58.91,0,8211658,3.12,1.48,55049732,
(주)경농,002100,2012/12,269412832,77.55,56.32,0,,0.53,0.41,136970449,
(주)경동나비엔,009450,2012/12,299729837,70.42,58.68,11.07,,1.17,0.48,379014259,
(주)경동인베스트,012320,2012/12,1209924561,170.97,36.9,35.45,150571070,0.62,0.4,2502642394,
(주)경방,000050,2012/12,1335039930,115.08,46.49,-4.17,17789061,0.43,0.26,333620804,
(주)경보제약,214390,2012/12,,,,,,,,,
(주)경인양행,012610,2012/12,287452678,64.27,60.88,-6.22,20801833,1.05,0.54,218604655,
(주)광명전기,017040,2012/12,131064345,108.06,48.06,26.88,3436380,3.83,1.84,117216514,
(주)광주신세계,037710,2012/12,,,,,,1.09,0.75,,
(주)국동,005320,2012/12,65808287,598.4,14.32,-10.45,5058343,3.8,1.52,138172746,
(주)국보,001140,2012/12,98494841,191.46,34.31,-6.35,,1.12,0.48,122343037,
(주)금양,001570,2012/12,127557393,180.08,35.7,11.93,3603001,1.51,0.71,122905331,
(주)금호에이치티,214330,2012/12,,,,,,,,,
(주)까뮤이앤씨,013700,2012/12,,,,,,0.4,0.19,,
(주)나이스홀딩스,034310,2012/12,496053949,25.69,79.56,8.77,80681561,0.76,0.53,211902144,
(주)남선알미늄,008350,2012/12,,,,,,1.65,0.66,,
(주)남성,004270,2012/12,221414593,177,36.1,2.82,-5724650,0.42,0.31,68020409,
(주)넥센,005720,2012/12,720858644,36.94,73.03,1.46,40005766,1.12,0.63,285150563,
(주)노루페인트,090350,2012/12,527545682,136.88,42.22,8.16,-5557404,0.95,0.28,418644745,
(주)노루홀딩스,000320,2012/12,835907566,124.74,44.5,6.87,,0.73,0.46,585634923,
(주)녹십자,006280,2012/12,954379520,39.28,71.8,5.71,,2.81,1.82,811774313,
(주)녹십자홀딩스,005250,2012/12,1446337218,48.67,67.26,4.72,,1.7,1.14,856575203,
(주)농심,004370,2012/12,2151310878,47.42,67.83,0.22,,1.29,0.88,2175710560,
(주)농심홀딩스,072710,2012/12,968293002,39.35,71.76,-2.99,29031354,0.6,0.46,314201314,
(주)다우기술,023590,2012/12,4848503131,323.74,23.6,-0.2,63803046,1.82,1.03,759179929,
(주)다이나믹디자인,145210,2012/12,284953104,146.47,40.57,9.71,28337295,0,0,192335526,
(주)대교,019680,2012/12,814113140,30.9,76.39,-6.79,58245284,1.37,1.01,869494014,
(주)대구백화점,006370,2012/03,,,,,,0.49,0.29,,
(주)대덕,008060,2012/12,550218366,27.24,78.59,14.42,,1.55,1.06,751112577,
(주)대동,000490,2012/12,554436780,140.64,41.56,-8.99,,0.93,0.41,563460079,
(주)대양금속,009190,2012/12,105457033,506.18,16.5,-28.15,10824382,4.26,0.38,105129341,
(주)대우건설,047040,2012/12,9859319181,189.05,34.6,17.15,-1142807906,1.51,1,8223432761,
(주)대웅,003090,2012/12,509221588,30.1,76.86,9.01,69443650,0.98,0.58,320770921,
(주)대웅제약,069620,2012/12,482344106,24.77,80.15,-5.85,45023830,1.65,0.66,669013833,
(주)대유에이텍,002880,2012/12,385720682,292.27,25.49,7.67,,3.19,1.26,505514624,
(주)대유플러스,000300,2012/12,609385380,502.17,16.61,13.29,,3.31,0.98,379402054,
(주)대창,012800,2012/12,477036779,152.01,39.68,-10.05,31548171,0.89,0.5,781254333,
(주)대한항공,003490,2012/12,22973401146,690.99,12.64,3.67,2305492436,2.08,1.49,12719636524,
(주)대현,016090,2012/12,,,,,,0.85,0.48,,
(주)대호에이엘,069460,2012/12,143805043,349.32,22.26,-15.79,5311456,2.27,1.12,151031967,
(주)더메디팜,118000,2012/12,,,,,0,16.73,2.4,,
(주)더존비즈온,012510,2012/12,192276834,134.02,42.73,8,19409196,5.64,2.83,124921239,
