회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(비교)(IFRS연결)(천원),PBR(최고)(IFRS),PBR(최저)(IFRS),매출액(영업수익)(*)(연결)(천원),배당성향(IFRS연결)
(주)이노션,214320,2021/12,2201583495,163.74,37.92,23.01,155155221,2.5,1.78,1502034401,
(주)이마트,139480,2021/12,31242082401,151.95,39.69,0,987138836,0.57,0.42,24932680936,
(주)이수페타시스,007660,2021/12,449678765,258.33,27.91,-8.67,3972191,1.85,0.79,469621094,
(주)이수화학,005950,2021/12,1168938576,198.34,33.52,29.7,61009080,1.03,0.59,1703337116,
(주)이스타코,015020,2021/12,,,,,,6.52,0.56,,
(주)이아이디,093230,2021/12,519321207,101.52,49.62,34.63,-10950356,2.53,0.73,222431165,
(주)이엔플러스,074610,2021/12,102809878,42.05,70.4,101.83,-25746107,3.83,1.95,55395307,
(주)이원,017940,2021/12,3999326311,191.2,34.34,31.18,51299646,0.32,0.18,5152300897,
(주)이월드,084680,2021/12,,,,,,3.14,1.39,,
(주)인디에프,014990,2021/12,125281293,230.18,30.29,-2.65,-4232527,3.39,1.94,148698938,
(주)인바이오젠,101140,2021/12,,,,,,1.64,0.86,,
(주)인스코비,006490,2021/12,109349945,65.96,60.25,23.95,-3715734,11.84,3.74,71665525,
(주)인팩,023810,2021/12,353962028,192.29,34.21,14.34,17356877,2.33,0.69,439274488,
(주)일신석재,007110,2021/12,,,,,,4.96,2.81,,
(주)잇츠한불,226320,2021/12,494667178,7.89,92.69,-4.24,11164311,1.84,0.92,140177794,
(주)제이에스코퍼레이션,194370,2021/12,552280908,173.56,36.56,0,26217938,2.37,0.59,987023678,
(주)제일기획,030000,2021/12,2542111414,125.51,44.34,0,249513810,4.97,3.57,3325712308,
(주)제주은행,006220,2021/12,,,,,137050000,,,204575000,
(주)제주항공,089590,2021/12,1266756061,588.12,14.53,-27.57,-83736411,7.58,3.95,273079199,
(주)조비,001550,2021/12,,,,,,3.57,1.8,,
(주)조흥,002600,2021/12,,,,,30386712,0.95,0.73,,
(주)종근당,185750,2021/12,1046700072,84.99,54.06,3.11,12903868,5.5,2.28,1343559363,
(주)종근당바이오,063160,2021/12,298540308,84.86,54.09,14.16,-5882180,3.25,1.21,142238418,
(주)종근당홀딩스,001630,2021/12,1367635165,62.82,61.42,7.91,40460132,1.92,0.97,925975076,
(주)주연테크,044380,2021/12,59714399,31.91,75.81,40.84,-14668643,2.54,1.14,88248283,
(주)지누스,013890,2021/12,1018636239,113,46.95,13.57,88064245,5.04,3.09,1123843094,
(주)지에스,078930,2021/12,31191287000,119.61,45.53,31.05,1013946000,0.93,0.66,20240085000,
