회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(비교)(IFRS연결)(천원),PBR(최고)(IFRS),PBR(최저)(IFRS),매출액(영업수익)(*)(연결)(천원),배당성향(IFRS연결)
(주)BNK금융지주,138930,2017/12,,,,,1530250471,,,4820335873,
(주)DB하이텍,000990,2017/12,993950720,118.07,45.86,-12.08,183124083,2.58,1.24,679737744,
(주)HJ중공업,097230,2017/12,4206655000,628.81,13.72,-12.83,385461000,0.99,0.54,2452314000,
(주)JB금융지주,175330,2017/12,,,,,1108999000,,,2291918000,
(주)KB금융지주,105560,2017/12,,,,,-4836025000,,,39229265000,
(주)MH에탄올,023150,2017/12,500180086,368.17,21.36,6.3,3336890,0.99,0.7,51977132,
(주)SH에너지화학,002360,2017/12,125312154,16.36,85.94,-13.87,14208400,2.03,1.48,188114822,
(주)SIMPAC,009160,2017/12,381158251,58.27,63.18,-13.64,-9543549,0.68,0.52,230634812,
(주)SNT에너지,100840,2017/12,,,,,,0.64,0.41,,
(주)SNT홀딩스,036530,2017/12,2146174938,41.26,70.79,-1.92,104208804,0.69,0.54,1508152132,
(주)STX,011810,2017/12,627542000,1374.49,6.78,4.87,100295000,89.15,6.26,1803878000,
(주)TCC스틸,002710,2017/12,278692540,176.16,36.21,-11.94,-1168958,0.71,0.47,391370092,
(주)강원랜드,035250,2017/12,4185657487,19.55,83.65,-5.43,463050000,2.56,2.1,1604470055,
(주)갤럭시아에스엠,011420,2017/12,49831109,23.06,81.26,-29.16,-7389242,2.63,1.43,37281280,
(주)경농,002100,2017/12,335873898,74.8,57.21,1.25,15815332,0.85,0.68,206534382,
(주)경동나비엔,009450,2017/12,503697210,96.37,50.92,17.39,20111583,3.32,1.83,684660958,
(주)경동도시가스,267290,2017/12,710280194,,,,19373908,,,871548284,
(주)경동인베스트,012320,2017/12,599276331,49.67,66.81,-83.5,60158090,0.73,0.34,195069859,
(주)경방,000050,2017/12,1274042237,82.23,54.88,-4.41,57720565,0.66,0.51,360788750,
(주)경보제약,214390,2017/12,,,,,,2.66,1.94,,
(주)경인양행,012610,2017/12,357951470,69.7,58.93,9.14,5323456,1.49,0.8,299987729,
(주)광명전기,017040,2017/12,152717140,58.01,63.29,4.76,6647411,1.86,1.21,101561159,
(주)광주신세계,037710,2017/12,,,,,,0.75,0.61,,
(주)국동,005320,2017/12,106307080,149.37,40.1,-2.92,-6827943,3.78,0.97,191602989,
(주)국보,001140,2017/12,73270170,310.51,24.36,-10.39,-3103505,3.6,1.14,78255522,
(주)금양,001570,2017/12,196084032,240.45,29.37,6.93,-22124138,4.17,2.87,180373683,
(주)금호에이치티,214330,2017/12,150164495,65.46,60.44,-13.84,14172411,0.83,0.47,179707629,
(주)까뮤이앤씨,013700,2017/12,,,,,,1.32,0.76,,
(주)나이스홀딩스,034310,2017/12,1742367144,98.46,50.39,7.7,128929274,2.32,1.63,1450068987,
(주)남선알미늄,008350,2017/12,,,,,30268216,1.05,0.72,,
(주)남성,004270,2017/12,203435953,132.78,42.96,9.87,6739380,1.17,0.75,91991880,
(주)넥센,005720,2017/12,1085451848,18.36,84.49,-2.3,-14073633,1.13,0.76,314030027,
(주)노루페인트,090350,2017/12,591817509,97.91,50.53,15.13,33336696,0.73,0.59,551409798,
(주)노루홀딩스,000320,2017/12,988648437,71.19,58.42,11.76,30675975,0.88,0.64,771302006,
(주)녹십자,006280,2017/12,1703581525,53.65,65.08,7.51,57879006,3.02,1.69,1287916286,
(주)녹십자홀딩스,005250,2017/12,2560695918,77.87,56.22,8.2,144482444,3.79,1.83,1465489007,
(주)농심,004370,2017/12,2449898373,33.07,75.15,-0.39,103437685,1.28,0.98,2208260640,
(주)농심홀딩스,072710,2017/12,1145342998,32.67,75.37,-0.24,58773493,1.17,0.86,496615431,
(주)다우기술,023590,2017/12,13126401794,586.89,14.56,17.15,-851365169,2.21,1.55,1351213661,
(주)다이나믹디자인,145210,2017/12,242445440,255.16,28.16,-19.06,-26157,6.72,1.77,165349941,
(주)대교,019680,2017/12,857097479,26.61,78.98,-1.04,92946143,1.43,1.3,812203104,
(주)대구백화점,006370,2017/03,684071097,85.8,53.82,-13.27,-22343621,0.43,0.38,137288048,
(주)대덕,008060,2017/12,,,,,68947879,1.22,0.77,,
(주)대동,000490,2017/12,730626224,233.77,29.96,4.22,10643045,1.55,0.9,610103128,
(주)대양금속,009190,2017/12,,,,,,4.94,3.03,,
(주)대우건설,047040,2017/12,8776332436,285.25,25.96,5.95,337412561,1.6,0.98,11766840488,
(주)대웅,003090,2017/12,1549153182,64.93,60.63,10.74,147774279,2.45,0.44,1123956914,
(주)대웅제약,069620,2017/12,1213524544,92.15,52.04,8.64,103938173,4.44,1.66,960307423,
(주)대유에이텍,002880,2017/12,882599885,338.92,22.78,4.68,67122524,1.75,0.97,1067821414,
(주)대유플러스,000300,2017/12,945974763,680.17,12.82,5.44,-6941667,1.25,0.67,457742056,
(주)대창,012800,2017/12,563388104,189.68,34.52,20.25,10763002,0.82,0.56,983291022,
(주)대한항공,003490,2017/12,24648674122,557.1,15.22,3.07,2806750798,1.09,0.7,12092211498,
(주)대현,016090,2017/12,,,,,,1.19,0.68,,
(주)대호에이엘,069460,2017/12,,,,,,1.79,1.11,,
(주)더메디팜,118000,2017/12,36741415,96.38,50.92,228.33,-12687554,16.37,1.98,36880327,
(주)더블유게임즈,192080,2017/12,997179792,146.45,40.58,105.19,82407202,0,0,319345253,
(주)더존비즈온,012510,2017/12,273410788,47.38,67.85,16.31,50080137,6.85,3.83,205605875,
(주)덕성,004830,2017/12,105442576,61.37,61.97,-2.99,4781950,1.77,0.88,100706194,
(주)덴티움,145720,2017/12,310870929,91.35,52.26,25.5,21659105,5.06,2.16,150645644,
(주)도화엔지니어링,002150,2017/12,328594781,39.37,71.75,0,11516088,0.91,0.65,398950053,
(주)동남합성,023450,2017/12,,,,,,2.26,1.51,,
(주)동방,004140,2017/12,542475618,328.28,23.35,-11.99,19319207,0.75,0.44,506138372,
(주)동방아그로,007590,2017/12,179887095,38.64,72.13,3.8,9310391,0.81,0.73,120248595,
(주)동서,026960,2017/12,1387720936,11.49,89.7,8.81,111445725,2.92,2.14,559080361,
(주)동성케미컬,102260,2017/12,854657421,104.56,48.89,-3,47209495,1.24,0.98,827336387,
(주)동아지질,028100,2017/12,257634756,64.9,60.64,5.12,38056321,1.2,0.7,339724245,
(주)동양,001520,2017/12,980377628,15.12,86.87,9.82,-7793063,0.88,0.49,483087800,
(주)동양고속,084670,2017/12,211678292,71.76,58.22,-8.78,15298821,1,0.71,141870839,
(주)동원에프앤비,049770,2017/12,1369136235,130.79,43.33,13.89,49656141,2.09,1.34,2552621332,
(주)두산,000150,2017/12,28769021898,278.37,26.43,7.16,677021774,1.87,1.16,17585204592,
(주)두올,016740,2017/12,326289225,111.54,47.27,16.6,61328664,0.86,0.59,345047915,
(주)드림텍,192650,2017/12,280505338,156.08,39.05,21.93,23617144,0,0,679428781,
(주)디비아이엔씨,012030,2017/12,193495948,38.73,72.08,-2.58,7959587,1.2,0.82,199529519,
(주)디아이,003160,2017/12,201552129,52.88,65.41,38.68,6161318,2.27,1.19,152165620,
(주)디아이씨,092200,2017/12,829328476,314.49,24.13,13.54,27844240,1.73,1.19,632994705,
(주)디알비동일,004840,2017/12,677426447,54.99,64.52,-0.8,22109975,1.17,0.68,546864454,
(주)디엔오토모티브,007340,2017/12,778625093,51.84,65.86,-8.46,79757790,3.64,2.01,877858995,
(주)디지비금융지주,139130,2017/12,,,,,1612455,,,3641768358,
(주)락앤락,115390,2017/12,724665258,13.42,88.16,-1.8,35103679,2.97,1.19,417407199,
(주)마니커,027740,2017/12,251698380,160.21,38.43,10.79,12257782,1.23,0.77,254619690,
(주)메리츠금융지주,138040,2017/12,,,,,-1386475598,,,13502146971,
(주)메타랩스,090370,2017/12,49442520,62.95,61.37,-70.86,-8468021,8.34,1.18,26832432,
(주)모나리자,012690,2017/12,,,,,,5.36,2.38,,
(주)모나미,005360,2017/12,167851330,122.65,44.91,-1.79,11709801,1.75,0.98,137658031,
(주)모토닉,009680,2017/12,431546721,9.06,91.7,8.31,18931726,1.06,0.74,211531507,
(주)무학,033920,2017/12,670089159,25.07,79.96,-7.28,19555365,1.45,0.94,250503049,
(주)미래아이앤지,007120,2017/12,68822164,4.75,95.47,-21.58,-1281417,1.56,0.45,7707135,
(주)바이오노트,377740,2017/12,,,,,,,,,
(주)백산,035150,2017/12,191846950,53.43,65.18,5.27,21185625,2.02,1.29,211371854,
(주)벽산,007210,2017/12,451649551,54.76,64.62,-6.55,16904910,1.45,0.87,414696624,
(주)보락,002760,2017/12,,,,,,1.94,0.26,,
(주)보령,003850,2017/12,402516283,61.23,62.02,0,-24613565,2.43,1.5,422721052,
(주)비비안,002070,2017/12,149155487,32.25,75.61,3.7,-3914996,0.61,0.48,215172721,
(주)비상교육,100220,2017/12,256314376,22.58,81.58,1.23,14596733,1.42,0.81,145635804,
(주)비와이씨,001460,2017/12,745823200,86.76,53.54,-7.57,23542700,0.86,0.64,195815808,
(주)비지에프,027410,2017/12,858118605,18.32,84.51,-97.55,384116107,11.24,1.1,123842619,
(주)비지에프리테일,282330,2017/12,1277349524,,,,-24964282,,,938735225,
(주)빙그레,005180,2017/12,635622607,20.19,83.2,5.45,41884337,1.43,1.12,857454493,
(주)사조대림,003960,2017/12,680094196,125.37,44.37,3.55,51835777,1.04,0.54,987439474,
(주)사조오양,006090,2017/12,,,,,,1.06,0.75,,
(주)삼성출판사,068290,2017/12,184611016,58.29,63.17,8.13,5865769,1.88,1.27,176579639,
(주)삼양사,145990,2017/12,2128238456,72.11,58.1,2.01,-50107754,1.12,0.92,2041175039,
(주)삼양패키징,272550,2017/12,,,,,,1.64,1.22,,
(주)삼양홀딩스,000070,2017/12,3261056035,68.97,59.18,3.67,-21879836,0.92,0.55,2396290235,
(주)삼영,003720,2017/12,112737912,106.8,48.36,-11.69,-5658817,1.15,0.64,100355120,
(주)삼원강재,023000,2017/12,,,,,,0.81,0.68,,
(주)삼익악기,002450,2017/12,599793052,190.29,34.45,25.77,5225639,1.51,0.82,262407793,
(주)삼일씨엔에스,004440,2017/12,,,,,,0.94,0.54,,
(주)삼천리,004690,2017/12,3704259229,173.21,36.6,7.57,100148311,0.42,0.32,3295097686,
(주)상상인증권,001290,2017/12,,,,,-113302451,,,44814567,
(주)서연,007860,2017/12,2767655964,176.77,36.13,-8.63,190978339,0.86,0.48,2913241966,
(주)서연이화,200880,2017/12,1764809873,162.36,38.11,-16.46,140868729,1.12,0.59,2007468863,
(주)서원,021050,2017/12,212303072,127.84,43.89,3.8,6328192,1.36,0.63,257175364,
(주)서흥,008490,2017/12,595288907,97.88,50.54,2.83,45688939,2.13,1.65,350007727,
(주)선앤엘,002820,2017/12,617344859,128.56,43.75,12.81,4431180,0.55,0.35,621841805,
(주)선진,136490,2017/12,686844124,105.14,48.75,26.55,64587454,1.86,0.68,816707304,
(주)성안,011300,2017/12,293390451,172.23,36.73,3.78,-12883177,0.58,0.37,203110711,
