회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(비교)(IFRS연결)(천원),PBR(최고)(IFRS),PBR(최저)(IFRS),매출액(영업수익)(*)(연결)(천원),배당성향(IFRS연결)
(주)BNK금융지주,138930,2011/12,,,,,34901431,,,3057369527,
(주)DB하이텍,000990,2011/12,1199043869,289.22,25.69,-10.94,60749180,3.66,1.21,552216245,
(주)HJ중공업,097230,2011/12,7036680000,276.93,26.53,-8.72,-400779000,1.13,0.38,2891499000,
(주)KB금융지주,105560,2011/12,,,,,-4007190000,,,21682697000,
(주)MH에탄올,023150,2011/12,134206851,214.54,31.79,-18.64,178820,0.5,0.22,44785159,
(주)SH에너지화학,002360,2011/12,104710740,60.5,62.31,14.99,5825197,0.73,0.42,173209351,
(주)SIMPAC,009160,2011/12,310879328,84.02,54.34,18.47,18427061,1.54,0.78,215365697,
(주)SNT에너지,100840,2011/12,,,,,,0.99,0.54,,
(주)SNT홀딩스,036530,2011/12,2124828265,62.08,61.7,10.91,86981830,0.64,0.39,1663846065,
(주)STX,011810,2011/12,5234175000,173.19,36.6,47.5,55801000,1.94,0.59,5967701000,
(주)TCC스틸,002710,2011/12,454329510,101.53,49.62,11.61,-10245999,0.69,0.34,514424043,
(주)강원랜드,035250,2011/12,2711401782,20.11,83.25,-3.66,417827759,3.25,2.37,1265686425,
(주)갤럭시아에스엠,011420,2011/12,45110356,78.49,56.03,0,5951394,5.08,2.12,47331427,
(주)경농,002100,2011/12,173774102,21.53,82.28,0,14162963,0.66,0.41,121253605,
(주)경동나비엔,009450,2011/12,263211016,56.57,63.87,11.09,15493744,3.2,0.41,341246917,
(주)경동인베스트,012320,2011/12,1001490869,145.55,40.73,35.8,89915805,0.5,0.36,1847666903,
(주)경방,000050,2011/12,1352324332,114.76,46.56,2.59,-14647398,0.45,0.26,348136369,
(주)경보제약,214390,2011/12,,,,,,,,,
(주)경인양행,012610,2011/12,319596954,81.29,55.16,-12.89,9839673,1.06,0.45,233095049,
(주)광명전기,017040,2011/12,123886511,96.84,50.8,-10.75,1765403,3.07,1.14,92382628,
(주)광주신세계,037710,2011/12,,,,,,1.04,0.78,,
(주)국동,005320,2011/12,68162305,1069.25,8.55,1.4,-971093,3.26,0.25,154293577,
(주)국보,001140,2011/12,98869465,186.86,34.86,10.01,3249944,0.68,0.39,130636214,
(주)금양,001570,2011/12,130817841,189.58,34.53,6.9,-688415,1.2,0.54,109810009,
(주)금호에이치티,214330,2011/12,,,,,,,,,
(주)까뮤이앤씨,013700,2011/12,,,,,,0.63,0.19,,
(주)나이스홀딩스,034310,2011/12,427573951,32.66,75.38,91.76,36347987,0.96,0.64,194810015,
(주)남선알미늄,008350,2011/12,259574975,249.67,28.6,11.64,,3.49,1.17,302410988,
(주)남성,004270,2011/12,222934371,157.95,38.77,-14.28,3187221,0.4,0.27,66156225,
(주)넥센,005720,2011/12,521959112,63.37,61.21,12.82,18292643,1.07,0.67,281033576,
(주)노루페인트,090350,2011/12,490240264,118.78,45.71,19.61,21633282,0.39,0.24,387059408,
(주)노루홀딩스,000320,2011/12,787102842,116.98,46.09,16.97,33689705,0.67,0.4,547974061,
(주)녹십자,006280,2011/12,860353832,36.5,73.26,0,54855489,3.22,1.95,767911771,
(주)녹십자홀딩스,005250,2011/12,4603216704,413.89,19.46,-2.95,116177695,15.07,1.15,817952804,
(주)농심,004370,2011/12,2270287656,49.44,66.92,4.23,120722289,1.18,0.85,2170883423,
(주)농심홀딩스,072710,2011/12,989299514,41.39,70.72,7.46,13388611,0.6,0.44,323877236,
(주)다우기술,023590,2011/12,4235093248,292.92,25.45,2.61,-66284579,1.38,0.81,760690314,
(주)다이나믹디자인,145210,2011/12,219940408,140.98,41.5,28.55,30667003,0,0,175306840,
(주)대교,019680,2011/12,858490568,33.35,74.99,3.16,40387553,1.33,0.89,932828729,
(주)대구백화점,006370,2011/03,,,,,,0.4,0.27,191337111,
(주)대덕,008060,2011/12,523378242,33.69,74.8,23.65,87807303,1.64,0.79,656457276,
(주)대동,000490,2011/12,568320324,141.92,41.34,19.14,18794798,0.75,0.38,619097327,
(주)대양금속,009190,2011/12,213532161,600.95,14.27,-32.13,8131017,2.56,1.2,146313431,
(주)대우건설,047040,2011/12,9468578921,177.49,36.04,4.56,-106374237,1.98,1,7019591544,
(주)대웅,003090,2011/12,476954187,41.91,70.47,0,10404680,0.79,0.56,294259306,
