,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,배당률,ESG,E,S,G,평가연도,업종명,현금흐름(CF),PBR
AJ네트웍스,2575139461000.0,423.61,19.1,-26.16,10.0,B이하,C,B이하,B이하,2018,서비스업,-0.07905701375285538,1.1099999999999999
BNK금융지주,6080732702000.0,26.58,79.0,-45.03,6.0,B+,B+ 이하,B+,B이하,2018,기타금융,0.07011003568338356,0.645
CS홀딩스,304418193000.0,10.8,90.26,1.32,9.94,B이하,B,B이하,B이하,2018,기타금융,0.08311781126578548,0.585
DB금융투자,5428689113000.0,755.81,11.68,-10.06,4.88,B이하,B+ 이하,B이하,B이하,2018,증권,0.19893149820503953,0.31
DB손해보험,39775494411000.0,709.9,12.35,-0.53,357.62,B+,B+ 이하,A,A,2018,보험,0.014118848567149563,0.99
DB하이텍,1066533840000.0,91.0,52.36,-1.54,4.88,B+,B,B+,B+,2018,전기전자,0.2694593694909384,1.36
JB금융지주,2346094000000.0,23.27,81.12,9.72,3.55,B+,B+ 이하,A,B이하,2018,기타금융,0.17643998662272364,0.515
KISCO홀딩스,1545159970000.0,20.81,82.78,7.66,23.18,B이하,B+,B이하,B이하,2018,기타금융,0.058898242507832835,0.29000000000000004
LG이노텍,5756067241000.0,171.74,36.8,4.46,6.0,A,B+,A+,A,2018,전기전자,0.1330906562371731,1.865
MH에탄올,440177523000.0,380.62,20.81,40.05,51.08,B이하,C,B이하,B이하,2018,음식료품,-0.154811943090777,0.645
OCI,5659590446000.0,62.05,61.71,-14.3,15.93,A,B+,A+,A,2018,화학,0.21737848980713192,0.9650000000000001
SH에너지화학,122434685000.0,16.17,86.08,-2.4,4.57,B이하,B+,B이하,B이하,2018,화학,0.028337674121404498,1.48
SIMPAC,681750819000.0,56.71,63.81,32.74,11.1,B이하,B,B이하,B이하,2018,기계,0.12203215180790197,0.26
SK이노베이션,36085384070000.0,86.7,53.56,17.83,120.5,A,A,A+,B+,2018,기타금융,0.03170122704203711,1.635
STX,554061000000.0,765.34,11.56,-16.68,0.0,B이하,B,B이하,B이하,2018,유통업,-0.032012295531891534,7.654999999999999
STX엔진,864147954000.0,290.63,25.6,22.8,0.0,B이하,B,B이하,B+,2018,기계,-0.10250600454133524,1.3499999999999999
가온전선,526494275000.0,102.18,49.46,0.44,11.33,B+,B,B+,B+,2018,전기전자,0.032878131246332334,0.415
강남제비스코,657866050000.0,19.71,83.53,2.33,55.0,B이하,B,B이하,B이하,2018,화학,0.0334711365801615,0.58
강원랜드,4231241354000.0,17.97,84.77,-10.37,170.58,B+,B+,B+,A,2018,서비스업,0.25306236832727436,1.87
갤럭시아에스엠,33253331000.0,25.62,79.61,-40.83,0.0,B이하,C,B이하,B이하,2018,서비스업,-0.12737155011558488,2.515
경농,357260541000.0,77.34,56.39,2.96,41.18,B이하,C,B이하,B이하,2018,화학,0.049880172599309235,1.325
경동나비엔,583595818000.0,108.35,48.0,6.15,24.77,B+,B,A,B+,2018,전기전자,-0.019898395387747268,3.0149999999999997
경동인베스트,592002536000.0,48.79,67.21,17.21,9.61,B이하,C,B이하,B이하,2018,기타금융,0.054730717291109864,0.425
경방,1301792841000.0,83.67,54.45,-2.59,24.6,B이하,C,B이하,B이하,2018,섬유의복,0.03441251126518637,0.52
경보제약,221622993000.0,48.73,67.24,5.05,40.0,B이하,B,B이하,B이하,2018,의약품,-0.005652819471844538,2.24
경인양행,412996589000.0,84.57,54.18,10.37,9.94,B이하,C,B이하,B이하,2018,화학,0.005658111209720197,1.28
경인전자,57418578000.0,5.08,95.17,-16.13,4.26,B이하,C,B이하,B이하,2018,전기전자,-0.009846444119416623,1.015
계양전기,273358875000.0,49.65,66.82,7.4,12.04,B이하,B,B이하,B이하,2018,기계,-0.008142041988628643,0.85
고려산업,213622767000.0,131.22,43.25,-9.22,2.97,B이하,B,B이하,B이하,2018,음식료품,-0.03610825965872723,0.9
고려아연,7225894144000.0,13.36,88.22,4.35,206.06,B이하,C,B+,B+,2018,철강금속,0.12905557968618048,1.4849999999999999
고려제강,2387466225000.0,63.85,61.03,1.73,34.99,B이하,C,B+,B+,2018,철강금속,0.07864888192489619,0.525
광동제약,732056804000.0,69.91,58.85,3.39,6.13,B이하,B,B+,B이하,2018,의약품,0.04498862448051812,1.105
광명전기,151823119000.0,53.75,65.04,12.36,0.0,B이하,D,B이하,B이하,2018,전기전자,-0.033440286828958145,1.9500000000000002
광전자,262117704000.0,16.81,85.61,-0.26,9.04,B이하,B,B이하,B이하,2018,전기전자,0.07095613627551718,0.715
광주신세계,696204982000.0,12.17,89.15,-35.5,60.0,B이하,B+,B이하,B이하,2018,유통업,0.3983967205844641,0.535
교보증권,7139227171000.0,711.84,12.32,15.42,6.79,B이하,B+ 이하,B이하,B이하,2018,증권,0.1109642516856359,0.435
국도화학,854418441000.0,71.0,58.48,19.02,28.74,B이하,C,B이하,B+,2018,화학,-0.009486315914183434,0.77
국동,123134702000.0,154.02,39.37,14.59,0.0,B이하,B,B이하,B이하,2018,유통업,-0.017967050921335687,1.23
국보,48188113000.0,259.29,27.83,-8.57,0.0,B이하,C,B이하,B이하,2018,운수창고업,-0.08494998758068294,6.92
국제약품,126234896000.0,83.75,54.42,-12.67,4.75,B이하,B,B이하,B이하,2018,의약품,0.12303647760565142,1.6400000000000001
그린케미칼,189074022000.0,76.31,56.72,0.18,21.56,B이하,B,B이하,B+,2018,화학,0.05878586988723394,0.9099999999999999
극동유화,280142460000.0,75.17,57.09,69.54,30.9,B이하,B,B이하,B이하,2018,화학,0.014946318181370136,0.87
금강공업,852848677000.0,140.76,41.54,-7.39,9.02,B이하,C,B이하,B이하,2018,철강금속,0.03859682341655968,0.5549999999999999
금양,204777156000.0,157.72,38.8,13.9,14.14,B이하,C,B이하,B이하,2018,화학,0.08453245116763845,2.37
금호에이치티,238380056000.0,90.93,52.38,16.44,0.0,B이하,C,B이하,B이하,2018,운수장비,0.0070231002478323545,0.54
금호전기,170295317000.0,390.87,20.37,-77.18,0.0,B이하,C,B이하,B이하,2018,전기전자,-0.028181541524798497,1.42
금호타이어,4221394926000.0,214.62,31.78,-11.05,0.0,B+,B+,B+,B+,2018,화학,0.03644265047162549,1.075
까뮤이앤씨,142240175000.0,138.81,41.87,-32.46,2.94,B이하,B,B이하,B이하,2018,건설업,-0.058536377277633056,0.675
깨끗한나라,599409867000.0,243.17,29.14,-5.09,0.0,B이하,B,B이하,B+,2018,종이목재,-0.03585762453341793,1.285
남광토건,148906647000.0,203.19,32.98,35.95,0.0,B이하,B,B이하,B이하,2018,건설업,0.0318129016757981,4.6049999999999995
남선알미늄,303023071000.0,79.6,55.68,0.0,0.0,B이하,C,B이하,B이하,2018,철강금속,0.06960051029493959,1.425
남성,205083689000.0,147.78,40.36,-9.5,1.74,B이하,C,B이하,B이하,2018,유통업,0.011767407819721878,0.755
남양유업,1052659644000.0,18.43,84.44,-7.47,19.28,B이하,C,B이하,B이하,2018,음식료품,0.039414679162379465,0.6599999999999999
남해화학,547908234000.0,29.01,77.51,10.72,4.83,B이하,C,B이하,B+,2018,화학,0.006428794166483966,1.88
넥센,3825103267000.0,103.16,49.22,333.09,14.79,B이하,B,B이하,B+,2018,기타금융,0.09970823121276763,0.66
넥센타이어,3242285269000.0,127.02,44.05,0.98,19.04,B이하,B,B이하,B+,2018,화학,0.07912581832469745,0.7749999999999999
노루페인트,607444943000.0,97.35,50.67,11.48,50.02,B이하,B,B이하,B이하,2018,화학,0.022747731796899203,0.74
노루홀딩스,987142342000.0,75.81,56.88,8.39,55.18,B이하,B,B이하,B이하,2018,기타금융,0.008889504401457601,0.64
녹십자,1723409866000.0,53.03,65.35,3.65,19.53,B+,B,B+,B+,2018,의약품,0.010795157348521659,2.31
녹십자홀딩스,2628599972000.0,80.89,55.28,5.68,42.71,B이하,C,B+,B이하,2018,서비스업,0.02430650183076478,2.81
농심,2532286535000.0,33.44,74.94,1.28,76.05,B이하,C,B+,B+,2018,음식료품,0.06567265143307474,0.9349999999999999
농심홀딩스,1194827993000.0,33.37,74.98,9.39,40.0,B이하,C,B이하,B이하,2018,기타금융,0.028654910558596917,0.785
다스코,212416938000.0,67.65,59.65,7.89,38.17,B이하,B+,B이하,B이하,2018,기계,0.10505738697127971,1.255
다우기술,19345653730000.0,692.67,12.62,63.56,0.0,B이하,C,B+,B이하,2018,서비스업,-0.6521961771706362,2.02
대교,830328382000.0,34.61,74.29,-6.04,18.77,B이하,B+,B이하,B이하,2018,서비스업,0.08410085516795861,1.31
대구백화점,700202374000.0,125.96,44.26,26.65,2.14,B이하,B+,B이하,B이하,2018,유통업,-0.24721371725205096,0.355
대림통상,199273221000.0,86.71,53.56,2.03,13.9,B이하,B,B이하,B이하,2018,기계,-0.057550890110101095,0.6
대상,2198994807000.0,136.78,42.23,-0.41,55.04,B이하,B,B+,B이하,2018,음식료품,0.041113360647059956,1.04
대상홀딩스,2629588765000.0,140.19,41.63,0.42,19.02,B이하,B,B이하,B이하,2018,기타금융,0.041988311823603186,0.8400000000000001
대성산업,1092773443000.0,142.1,41.3,5.01,0.0,B이하,C,B이하,B이하,2018,유통업,-0.053812872172403624,0.5700000000000001
대성에너지,653850642000.0,116.51,46.19,0.0,25.0,B이하,C,B이하,B이하,2018,전기가스업,0.06508796688154263,0.5349999999999999
대성홀딩스,1117337450000.0,109.78,47.67,0.74,25.0,B이하,B+,B이하,B이하,2018,서비스업,0.0619663166675287,0.515
대신증권,14016294148000.0,680.79,12.81,-31.61,10.47,B이하,B+ 이하,B+,B이하,2018,증권,-0.6249794131453111,0.7150000000000001
대양금속,92308411000.0,191.42,34.31,-4.53,0.0,B이하,B,B이하,B+,2018,철강금속,0.05429811331880381,5.115
대영포장,218730444000.0,55.85,64.16,-3.85,0.0,B이하,C,B이하,B이하,2018,종이목재,0.054302955457412073,0.795
대우건설,8733846010000.0,276.83,26.54,-9.87,0.0,A,B+,A+,A,2018,건설업,0.01661322448299436,1.13
대우조선해양,11918521521000.0,210.36,32.22,-13.13,0.0,B이하,B+,B이하,B+,2018,운수장비,0.07518790521614663,0.7550000000000001
대웅,1592170452000.0,65.11,60.57,9.55,14.85,B이하,C,B이하,B이하,2018,기타금융,0.0368563049482972,3.5
대웅제약,1207846352000.0,98.72,50.32,7.41,21.38,B이하,C,B+,B이하,2018,의약품,0.0460522590369824,4.52
대원강업,1085767330000.0,90.25,52.56,-3.19,23.0,B+,B,B+,B+,2018,운수장비,0.12044606037113097,0.69
대원전선,191535435000.0,135.33,42.49,-14.96,0.0,B이하,C,B이하,B이하,2018,전기전자,-0.025450360902988394,1.955
대원제약,275438692000.0,50.35,66.51,7.98,51.19,B이하,B+,B+,B이하,2018,의약품,0.13965389265332478,2.35
대원화성,124822514000.0,70.38,58.69,-3.17,0.0,B이하,C,B이하,B+,2018,화학,0.0599258750957082,1.205
대유에이텍,889580574000.0,422.25,19.15,3.23,0.0,B이하,C,B이하,B이하,2018,운수장비,0.02476382043771645,1.3699999999999999
대유플러스,1000928259000.0,625.47,13.78,9.98,0.0,B이하,C,B이하,B이하,2018,전기전자,0.11670843552104222,1.035
대창,569961204000.0,164.19,37.85,-3.26,5.06,B이하,B,B이하,B+,2018,철강금속,0.030234954691087206,0.625
대창단조,229017785000.0,26.29,79.19,24.4,19.93,B이하,B,B이하,B+,2018,운수장비,-0.010294695728003504,0.66
대한방직,267468485000.0,51.28,66.1,0.21,29.03,B이하,C,B이하,B이하,2018,섬유의복,-0.08945055886046151,1.345
대한유화,1983913415000.0,16.63,85.74,43.53,60.25,B이하,C,B이하,B이하,2018,화학,0.13738906523178504,0.99
대한전선,1172944859000.0,264.36,27.45,3.86,0.0,B이하,B,B이하,B+,2018,전기전자,0.008705973626049187,4.02
대한제강,657105860000.0,51.09,66.19,-7.57,13.68,B이하,B,B이하,B+,2018,철강금속,-0.01465515885936209,0.53
대한제당,1135447475000.0,151.22,39.81,-5.06,20.75,B이하,B,B이하,B이하,2018,음식료품,0.010424024695672841,0.49
대한제분,919690199000.0,22.79,81.44,6.63,48.68,B이하,C,B이하,B이하,2018,음식료품,0.014613469795496395,0.485
대한항공,25574772722000.0,783.45,11.32,7.6,5.01,B이하,B,B이하,B+,2018,운수창고업,0.2146256226575395,1.2
대한해운,2932927976000.0,276.27,26.58,-17.69,0.0,B이하,C,B이하,B이하,2018,운수창고업,0.20122798214295234,1.0899999999999999
