,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,배당률,ESG,E,S,G,평가연도,업종명,현금흐름(CF),PBR
AJ네트웍스,2354233735000.0,426.47,18.99,14.13,8.6,B이하,B,B이하,B이하,2017,서비스업,-0.10375506818041068,3.125
BNK금융지주,5868328826000.0,26.96,78.77,42.36,4.6,B+,B,A,B+,2017,기타금융,0.3174572293958488,0.72
CS홀딩스,302433875000.0,12.25,89.09,-1.77,9.94,B이하,B,B이하,B이하,2017,기타금융,0.13946115925997313,0.63
JB금융지주,1964715000000.0,31.92,75.8,49.22,1.97,B이하,A,B이하,B이하,2017,기타금융,0.4838737686077774,0.6599999999999999
KISCO홀딩스,1488800280000.0,18.27,84.55,15.42,20.7,B이하,B,B이하,B이하,2017,기타금융,0.12334069627226156,0.48000000000000004
LG이노텍,5877488987000.0,201.29,33.19,32.79,5.0,A,B+,A+,A,2017,전기전자,0.05836395228300839,2.125
MH에탄올,500180086000.0,368.17,21.36,6.3,52.54,B이하,C,B이하,B이하,2017,음식료품,0.0641991943687851,0.845
OCI,6077824637000.0,77.94,56.2,32.57,36.55,A,B+,A+,A,2017,화학,0.13224825471215837,0.78
SH에너지화학,125312154000.0,16.36,85.94,-13.87,8.56,B이하,B,B이하,B이하,2017,화학,0.07553046511135629,1.755
SIMPAC,381158251000.0,58.27,63.18,-13.64,13.68,B이하,C,B이하,B이하,2017,기계,-0.04137948177571736,0.6000000000000001
SK이노베이션,34243603274000.0,77.34,56.39,17.06,127.3,B+,A,A,B이하,2017,기타금융,0.047127551962066444,1.475
STX,627542000000.0,1374.49,6.78,4.87,0.0,B이하,B,B+,B이하,2017,유통업,0.055599658070002514,47.705000000000005
STX엔진,817766542000.0,717.59,12.23,-11.27,0.0,B이하,B,B이하,B+,2017,기계,0.1413254870111587,3.7849999999999997
가온전선,538955918000.0,107.2,48.26,11.68,11.33,B이하,B,B이하,B+,2017,전기전자,-0.01815178174957137,0.4
강남제비스코,584684282000.0,20.57,82.94,3.35,55.0,B이하,B,B이하,B이하,2017,화학,0.08462525886412153,0.75
강원랜드,4185657487000.0,19.55,83.65,-5.43,187.63,B+,B,A,A,2017,서비스업,0.2885999639301464,2.33
갤럭시아에스엠,49831109000.0,23.06,81.26,-29.16,0.0,B이하,C,B이하,B이하,2017,서비스업,-0.19820247588065645,2.03
경농,335873898000.0,74.8,57.21,1.25,48.59,B이하,C,B이하,B이하,2017,화학,0.0765748145507318,0.765
경동나비엔,503697210000.0,96.37,50.92,17.39,19.82,B이하,D,B+,B+,2017,전기전자,0.029374514151864345,2.575
경동인베스트,599276331000.0,49.67,66.81,-83.5,9.61,B이하,C,B이하,B이하,2017,기타금융,0.30839254361689983,0.535
경방,1274042237000.0,82.23,54.88,-4.41,36.0,B이하,B,B이하,B이하,2017,섬유의복,0.15998438144204885,0.585
경보제약,204869399000.0,44.77,69.07,2.64,50.0,B이하,B,B이하,B이하,2017,의약품,0.13463926226470652,2.3
