,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,배당률,ESG,E,S,G,평가연도,업종명,현금흐름(CF),PBR
CS홀딩스,191295610000.0,12.74,88.7,-5.22,0.0,C,C,B이하,C,2012,서비스업,0.026898447747724964,0.31
KISCO홀딩스,789682784000.0,10.74,90.3,-8.05,14.9,B이하,B,B이하,B이하,2012,서비스업,0.007433268947702894,0.275
LG이노텍,4886285404000.0,285.26,25.96,16.76,0.0,A,B+,A,A,2012,전기전자,0.07158874560572416,1.62
MH에탄올,134385813000.0,238.69,29.53,33.46,0.0,B이하,B,B이하,B이하,2012,음식료품,-0.08208719774361523,0.51
OCI,7283049629000.0,102.78,49.31,-24.73,7.5,A,B+,A,A,2012,화학,0.004965558193419337,1.665
SH에너지화학,103690070000.0,59.82,62.57,11.97,0.0,B이하,B,B이하,B이하,2012,화학,-0.00441208842468152,1.6400000000000001
SIMPAC,318665505000.0,69.63,58.95,4.64,18.58,B이하,B,B이하,B이하,2012,기계,0.05762780837829321,1.07
SK이노베이션,33831080372000.0,106.94,48.32,7.25,63.66,A,A,B+,A,2012,서비스업,0.015841202866148554,1.28
STX,5067029000000.0,236.31,29.73,3.22,4.83,B+,B,B+,B+,2012,유통업,0.04068865313278732,0.6749999999999999
STX엔진,3213865730000.0,249.13,28.64,-41.93,0.0,B+,B,A,A,2012,기계,0.051790250844376405,0.57
가온전선,517141282000.0,95.38,51.18,-2.59,11.33,B이하,B,B이하,B이하,2012,전기전자,0.03868445910051297,0.31
강원랜드,2906655321000.0,22.54,81.61,2.41,143.09,B+,B+,A,B+,2012,서비스업,0.3445014370383528,2.6
경농,269412832000.0,77.55,56.32,0.0,11.95,B이하,B,B이하,B+,2012,화학,0.0878435683597708,0.47
경동나비엔,299729837000.0,70.42,58.68,11.07,9.91,B이하,C,B이하,B이하,2012,전기전자,0.05950949987873675,0.825
경방,1335039930000.0,115.08,46.49,-4.17,0.0,B이하,B,B이하,B이하,2012,섬유의복,0.053321198158853424,0.345
경인양행,287452678000.0,64.27,60.88,-6.22,9.58,B이하,B,B이하,B+,2012,화학,0.09515731949989811,0.795
경인전자,63740263000.0,11.86,89.4,0.0,6.11,B이하,B,B이하,B이하,2012,전기전자,0.06679449742401804,0.41
계양전기,174553310000.0,20.94,82.69,5.44,10.04,B이하,B,B+,B이하,2012,기계,0.06061711953357577,0.675
고려산업,148320365000.0,138.9,41.86,8.05,2.9,B이하,C,B이하,B이하,2012,음식료품,-0.04424586185148302,0.405
고려아연,4940542141000.0,23.95,80.68,-1.06,93.66,B+,B+,B이하,B+,2012,철강금속,0.09111718518549328,2.03
고려제강,1813977723000.0,44.08,69.41,-0.13,34.99,B이하,C,B이하,B이하,2012,철강금속,0.1074932279440734,0.595
광동제약,389433837000.0,45.71,68.63,5.94,4.67,B이하,B,B이하,B이하,2012,의약품,0.06907211202621029,1.0150000000000001
광명전기,131064345000.0,108.06,48.06,26.88,0.0,B이하,B,B이하,B이하,2012,전기전자,0.029316517636755517,2.835
광전자,282485538000.0,34.96,74.1,-18.29,0.0,B이하,B,B이하,B이하,2012,전기전자,0.13728241382421802,0.75
광주신세계,430662968000.0,19.09,83.97,-2.65,25.0,B이하,B,B+,B이하,2012,유통업,0.2634196780606245,0.92
교보증권,4597488388000.0,692.14,12.62,70.18,1.93,B이하,B,B이하,B이하,2012,증권,-0.2315093215218764,0.395
국도화학,547775296000.0,62.63,61.49,-3.82,20.0,B이하,B,B이하,B+,2012,화학,0.0734701307135009,0.955
국동,65808287000.0,598.4,14.32,-10.45,0.0,B이하,B,B이하,B이하,2012,유통업,0.036608833119666014,2.66
국보,98494841000.0,191.46,34.31,-6.35,0.98,B이하,C,B이하,B이하,2012,운수창고업,-0.027226919338286495,0.8
국제약품,114924400000.0,107.62,48.16,0.0,0.0,B이하,B,B이하,B이하,2012,의약품,0.015227968186718578,0.8599999999999999
극동유화,197891858000.0,91.55,52.21,5.58,14.0,B이하,B,B이하,B이하,2012,화학,0.09524504629075428,0.7
금강공업,499093977000.0,146.89,40.5,28.88,6.32,B이하,B,B이하,B이하,2012,철강금속,0.21194026716808217,0.365
금양,127557393000.0,180.08,35.7,11.93,5.98,B이하,B,B이하,B이하,2012,화학,0.029315254030762912,1.1099999999999999
금호전기,509300064000.0,135.5,42.46,20.46,1.73,B이하,B,B이하,B이하,2012,전기전자,0.02825487803111987,0.735
금호타이어,4781013149000.0,414.02,19.45,3.95,0.0,B이하,C,B이하,B+,2012,화학,0.040184336651413244,1.535
깨끗한나라,423872333000.0,263.03,27.55,7.75,0.0,B이하,C,B이하,B+,2012,종이목재,0.06444460469259096,0.965
남광토건,436886733000.0,830.84,10.74,-41.52,0.0,B이하,B,B이하,B이하,2012,건설업,-0.18521985877281932,2.94
남선알미늄,236720122000.0,285.96,25.91,2.03,0.0,B이하,C,B이하,B이하,2012,철강금속,-0.012496827997230387,1.155
남성,221414593000.0,177.0,36.1,2.82,2.9,B이하,B,B이하,B이하,2012,유통업,-0.0841607700418267,0.365
남양유업,1033300099000.0,18.66,84.28,13.26,19.28,B이하,B,B이하,B이하,2012,음식료품,-0.007433787655818072,0.865
남해화학,563136207000.0,64.98,60.61,-2.73,1.22,B이하,C,B이하,B+,2012,화학,-0.012271557628917707,1.395
넥센,720858644000.0,36.94,73.03,1.46,8.04,B이하,B,B이하,B이하,2012,화학,0.1402969911022059,0.875
넥센타이어,2035745920000.0,200.35,33.29,18.93,11.44,B이하,C,B이하,B+,2012,화학,0.08567098958841879,2.8150000000000004
노루페인트,527545682000.0,136.88,42.22,8.16,40.02,B이하,B,B이하,B+,2012,화학,-0.013274749214874296,0.615
노루홀딩스,835907566000.0,124.74,44.5,6.87,42.92,B이하,B,B이하,B이하,2012,서비스업,0.01194615916032043,0.595
녹십자,954379520000.0,39.28,71.8,5.71,24.95,B이하,B,B이하,B+,2012,의약품,0.061357909707596275,2.315
녹십자홀딩스,1446337218000.0,48.67,67.26,4.72,75.02,B이하,B,B이하,B이하,2012,서비스업,0.002441241577711187,1.42
농심,2151310878000.0,47.42,67.83,0.22,76.05,B이하,B,B이하,B+,2012,음식료품,0.012863534568679025,1.085
농심홀딩스,968293002000.0,39.35,71.76,-2.99,40.0,B이하,B,B이하,B이하,2012,서비스업,0.09239730295971964,0.53
다우기술,4848503131000.0,323.74,23.6,-0.2,25.07,C,C,B이하,C,2012,서비스업,0.08404206112777779,1.425
대교,814113140000.0,30.9,76.39,-6.79,18.08,B이하,B+,B이하,B이하,2012,서비스업,0.0669875618028119,1.19
