,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,배당률,ESG,E,S,G,평가연도,업종명,현금흐름(CF),PBR
AJ네트웍스,1355044450000.0,273.79,26.75,0.95,25.82,B,D,B,B,2021,서비스업,-0.011023207193183839,0.73
BNK금융지주,6825305648000.0,29.96,76.94,-10.1,11.15,A+,A,A+,A+,2021,기타금융,-0.11783188537870438,0.475
CS홀딩스,353716996000.0,13.3,88.26,20.8,9.84,B,D,C,B+,2021,기타금융,0.051022571633498874,0.54
DB금융투자,7260100609000.0,757.46,11.66,-10.84,9.76,B,D,B+,B,2021,증권,-0.13981579323259274,0.33499999999999996
DB손해보험,51188047572000.0,719.19,12.21,5.08,593.65,A,A,A+,B+,2021,보험,0.10901299151301813,0.63
DB하이텍,1549937896000.0,40.13,71.36,29.78,8.79,A,A,A,A,2021,전기전자,0.3236477547655187,2.665
JB금융지주,2800542000000.0,34.39,74.41,-5.56,11.82,A+,A,A+,A+,2021,기타금융,0.10986112674083419,0.7250000000000001
KISCO홀딩스,1688093089000.0,18.82,84.16,48.5,29.99,B,B,B,B,2021,철강금속,0.08427895986867348,0.635
LG이노텍,7741352841000.0,133.58,42.81,56.63,59.99,A,A,A+,A,2021,전기전자,0.07879432358654928,2.495
MH에탄올,451460752000.0,432.99,18.76,7.84,49.56,B,B,D,B+,2021,음식료품,0.25837431567090136,1.82
OCI,5704061113000.0,82.6,54.76,0.0,37.49,A,B+,A+,A,2021,화학,0.11642754628750628,1.275
SH에너지화학,119629058000.0,30.4,76.69,49.39,1.97,B,B,D,B+,2021,화학,-0.01455207337704054,1.4100000000000001
SIMPAC,903229593000.0,65.23,60.52,67.55,34.15,B,B,B,B,2021,기계,0.10398989234775823,0.8500000000000001
SK이노베이션,49557440204000.0,152.42,39.62,0.0,45.01,A+,A,A+,A+,2021,화학,-0.010577496080344653,1.66
SNT모티브,1149796359000.0,34.07,74.59,0.0,19.02,B,C,B,B+,2021,운수장비,0.06333746610243673,1.095
SNT에너지,332143488000.0,35.65,73.72,0.0,70.2,B,B,B,B,2021,기계,0.1745289252829535,0.675
SNT홀딩스,2372324440000.0,33.27,75.04,0.0,69.25,B+,B,B,B+,2021,기타금융,0.06410669371188751,0.7450000000000001
STX,676149000000.0,451.82,18.12,-5.13,0.0,B,D,B,B+,2021,유통업,-0.013536335140987284,4.095
STX엔진,837479879000.0,194.91,33.91,-15.89,0.0,B+,B,B,B+,2021,기계,0.03688021574849752,1.345
STX중공업,430406730000.0,179.56,35.77,-33.92,0.0,B,C,B,B+,2021,기계,0.0822454453262032,1.6099999999999999
TCC스틸,366996615000.0,136.42,42.3,24.28,14.8,B,B,C,B,2021,철강금속,0.014219053287410488,1.3900000000000001
가온전선,658966429000.0,145.78,40.69,0.0,7.94,B+,B,B+,B+,2021,전기전자,-0.0105406325017964,0.555
강남제비스코,904010952000.0,36.57,73.22,73.41,50.0,B,B,B,B+,2021,화학,-0.003026388193250579,0.595
강원랜드,3827273464000.0,17.66,84.99,64.74,0.0,A,B+,A,A,2021,서비스업,0.267460030805668,1.69
갤럭시아에스엠,40900713000.0,23.75,80.81,47.9,0.0,C,D,D,B,2021,서비스업,0.05577815673901529,2.245
경농,388785779000.0,64.18,60.91,8.85,57.65,B,B,B,B,2021,화학,0.04001764905356488,1.435
경동나비엔,933884529000.0,107.34,48.23,26.28,44.64,B+,B+,B+,B+,2021,전기전자,0.07313907038924744,2.495
경동도시가스,904491766000.0,140.93,41.51,0.0,34.97,A,B+,A,A,2021,전기가스업,0.09521089862212591,0.375
경동인베스트,577693061000.0,31.37,76.12,-3.89,13.83,B+,B+,A,B+,2021,기타금융,0.08508966573598037,0.31
경방,1270805118000.0,68.96,59.19,0.0,22.84,C,C,C,B+,2021,유통업,0.054544852685607305,0.485
경보제약,236979153000.0,62.65,61.48,-20.73,10.0,B+,B+,A,B+,2021,의약품,0.10528501333751163,2.265
경인양행,579492465000.0,130.08,43.46,22.48,9.98,C,C,B,B,2021,화학,0.022887120603452608,1.42
경인전자,65884753000.0,10.55,90.46,0.0,4.14,C,D,C,B,2021,전기전자,0.02290006133110513,0.995
계양전기,285053130000.0,55.57,64.28,3.32,0.0,B,B,B+,B,2021,기계,-0.010539751829757325,0.955
고려산업,238594901000.0,123.32,44.78,12.06,3.96,C,C,D,B,2021,음식료품,0.06929729700257654,1.065
고려아연,9964048635000.0,28.83,77.62,31.59,374.65,B,B+,C,B+,2021,철강금속,0.06082965699456741,1.42
고려제강,2474272368000.0,51.04,66.21,21.04,29.99,B+,B+,B,B+,2021,철강금속,0.023332448167233445,0.48000000000000004
