,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,배당률,ESG,E,S,G,평가연도,업종명,현금흐름(CF),PBR
BNK금융지주,5244359795000.0,28.35,77.91,-83.81,3.0,A,A+,A,B이하,2015,기타금융,0.14426304029488107,0.795
CS홀딩스,284933124000.0,15.89,86.29,-1.83,0.0,B이하,B,B이하,B이하,2015,서비스업,0.193132763796239,0.605
JB금융지주,1800041000000.0,24.38,80.4,62.91,1.0,B이하,A+,B이하,B이하,2015,기타금융,-0.3734155292296541,0.5700000000000001
KISCO홀딩스,1407103545000.0,17.06,85.43,-6.21,14.9,B이하,B+,B이하,B이하,2015,서비스업,0.18535837644128558,0.43499999999999994
LG이노텍,3914337673000.0,121.77,45.09,-5.07,7.0,A,A,A,A,2015,전기전자,0.11051629398761503,1.73
MH에탄올,78996052000.0,36.47,73.27,2.86,39.59,B이하,B,B이하,B이하,2015,음식료품,0.26562958117721236,1.5950000000000002
OCI,7298775478000.0,125.12,44.42,-26.7,0.0,B+,B,A,B이하,2015,화학,0.008908437309743448,0.8500000000000001
SH에너지화학,115520726000.0,26.05,79.33,-6.27,8.75,B이하,B,B이하,B이하,2015,화학,0.11379837728244958,2.445
SIMPAC,422833445000.0,82.25,54.87,2.42,22.34,B이하,B,B이하,B이하,2015,기계,0.038054029837148146,0.855
SK이노베이션,31359835736000.0,83.97,54.36,-26.58,95.48,A,B+,A,A,2015,서비스업,0.08449164500153153,0.9099999999999999
가온전선,520474259000.0,98.22,50.45,-12.12,11.33,B이하,B+,B이하,B이하,2015,전기전자,0.04666874782903424,0.38
강원랜드,3690791830000.0,23.12,81.22,9.17,185.74,B+,A,B+,B+,2015,서비스업,0.3519468994100268,2.8949999999999996
경농,316341853000.0,81.11,55.21,4.21,23.06,B이하,C,B이하,B이하,2015,화학,-0.05016934995652909,0.715
경동나비엔,402084368000.0,95.11,51.25,19.36,9.91,B이하,C,B이하,B이하,2015,전기전자,0.08538460318583761,2.305
경방,1318643312000.0,98.9,50.28,8.69,25.0,B이하,B,B이하,B이하,2015,섬유의복,0.11162594568269803,0.8600000000000001
경인양행,326687437000.0,62.43,61.57,-5.06,9.66,B이하,B,B이하,B이하,2015,화학,0.020690017186528367,1.0499999999999998
경인전자,64239944000.0,7.74,92.81,-16.72,6.11,B이하,B,B이하,B이하,2015,전기전자,0.07650617415913581,0.71
계양전기,211584625000.0,31.87,75.83,2.46,11.04,B이하,B,B이하,B이하,2015,기계,0.06541602222529724,0.99
고려산업,159959339000.0,101.61,49.6,0.18,2.9,B이하,B,B이하,B이하,2015,음식료품,0.051508903899119135,0.885
고려아연,5907933007000.0,13.19,88.35,-3.38,159.23,B+,B,B+,B+,2015,철강금속,0.1980239737364581,1.8650000000000002
고려제강,2425786817000.0,66.6,60.02,9.84,34.99,B이하,B,B이하,B+,2015,철강금속,0.13626278609630657,0.94
광동제약,663786481000.0,75.73,56.91,82.94,6.19,B이하,B,B이하,B이하,2015,의약품,0.04305695600725918,2.25
광명전기,131457603000.0,49.67,66.81,-13.7,0.0,B이하,B,B이하,B이하,2015,전기전자,0.15905742788646027,1.51
광전자,240272144000.0,18.24,84.58,-12.47,0.0,B이하,B,B이하,B이하,2015,전기전자,0.07758775104544464,0.675
광주신세계,659495158000.0,34.21,74.51,0.25,25.0,B이하,B+,B이하,B이하,2015,유통업,0.2538477510351875,1.055
교보증권,5532572238000.0,706.97,12.39,41.21,2.89,B+,A,B+,B이하,2015,증권,0.2577507935481211,0.615
국도화학,681283306000.0,58.17,63.22,3.47,30.0,B이하,C,B이하,B+,2015,화학,0.06656195520563134,0.9450000000000001
국동,93758552000.0,200.26,33.3,-8.49,0.0,B이하,B,B이하,B이하,2015,유통업,0.02295071193305532,3.455
국보,83085438000.0,351.32,22.16,-6.05,0.98,B이하,C,B이하,B이하,2015,운수창고업,-0.009135945129886094,1.625
국제약품,136643778000.0,99.6,50.1,-3.91,0.0,B이하,B,B이하,B이하,2015,의약품,-0.04318525927626575,1.335
극동유화,187471506000.0,43.64,69.62,-10.14,20.0,B이하,B,B이하,B이하,2015,화학,0.06688253802764554,0.9450000000000001
금강공업,678340605000.0,151.28,39.8,-20.47,7.22,B이하,C,B이하,B이하,2015,철강금속,0.03318924186894504,1.87
금양,165405931000.0,185.41,35.04,0.28,10.25,B이하,C,B이하,B이하,2015,화학,0.04595634881518803,1.4700000000000002
금호전기,475649784000.0,162.79,38.05,-11.46,0.0,B이하,C,B이하,B이하,2015,전기전자,-0.0417814192197646,0.73
금호타이어,5219976571000.0,314.02,24.15,-11.56,0.0,B이하,C,B+,B+,2015,화학,0.07401636621185043,0.95
깨끗한나라,519111847000.0,154.34,39.32,3.38,0.0,B이하,B,B이하,B+,2015,종이목재,0.024084789730329,1.375
남선알미늄,286102329000.0,177.59,36.02,2.64,0.0,B이하,C,B+,B이하,2015,철강금속,-0.04092118298885852,1.31
남성,201740627000.0,184.16,35.19,9.85,0.87,B이하,C,B이하,B이하,2015,유통업,-0.10712167989724561,0.43500000000000005
남양유업,994148527000.0,17.08,85.41,5.5,19.28,B이하,C,B이하,B이하,2015,음식료품,0.04548885909320837,0.79
남해화학,517179022000.0,34.12,74.56,-5.47,5.79,B이하,C,B이하,B+,2015,화학,0.06756219654769344,1.4300000000000002
넥센,883064033000.0,21.82,82.09,-13.6,11.03,B이하,B,B이하,B이하,2015,서비스업,0.12938207423014866,0.99
넥센타이어,2580874677000.0,149.59,40.07,4.47,15.24,B이하,C,B이하,B+,2015,화학,0.1745996120720676,1.455
노루페인트,572890897000.0,111.24,47.34,0.76,40.02,B이하,B,B이하,B이하,2015,화학,0.06261550111911278,1.2850000000000001
노루홀딩스,986460689000.0,89.21,52.85,2.01,49.05,B이하,B,B이하,B이하,2015,서비스업,0.05236118542551561,1.915
녹십자,1415128446000.0,41.84,70.5,7.43,34.63,B이하,B,B+,B이하,2015,의약품,0.043179279617639364,2.63
녹십자홀딩스,2058661120000.0,57.46,63.51,8.43,51.25,B이하,C,B+,B이하,2015,서비스업,0.006210509189110139,3.7249999999999996
농심,2418707598000.0,46.9,68.07,6.85,76.05,B이하,C,B이하,B+,2015,음식료품,0.09252371296219501,1.3
농심홀딩스,1084728406000.0,39.15,71.86,15.94,40.0,B이하,B,B이하,B이하,2015,서비스업,0.010740001846782567,1.175
다우기술,7156248386000.0,394.36,20.23,34.07,28.93,B이하,B,B이하,B이하,2015,서비스업,-0.15375517877791753,2.365
대교,820643070000.0,27.43,78.47,0.33,24.55,B이하,A,B이하,B이하,2015,서비스업,0.064295459422185,1.6349999999999998
대구백화점,623073741000.0,67.11,59.84,0.0,8.56,B이하,B,B이하,B이하,2015,유통업,0.13962722699355493,0.59
대림통상,233526337000.0,96.96,50.77,0.78,13.56,B이하,C,B이하,B이하,2015,기계,0.02502256451939121,0.82
대상,2104598662000.0,157.12,38.89,1.79,40.04,B이하,C,B이하,B이하,2015,음식료품,0.035065334390384215,1.875
대상홀딩스,2480427275000.0,148.53,40.24,3.13,17.02,B이하,C,B이하,B이하,2015,서비스업,0.03816090880847482,2.285
대성산업,1076329030000.0,822.98,10.83,-15.65,0.0,B이하,B,B이하,B+,2015,유통업,-0.03741213274781003,3.79
대성에너지,627437223000.0,120.01,45.45,-17.95,25.0,B이하,C,B이하,B이하,2015,전기가스업,0.040204814161263744,0.76
대성홀딩스,1139355864000.0,112.92,46.96,-17.16,25.0,B이하,B,B이하,B이하,2015,서비스업,0.05476024143620766,0.905
대신증권,16218587786000.0,865.23,10.36,57.16,8.41,B+,A,B이하,B이하,2015,증권,0.09950768164967672,0.6699999999999999
대양금속,98535738000.0,712.27,12.31,-0.44,0.0,B이하,C,B이하,B이하,2015,철강금속,-0.07498665140826563,3.55
대영포장,210805563000.0,68.97,59.18,-0.96,0.0,B이하,C,B이하,B이하,2015,종이목재,0.05340364236913917,0.97
대우건설,10152059203000.0,258.64,27.88,-0.59,0.0,B이하,D,B+,A,2015,건설업,0.068947271324105,1.115
대우조선해양,18880345263000.0,2950.77,3.28,-0.85,0.0,B+,B,B이하,A,2015,운수장비,-0.05458567981388098,6.875
대웅,1242301736000.0,49.95,66.69,11.51,14.66,B이하,C,B이하,B이하,2015,서비스업,0.0751553771992496,3.4
대웅제약,944529005000.0,62.78,61.43,14.1,24.94,B이하,C,B+,B이하,2015,의약품,0.042739566421837745,2.635
대원강업,1157468859000.0,126.79,44.09,-1.59,25.0,B이하,C,B이하,B+,2015,운수장비,0.0955289125513818,0.985
대원전선,214471796000.0,164.14,37.86,6.98,0.0,B이하,C,B이하,B이하,2015,전기전자,0.041518193008419975,1.96
대원제약,194749289000.0,31.0,76.33,18.79,39.64,B이하,B+,B이하,B이하,2015,의약품,0.11941924393327422,2.84
대원화성,126841403000.0,97.62,50.6,9.94,0.0,B이하,B,B이하,B+,2015,화학,0.04372986381048894,2.095
대유에이텍,754878946000.0,416.74,19.35,37.03,9.8,B이하,C,B이하,B이하,2015,운수장비,0.043085046743929815,2.25
대창,539125755000.0,261.6,27.66,-23.19,0.0,B이하,C,B이하,B+,2015,철강금속,0.1030922943063944,0.65
대창단조,195292739000.0,28.85,77.61,-5.61,26.0,B이하,B,B이하,B+,2015,운수장비,0.07763232954537251,0.81
대한방직,370516547000.0,126.26,44.2,0.0,0.0,B이하,B,B이하,B이하,2015,섬유의복,-0.037688802241545805,0.605
대한유화,1529064058000.0,47.65,67.73,-15.9,30.13,B이하,C,B이하,B+,2015,화학,0.18744788859078426,0.985
대한전선,1552803066000.0,338.34,22.81,-20.26,0.0,B이하,D,B이하,B+,2015,전기전자,-0.0715165321803316,6.76
대한제강,635458249000.0,57.09,63.66,-14.79,22.96,B이하,B,B이하,B+,2015,철강금속,0.12566021449721168,0.58
대한제당,1541681141000.0,262.86,27.56,-1.15,16.49,B이하,B+,B이하,B이하,2015,음식료품,-0.0055086441364706855,0.595
대한제분,895425738000.0,36.31,73.36,-5.04,38.88,B이하,C,B이하,B+,2015,음식료품,0.06492334935724774,0.59
대한항공,24180351113000.0,867.59,10.33,-3.06,0.0,B이하,D,B+,A,2015,운수창고업,0.2362982192527752,1.435
대한해운,1517923154000.0,166.6,37.51,0.0,0.0,B이하,C,B이하,B이하,2015,운수창고업,0.26002383015522135,0.94
대한화섬,516448518000.0,24.83,80.11,-5.42,0.0,B이하,B,B이하,B+,2015,화학,-0.03684869201986239,0.34500000000000003
대현,225697006000.0,92.5,51.95,5.77,5.76,B이하,B,B이하,B이하,2015,섬유의복,0.04071810302301193,1.22
대호에이엘,89999597000.0,274.74,26.69,-7.7,0.0,B이하,C,B이하,B+,2015,철강금속,0.0620231260249802,2.165
더존비즈온,213534002000.0,60.82,62.18,15.66,44.0,B이하,B,B이하,B이하,2015,서비스업,0.2947632762312403,4.6
덕성,97271143000.0,53.19,65.28,-6.5,3.71,B이하,C,B이하,B이하,2015,화학,0.07396688396092514,2.45
덕양산업,419423211000.0,359.59,21.76,0.0,3.97,B이하,B,B이하,B이하,2015,운수장비,0.03057527672008208,1.7449999999999999
도화엔지니어링,313077919000.0,36.17,73.44,19.77,29.43,B이하,B,B이하,B이하,2015,서비스업,0.05029614372613755,0.71
동국제강,6895914185000.0,207.04,32.57,-5.74,0.0,B이하,C,B이하,B+,2015,철강금속,0.1676876132084518,0.23
동남합성,68268555000.0,27.27,78.57,0.5,3.11,B이하,C,B이하,B이하,2015,화학,0.06481975840813065,1.0750000000000002
동방,633221223000.0,537.96,15.67,-0.61,0.72,B이하,B,B이하,B이하,2015,운수창고업,0.11354677787876052,0.715
동방아그로,170104382000.0,37.84,72.55,1.05,37.49,B이하,B,B이하,B이하,2015,화학,0.024782148383559462,1.05
동성제약,124116094000.0,114.97,46.52,2.05,0.0,B이하,B,B이하,B이하,2015,의약품,-0.12482469448216377,2.545
동아쏘시오홀딩스,1223518090000.0,103.03,49.25,11.75,20.0,B이하,B,B이하,B이하,2015,서비스업,0.11484722928004151,2.175
동아에스티,1063538923000.0,92.05,52.07,0.41,19.99,B이하,B+,B이하,B이하,2015,의약품,0.07297354938231657,1.995
동아지질,259436782000.0,87.47,53.34,-2.94,34.39,B이하,C,B이하,B이하,2015,건설업,0.05477986515564019,0.69
동양고속,240378400000.0,82.91,54.67,-0.38,34.99,B이하,C,B이하,B이하,2015,운수창고업,0.1395620150696876,0.845
동양철관,177487702000.0,100.73,49.82,-14.27,0.0,B이하,C,B이하,B이하,2015,철강금속,0.024956462608683835,1.18
동원산업,1617995582000.0,128.24,43.81,-1.75,40.0,B이하,B,B+,B이하,2015,"농업, 임업 및 어업",0.04117535131260165,1.985
