,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,배당률,ESG,E,S,G,평가연도,업종명,현금흐름(CF),PBR
티웨이홀딩스,175552057000.0,257.15,28.0,42.58,0.0,B이하,C,B이하,B이하,2016,비금속광물,0.09684921359792033,3.7
파미셀,101953350000.0,7.78,92.78,10.58,0.0,B이하,C,B이하,B이하,2016,의약품,0.035524352821615715,6.050000000000001
팜스코,663075904000.0,125.52,44.34,9.29,19.6,B이하,B,B이하,B이하,2016,음식료품,0.035050605541122166,1.52
팬오션,4330646000000.0,68.78,59.25,3.01,0.0,B이하,B,B이하,B이하,2016,운수창고업,0.13391562156814404,0.76
퍼스텍,202340678000.0,170.91,36.91,9.05,0.0,B이하,B,B이하,B이하,2016,기계,0.0359725125439299,4.49
퍼시스,416488335000.0,13.13,88.39,-4.94,46.28,B이하,B,B이하,B이하,2016,기타제조업,0.10291543673712998,1.125
페이퍼코리아,541922930000.0,356.38,21.91,71.67,0.0,B이하,C,B이하,B이하,2016,종이목재,-0.0762042588955486,0.8599999999999999
평화산업,165068412000.0,180.54,35.64,2.19,1.66,B+,B+,B+,B이하,2016,운수장비,0.054402801910039184,1.23
평화홀딩스,455219603000.0,188.69,34.64,2.91,28.39,B이하,B,B+,B이하,2016,서비스업,0.056512252752040054,0.47
풀무원,1061384109000.0,189.81,34.51,9.97,19.94,A,A,A+,A,2016,서비스업,0.02853082854993335,2.095
풍산,2714949032000.0,119.86,45.48,0.43,13.99,B+,B,B이하,A,2016,철강금속,0.0869652505245154,0.795
풍산홀딩스,762651033000.0,18.54,84.36,9.37,20.12,B이하,B,B이하,B이하,2016,서비스업,0.06847422155399621,0.805
하나금융지주,19004689000000.0,31.15,76.25,3.58,16.0,A,A+,A,B이하,2016,기타금융,0.09928906242616468,0.565
하나투어,520249642000.0,145.31,40.76,29.63,152.43,B이하,C,B이하,B이하,2016,서비스업,0.04617966983204165,6.545
하이스틸,242956625000.0,92.91,51.84,12.11,3.0,B이하,B,B이하,B이하,2016,철강금속,0.043797809186057385,0.34
하이트진로,3401085182000.0,163.26,37.99,-0.9,17.04,B이하,C,B이하,B+,2016,음식료품,0.097697024475665,1.7000000000000002
하이트진로홀딩스,3967110668000.0,229.63,30.34,-1.64,3.71,B이하,B+,B이하,B이하,2016,서비스업,0.08788744334712713,0.35
한국가스공사,39927835678000.0,325.38,23.51,-18.98,0.0,B+,B+,B이하,A,2016,전기가스업,0.22594522452746155,0.5
한국공항,373405154000.0,32.52,75.46,3.71,9.66,B이하,C,B이하,B이하,2016,운수창고업,0.08370093515102581,0.45499999999999996
한국내화,205577085000.0,90.31,52.55,-3.43,4.65,B이하,C,B이하,B이하,2016,비금속광물,0.030993466867243816,0.67
한국쉘석유,122973241000.0,26.36,79.14,-5.77,315.71,B이하,B+,B이하,B이하,2016,화학,0.14240312509490496,8.285
한국전자홀딩스,179367293000.0,52.85,65.42,-6.54,0.0,B이하,B,B이하,B이하,2016,서비스업,0.09085766325187923,0.375
한국종합기술,242443837000.0,98.07,50.49,8.36,20.0,B이하,B+,B이하,B이하,2016,서비스업,0.008491844909303927,0.55
한국주강,64842182000.0,3.42,96.69,-25.5,0.0,B이하,C,B이하,B이하,2016,기계,0.10376339957743187,0.63
한국철강,941767002000.0,22.47,81.65,-3.09,17.99,B이하,C,B+,B+,2016,철강금속,0.11758341447792685,0.53
한국카본,389485376000.0,23.24,81.14,6.22,24.26,B이하,C,B이하,B이하,2016,기계,0.232896001856952,0.905
한국콜마,492928108000.0,71.34,58.36,24.56,50.0,B이하,C,B이하,B이하,2016,화학,0.05725181378183575,7.25
한국콜마홀딩스,567569888000.0,77.88,56.22,10.31,30.82,B이하,B,B이하,B이하,2016,서비스업,0.07643636924015554,5.03
한국화장품,99299898000.0,78.3,56.09,63.29,0.0,B이하,C,B이하,B이하,2016,유통업,0.11295144710556244,3.865
한국화장품제조,66626328000.0,51.39,66.06,42.81,16.0,B이하,B,B이하,B이하,2016,화학,0.1699635695461292,3.625
한농화성,157059360000.0,54.72,64.63,1.99,21.52,B이하,B,B이하,B이하,2016,화학,0.04820849682901749,0.875
한독,622848956000.0,115.33,46.44,10.51,24.71,B+,B,B+,B+,2016,의약품,-0.021462322596715967,1.44
한미반도체,284988380000.0,36.13,73.46,41.15,84.97,B이하,B,B이하,B이하,2016,기계,0.22915150815951849,1.95
한미사이언스,969248669000.0,49.68,66.81,-14.34,0.0,B이하,C,B이하,B이하,2016,서비스업,0.11502360705244333,11.924999999999999
한미약품,1596970589000.0,117.42,45.99,-33.0,0.0,B이하,D,B+,B이하,2016,의약품,0.46783001862635937,11.105
한샘,899418181000.0,66.09,60.21,13.1,84.51,B이하,B+,B이하,B이하,2016,유통업,0.07959929954645939,10.71
한섬,1038024262000.0,17.91,84.81,15.44,53.52,B이하,B+,B이하,B이하,2016,섬유의복,0.025282691406320657,1.13
한성기업,230855837000.0,335.18,22.98,9.99,0.0,B이하,C,B이하,B이하,2016,음식료품,-0.008389758331174736,1.0
한세실업,1270684015000.0,125.45,44.36,-2.45,65.28,B이하,B+,B이하,B이하,2016,섬유의복,0.036778520079707305,3.795
한세예스24홀딩스,1740589243000.0,155.97,39.07,7.38,31.96,B이하,B,B이하,B이하,2016,서비스업,0.03763439355790052,6.52
