종목명,ESG 통합등급,2016_E,2016_S,2016_G,평가연도,업종명
대한항공,B+,C,B+,A,2016,운수창고업
대한해운,B이하,B,B이하,B이하,2016,운수창고업
대한화섬,B이하,B,B이하,B이하,2016,화학
대현,B이하,B,B이하,B이하,2016,섬유의복
대호에이엘,B이하,B,B이하,B+,2016,철강금속
더존비즈온,B이하,B,B이하,B이하,2016,서비스업
덕성,B이하,C,B이하,B이하,2016,화학
덕양산업,B이하,B,B이하,B이하,2016,운수장비
도레이케미칼,B이하,C,B+,B+,2016,화학
도화엔지니어링,B이하,B+,B이하,B이하,2016,서비스업
동국실업,B이하,C,B이하,B이하,2016,운수장비
동국제강,B이하,C,B+,B+,2016,철강금속
동남합성,B이하,C,B이하,B이하,2016,화학
동방,B이하,B,B이하,B이하,2016,운수창고업
동방아그로,B이하,B,B이하,B이하,2016,화학
동부제철,B+,B,B이하,A,2016,철강금속
동성제약,B이하,C,B이하,B이하,2016,의약품
동성코퍼레이션,B이하,B,B이하,B이하,2016,서비스업
동성화학,B이하,B,B+,B이하,2016,화학
동아쏘시오홀딩스,B이하,B,B이하,B이하,2016,서비스업
동아에스텍,B이하,B,B이하,B이하,2016,기계
동아에스티,B이하,B+,B+,B이하,2016,의약품
동아지질,B이하,B,B이하,B이하,2016,건설업
동양고속,B이하,B,B이하,B이하,2016,운수창고업
동양네트웍스,B이하,C,B이하,B이하,2016,서비스업
동양생명,B+,A+,B이하,B이하,2016,보험
동양철관,B이하,C,B이하,B이하,2016,철강금속
동원,B이하,C,B이하,B이하,2016,광업
동원F&B,B이하,C,B+,B이하,2016,음식료품
동원금속,B이하,B,B이하,B이하,2016,운수장비
동원산업,B이하,B,B이하,B이하,2016,"농업, 임업 및 어업"
동원수산,B이하,B,B이하,B이하,2016,"농업, 임업 및 어업"
동원시스템즈,B이하,C,B이하,B이하,2016,화학
동일고무벨트,B이하,C,B이하,B이하,2016,화학
동일방직,B이하,B,B이하,B이하,2016,섬유의복
동일산업,B이하,B,B이하,B+,2016,철강금속
동화약품,B이하,B,B+,B이하,2016,의약품
두산,A,A,A,A,2016,서비스업
두산건설,A,A,B+,A,2016,건설업
두산엔진,A,B+,A+,A,2016,기계
두산인프라코어,A,A,A+,A,2016,기계
두산중공업,A,A,B+,A,2016,기계
디씨엠,B이하,B,B이하,B이하,2016,철강금속
디아이,B이하,B,B이하,B이하,2016,의료정밀
디아이씨,B이하,B,B이하,B이하,2016,운수장비
디와이,B이하,B,B이하,B이하,2016,서비스업
디와이파워,B이하,C,B이하,B이하,2016,기계
디피씨,B이하,B+,B이하,B이하,2016,전기전자
락앤락,B이하,B+,B이하,B이하,2016,화학
롯데관광개발,B이하,C,B이하,B이하,2016,서비스업
롯데손해보험,A,A+,A,B이하,2016,보험
롯데쇼핑,B+,C,A,A,2016,유통업
롯데정밀화학,B+,B,A,A,2016,화학
롯데케미칼,A,B,A+,A,2016,화학
롯데푸드,B+,C,A,A,2016,음식료품
롯데하이마트,B+,B+,A,B이하,2016,유통업
마니커,B이하,D,B이하,B이하,2016,음식료품
만도,B이하,B,B이하,B+,2016,운수장비
만호제강,B이하,B,B이하,B이하,2016,철강금속
메리츠금융지주,B이하,A,B이하,B이하,2016,기타금융
메리츠종금증권,B+,A+,B이하,B이하,2016,증권
메리츠화재,B+,A+,B+,B이하,2016,보험
명문제약,B이하,B,B이하,B이하,2016,의약품
모나리자,B이하,C,B이하,B이하,2016,종이목재
모나미,B이하,B,B이하,B이하,2016,유통업
모토닉,B이하,B,B이하,B이하,2016,운수장비
무림P&P,B이하,B,B이하,B+,2016,종이목재
무림페이퍼,B이하,B,B이하,B+,2016,종이목재
무학,B이하,B,B이하,B이하,2016,음식료품
문배철강,B이하,B,B이하,B이하,2016,철강금속
미래산업,B이하,B+,B이하,B이하,2016,의료정밀
미래아이앤지,B이하,C,B이하,B이하,2016,서비스업
미래에셋대우,B+,A+,B+,B이하,2016,증권
미래에셋생명,B+,A,B+,B이하,2016,보험
미래에셋증권,B+,A,B+,B이하,2016,증권
미원상사,B이하,C,B이하,B이하,2016,화학
미원화학,B이하,C,B이하,B이하,2016,화학
방림,B이하,B,B이하,B+,2016,섬유의복
백광산업,B이하,B,B이하,B+,2016,화학
백광소재,B이하,C,B이하,B+,2016,비금속광물
백산,B이하,B,B이하,B이하,2016,화학
범양건영,B이하,C,B이하,B이하,2016,건설업
벽산,B이하,C,B이하,B+,2016,비금속광물
보락,B이하,C,B이하,B이하,2016,화학
보령제약,B이하,C,B이하,B이하,2016,의약품
보해양조,B이하,B,B이하,B이하,2016,음식료품
부광약품,B이하,B+,B이하,B이하,2016,의약품
부국증권,B이하,B+,B이하,B이하,2016,증권
부국철강,B이하,B,B이하,B이하,2016,철강금속
부산산업,B이하,B,B이하,B이하,2016,비금속광물
부산주공,B이하,B,B이하,B+,2016,운수장비
비상교육,B이하,C,B이하,B이하,2016,서비스업
빙그레,B이하,B,B+,B이하,2016,음식료품
사조대림,B이하,C,B이하,B이하,2016,음식료품
사조동아원,B이하,C,B이하,B이하,2016,음식료품
사조산업,B이하,C,B이하,B이하,2016,"농업, 임업 및 어업"
사조씨푸드,B이하,B,B이하,B이하,2016,음식료품
사조오양,B이하,C,B이하,B이하,2016,"농업, 임업 및 어업"
사조해표,B이하,C,B이하,B이하,2016,음식료품
삼광글라스,B이하,C,B이하,B+,2016,비금속광물
삼성SDI,A,B+,A,A,2016,전기전자
삼성공조,B이하,B,B이하,B이하,2016,운수장비
삼성물산,A+,A+,A+,A,2016,유통업
삼성생명,A,A+,B+,A,2016,보험
삼성에스디에스,B+,B+,B+,B이하,2016,서비스업
삼성엔지니어링,B+,B+,B+,A,2016,서비스업
삼성전기,A+,A+,A+,A+,2016,전기전자
삼성전자,A,B+,A+,A,2016,전기전자
삼성제약,B이하,C,B이하,B이하,2016,의약품
삼성중공업,B+,B,A,A,2016,운수장비
삼성증권,A,A+,B+,B이하,2016,증권
삼성출판사,B이하,B,B이하,B이하,2016,서비스업
삼성카드,B+,A+,B+,B이하,2016,기타금융
삼아알미늄,B이하,B,B이하,B이하,2016,철강금속
삼양사,B이하,C,B+,B이하,2016,음식료품
삼양식품,B이하,D,B이하,B+,2016,음식료품
삼양통상,B이하,B,B이하,B이하,2016,기타제조업
삼양홀딩스,B이하,C,B이하,B이하,2016,서비스업
삼영무역,B이하,B,B이하,B이하,2016,유통업
삼원강재,B이하,C,B이하,B+,2016,운수장비
삼익THK,B이하,C,B이하,B이하,2016,기계
삼익악기,B이하,D,B이하,B이하,2016,기타제조업
삼일제약,B이하,C,B이하,B이하,2016,의약품
삼정펄프,B이하,B,B이하,B이하,2016,종이목재
삼진제약,B이하,B,B이하,B이하,2016,의약품
삼천리,B+,B+,B+,B+,2016,전기가스업
삼호,B이하,B,B이하,B이하,2016,건설업
삼호개발,B이하,B,B이하,B이하,2016,건설업
삼화왕관,B이하,C,B이하,B이하,2016,기계
삼화전기,B이하,B,B이하,B이하,2016,전기전자
상신브레이크,B이하,B,B이하,B이하,2016,운수장비
새론오토모티브,B이하,C,B이하,B+,2016,운수장비
샘표,B이하,C,B이하,B이하,2016,음식료품
서연,B이하,C,B이하,B이하,2016,서비스업
서연이화,B이하,C,B이하,B이하,2016,운수장비
서원,B이하,B,B이하,B+,2016,철강금속
서흥,B이하,C,B이하,B이하,2016,화학
선도전기,B이하,B,B이하,B이하,2016,전기전자
선진,B이하,B+,B이하,B이하,2016,음식료품
선창산업,B이하,B,B이하,B+,2016,종이목재
성문전자,B이하,C,B이하,B이하,2016,전기전자
성보화학,B이하,B,B이하,B이하,2016,화학
성신양회,B이하,B,B이하,B+,2016,비금속광물
성안,B이하,C,B이하,B이하,2016,섬유의복
성지건설,B이하,C,B이하,B이하,2016,건설업
성창기업지주,B이하,C,B이하,B이하,2016,서비스업
세기상사,B이하,B,B이하,B이하,2016,서비스업
세방,B+,B+,B+,B이하,2016,운수창고업
세방전지,B+,B,B+,B+,2016,전기전자
세아베스틸,B+,B,B+,B+,2016,철강금속
세아제강,B이하,C,B+,B+,2016,철강금속
세아특수강,B이하,B,B이하,B+,2016,철강금속
세아홀딩스,B이하,B,B이하,B이하,2016,서비스업
세우글로벌,B이하,C,B이하,B이하,2016,유통업
세원셀론텍,B이하,C,B이하,B이하,2016,기계
세원정공,B이하,B,B이하,B이하,2016,운수장비
세이브존I&C,B이하,B,B이하,B이하,2016,유통업
세종공업,B이하,C,B이하,B이하,2016,운수장비
세하,B이하,C,B이하,B+,2016,종이목재
송원산업,B이하,C,B이하,B+,2016,화학
수산중공업,B이하,B,B이하,B이하,2016,기계
신대양제지,B이하,C,B이하,B이하,2016,종이목재
신도리코,B이하,B,B이하,B+,2016,전기전자
신라교역,B이하,B,B이하,B이하,2016,"농업, 임업 및 어업"
신성에프에이,B이하,C,B이하,B이하,2016,기계
신성이엔지,B이하,B,B이하,B이하,2016,기계
신성통상,B이하,B,B이하,B이하,2016,유통업
신세계,B+,C,A+,B+,2016,유통업
신세계건설,B+,B,B+,B+,2016,건설업
신세계인터내셔날,B+,B+,A,B+,2016,유통업
신세계푸드,B이하,C,B+,B이하,2016,서비스업
신송홀딩스,B이하,B,B이하,B이하,2016,서비스업
신영와코루,B이하,C,B이하,B이하,2016,섬유의복
신영증권,B이하,A,B이하,B이하,2016,증권
신원,B이하,D,B이하,B이하,2016,섬유의복
신일산업,B이하,D,B이하,B이하,2016,유통업
신풍제약,B이하,B,B이하,B이하,2016,의약품
신풍제지,B이하,B,B이하,B+,2016,종이목재
신한,B이하,C,B이하,B이하,2016,건설업
신한지주,A+,A+,A+,A+,2016,기타금융
신화실업,B이하,C,B이하,B이하,2016,철강금속
신흥,B이하,B+,B이하,B이하,2016,유통업
쌍방울,B이하,C,B이하,B이하,2016,섬유의복
써니전자,B이하,C,B이하,B이하,2016,전기전자
씨아이테크,B이하,C,B이하,B이하,2016,유통업
씨에스윈드,B이하,B+,B이하,B이하,2016,기계
아남전자,B이하,B,B이하,B이하,2016,전기전자
아모레퍼시픽,A,B+,A,A,2016,화학
아비스타,B이하,B,B이하,B이하,2016,섬유의복
아세아,B이하,B,B이하,B이하,2016,서비스업
아세아시멘트,B이하,B,B이하,B+,2016,비금속광물
아세아제지,B이하,B,B이하,B이하,2016,종이목재
아시아나항공,B+,B,A+,B+,2016,운수창고업
아이마켓코리아,B이하,C,B이하,B이하,2016,유통업
아이에스동서,B이하,B,B이하,B이하,2016,비금속광물
아주캐피탈,B이하,A,B이하,B이하,2016,기타금융
아티스,B이하,B+,B이하,B이하,2016,유통업
알루코,B이하,D,B이하,B이하,2016,철강금속
알보젠코리아,B이하,C,B이하,B이하,2016,의약품
애경유화,B이하,C,B이하,B+,2016,화학
에넥스,B이하,C,B이하,B이하,2016,기타제조업
에스엘,B이하,C,B+,B이하,2016,운수장비
에스원,B이하,B,B+,B이하,2016,서비스업
에쓰씨엔지니어링,B이하,C,B이하,B이하,2016,건설업
에이블씨엔씨,B이하,B,B이하,B이하,2016,화학
에이엔피,B이하,C,B이하,B이하,2016,전기전자
엔씨소프트,B이하,B+,B이하,B이하,2016,서비스업
엔에스쇼핑,B이하,B+,B이하,B이하,2016,유통업
엔케이,B이하,C,B이하,B이하,2016,기계
영보화학,B이하,C,B이하,B이하,2016,화학
영원무역,B이하,B,B이하,B이하,2016,유통업
영원무역홀딩스,B이하,B,B이하,B이하,2016,서비스업
영진약품,B이하,B,B이하,B이하,2016,의약품
영풍,B이하,D,B이하,B이하,2016,철강금속
영풍제지,B이하,C,B이하,B이하,2016,종이목재
영화금속,B이하,B,B이하,B이하,2016,운수장비
영흥철강,B이하,B,B이하,B+,2016,철강금속
예스코,B이하,B+,B+,B이하,2016,전기가스업
오뚜기,B이하,D,B+,B이하,2016,음식료품
오리엔트바이오,B이하,C,B이하,B이하,2016,의약품
와이비로드,B이하,C,B이하,B이하,2016,유통업
우리들제약,B이하,C,B이하,B이하,2016,의약품
우리들휴브레인,B이하,C,B이하,B이하,2016,유통업
우리은행,B+,A+,B이하,B이하,2016,은행
우리종금,B이하,B+,B이하,B이하,2016,기타금융
우성사료,B이하,B+,B이하,B이하,2016,음식료품
우신시스템,B이하,C,B이하,B이하,2016,기계
우진,B이하,B,B이하,B이하,2016,의료정밀
우진플라임,B이하,B,B이하,B이하,2016,기계
웅진,B이하,B,B이하,B이하,2016,서비스업
웅진씽크빅,B이하,C,B이하,B이하,2016,서비스업
웅진에너지,B이하,C,B이하,A,2016,전기전자
원림,B이하,C,B이하,B이하,2016,섬유의복
윌비스,B이하,B,B이하,B이하,2016,유통업
유니드,B이하,C,B이하,B+,2016,화학
유니온,B이하,B,B이하,B이하,2016,비금속광물
유니켐,B이하,C,B이하,B이하,2016,기타제조업
유니퀘스트,B이하,B,B이하,B이하,2016,유통업
유성기업,B이하,B+,B이하,B+,2016,운수장비
유수홀딩스,B이하,B,B이하,B이하,2016,서비스업
유안타증권,B이하,A,B이하,B이하,2016,증권
유양디앤유,B이하,B,B이하,B이하,2016,전기전자
유엔젤,B이하,C,B이하,B이하,2016,서비스업
유유제약,B이하,B,B이하,B이하,2016,의약품
유한양행,B+,B+,B이하,B+,2016,의약품
유화증권,B이하,B+,B이하,B이하,2016,증권
율촌화학,B이하,C,B이하,B이하,2016,화학
이건산업,B이하,B,B이하,B이하,2016,종이목재
이구산업,B이하,B+,B이하,B+,2016,철강금속
이마트,B이하,C,B이하,A,2016,유통업
