종목명,ESG 통합등급,2014_E,2014_S,2014_G,평가연도,업종명
AJ렌터카,B이하,C,B이하,B이하,2014,서비스업
AK홀딩스,B이하,C,B이하,B이하,2014,서비스업
BYC,B이하,C,B이하,B이하,2014,섬유의복
CJ,B+,B,A,B+,2014,서비스업
CJ CGV,B이하,C,B+,B이하,2014,서비스업
CJ대한통운,B+,B+,A,B+,2014,운수창고업
CJ씨푸드,B이하,B,B이하,B이하,2014,음식료품
CJ제일제당,B+,B,A,A,2014,음식료품
CS홀딩스,B이하,C,B이하,B이하,2014,서비스업
DGB금융지주,A,A,A,A,2014,기타금융
DRB동일,B이하,C,B이하,B이하,2014,서비스업
DSR제강,B이하,C,B이하,B이하,2014,철강금속
E1,B이하,B+,B이하,B이하,2014,유통업
F&F,B이하,B,B이하,B이하,2014,섬유의복
GKL,B이하,B,B이하,B이하,2014,서비스업
GS,B이하,B+,B이하,B이하,2014,서비스업
GS건설,A,B+,A,A,2014,건설업
GS글로벌,B이하,B,B이하,B이하,2014,유통업
GS리테일,B+,B+,B이하,B+,2014,유통업
JW중외제약,B이하,C,B이하,B이하,2014,의약품
JW홀딩스,B이하,B,B이하,B이하,2014,서비스업
KB금융,A,A,B+,A,2014,기타금융
KC그린홀딩스,B이하,B,B이하,B이하,2014,서비스업
KC코트렐,B이하,B,B이하,B+,2014,기계
KEC,B이하,B,B이하,B+,2014,전기전자
KGP,B이하,C,B이하,B이하,2014,종이목재
KG케미칼,B이하,C,B이하,B이하,2014,화학
KISCO홀딩스,B이하,B,B이하,B이하,2014,서비스업
KPX그린케미칼,B이하,C,B이하,B+,2014,화학
KPX케미칼,B이하,B,B이하,B이하,2014,화학
KPX홀딩스,B이하,B,B이하,B이하,2014,서비스업
KR모터스,B이하,B,B이하,B이하,2014,운수장비
KSS해운,B이하,B+,B이하,B이하,2014,운수창고업
KTB투자증권,B이하,B,B이하,B이하,2014,증권
KTcs,B이하,B,B이하,B이하,2014,서비스업
LF,B이하,B,B이하,B이하,2014,섬유의복
LG,B+,A,B+,B이하,2014,서비스업
LG디스플레이,A,B+,A,A,2014,전기전자
LG상사,B+,B+,B+,B+,2014,유통업
LG생명과학,B+,B+,B+,B이하,2014,의약품
LG생활건강,A,B+,A,A,2014,화학
LG유플러스,A,A,B+,A,2014,통신업
LG이노텍,A,A,A,A,2014,전기전자
LG전자,A,B+,A,A+,2014,전기전자
LG하우시스,A,B+,A,A,2014,화학
LG화학,A,A,A,B+,2014,화학
LS,B이하,B+,B이하,B이하,2014,서비스업
LS네트웍스,B이하,B,B이하,B이하,2014,유통업
LS산전,B+,B+,B+,B+,2014,전기전자
MH에탄올,B이하,B,B이하,B이하,2014,음식료품
NAVER,B+,A,B+,B이하,2014,서비스업
NH농협증권,B이하,B,B이하,B이하,2014,증권
NICE,B이하,B,B이하,B이하,2014,서비스업
NI스틸,B이하,C,B이하,B이하,2014,철강금속
OCI,B+,B+,A,B+,2014,화학
S&TC,B이하,B,B이하,B이하,2014,기계
S&T모티브,B이하,B,B이하,B이하,2014,운수장비
S&T중공업,B이하,B,B이하,B+,2014,운수장비
S&T홀딩스,B이하,B,B이하,B이하,2014,서비스업
S-Oil,A+,A+,A,A+,2014,화학
SBS,B이하,B+,B이하,B이하,2014,서비스업
SBS미디어홀딩스,B이하,B,B이하,B이하,2014,서비스업
SG세계물산,B이하,C,B이하,B이하,2014,유통업
SH에너지화학,B이하,C,B이하,B이하,2014,화학
SIMPAC,B이하,B,B이하,B이하,2014,기계
SK,A,B,A,A+,2014,서비스업
SKC,A,B+,A,A,2014,화학
SK가스,B+,B+,B+,B이하,2014,유통업
SK네트웍스,B+,B+,A,B이하,2014,유통업
SK이노베이션,B+,B,A,A,2014,서비스업
SK증권,B이하,B+,B+,B이하,2014,증권
SK텔레콤,A,A+,B+,A,2014,통신업
SK하이닉스,B+,B,A,B+,2014,전기전자
TCC동양,B이하,C,B이하,B이하,2014,철강금속
WISCOM,B이하,B,B이하,B이하,2014,화학
가온전선,B이하,B,B+,B이하,2014,전기전자
강원랜드,B+,B+,A,B+,2014,서비스업
경남기업,B이하,C,B이하,B이하,2014,건설업
경남에너지,B이하,B,B이하,B이하,2014,전기가스업
경농,B이하,C,B이하,B이하,2014,화학
경동나비엔,B이하,C,B이하,B이하,2014,전기전자
경방,B이하,B,B이하,B이하,2014,섬유의복
경인양행,B이하,B,B이하,B이하,2014,화학
경인전자,B이하,B,B이하,B이하,2014,전기전자
계양전기,B이하,B,B이하,B이하,2014,기계
고려개발,B이하,C,B이하,B이하,2014,건설업
고려산업,B이하,B,B이하,B이하,2014,음식료품
고려아연,B+,B+,B이하,B+,2014,철강금속
고려제강,B이하,B,B이하,B이하,2014,철강금속
골든브릿지증권,B이하,B,B이하,B이하,2014,증권
광동제약,B이하,C,B이하,B이하,2014,의약품
광명전기,B이하,C,B이하,B이하,2014,전기전자
광전자,B이하,B,B이하,B이하,2014,전기전자
광주신세계,B이하,B,B+,B이하,2014,유통업
교보증권,B이하,B,B이하,B이하,2014,증권
국도화학,B이하,C,B이하,B+,2014,화학
국동,B이하,B,B이하,B이하,2014,유통업
국보,B이하,C,B이하,B이하,2014,운수창고업
국제약품,B이하,B,B이하,B이하,2014,의약품
극동유화,B이하,C,B이하,B이하,2014,화학
금강공업,B이하,B,B이하,B이하,2014,철강금속
금비,B이하,C,B이하,B이하,2014,비금속광물
금양,B이하,B,B이하,B이하,2014,화학
금호산업,B+,B,B+,B+,2014,건설업
금호전기,B이하,B,B이하,B이하,2014,전기전자
금호타이어,B+,B+,B+,A,2014,화학
기신정기,B이하,B+,B이하,B이하,2014,기계
기업은행,B+,B+,B+,B+,2014,은행
깨끗한나라,B이하,B,B이하,B+,2014,종이목재
남선알미늄,B이하,C,B이하,B이하,2014,철강금속
남성,B이하,C,B이하,B이하,2014,유통업
남양유업,B이하,C,B이하,B이하,2014,음식료품
남영비비안,B이하,B,B이하,B이하,2014,섬유의복
남해화학,B이하,B,B이하,B+,2014,화학
넥센,B이하,B,B이하,B이하,2014,서비스업
넥센타이어,B이하,B,B이하,B+,2014,화학
넥솔론,B이하,B+,B이하,B이하,2014,전기전자
노루페인트,B이하,B,B이하,B+,2014,화학
노루홀딩스,B이하,B,B이하,B이하,2014,서비스업
녹십자,B이하,B,B이하,B이하,2014,의약품
녹십자홀딩스,B이하,B,B이하,B이하,2014,서비스업
농심,B이하,B,B이하,B+,2014,음식료품
농심홀딩스,B이하,C,B이하,B이하,2014,서비스업
다우기술,B이하,C,B이하,B이하,2014,서비스업
다우인큐브,B이하,C,B이하,B이하,2014,서비스업
대교,B+,A+,B이하,B이하,2014,서비스업
대구백화점,B이하,B,B이하,B이하,2014,유통업
대덕GDS,B이하,B,B이하,B+,2014,전기전자
대덕전자,B+,B,B+,B+,2014,전기전자
대동공업,B이하,C,B이하,B이하,2014,기계
대동전자,B이하,C,B이하,B이하,2014,전기전자
대림산업,A,A,A,A,2014,건설업
대림통상,B이하,B,B이하,B이하,2014,기계
대상,B이하,C,B이하,B이하,2014,음식료품
대상홀딩스,B이하,B,B이하,B이하,2014,서비스업
대성산업,B이하,B,B이하,B+,2014,유통업
대성에너지,B이하,B,B이하,B이하,2014,전기가스업
대성합동지주,B이하,B,B이하,B이하,2014,서비스업
대성홀딩스,B이하,B,B이하,B이하,2014,서비스업
대신증권,B이하,B+,B이하,B이하,2014,증권
대양금속,B이하,C,B이하,B이하,2014,철강금속
대영포장,B이하,C,B이하,B이하,2014,종이목재
대우건설,B이하,D,A,A,2014,건설업
대우부품,B이하,C,B이하,B이하,2014,전기전자
대우조선해양,B+,B+,B이하,B+,2014,운수장비
대웅,B이하,C,B이하,B이하,2014,서비스업
대웅제약,B이하,B,B이하,B이하,2014,의약품
대원강업,B이하,B,B이하,B+,2014,운수장비
대원전선,B이하,C,B이하,B이하,2014,전기전자
대원제약,B이하,B+,B이하,B이하,2014,의약품
대원화성,B이하,B,B이하,B+,2014,화학
대유에이텍,B이하,C,B이하,B이하,2014,운수장비
대창,B이하,C,B이하,B+,2014,철강금속
대창단조,B이하,B,B이하,B이하,2014,운수장비
대한방직,B이하,B,B이하,B이하,2014,섬유의복
대한유화,B이하,C,B이하,B+,2014,화학
대한전선,B이하,C,B이하,B+,2014,전기전자
대한제강,B이하,B,B이하,B+,2014,철강금속
대한제당,B이하,B,B이하,B이하,2014,음식료품
대한제분,B이하,C,B이하,B이하,2014,음식료품
대한항공,B+,B+,A,B+,2014,운수창고업
대한해운,B이하,D,B이하,B이하,2014,운수창고업
대한화섬,B이하,B,B이하,B이하,2014,화학
대현,B이하,B+,B이하,B이하,2014,섬유의복
대호에이엘,B이하,C,B이하,B+,2014,철강금속
더존비즈온,B이하,C,B이하,B이하,2014,서비스업
덕성,B이하,C,B이하,B이하,2014,화학
덕양산업,B이하,C,B이하,B이하,2014,운수장비
도레이케미칼,B+,B,B+,B+,2014,화학
도화엔지니어링,B이하,B,B이하,B이하,2014,서비스업
동국실업,B이하,C,B이하,B이하,2014,운수장비
동국제강,B+,B+,B이하,B+,2014,철강금속
동남합성,B이하,C,B이하,B이하,2014,화학
동방,B이하,C,B이하,B이하,2014,운수창고업
동방아그로,B이하,B,B이하,B이하,2014,화학
동부건설,B이하,B,B이하,B이하,2014,건설업
동부제철,B이하,B,B이하,B+,2014,철강금속
동성제약,B이하,C,B이하,B이하,2014,의약품
동성화학,B이하,B,B이하,B이하,2014,화학
동아쏘시오홀딩스,B이하,B,B이하,B이하,2014,의약품
동아에스텍,B이하,B+,B이하,B이하,2014,기계
동아지질,B이하,B,B이하,B이하,2014,건설업
동양고속,B이하,B,B이하,B이하,2014,운수창고업
동양생명,B이하,B+,B이하,B이하,2014,보험
동양철관,B이하,C,B이하,B이하,2014,철강금속
동원,B이하,C,B이하,B이하,2014,광업
동원F&B,B이하,C,B이하,B이하,2014,음식료품
동원금속,B이하,C,B이하,B이하,2014,운수장비
동원산업,B이하,B,B이하,B이하,2014,"농업, 임업 및 어업"
동원수산,B이하,C,B이하,B이하,2014,"농업, 임업 및 어업"
동원시스템즈,B이하,C,B이하,B이하,2014,화학
동일고무벨트,B이하,C,B이하,B이하,2014,화학
동일방직,B이하,B,B이하,B이하,2014,섬유의복
동일산업,B이하,B,B이하,B+,2014,철강금속
동일제지,B이하,C,B이하,B이하,2014,종이목재
동화약품,B이하,B,B이하,B이하,2014,의약품
두산,A,A,A,A,2014,서비스업
두산건설,B+,B+,A,B+,2014,건설업
두산엔진,A,A,A,B+,2014,기계
두산인프라코어,A,A,A+,A,2014,기계
두산중공업,A,A,A,A,2014,기계
디씨엠,B이하,B,B이하,B이하,2014,철강금속
디아이,B이하,C,B이하,B이하,2014,의료정밀
디아이씨,B이하,B,B이하,B이하,2014,운수장비
디피씨,B이하,B,B이하,B이하,2014,전기전자
락앤락,B이하,B+,B이하,B이하,2014,화학
롯데관광개발,B이하,B,B이하,B이하,2014,서비스업
롯데손해보험,B+,B+,A,B이하,2014,보험
롯데쇼핑,A,A,A,A,2014,유통업
롯데케미칼,A,B+,A,A+,2014,화학
롯데푸드,B이하,C,B이하,B+,2014,음식료품
롯데하이마트,B+,A,B+,B이하,2014,유통업
마니커,B이하,C,B이하,B이하,2014,음식료품
만호제강,B이하,B,B이하,B이하,2014,철강금속
메리츠금융지주,B이하,B+,B이하,B이하,2014,기타금융
메리츠종금증권,B이하,B+,B이하,B이하,2014,증권
메리츠화재,B+,A+,B+,B이하,2014,보험
명문제약,B이하,B,B이하,B이하,2014,의약품
모나리자,B이하,C,B이하,B이하,2014,종이목재
모나미,B이하,B,B이하,B이하,2014,유통업
