종목명,ESG 통합등급,2011_E,2011_S,2011_G,평가연도,업종명
BYC,B이하,B,B이하,B이하,2011,섬유의복
CJ,B이하,B+,B이하,C,2011,서비스업
CJ CGV,B이하,B,B이하,C,2011,서비스업
CJ씨푸드,C,C,C,C,2011,음식료품
CJ제일제당,B+,B+,B+,A,2011,음식료품
CS홀딩스,C,B,C,C,2011,서비스업
DSR제강,B이하,C,B이하,C,2011,철강금속
E1,B이하,B+,B이하,B이하,2011,유통업
F&F,C,B,C,C,2011,섬유의복
GKL,B+,B,B+,C,2011,서비스업
GS,C,B+,C,C,2011,서비스업
GS건설,A,A,A,A,2011,건설업
GS글로벌,B이하,B,B이하,B이하,2011,유통업
JW중외제약,B이하,B,B이하,B이하,2011,의약품
JW홀딩스,B이하,B,B이하,C,2011,서비스업
KB금융,A+,A+,A+,A,2011,기타금융
KC그린홀딩스,C,B,C,B이하,2011,서비스업
KEC,B이하,C,B이하,B이하,2011,전기전자
KGP,B이하,C,B이하,B이하,2011,종이목재
KG케미칼,B이하,C,B이하,B이하,2011,화학
KISCO홀딩스,C,B+,C,C,2011,서비스업
KPX그린케미칼,C,B,C,B이하,2011,화학
KPX케미칼,C,B,C,B이하,2011,화학
KPX홀딩스,C,B,C,C,2011,서비스업
KSS해운,B이하,B,B이하,C,2011,운수창고업
KTB투자증권,B이하,B+,B이하,B이하,2011,증권
LG,B이하,B+,B이하,C,2011,서비스업
LG디스플레이,B+,B+,B+,B+,2011,전기전자
LG상사,B이하,B,B이하,B이하,2011,유통업
LG생명과학,B+,B+,B+,A,2011,의약품
LG생활건강,A,B+,A,A,2011,화학
LG유플러스,B이하,A,B이하,C,2011,통신업
LG이노텍,A,B+,A,A,2011,전기전자
LG전자,A,B+,A,A,2011,전기전자
LG하우시스,B이하,B+,B이하,B+,2011,화학
LG화학,A,B+,A,A,2011,화학
LS,B이하,B+,B이하,C,2011,서비스업
LS네트웍스,B이하,B,B이하,C,2011,유통업
LS산전,B이하,A,B이하,B이하,2011,전기전자
MH에탄올,C,B,C,B이하,2011,음식료품
NH투자증권,B+,A,B+,B이하,2011,증권
NICE,C,B,C,C,2011,서비스업
NI스틸,C,B,C,C,2011,철강금속
OCI,A,A,A,A,2011,화학
S&TC,B이하,B,B이하,C,2011,기계
S&T중공업,B이하,B,B이하,B이하,2011,운수장비
S&T홀딩스,B이하,B,B이하,C,2011,서비스업
S-Oil,A,A,A,A+,2011,화학
SBS,C,B,C,C,2011,서비스업
SBS미디어홀딩스,C,B,C,C,2011,서비스업
SG세계물산,B이하,C,B이하,C,2011,유통업
SH에너지화학,B이하,C,B이하,C,2011,화학
SIMPAC,B이하,C,B이하,C,2011,기계
SK,B이하,B+,B이하,B이하,2011,서비스업
SKC,A,A,A,A+,2011,화학
SK가스,B이하,B,B이하,B이하,2011,유통업
SK네트웍스,A+,A,A+,B이하,2011,유통업
SK이노베이션,A,A+,A,C,2011,서비스업
SK증권,B+,B+,B+,C,2011,증권
SK텔레콤,A+,A+,A+,A+,2011,통신업
STX,B+,B+,B+,B+,2011,유통업
STX엔진,A,B,A,A,2011,기계
STX조선해양,A,B,A,B+,2011,운수장비
TCC동양,B이하,B,B이하,B이하,2011,철강금속
WISCOM,B이하,B,B이하,C,2011,화학
가온전선,C,B,C,B이하,2011,전기전자
강원랜드,B이하,B+,B이하,C,2011,서비스업
경남기업,B이하,B,B이하,B이하,2011,건설업
경남에너지,B이하,B,B이하,C,2011,전기가스업
경농,B이하,B,B이하,B이하,2011,화학
경동나비엔,B이하,B,B이하,B이하,2011,전기전자
경방,B이하,B,B이하,C,2011,섬유의복
경인양행,B이하,B,B이하,B이하,2011,화학
경인전자,C,B,C,C,2011,전기전자
계양전기,B이하,B,B이하,C,2011,기계
고려개발,B+,B,B+,B이하,2011,건설업
고려산업,B이하,C,B이하,C,2011,음식료품
고려아연,B이하,B+,B이하,B이하,2011,철강금속
고려제강,B이하,C,B이하,C,2011,철강금속
골든브릿지증권,C,C,C,C,2011,증권
광동제약,B이하,C,B이하,B이하,2011,의약품
광명전기,C,B,C,B이하,2011,전기전자
광전자,C,C,C,B이하,2011,전기전자
광주신세계,B+,B+,B+,B이하,2011,유통업
교보증권,B+,C,B이하,C,2011,증권
국도화학,B이하,B,B이하,B이하,2011,화학
국동,B이하,B,B이하,C,2011,유통업
국보,B이하,B,B이하,B이하,2011,운수창고업
국제약품,B이하,B,B이하,B이하,2011,의약품
그린손해보험,B이하,B,B이하,B이하,2011,보험
극동유화,B이하,B,B이하,B이하,2011,화학
