종목명,ESG 통합등급,2018_E,2018_S,2018_G,평가연도
AJ네트웍스,B이하,C,B이하,B이하,2018
AJ렌터카,B이하,B,B이하,B+,2018
AK홀딩스,B이하,C,B이하,B이하,2018
BGF,,B,,,2018
BNK금융지주,B+,B+ 이하,B+,B이하,2018
BYC,B이하,B+,B이하,B이하,2018
CJ,A,A,A+,B이하,2018
CJ CGV,B+,A,B+,B이하,2018
CJ대한통운,B+,B+,B+,A,2018
CJ씨푸드,B이하,B,B+,B이하,2018
CJ제일제당,A,B+,A+,A,2018
CJ헬로,B+,A,B+,B이하,2018
CS홀딩스,B이하,B,B이하,B이하,2018
DB,B이하,B,B이하,B이하,2018
DB금융투자,B이하,B+ 이하,B이하,B이하,2018
DB손해보험,B+,B+ 이하,A,A,2018
DB하이텍,B+,B,B+,B+,2018
DGB금융지주,B+,B+ 이하,B+,A,2018
DRB동일,B이하,C,B이하,B이하,2018
DSR,B이하,C,B이하,B이하,2018
DSR제강,B이하,C,B이하,B이하,2018
E1,B이하,B,B+,B이하,2018
F&F,B이하,C,B이하,B이하,2018
GKL,B이하,B,B+,B이하,2018
GS,B이하,B+,B이하,B이하,2018
GS건설,B+,B+,B+,A,2018
GS글로벌,B이하,B+,B이하,B이하,2018
GS리테일,B이하,B+,B+,B이하,2018
HDC,B+,B+,B+,B이하,2018
HDC아이콘트롤스,B이하,C,B이하,B이하,2018
HDC현대EP,B이하,C,B이하,B+,2018
HSD엔진,A,A,A,A,2018
JB금융지주,B+,B+ 이하,A,B이하,2018
JW생명과학,B+,B,B+,B+,2018
JW중외제약,B+,B+,B+,B이하,2018
JW홀딩스,B이하,B,B+,B이하,2018
KB금융,A+,A+,A,A+,2018
KB손해보험,,A,,,2018
KC그린홀딩스,B이하,B,B이하,B이하,2018
KC코트렐,B이하,B,B이하,B이하,2018
KEC,B이하,B,B이하,B+,2018
KG케미칼,B이하,D,B이하,B이하,2018
KISCO홀딩스,B이하,B+,B이하,B이하,2018
KPX케미칼,B이하,B,B이하,B이하,2018
KPX홀딩스,B이하,B,B이하,B이하,2018
KR모터스,B이하,C,B이하,B이하,2018
KSS해운,B이하,B,B+,B이하,2018
KTB투자증권,B이하,B+ 이하,B이하,B이하,2018
