종목명,ESG 통합등급,2011_E,2011_S,2011_G,평가연도
AK홀딩스,B이하,B,B이하,B이하,2011
BYC,B이하,B,B이하,B이하,2011
CJ,B이하,B+,B이하,,2011
CJ CGV,B이하,B,B이하,,2011
CJ대한통운,B+,B,B+,B이하,2011
CJ씨푸드,,C,,,2011
CJ제일제당,B+,B+,B+,A,2011
CS홀딩스,,B,,,2011
DB,B이하,B,B이하,,2011
DB금융투자,B이하,B,B이하,,2011
DB손해보험,A,A,A,B+,2011
DB하이텍,B이하,B,B이하,B+,2011
DRB동일,B이하,C,B이하,B이하,2011
DSR제강,B이하,C,B이하,,2011
E1,B이하,B+,B이하,B이하,2011
F&F,,B,,,2011
GKL,B+,B,B+,,2011
GS,,B+,,,2011
GS건설,A,A,A,A,2011
GS글로벌,B이하,B,B이하,B이하,2011
JW중외제약,B이하,B,B이하,B이하,2011
JW홀딩스,B이하,B,B이하,,2011
KB금융,A+,A+,A+,A,2011
KB손해보험,A,A+,A,B이하,2011
KB캐피탈,B이하,B+,B이하,,2011
KC그린홀딩스,,B,,B이하,2011
KEC,B이하,C,B이하,B이하,2011
KGP,B이하,C,B이하,B이하,2011
KG케미칼,B이하,C,B이하,B이하,2011
KISCO홀딩스,,B+,,,2011
KPX그린케미칼,,B,,B이하,2011
KPX케미칼,,B,,B이하,2011
KPX홀딩스,,B,,,2011
KR모터스,B이하,B,B이하,B이하,2011
KSS해운,B이하,B,B이하,,2011
KTB투자증권,B이하,B+,B이하,B이하,2011
LF,B이하,B+,B이하,,2011
LG,B이하,B+,B이하,,2011
LG디스플레이,B+,B+,B+,B+,2011
LG상사,B이하,B,B이하,B이하,2011
LG생명과학,B+,B+,B+,A,2011
LG생활건강,A,B+,A,A,2011
LG유플러스,B이하,A,B이하,,2011
LG이노텍,A,B+,A,A,2011
LG전자,A,B+,A,A,2011
LG하우시스,B이하,B+,B이하,B+,2011
LG화학,A,B+,A,A,2011
LS,B이하,B+,B이하,,2011
LS네트웍스,B이하,B,B이하,,2011
LS산전,B이하,A,B이하,B이하,2011
MH에탄올,,B,,B이하,2011
NAVER,B+,A,B+,B이하,2011
NH농협증권,B이하,B,B이하,,2011
NH투자증권,B+,A,B+,B이하,2011
NICE,,B,,,2011
NI스틸,,B,,,2011
OCI,A,A,A,A,2011
S&TC,B이하,B,B이하,,2011
S&T모티브,B이하,B+,B이하,B이하,2011
S&T중공업,B이하,B,B이하,B이하,2011
S&T홀딩스,B이하,B,B이하,,2011
S-Oil,A,A,A,A+,2011
SBS,,B,,,2011
SBS미디어홀딩스,,B,,,2011
SG세계물산,B이하,C,B이하,,2011
SG충방,B이하,C,B이하,,2011
SH에너지화학,B이하,C,B이하,,2011
SIMPAC,B이하,C,B이하,,2011
SK,B이하,B+,B이하,B이하,2011
SK,B이하,B+,B이하,,2011
SKC,A,A,A,A+,2011
SK가스,B이하,B,B이하,B이하,2011
SK네트웍스,A+,A,A+,B이하,2011
SK디스커버리,B+,B+,B+,A,2011
SK이노베이션,A,A+,A,,2011
SK증권,B+,B+,B+,,2011
SK텔레콤,A+,A+,A+,A+,2011
SK하이닉스,A+,A+,A+,A+,2011
SPC삼립,B이하,B,B이하,,2011
STX,B+,B+,B+,B+,2011
STX엔진,A,B,A,A,2011
STX조선해양,A,B,A,B+,2011
STX중공업,A,B,A,B+,2011
TCC동양,B이하,B,B이하,B이하,2011
WISCOM,B이하,B,B이하,,2011
YG PLUS,,C,,,2011
가온전선,,B,,B이하,2011
강남제비스코,,B,,B이하,2011
강원랜드,B이하,B+,B이하,,2011
갤럭시아에스엠,,B,,,2011
경남기업,B이하,B,B이하,B이하,2011
경남에너지,B이하,B,B이하,,2011
경농,B이하,B,B이하,B이하,2011
경동나비엔,B이하,B,B이하,B이하,2011
경동인베스트,B이하,B+,B이하,,2011
경방,B이하,B,B이하,,2011
경인양행,B이하,B,B이하,B이하,2011
경인전자,,B,,,2011
계룡건설산업,B이하,B,B이하,B이하,2011
계양전기,B이하,B,B이하,,2011
고려개발,B+,B,B+,B이하,2011
고려산업,B이하,C,B이하,,2011
고려아연,B이하,B+,B이하,B이하,2011
고려제강,B이하,C,B이하,,2011
골든브릿지증권,,C,,,2011
광동제약,B이하,C,B이하,B이하,2011
광명전기,,B,,B이하,2011
광전자,,C,,B이하,2011
광주신세계,B+,B+,B+,B이하,2011
교보증권,B+,C,B이하,,2011
국도화학,B이하,B,B이하,B이하,2011
국동,B이하,B,B이하,,2011
국보,B이하,B,B이하,B이하,2011
국제약품,B이하,B,B이하,B이하,2011
그린손해보험,B이하,B,B이하,B이하,2011
극동유화,B이하,B,B이하,B이하,2011
금강공업,B이하,B,B이하,,2011
금비,,C,,,2011
금양,,B,,,2011
금호산업,B+,C,B+,B이하,2011
금호석유화학,A,B+,A,A,2011
금호전기,B이하,B,B이하,B이하,2011
기신정기,B이하,B+,B이하,,2011
기아자동차,A,B+,A,A,2011
기업은행,B+,B+,B+,,2011
까뮤이앤씨,B이하,B,B이하,B이하,2011
깨끗한나라,B이하,B,B이하,B+,2011
나노메딕스,B이하,C,B이하,,2011
남광토건,B이하,C,B이하,B이하,2011
남선알미늄,,C,,B이하,2011
남성,,C,,,2011
남양유업,,B,,,2011
남영비비안,B이하,B,B이하,,2011
남해화학,B이하,B,B이하,B이하,2011
넥센,B이하,B,B이하,,2011
넥센타이어,B이하,C,B이하,B이하,2011
노루페인트,B이하,B,B이하,B이하,2011
노루홀딩스,,B,,,2011
녹십자,B이하,B,B이하,B이하,2011
녹십자홀딩스,B이하,B,B이하,,2011
농심,B이하,B,B이하,B이하,2011
농심홀딩스,B이하,B,B이하,,2011
다우기술,B이하,C,B이하,,2011
다우인큐브,,C,,,2011
다함이텍,,B,,,2011
대경기계기술,B이하,B,B이하,B이하,2011
대교,B이하,A,B이하,,2011
대구백화점,B이하,B+,B이하,B이하,2011
대구은행,B+,A+,B+,A,2011
대덕GDS,B이하,B,B이하,A,2011
대덕전자,B이하,B,B이하,B이하,2011
대동공업,B이하,B,B이하,B이하,2011
대동전자,,C,,,2011
대림비앤코,,B,,B이하,2011
대림산업,A,B+,A,A,2011
대림통상,B이하,C,B이하,B이하,2011
대상,B이하,B,B이하,B이하,2011
대상홀딩스,,B,,,2011
대성합동지주,B이하,B,B이하,B이하,2011
대성홀딩스,,B,,,2011
대신증권,B이하,A,B이하,,2011
대양금속,,C,,,2011
대영포장,B이하,C,B이하,B이하,2011
대우건설,B이하,B,B이하,B이하,2011
대우부품,B이하,C,B이하,,2011
대우자동차판매,,B,,B이하,2011
대우조선해양,B+,B+,B+,A,2011
대웅,B이하,B,B이하,,2011
대웅제약,B+,B,B이하,,2011
대원강업,B이하,C,B이하,B이하,2011
대원전선,,C,,B이하,2011
대원제약,B이하,B+,B이하,,2011
대원화성,,B,,B이하,2011
