,기업,ESG등급,환경,사회,지배구조,평가년도
1519,한창,C,D,B,C,2020
1520,한창제지,B,B,C,B,2020
1521,한화,A,B+,A,A,2020
1522,한화생명,A,A,A+,B+,2020
1523,한화손해보험,B+,B,A,B,2020
1524,한화솔루션,B+,A,A,B,2020
1525,한화시스템,-,-,-,-,2020
1526,한화에어로스페이스,A,A,A,A,2020
1527,한화투자증권,B+,B,A,B+,2020
1528,해성디에스,A,A,A,A,2020
1529,해태제과식품,B,D,B+,B,2020
1530,핸즈코퍼레이션,B,B,B,B+,2020
1531,현대건설,A,A+,A,A,2020
1532,현대건설기계,A,B+,A,A,2020
1533,현대그린푸드,A,B+,A,A,2020
1534,현대글로비스,A,A,A+,A,2020
1535,현대두산인프라코어,A,A,A+,A,2020
1536,현대로템,B+,B,A,B+,2020
1537,현대리바트,A,B,A,A,2020
1538,현대모비스,A,B+,A+,A,2020
1539,현대미포조선,A,A,A+,A,2020
1540,현대백화점,A,B+,A,A,2020
1541,현대비앤지스틸,B+,B+,A,B+,2020
1542,현대약품,B,B,B+,B,2020
1543,현대에너지솔루션,-,-,-,-,2020
1544,현대엘리베이터,A,B+,A,A,2020
1545,현대오토에버,-,-,-,-,2020
1546,현대위아,A,A,A+,A,2020
1547,현대일렉트릭,A,A,A+,A,2020
1548,현대자동차,A,A,A+,A,2020
1549,현대제철,B+,B+,B,B+,2020
1550,현대중공업,-,-,-,-,2020
1551,현대차증권,A,B,A+,A,2020
1552,현대코퍼레이션,B,D,B,B,2020
1553,현대코퍼레이션홀딩스,C,D,C,B,2020
1554,현대퓨처넷,B+,C,A,A,2020
1555,현대해상,A,B+,A,A,2020
1556,현대홈쇼핑,A,A,A,A,2020
1557,형지엘리트,C,D,B,C,2020
1558,혜인,C,B,C,C,2020
1559,호전실업,C,D,C,B+,2020
1560,호텔신라,A,A,A,A,2020
1561,화성산업,B,C,B,B+,2020
1562,화승엔터프라이즈,B+,B+,B,A,2020
1563,화승인더스트리,B,B,B,B+,2020
1564,화승코퍼레이션,B+,B+,B,B+,2020
1565,화신,C,D,B+,B,2020
1566,화인베스틸,B,B,C,B,2020
1567,화천기계,C,B,B,C,2020
1568,화천기공,C,D,C,B,2020
1569,환인제약,B,D,B+,B+,2020
1570,황금에스티,D,D,C,C,2020
1571,효성,B+,A,A+,B,2020
1572,효성 ITX,B+,C,B+,B+,2020
1573,효성중공업,A,A,A+,A,2020
1574,효성첨단소재,A+,A+,A+,A,2020
1575,효성티앤씨,A+,A+,A+,A,2020
1576,효성화학,A+,A+,A+,A,2020
1577,후성,C,B,C,C,2020
1578,휠라홀딩스,B+,B,B+,B+,2020
1579,휴니드테크놀러지스,C,C,B,B,2020
1580,휴비스,B+,B+,B+,B+,2020
1581,휴스틸,C,B,B,C,2020
1582,흥국화재,B,D,A,B,2020
1583,흥아해운,D,D,C,D,2020
