기업명,기업코드,ESG등급,환경,사회,지배구조,평가년도
SK텔레콤,017670,A,A+,A+,A,2022
SK하이닉스,000660,B+,B+,A,B+,2022
SNT모티브,064960,C,C,D,B,2022
SNT에너지,100840,C,D,C,C,2022
SNT중공업,003570,C,C,C,B,2022
SNT홀딩스,036530,C,C,C,B,2022
SPC삼립,005610,B,C,B+,B,2022
STX,011810,C,D,C,C,2022
STX엔진,077970,C,D,B,D,2022
STX중공업,071970,C,D,B,B,2022
SUN&L,002820,C,D,C,B,2022
TCC스틸,002710,C,C,C,C,2022
TYM,002900,B+,B,B+,B+,2022
WISCOM,024070,C,D,D,B,2022
YG PLUS,037270,D,D,D,D,2022
가온전선,000500,B,C,B+,B+,2022
강남제비스코,000860,C,C,B,B,2022
강원랜드,035250,A,B+,A+,A,2022
갤럭시아에스엠,011420,D,D,D,D,2022
경남은행,192520,-,-,-,A,2022
경농,002100,C,C,D,B,2022
경동나비엔,009450,C,C,B,D,2022
경동도시가스,267290,B,C,B+,B,2022
경동인베스트,012320,C,C,B+,C,2022
경방,000050,D,C,D,D,2022
경보제약,214390,B+,B,A,B+,2022
경인양행,012610,C,B,B+,D,2022
경인전자,009140,D,D,D,D,2022
계룡건설산업,013580,C,B,B,C,2022
계양전기,012200,C,C,B,D,2022
고려산업,002140,D,D,D,D,2022
고려아연,010130,B,B+,A,C,2022
고려제강,002240,D,C,C,D,2022
고영,098460,B,C,B+,B,2022
골프존,215000,B+,B+,A,B,2022
광동제약,009290,C,D,B,B,2022
광명전기,017040,D,D,C,D,2022
광전자,017900,D,D,D,C,2022
광주신세계,037710,B+,B+,A,B+,2022
광주은행,192530,-,-,-,B+,2022
교보생명보험,811097,-,-,-,B+,2022
교보증권,030610,B+,B+,B+,B+,2022
교촌에프앤비,339770,C,D,C,B,2022
국도화학,007690,D,C,D,D,2022
국동,005320,D,D,C,D,2022
국민은행,060000,-,-,-,A,2022
국보,001140,D,D,D,D,2022
국일제지,078130,C,C,C,B,2022
국제약품,002720,C,D,C,B,2022
그린케미칼,083420,D,D,D,D,2022
극동유화,014530,D,D,C,D,2022
금강공업,014280,C,D,D,B,2022
금비,008870,D,D,D,D,2022
금양,001570,D,D,D,C,2022
금호건설,002990,C,C,B+,D,2022
금호석유화학,011780,A,B+,A,A,2022
금호에이치티,214330,D,D,D,D,2022
금호전기,001210,D,D,C,D,2022
금호타이어,073240,B+,B,A,B,2022
기신정기,092440,D,D,D,D,2022
기아,000270,B+,A,A,B,2022
기업은행,024110,A,A+,A+,B+,2022
까뮤이앤씨,013700,C,D,D,B,2022
깨끗한나라,004540,C,C,B,C,2022
나노스,151910,D,D,D,D,2022
나노엔텍,039860,D,D,D,D,2022
나스미디어,089600,B+,B,B,B+,2022
나우IB,293580,D,D,D,C,2022
남광토건,001260,C,D,D,B,2022
남선알미늄,008350,D,D,D,C,2022
남성,004270,D,D,D,D,2022
남양유업,003920,C,B,B+,D,2022
남해화학,025860,C,C,C,C,2022
네오위즈,095660,C,D,C,B,2022
네이처셀,007390,D,D,D,D,2022
네패스,033640,C,C,B+,D,2022
넥센,005720,B+,B+,A,B,2022
