기업명,기업코드,ESG등급,환경,사회,지배구조,평가년도
유안타증권,003470,C,D,C,B,2022
유엔젤,072130,D,D,D,D,2022
유유제약,000220,C,D,B,D,2022
유진기업,023410,D,D,C,D,2022
유진증권,001200,B,C,B+,B,2022
유진테크,084370,D,D,C,C,2022
유한양행,000100,B+,B,A,B+,2022
유화증권,003460,D,D,D,C,2022
율촌화학,008730,C,C,C,C,2022
이건산업,008250,D,D,C,D,2022
이구산업,025820,C,C,C,C,2022
이노션,214320,B+,B,A,B+,2022
이녹스첨단소재,272290,C,C,C,C,2022
이니텍,053350,B,C,B+,B,2022
이마트,139480,A,A+,A,B+,2022
이베스트투자증권,078020,C,D,C,B,2022
이수페타시스,007660,C,B,B+,D,2022
이수화학,005950,C,B,B+,D,2022
이스타코,015020,D,D,D,C,2022
이아이디,093230,D,D,D,D,2022
이엔에프테크놀로지,102710,D,D,C,D,2022
이엔플러스,074610,D,D,C,D,2022
이연제약,102460,C,D,D,B+,2022
이오테크닉스,039030,D,D,D,C,2022
이월드,084680,D,D,C,D,2022
이화산업,000760,D,D,D,D,2022
인디에프,014990,D,D,D,C,2022
인바이오젠,101140,D,D,D,D,2022
인선이엔티,060150,D,C,C,D,2022
인스코비,006490,D,D,D,D,2022
인지컨트롤스,023800,D,D,C,D,2022
인천도시가스,034590,C,D,B,B,2022
인크로스,216050,C,D,C,B,2022
인탑스,049070,B,C,B+,B+,2022
인터지스,129260,C,C,B,C,2022
인터파크,035080,C,D,C,B,2022
인터플렉스,051370,D,C,D,D,2022
인트론바이오,048530,C,D,D,B,2022
인팩,023810,C,D,C,B,2022
일동제약,249420,B,C,A+,B,2022
일동홀딩스,000230,B+,C,A+,B+,2022
일성건설,013360,D,D,D,C,2022
일성신약,003120,D,D,D,D,2022
일신방직,003200,D,C,C,D,2022
일신석재,007110,D,D,D,C,2022
일양약품,007570,C,D,C,B+,2022
일정실업,008500,D,D,D,C,2022
일진다이아,081000,D,D,D,C,2022
일진디스플,020760,D,D,D,C,2022
일진머티리얼즈,020150,D,D,D,D,2022
일진전기,103590,D,D,C,D,2022
일진홀딩스,015860,C,D,C,B,2022
잇츠한불,226320,C,D,C,B,2022
자이에스앤디,317400,B,C,B+,B+,2022
자화전자,033240,D,D,C,C,2022
전방,000950,D,C,C,D,2022
전북은행,006350,-,-,-,B+,2022
제넥신,095700,D,D,C,D,2022
제이비우리캐피탈,818905,-,-,-,B+,2022
제이앤티씨,204270,D,D,D,D,2022
제이에스코퍼레이션,194370,C,D,D,B,2022
제이준코스메틱,025620,D,D,D,C,2022
제일기획,030000,A,B+,A,A,2022
제일약품,271980,D,D,D,D,2022
제일연마,001560,C,D,D,B+,2022
제일파마홀딩스,002620,D,D,D,D,2022
제주은행,006220,B+,A,A,B+,2022
제주항공,089590,B,C,B+,B+,2022
젬백스,082270,D,D,D,D,2022
조광페인트,004910,C,C,C,C,2022
조광피혁,004700,C,D,D,B,2022
조비,001550,D,D,D,D,2022
조선내화,000480,D,C,C,D,2022
조선선재,120030,D,D,D,C,2022
조일알미늄,018470,C,C,C,B,2022
조흥,002600,C,C,C,C,2022
종근당,185750,B+,B+,A,B,2022
종근당바이오,063160,B+,B,A,B,2022
종근당홀딩스,001630,B+,B+,A,B,2022
주성엔지니어링,036930,C,C,B,C,2022
주연테크,044380,D,D,D,D,2022
지누스,013890,B+,B,B+,A,2022
지니뮤직,043610,C,C,B,C,2022
지씨셀,144510,B+,B,A,B+,2022
지엠비코리아,013870,D,D,C,D,2022
지역난방공사,071320,A+,A,A+,A+,2022
지투알,035000,B,D,B,B+,2022
진도,088790,D,D,D,C,2022
진양산업,003780,D,D,D,D,2022
진양폴리우레탄,010640,D,D,D,C,2022
진양홀딩스,100250,D,D,D,D,2022
진양화학,051630,D,D,D,C,2022
진에어,272450,B+,B,B+,A,2022
진원생명과학,011000,D,D,D,D,2022
진흥기업,002780,C,D,C,B,2022
차바이오텍,085660,D,D,D,C,2022
참엔지니어링,009310,C,D,C,B,2022
천보,278280,D,D,D,C,2022
천일고속,000650,D,D,D,D,2022
체시스,033250,D,D,D,C,2022
초록뱀헬스케어,118000,D,D,D,D,2022
카카오,035720,A,A,A,A,2022
카카오게임즈,293490,B,D,B+,B,2022
카카오뱅크,323410,-,-,-,B+,2022
카페24,042000,C,D,D,B,2022
카프로,006380,C,C,D,C,2022
컨버즈,109070,D,D,D,C,2022
컴투스,078340,D,C,C,D,2022
케어젠,214370,C,D,D,B+,2022
케이디비생명보험,807958,-,-,-,B,2022
케이뱅크,800172,-,-,-,A,2022
케이비국민카드,861717,-,-,-,A,2022
케이비생명보험,805087,-,-,-,B+,2022
케이비아이동국실업,001620,D,D,D,D,2022
케이비증권,003450,-,-,-,A,2022
케이씨,029460,C,D,B,C,2022
케이씨씨,002380,A,B+,A,A,2022
케이씨씨글라스,344820,B+,B+,A,B+,2022
케이씨텍,281820,C,D,C,B,2022
케이씨티시,009070,D,D,C,D,2022
케이엠더블유,032500,D,D,C,C,2022
케이티,030200,A,A,A,A,2022
케이티스카이라이프,053210,A,B,A+,A,2022
케이티알파,036030,B+,B,B+,B+,2022
케이티앤지,033780,A,A,A+,A,2022
코나아이,052400,D,D,D,D,2022
코리아센터,290510,C,D,C,B,2022
코리아써키트,007810,D,C,D,D,2022
코리아에셋투자증권,190650,C,D,C,C,2022
코리안리,003690,B+,C,B+,B+,2022
코미코,183300,C,C,B,C,2022
코미팜,041960,D,D,D,C,2022
코스맥스,192820,B,B+,A,C,2022
코스맥스비티아이,044820,B+,B+,A,B,2022
코스모신소재,005070,D,C,C,D,2022
코스모화학,005420,D,C,D,D,2022
코아스,071950,C,D,D,B+,2022
코엔텍,029960,D,C,D,D,2022
코오롱,002020,C,C,A,C,2022
코오롱글로벌,003070,C,D,C,B+,2022
코오롱생명과학,102940,C,D,C,B,2022
코오롱인더,120110,B+,B,A,A,2022
코오롱플라스틱,138490,B,C,B,B+,2022
코웨이,021240,B+,A,A,B,2022
코웰패션,033290,D,D,D,D,2022
콘텐트리중앙,036420,D,D,C,D,2022
콜마비앤에이치,200130,B+,B,B+,B+,2022
콤텍시스템,031820,D,D,D,D,2022
쿠쿠홀딩스,192400,C,D,D,B,2022
쿠쿠홈시스,284740,C,D,D,B,2022
큐로,015590,D,D,C,D,2022
큐캐피탈,016600,D,D,D,D,2022
크라운제과,264900,C,C,B,C,2022
크라운해태홀딩스,005740,C,C,B,C,2022
클래시스,214150,B+,C,B+,A,2022
키다리스튜디오,020120,D,D,D,C,2022
키움증권,039490,B,B,C,B,2022
태경비케이,014580,D,C,C,D,2022
태경산업,015890,C,C,C,C,2022
태경케미컬,006890,D,D,C,D,2022
태광산업,003240,D,D,C,C,2022
태림포장,011280,C,C,B+,C,2022
태양금속공업,004100,D,D,D,D,2022
태영건설,009410,B+,B+,B,B+,2022
태원물산,001420,D,D,D,D,2022
태평양물산,007980,C,D,B,D,2022
테스,095610,C,D,B,C,2022
테스나,131970,D,D,C,D,2022
테이팩스,055490,B+,B,A,B,2022
텔코웨어,078000,D,D,D,C,2022
토니모리,214420,C,D,D,B+,2022
톱텍,108230,D,D,C,C,2022
티비에이치글로벌,084870,D,D,D,C,2022
티씨케이,064760,D,D,C,C,2022
티에스이,131290,C,D,C,B,2022
티에이치엔,019180,D,D,C,D,2022
티와이홀딩스,363280,B+,B+,B,B+,2022
티웨이항공,091810,C,D,C,B,2022
티웨이홀딩스,004870,D,D,C,D,2022
티케이지휴켐스,069260,B,B,B+,B,2022
티케이케미칼,104480,D,C,C,D,2022
파라다이스,034230,C,D,C,C,2022
파마리서치,214450,C,D,D,B+,2022
파미셀,005690,D,D,D,D,2022
파크시스템스,140860,D,D,D,C,2022
파트론,091700,D,D,D,C,2022
팜스코,036580,B,B,A,C,2022
팜젠사이언스,004720,D,D,D,D,2022
팬오션,028670,B,A,B+,C,2022
퍼스텍,010820,D,D,D,C,2022
퍼시스,016800,D,D,C,D,2022
펄어비스,263750,B,C,B+,B,2022
페이퍼코리아,001020,D,C,D,D,2022
평화산업,090080,C,D,C,B,2022
평화홀딩스,010770,C,D,D,B+,2022
포스코 ICT,022100,A,B+,A+,B+,2022
포스코스틸리온,058430,A,B+,A+,B+,2022
포스코엠텍,009520,B+,B+,A,B,2022
포스코인터내셔널,047050,A,B+,A+,A,2022
포스코케미칼,003670,B+,B+,A,B,2022
푸르덴셜생명보험,839185,-,-,-,A,2022
푸본현대생명보험,860086,-,-,-,B,2022
풀무원,017810,A,B+,A+,A,2022
풍산,103140,B,C,B+,B+,2022
풍산홀딩스,005810,B,C,B+,B+,2022
플레이그램,009810,D,D,D,D,2022
플레이디,237820,B,D,B,B+,2022
피에스케이,319660,C,D,C,B,2022
피엔티,137400,C,D,C,B,2022
하나금융지주,086790,A,A+,A+,A,2022
하나마이크론,067310,C,C,B,C,2022
하나머티리얼즈,166090,D,D,C,C,2022
하나생명보험,800845,-,-,-,B,2022
하나은행,004940,-,-,-,B+,2022
하나제약,293480,C,D,C,B,2022
하나증권,805992,-,-,-,B+,2022
하나카드,856659,-,-,-,B,2022
하나캐피탈,809337,-,-,-,B+,2022
하나투어,039130,B+,B+,B+,B+,2022
하림,136480,B,C,B,B,2022
하림지주,003380,C,B+,B+,C,2022
하이브,352820,C,D,D,B,2022
하이스틸,071090,C,D,C,B,2022
하이투자증권,814270,-,-,-,B+,2022
하이트론씨스템즈,019490,D,D,D,D,2022
하이트진로,000080,B,B,B+,B,2022
하이트진로홀딩스,000140,B,B,B+,B,2022
한국가스공사,036460,B+,B+,A,B+,2022
한국공항,005430,C,C,B+,C,2022
한국금융지주,071050,B,D,B+,B+,2022
한국내화,010040,C,C,B+,D,2022
한국단자공업,025540,D,D,C,C,2022
한국비엔씨,256840,D,D,D,C,2022
한국석유공업,004090,B,D,B,B+,2022
한국수출포장공업,002200,D,C,D,D,2022
한국쉘석유,002960,C,C,C,B,2022
한국스탠다드차타드은행,000110,-,-,-,A+,2022
한국씨티은행,016830,-,-,-,B,2022
한국앤컴퍼니,000240,B,C,B,B+,2022
한국자산신탁,123890,C,C,D,B,2022
한국전력공사,015760,B,B,B,B+,2022
한국전자홀딩스,006200,D,C,D,D,2022
한국정보인증,053300,C,D,C,C,2022
한국조선해양,009540,B+,B+,A,B+,2022
한국종합기술,023350,C,D,C,B,2022
한국주강,025890,D,D,D,D,2022
한국주철관공업,000970,D,C,C,D,2022
한국철강,104700,C,C,D,B,2022
한국카본,017960,C,B+,A,D,2022
한국캐피탈,023760,D,D,D,C,2022
한국콜마,161890,B+,B+,B+,B+,2022
한국콜마홀딩스,024720,B+,B+,B+,B+,2022
한국타이어앤테크놀로지,161390,B,B,A,C,2022
한국토지신탁,034830,C,D,C,C,2022
한국투자증권,804504,-,-,-,B,2022
한국특강,007280,D,C,C,D,2022
한국프랜지공업,010100,D,D,C,C,2022
한국항공우주,047810,B,B,A,C,2022
한국화장품,123690,C,D,C,C,2022
한국화장품제조,003350,D,D,C,C,2022
한농화성,011500,D,D,D,D,2022
한독,002390,B+,B,A,B+,2022
한라홀딩스,060980,B+,B+,A,B+,2022
한미글로벌,053690,B+,B+,A,B+,2022
한미반도체,042700,C,D,D,B,2022
한미사이언스,008930,B+,B,A+,B,2022
한미약품,128940,B+,B,A+,B,2022
한샘,009240,A,B+,A,A,2022
한섬,020000,B+,A,A,B,2022
한성기업,003680,D,D,D,D,2022
한세실업,105630,C,C,B+,C,2022
한세엠케이,069640,C,C,B,C,2022
한세예스24홀딩스,016450,B+,C,B+,B+,2022
한솔로지스틱스,009180,B+,C,A,B+,2022
한솔제지,213500,B+,B+,A,B+,2022
한솔케미칼,014680,B,C,B+,B+,2022
한솔테크닉스,004710,B+,B,A,B+,2022
한솔피엔에스,010420,B,C,B,B+,2022
한솔홀딩스,004150,A,B+,A,A,2022
한솔홈데코,025750,B,C,B,B+,2022
한신공영,004960,D,D,C,D,2022
한신기계공업,011700,D,D,D,D,2022
한양증권,001750,D,D,D,C,2022
한온시스템,018880,B,B+,A,C,2022
한올바이오파마,009420,C,D,C,C,2022
한익스프레스,014130,D,D,C,D,2022
한일시멘트,300720,C,B+,A,D,2022
한일철강,002220,D,D,D,D,2022
한일현대시멘트,006390,B+,B+,B+,B,2022
한일홀딩스,003300,C,B+,A,D,2022
한전KPS,051600,A,B+,A,A,2022
한전기술,052690,B+,B,B+,B+,2022
한전산업,130660,C,C,B,C,2022
한진,002320,B+,B+,A,B+,2022
한진중공업홀딩스,003480,C,D,D,B+,2022
한진칼,180640,A,A,A,A,2022
한창,005110,D,D,D,D,2022
한창제지,009460,C,C,C,B,2022
한화,000880,A,A,A+,A,2022
한화생명,088350,A,A,A+,B+,2022
한화손해보험,000370,A,A,A,A,2022
한화솔루션,009830,B,A,A,C,2022
한화시스템,272210,A,B+,A+,A,2022
한화에어로스페이스,012450,B+,B+,A,B,2022
한화투자증권,003530,B+,B+,A,B+,2022
해성디에스,195870,B+,B+,A,B+,2022
해태제과식품,101530,C,D,B,C,2022
핸즈코퍼레이션,143210,C,C,B,D,2022
헬릭스미스,084990,D,D,D,D,2022
현대건설,000720,A,A,A,B+,2022
현대건설기계,267270,A,B+,A,A,2022
현대그린푸드,005440,A,A,A,A,2022
현대글로비스,086280,A,A,A+,A,2022
현대두산인프라코어,042670,B+,B+,A,B+,2022
현대로템,064350,A,A,A+,A,2022
현대리바트,079430,A,A,A,A,2022
현대모비스,012330,A,A,A+,B+,2022
현대미포조선,010620,B+,B+,A,B+,2022
현대바이오,048410,D,D,D,C,2022
현대바이오랜드,052260,A,B+,A,A,2022
현대백화점,069960,A,A,A,A,2022
현대비앤지스틸,004560,C,B+,B+,D,2022
현대약품,004310,D,D,C,D,2022
현대에너지솔루션,322000,A,A,A+,B+,2022
현대에버다임,041440,A,B,A,A,2022
현대엘리베이터,017800,B,C,B,B,2022
현대오토에버,307950,B+,B+,A,B+,2022
현대위아,011210,A,A,A,B+,2022
현대이지웰,090850,A,A,A+,B+,2022
현대일렉트릭,267260,B+,B+,A,B+,2022
현대자동차,005380,B+,A,B+,B,2022
현대제철,004020,A,A,A,B+,2022
현대중공업,329180,B+,B+,A,B+,2022
현대차증권,001500,A,B+,A+,B+,2022
현대카드,815419,-,-,-,A,2022
현대캐피탈,836248,-,-,-,A,2022
현대커머셜,888975,-,-,-,A,2022
현대코퍼레이션,011760,B,C,B,B,2022
현대코퍼레이션홀딩스,227840,B,C,B,B+,2022
현대퓨처넷,126560,A,A,A,A,2022
현대해상,001450,B+,A,A,B+,2022
현대홈쇼핑,057050,A,A,A+,A,2022
형지엘리트,093240,D,D,C,D,2022
혜인,003010,D,D,D,D,2022
호전실업,111110,D,D,D,C,2022
호텔신라,008770,A,B+,A,A,2022
