종목명,ESG 통합등급,2012_E,2012_S,2012_G,평가연도
AK홀딩스,B이하,C,B이하,B+,2012
BNK금융지주,A,A+,A,B이하,2012
BYC,B이하,C,B이하,B이하,2012
CJ,B이하,B,B이하,B이하,2012
CJ CGV,B이하,B,B이하,B이하,2012
CJ대한통운,B이하,B,B+,B이하,2012
CJ씨푸드,B이하,C,B이하,B이하,2012
CJ제일제당,B+,B+,B이하,B+,2012
CS홀딩스,,C,B이하,,2012
DB,B이하,B,B이하,B이하,2012
DB금융투자,,B,B+,,2012
DB손해보험,B+,B+,A,B+,2012
DB하이텍,B이하,B,B이하,B+,2012
DGB금융지주,B+,A,B이하,B+,2012
DRB동일,B이하,B,B이하,B이하,2012
DSR제강,B이하,C,B이하,B이하,2012
E1,B이하,B,B+,B이하,2012
F&F,B이하,B,B이하,B이하,2012
GKL,,B+,B+,,2012
GS,B이하,B+,B이하,B이하,2012
GS건설,A,A,A,A,2012
GS글로벌,B이하,B,B이하,B이하,2012
JW중외제약,B이하,B,B이하,B이하,2012
JW홀딩스,B이하,B,B이하,B이하,2012
KB금융,A+,A+,A+,A,2012
KB손해보험,A,A,A,B+,2012
KB캐피탈,,A,B이하,,2012
KC그린홀딩스,B이하,B,B이하,B이하,2012
KC코트렐,B이하,B,B이하,B이하,2012
KEC,B이하,C,B이하,B이하,2012
KGP,B이하,C,B이하,B이하,2012
KG케미칼,B이하,C,B이하,B이하,2012
KISCO홀딩스,B이하,B,B이하,B이하,2012
KPX그린케미칼,B이하,B,B이하,B+,2012
KPX케미칼,B이하,B,B이하,B+,2012
KPX홀딩스,B이하,B,B이하,B이하,2012
KR모터스,B이하,B,B이하,B이하,2012
KSS해운,B이하,B,B이하,B이하,2012
KTB투자증권,,B+,B이하,,2012
KTcs,,B,B이하,,2012
LF,B이하,B,B이하,B이하,2012
LG,B이하,B,B이하,B이하,2012
LG디스플레이,B+,B+,B+,B+,2012
LG상사,B이하,B+,B이하,B이하,2012
LG생명과학,B+,B+,B+,B+,2012
LG생활건강,A,B+,A+,A,2012
LG유플러스,B이하,B+,B+,B이하,2012
LG이노텍,A,B+,A,A,2012
LG전자,A,B+,A,A,2012
LG하우시스,B+,B+,A,B+,2012
LG화학,A,B+,A,A,2012
LS,B이하,B+,B이하,B이하,2012
LS네트웍스,B이하,B,B이하,B이하,2012
LS산전,B+,B+,B이하,B+,2012
MH에탄올,B이하,B,B이하,B이하,2012
NAVER,B+,A,B+,B+,2012
NH농협증권,B이하,B+,B이하,B이하,2012
NH투자증권,A,A,A,B+,2012
NICE,,B,B이하,,2012
NI스틸,B이하,C,B이하,B이하,2012
OCI,A,B+,A,A,2012
S&TC,B이하,B,B이하,B이하,2012
S&T모티브,B이하,B+,B이하,B이하,2012
S&T중공업,B이하,B,B이하,B이하,2012
S&T홀딩스,B이하,B,B이하,B이하,2012
S-Oil,A,A,A,A+,2012
SBS,B이하,B+,B이하,B이하,2012
SBS미디어홀딩스,B이하,B,B이하,B이하,2012
SG세계물산,B이하,C,B이하,B이하,2012
SG충방,B이하,C,B이하,B이하,2012
SH에너지화학,B이하,B,B이하,B이하,2012
SIMPAC,B이하,B,B이하,B이하,2012
SK,A,B+,A,A,2012
SK,B+,B+,B+,B이하,2012
SKC,A,A,A,A,2012
SK가스,B이하,C,B+,B이하,2012
SK네트웍스,B+,A,A,B이하,2012
SK디스커버리,B+,B+,B이하,A,2012
SK이노베이션,A,A,B+,A,2012
SK증권,B+,A,A,B이하,2012
SK텔레콤,A,B+,A,A+,2012
SK하이닉스,A+,A+,A+,A+,2012
SPC삼립,B이하,B,B이하,B이하,2012
STX,B+,B,B+,B+,2012
STX엔진,B+,B,A,A,2012
STX조선해양,B이하,C,B+,B+,2012
STX중공업,B+,B,B+,B+,2012
TCC동양,B이하,C,B이하,B이하,2012
WISCOM,B이하,B+,B이하,B이하,2012
YG PLUS,,C,B이하,,2012
가온전선,B이하,B,B이하,B이하,2012
강남제비스코,B이하,B,B이하,B이하,2012
강원랜드,B+,B+,A,B+,2012
갤럭시아에스엠,,C,B이하,,2012
경남기업,B이하,C,B이하,B이하,2012
경남에너지,B이하,B,B이하,B이하,2012
경농,B이하,B,B이하,B+,2012
경동나비엔,B이하,C,B이하,B이하,2012
경동인베스트,B이하,B,B이하,B이하,2012
경방,B이하,B,B이하,B이하,2012
경인양행,B이하,B,B이하,B+,2012
경인전자,B이하,B,B이하,B이하,2012
계룡건설산업,B+,B+,B+,B이하,2012
계양전기,B이하,B,B+,B이하,2012
고려개발,B이하,B,B+,B이하,2012
고려산업,B이하,C,B이하,B이하,2012
고려아연,B+,B+,B이하,B+,2012
고려제강,B이하,C,B이하,B이하,2012
골든브릿지증권,,B,B이하,,2012
광동제약,B이하,B,B이하,B이하,2012
광명전기,B이하,B,B이하,B이하,2012
광전자,B이하,B,B이하,B이하,2012
광주신세계,B이하,B,B+,B이하,2012
교보증권,B이하,B,B이하,B이하,2012
국도화학,B이하,B,B이하,B+,2012
국동,B이하,B,B이하,B이하,2012
국보,B이하,C,B이하,B이하,2012
