종목명,ESG 통합등급,2014_E,2014_S,2014_G,평가연도
AJ렌터카,B이하,C,B이하,B이하,2014
AK홀딩스,B이하,C,B이하,B이하,2014
BNK금융지주,A,A+,A,B이하,2014
BYC,B이하,C,B이하,B이하,2014
CJ,B+,B,A,B+,2014
CJ CGV,B이하,C,B+,B이하,2014
CJ대한통운,B+,B+,A,B+,2014
CJ씨푸드,B이하,B,B이하,B이하,2014
CJ제일제당,B+,B,A,A,2014
CJ헬로,B이하,B+,B이하,B이하,2014
CS홀딩스,B이하,C,B이하,B이하,2014
DB,B이하,B,B이하,B이하,2014
DB금융투자,B이하,B,B이하,B이하,2014
DB손해보험,A,A+,B+,B+,2014
DB하이텍,B이하,B,B+,B이하,2014
DGB금융지주,A,A,A,A,2014
DRB동일,B이하,C,B이하,B이하,2014
DSR제강,B이하,C,B이하,B이하,2014
E1,B이하,B+,B이하,B이하,2014
F&F,B이하,B,B이하,B이하,2014
GKL,B이하,B,B이하,B이하,2014
GS,B이하,B+,B이하,B이하,2014
GS건설,A,B+,A,A,2014
GS글로벌,B이하,B,B이하,B이하,2014
GS리테일,B+,B+,B이하,B+,2014
JW중외제약,B이하,C,B이하,B이하,2014
JW홀딩스,B이하,B,B이하,B이하,2014
KB금융,A,A,B+,A,2014
KB손해보험,A,A+,B+,B이하,2014
KB캐피탈,B이하,B+,B이하,B이하,2014
KC그린홀딩스,B이하,B,B이하,B이하,2014
KC코트렐,B이하,B,B이하,B+,2014
KEC,B이하,B,B이하,B+,2014
KGP,B이하,C,B이하,B이하,2014
KG케미칼,B이하,C,B이하,B이하,2014
KISCO홀딩스,B이하,B,B이하,B이하,2014
KPX그린케미칼,B이하,C,B이하,B+,2014
KPX케미칼,B이하,B,B이하,B이하,2014
KPX홀딩스,B이하,B,B이하,B이하,2014
KR모터스,B이하,B,B이하,B이하,2014
KSS해운,B이하,B+,B이하,B이하,2014
KTB투자증권,B이하,B,B이하,B이하,2014
KTcs,B이하,B,B이하,B이하,2014
LF,B이하,B,B이하,B이하,2014
LG,B+,A,B+,B이하,2014
LG디스플레이,A,B+,A,A,2014
LG상사,B+,B+,B+,B+,2014
LG생명과학,B+,B+,B+,B이하,2014
LG생활건강,A,B+,A,A,2014
LG유플러스,A,A,B+,A,2014
LG이노텍,A,A,A,A,2014
LG전자,A,B+,A,A+,2014
LG하우시스,A,B+,A,A,2014
LG화학,A,A,A,B+,2014
LS,B이하,B+,B이하,B이하,2014
LS네트웍스,B이하,B,B이하,B이하,2014
LS산전,B+,B+,B+,B+,2014
MH에탄올,B이하,B,B이하,B이하,2014
NAVER,B+,A,B+,B이하,2014
NH농협증권,B이하,B,B이하,B이하,2014
NH투자증권,B+,A,B+,B이하,2014
NICE,B이하,B,B이하,B이하,2014
NI스틸,B이하,C,B이하,B이하,2014
OCI,B+,B+,A,B+,2014
