종목명,ESG 통합등급,2017_E,2017_S,2017_G,평가연도
AJ네트웍스,B이하,B,B이하,B이하,2017
AJ렌터카,B이하,C,B이하,B이하,2017
AK홀딩스,B이하,B,B이하,B이하,2017
BGF,B이하,B,A,B이하,2017
BNK금융지주,B+,B,A,B+,2017
BYC,B이하,B,B이하,B이하,2017
CJ,A,A,A,B이하,2017
CJ CGV,B이하,B+,B+,B이하,2017
CJ대한통운,B+,B+,B+,A,2017
CJ씨푸드,B이하,B,B이하,B이하,2017
CJ제일제당,A,B+,A,A,2017
CJ헬로,B이하,B+,B+,B이하,2017
CS홀딩스,B이하,B,B이하,B이하,2017
DB,B이하,B,B이하,B이하,2017
DB금융투자,B+,A,B이하,B이하,2017
DB손해보험,A,A,A,B+,2017
DB하이텍,B이하,C,B+,B+,2017
DGB금융지주,A,A,A,A,2017
DRB동일,B이하,B,B이하,B이하,2017
DSR,B이하,C,B이하,B이하,2017
DSR제강,B이하,B,B이하,B이하,2017
E1,B이하,B+,B+,B이하,2017
F&F,B이하,B,B이하,B이하,2017
GKL,B이하,B+,B이하,B이하,2017
GS,B이하,B+,B이하,B이하,2017
GS건설,A,B+,A,A,2017
GS글로벌,B이하,B+,B이하,B이하,2017
GS리테일,B+,B+,B+,B이하,2017
JB금융지주,B이하,A,B이하,B이하,2017
JW생명과학,B이하,B,B이하,B+,2017
JW중외제약,B이하,B,B+,B이하,2017
JW홀딩스,B이하,B+,B이하,B이하,2017
KB금융,A,A,A,A,2017
KC그린홀딩스,B이하,B,B이하,B이하,2017
KC코트렐,B이하,B,B이하,B이하,2017
KEC,B이하,B,B이하,B+,2017
KGP,B이하,D,B이하,B이하,2017
KG케미칼,B이하,D,B이하,B이하,2017
KISCO홀딩스,B이하,B,B이하,B이하,2017
KPX그린케미칼,B이하,D,B이하,B+,2017
KPX케미칼,B이하,C,B이하,B이하,2017
KPX홀딩스,B이하,B,B이하,B이하,2017
KR모터스,B이하,B,B이하,B이하,2017
KSS해운,B+,B+,B이하,B+,2017
KTB투자증권,B이하,B+,B이하,B이하,2017
KTcs,B이하,B+,B+,B이하,2017
LF,B이하,B+,B이하,B이하,2017
LG,B+,B+,B+,B이하,2017
LG디스플레이,A,B+,A,A,2017
LG상사,B+,B,A,B+,2017
LG생활건강,A,B+,A+,A,2017
LG유플러스,B+,B+,B+,A,2017
LG이노텍,A,B+,A+,A,2017
LG전자,B+,B,A,A,2017
LG하우시스,A,B+,A+,A,2017
LG화학,A,B+,A+,A,2017
LIG넥스원,B+,B+,B+,B+,2017
LS,B이하,B,B이하,B이하,2017
LS네트웍스,B이하,B,B이하,B이하,2017
LS산전,B+,B,A,A,2017
LS전선아시아,B이하,B,B이하,B이하,2017
MH에탄올,B이하,C,B이하,B이하,2017
NAVER,B+,B+,A,B+,2017
NHN엔터테인먼트,B이하,B+,B이하,B이하,2017
NH투자증권,B+,A,B이하,B이하,2017
NICE,B이하,B+,B이하,B이하,2017
NI스틸,B이하,B,B이하,B이하,2017
OCI,A,B+,A+,A,2017
S&TC,B이하,B,B이하,B이하,2017
S&T모티브,B+,B+,B이하,B+,2017
S&T중공업,B+,B,B+,B+,2017
S&T홀딩스,B이하,B,B이하,B이하,2017
S-Oil,A+,A+,A+,A,2017
SBS,B이하,B,B이하,B이하,2017
SBS미디어홀딩스,B이하,B,B이하,B이하,2017
SG세계물산,B이하,C,B이하,B이하,2017
SG충방,B이하,C,B이하,B이하,2017
SH에너지화학,B이하,B,B이하,B이하,2017
SIMPAC,B이하,C,B이하,B이하,2017
SK,A+,A+,A+,A,2017
SKC,B+,B+,B+,A,2017
SK가스,B이하,B+,B+,B이하,2017
SK네트웍스,B+,B+,B+,B이하,2017
SK디스커버리,B+,B+,A,B이하,2017
SK디앤디,B이하,B,B이하,B이하,2017
SK이노베이션,B+,A,A,B이하,2017
SK증권,B+,A,B+,B이하,2017
SK텔레콤,A,A,B+,A,2017
SK하이닉스,A,A,A,A,2017
SPC삼립,B이하,C,B이하,B이하,2017
STX,B이하,B,B+,B이하,2017
