종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"060310","3S","KOSDAQ","반도체","5530","-50","-0.90","226134242040"
"013340","AJS","KOSDAQ","금속","753","-10","-1.31","28800332109"
"054620","AP시스템","KOSDAQ","반도체","10450","-200","-1.88","238847404950"
"090470","AST젯텍","KOSDAQ","반도체","4280","230","5.68","62478618240"
"032040","C&S자산관리","KOSDAQ","기타서비스","3530","-70","-1.94","61992416230"
"130960","CJ E&M","KOSDAQ","방송서비스","40100","750","1.91","1521254612400"
"035760","CJ오쇼핑","KOSDAQ","방송서비스","357800","7500","2.14","2220100697000"
"051500","CJ프레시웨이","KOSDAQ","유통","30700","500","1.66","332576170000"
"058820","CMG제약","KOSDAQ","제약","1395","-15","-1.06","92105628300"
"023460","CNH","KOSDAQ","기타서비스","1220","15","1.24","45384000000"
"065770","CS","KOSDAQ","통신장비","3145","-85","-2.63","37740000000"
"159910","CS엘쏠라","KOSDAQ","반도체","8150","10","0.12","66386745950"
"056340","CU전자","KOSDAQ","IT부품","304","2","0.66","15970988384"
"068790","DMS","KOSDAQ","기계·장비","3290","-130","-3.80","65429621670"
"009730","DS제강","KOSDAQ","금속","1320","-15","-1.12","41443911960"
"037370","EG","KOSDAQ","화학","22200","-800","-3.48","166500000000"
"079190","EMW","KOSDAQ","통신장비","4785","-95","-1.95","60107447400"
"083450","GST","KOSDAQ","반도체","4300","-50","-1.15","37940473800"
"028150","GS홈쇼핑","KOSDAQ","방송서비스","258000","9200","3.70","1693125000000"
"053870","GT&T","KOSDAQ","통신장비","562","1","0.18","4496000000"
"041590","GemTech","KOSDAQ","IT부품","3040","-75","-2.41","52218985920"
"032800","G러닝","KOSDAQ","기타서비스","777","14","1.83","18337374825"
"078150","HB테크놀러지","KOSDAQ","기계·장비","1775","0","0.00","134240212975"
"036640","HRS","KOSDAQ","화학","3450","-115","-3.23","56424060000"
"095340","ISC","KOSDAQ","반도체","14600","-450","-2.99","112274000000"
"099520","ITX시큐리티","KOSDAQ","통신장비","5940","10","0.17","57584118240"
