종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"104830","원익머트리얼즈","KOSDAQ","반도체","71400","1400","2.00","445950120000"
"014190","원익큐브","KOSDAQ","유통","3030","40","1.34","83021715180"
"030530","원익홀딩스","KOSDAQ","반도체","7370","50","0.68","569243919970"
"012620","원일특강","KOSDAQ","금속","12050","250","2.12","53020000000"
"008370","원풍","KOSDAQ","화학","5590","450","8.75","67080000000"
"008290","원풍물산","KOSDAQ","섬유·의류","4355","0","0.00","160475531060"
"101160","월덱스","KOSDAQ","반도체","3000","15","0.50","43845225000"
"095270","웨이브일렉트로","KOSDAQ","IT부품","25700","50","0.19","272278650000"
"900130","웨이포트","KOSDAQ","기타서비스","1290","-20","-1.53","72085200000"
"065950","웰크론","KOSDAQ","섬유·의류","3840","100","2.67","97883508480"
"114190","웰크론강원","KOSDAQ","금속","3110","-90","-2.81","47436923300"
"076080","웰크론한텍","KOSDAQ","기계·장비","3025","105","3.60","54514411325"
"196700","웹스","KOSDAQ","화학","5850","20","0.34","40068042300"
"069080","웹젠","KOSDAQ","디지털컨텐츠","17100","0","0.00","603816116400"
"039790","위노바","KOSDAQ","화학","2050","15","0.74","158292586800"
"044340","위닉스","KOSDAQ","일반전기전자","9520","310","3.37","155734262320"
"112040","위메이드","KOSDAQ","디지털컨텐츠","19550","100","0.51","328440000000"
"038620","위즈코프","KOSDAQ","유통","1605","45","2.88","50632718325"
"036090","위지트","KOSDAQ","기계·장비","1395","50","3.72","90353799855"
"136540","윈스","KOSDAQ","소프트웨어","11750","250","2.17","132836464250"
"097800","윈팩","KOSDAQ","반도체","5030","80","1.62","85968826540"
"192390","윈하이텍","KOSDAQ","금속","8740","-120","-1.35","86203397860"
"044480","유니더스","KOSDAQ","화학","8490","-220","-2.53","73014000000"
"036200","유니셈","KOSDAQ","반도체","11550","-200","-1.70","182153467650"
"018000","유니슨","KOSDAQ","기계·장비","1595","10","0.63","100088371350"
"011320","유니크","KOSDAQ","운송장비·부품","3960","-55","-1.37","76509952200"
"086390","유니테스트","KOSDAQ","반도체","12950","50","0.39","273686931700"
"241690","유니테크노","KOSDAQ","운송장비·부품","10400","-150","-1.42","62023104000"
"142210","유니트론텍","KOSDAQ","유통","26700","100","0.38","88394355000"
"048430","유라테크","KOSDAQ","일반전기전자","12900","-50","-0.39","148608000000"
"089850","유비벨록스","KOSDAQ","소프트웨어","12500","600","5.04","88946212500"
"032620","유비케어","KOSDAQ","소프트웨어","4300","20","0.47","173231821000"
"078070","유비쿼스","KOSDAQ","통신장비","10600","150","1.44","224720000000"
"024800","유성티엔에스","KOSDAQ","운송","6630","140","2.16","150655048050"
"054930","유신","KOSDAQ","기타서비스","13900","200","1.46","41700000000"
"069330","유아이디","KOSDAQ","IT부품","5160","160","3.20","61341006720"
"049520","유아이엘","KOSDAQ","IT부품","11500","0","0.00","131013405000"
"043220","유아이엠엔터","KOSDAQ","유통","2430","60","2.53","91804977180"
"204620","유안타제1호스팩","KOSDAQ","금융","2015","0","0.00","12090000000"
"219960","유안타제2호스팩","KOSDAQ","금융","1995","0","0.00","12967500000"
"056090","유앤아이","KOSDAQ","의료·정밀기기","22250","-600","-2.63","170827534500"
"195990","유지인트","KOSDAQ","기계·장비","8700","220","2.59","207543215400"
