종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"068400","AJ렌터카","KOSPI","서비스업","8180","-20","-0.24","181156734000"
"006840","AK홀딩스","KOSPI","화학","22500","50","0.22","128160000000"
"138930","BS금융지주","KOSPI","기타금융","12150","150","1.25","2349565772850"
"001460","BYC","KOSPI","섬유의복","179500","0","0.00","112118392500"
"001465","BYC우","KOSPI","섬유의복","65900","400","0.61","14193871500"
"001040","CJ","KOSPI","서비스업","100500","0","0.00","2914940994000"
"079160","CJ CGV","KOSPI","서비스업","28800","50","0.17","593782790400"
"000120","CJ대한통운","KOSPI","운수창고업","97000","100","0.10","2212797368000"
"011150","CJ씨푸드","KOSPI","음식료품","2470","-15","-0.60","88749009310"
"011155","CJ씨푸드1우","KOSPI","음식료품","5780","-50","-0.86","1156000000"
"001045","CJ우","KOSPI","서비스업","23050","250","1.10","52098140150"
"097950","CJ제일제당","KOSPI","음식료품","305500","-2000","-0.65","3995603033500"
"097955","CJ제일제당 우","KOSPI","음식료품","66400","-100","-0.15","88141551200"
"000590","CS홀딩스","KOSPI","서비스업","32850","200","0.61","37924733700"
"139130","DGB금융지주","KOSPI","기타금융","14550","-150","-1.02","1950473390700"
"069730","DSR제강","KOSPI","철강금속","3045","-5","-0.16","43848000000"
"017940","E1","KOSPI","유통업","61700","600","0.98","423262000000"
"007700","F&F","KOSPI","섬유의복","6310","60","0.96","97174000000"
"114090","GKL","KOSPI","서비스업","30400","1050","3.58","1880412368000"
"078930","GS","KOSPI","서비스업","66900","100","0.15","6216038788200"
"006360","GS건설","KOSPI","건설업","74800","-1800","-2.35","3814800000000"
"001250","GS글로벌","KOSPI","유통업","14100","-100","-0.70","317726072400"
"007070","GS리테일","KOSPI","유통업","32400","2200","7.28","2494800000000"
"078935","GS우","KOSPI","서비스업","22400","-300","-1.32","39980102400"
"035000","GⅡR","KOSPI","서비스업","6940","140","2.06","114977818460"
"001500","HMC투자증권","KOSPI","증권","15050","-50","-0.33","441523520550"
"011420","IB스포츠","KOSPI","서비스업","2370","60","2.60","46505144880"
"003560","IHQ","KOSPI","서비스업","2615","35","1.36","107150195070"
"005560","JS전선","KOSPI","전기전자","8380","0","0.00","95353003200"
"001060","JW중외제약","KOSPI","의약품","13200","-100","-0.75","150267955200"
"001067","JW중외제약2우B","KOSPI","의약품","18050","800","4.64","1232111050"
"001065","JW중외제약우","KOSPI","의약품","12350","-150","-1.20","1603227600"
"096760","JW홀딩스","KOSPI","서비스업","2745","140","5.37","134444349225"
"105560","KB금융","KOSPI","기타금융","39250","-450","-1.13","15164303950250"
"002380","KCC","KOSPI","화학","299000","7500","2.57","3145480000000"
"009070","KCTC","KOSPI","운수창고업","17200","-800","-4.44","51600000000"
"009440","KC그린홀딩스","KOSPI","서비스업","2330","20","0.87","52273503400"
"119650","KC코트렐","KOSPI","기계","14700","-200","-1.34","89964000000"
"092220","KEC","KOSPI","전기전자","689","-11","-1.57","97922064201"
"109070","KGP","KOSPI","종이목재","947","75","8.60","8475936941"
"001390","KG케미칼","KOSPI","화학","8300","200","2.47","88810000000"
"001940","KISCO홀딩스","KOSPI","서비스업","37550","-50","-0.13","138757613800"
"083420","KPX그린케미칼","KOSPI","화학","3740","-85","-2.22","74800000000"
"025000","KPX케미칼","KOSPI","화학","49750","750","1.53","240790000000"
"092230","KPX홀딩스","KOSPI","서비스업","43300","600","1.41","182927171800"
"025850","KPX화인케미칼","KOSPI","화학","27800","-250","-0.89","105640000000"
"044450","KSS해운","KOSPI","운수창고업","7250","120","1.68","84048815000"
"030200","KT","KOSPI","통신업","34750","-450","-1.28","9073635328000"
"033780","KT&G","KOSPI","기타제조업","84900","200","0.24","11656132995300"
"030210","KTB투자증권","KOSPI","증권","2490","90","3.75","150182089080"
"058850","KTcs","KOSPI","서비스업","2145","-25","-1.15","97994325000"
"003550","LG","KOSPI","서비스업","61500","-700","-1.13","10612263556500"
"034220","LG디스플레이","KOSPI","전기전자","28600","250","0.88","10233529020000"
"001120","LG상사","KOSPI","유통업","45500","-1250","-2.67","1763580000000"
"068870","LG생명과학","KOSPI","의약품","46700","-550","-1.16","774145433000"
"068875","LG생명과학우","KOSPI","의약품","20950","-50","-0.24","4948725200"
"051900","LG생활건강","KOSPI","화학","638000","3000","0.47","9964409686000"
"051905","LG생활건강우","KOSPI","화학","194500","3500","1.83","408391066500"
"003555","LG우","KOSPI","서비스업","21700","200","0.93","71928490900"
"032640","LG유플러스","KOSPI","통신업","7200","-80","-1.10","3143601799200"
"011070","LG이노텍","KOSPI","전기전자","79600","-1400","-1.73","1605592018400"
"066570","LG전자","KOSPI","전기전자","68100","-900","-1.30","11144416133400"
"066575","LG전자우","KOSPI","전기전자","19000","0","0.00","326533848000"
"093050","LG패션","KOSPI","섬유의복","30300","-750","-2.42","885972000000"
"108670","LG하우시스","KOSPI","화학","79600","-1900","-2.33","713826532000"
"108675","LG하우시스우","KOSPI","화학","21950","-350","-1.57","22659643500"
"051910","LG화학","KOSPI","화학","336000","4500","1.36","22267089600000"
"051915","LG화학우","KOSPI","화학","99600","400","0.40","759840531600"
"002550","LIG손해보험","KOSPI","보험","25500","-500","-1.92","1530000000000"
"006260","LS","KOSPI","서비스업","94900","-2000","-2.06","3055780000000"
"000680","LS네트웍스","KOSPI","유통업","4495","-100","-2.18","347695284675"
"000685","LS네트웍스우","KOSPI","유통업","30750","0","0.00","469983000"
"000687","LS네트웍스전환상환2우B","KOSPI","유통업","4980","-10","-0.20","7195641840"
"010120","LS산전","KOSPI","전기전자","68300","-1500","-2.15","2049000000000"
"023150","MH에탄올","KOSPI","음식료품","3400","70","2.10","23800000000"
"035420","NHN","KOSPI","서비스업","279500","-11000","-3.79","13451693268000"
"016420","NH농협증권","KOSPI","증권","5390","20","0.37","324073906310"
"034310","NICE","KOSPI","서비스업","53300","-1200","-2.20","184346418100"
"008260","NI스틸","KOSPI","철강금속","1685","5","0.30","47899242250"
"004250","NPC","KOSPI","화학","2650","-30","-1.12","97308000000"
"004255","NPC우","KOSPI","화학","1245","0","0.00","6573600000"
"010060","OCI","KOSPI","화학","180000","0","0.00","4292886780000"
"005490","POSCO","KOSPI","철강금속","365500","0","0.00","31866788192500"
"100840","S&TC","KOSPI","기계","19200","-400","-2.04","136024550400"
"000040","S&T모터스","KOSPI","운수장비","577","-3","-0.52","68859975683"
"064960","S&T모티브","KOSPI","운수장비","20350","-250","-1.21","236849295100"
"003570","S&T중공업","KOSPI","운수장비","13000","50","0.39","422154707000"
"036530","S&T홀딩스","KOSPI","서비스업","10250","-150","-1.44","152965085750"
"010950","S-Oil","KOSPI","화학","105000","-1000","-0.94","11821193160000"
"010955","S-Oil우","KOSPI","화학","62000","300","0.49","249359474000"
"950100","SBI모기지","KOSPI","기타금융","8410","20","0.24","199661810000"
"034120","SBS","KOSPI","서비스업","41400","-600","-1.43","755656894800"
"101060","SBS미디어홀딩스","KOSPI","서비스업","6650","60","0.91","930309663500"
"004060","SG세계물산","KOSPI","유통업","690","49","7.64","139673222400"
"001380","SG충남방적","KOSPI","섬유의복","1445","35","2.48","60325094150"
"001385","SG충남방적우","KOSPI","섬유의복","1575000","0","0.00","173250000"
"002360","SH에너지화학","KOSPI","화학","1180","10","0.85","131137801400"
"002365","SH에너지화학우","KOSPI","화학","57100","-2100","-3.55","355162000"
"009160","SIMPAC","KOSPI","기계","7280","90","1.25","211738254000"
"123700","SJM","KOSPI","운수장비","8200","180","2.24","127960163600"
"025530","SJM홀딩스","KOSPI","서비스업","3680","20","0.55","54957149440"
"003600","SK","KOSPI","서비스업","156000","500","0.32","7326042672000"
"034730","SK C&C","KOSPI","서비스업","100500","700","0.70","5025000000000"
"011790","SKC","KOSPI","화학","44050","150","0.34","1595273525150"
"018670","SK가스","KOSPI","유통업","84900","-2100","-2.41","732573658500"
"001740","SK네트웍스","KOSPI","유통업","10350","100","0.98","2568742146450"
"001745","SK네트웍스우","KOSPI","유통업","11550","-150","-1.28","1312634400"
"003605","SK우","KOSPI","서비스업","46700","350","0.76","23813264000"
"096770","SK이노베이션","KOSPI","서비스업","167500","-1000","-0.59","15487981970000"
"096775","SK이노베이션우","KOSPI","서비스업","48950","600","1.24","61110452700"
"001510","SK증권","KOSPI","증권","1275","5","0.39","408149393025"
"001515","SK증권우","KOSPI","증권","1060","5","0.47","4147264840"
"006120","SK케미칼","KOSPI","화학","66800","1500","2.30","1392315539600"
"006125","SK케미칼우","KOSPI","화학","14900","150","1.02","41975162500"
"017670","SK텔레콤","KOSPI","통신업","145500","-1500","-1.02","11748500950500"
"000660","SK하이닉스","KOSPI","전기전자","22500","-250","-1.10","15617755147500"
"011810","STX","KOSPI","유통업","8450","170","2.05","506504813100"
"071970","STX메탈","KOSPI","기계","6630","-610","-8.43","147849000000"
"077970","STX엔진","KOSPI","기계","8880","20","0.23","254650277040"
"067250","STX조선해양","KOSPI","운수장비","8940","20","0.22","713973190620"
"028670","STX팬오션","KOSPI","운수창고업","3765","50","1.35","775056940005"
"002710","TCC동양","KOSPI","철강금속","4830","25","0.52","82110000000"
"011000","VGX인터","KOSPI","섬유의복","1130","0","0.00","57749158500"
"024070","WISCOM","KOSPI","화학","4315","0","0.00","64836844800"
"000500","가온전선","KOSPI","전기전자","21400","200","0.94","89031425800"
"035250","강원랜드","KOSPI","서비스업","25000","0","0.00","5348512500000"
"000860","건설화학","KOSPI","화학","19050","450","2.42","123825000000"
"000800","경남기업","KOSPI","건설업","6010","-80","-1.31","94976799280"
"008020","경남에너지","KOSPI","전기가스업","4225","230","5.76","125893423500"
"002100","경농","KOSPI","화학","3240","15","0.47","70281270000"
"012320","경동가스","KOSPI","전기가스업","75500","1800","2.44","263102400000"
"009450","경동나비엔","KOSPI","전기전자","9460","-150","-1.56","120515764600"
"000050","경방","KOSPI","섬유의복","104000","1500","1.46","216320000000"
"012610","경인양행","KOSPI","화학","3095","45","1.48","116062500000"
