회사명,거래소코드,회계년도,[공통]자산(*)(IFRS),[공통]부채비율(IFRS),[공통]자기자본구성비율(IFRS),[공통]매출액증가율(IFRS),[공통]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS),[공통]매출액(영업수익)(*),[공통]평균배당률(IFRS)
(주)BNK금융지주,138930,2022/12,6915786818,29.33,77.32,36.67,312746783,0.57,0.38,382693889,12.44
(주)DB하이텍,000990,2022/12,2120023184,29.48,77.23,37.92,728512079,2.43,0.99,1675287534,25.39
(주)HJ중공업,097230,2022/12,2563983000,565.7,15.02,4.78,83791000,1.84,0.7,1787366000,0
(주)JB금융지주,175330,2022/12,3090423000,36.39,73.32,132.74,261667000,0.84,0.64,399616000,14.11
(주)KB금융지주,105560,2022/12,30453827000,25.68,79.57,17.22,1692319000,1.15,0.75,1939300000,27.02
(주)MH에탄올,023150,2022/12,110116900,76.34,56.71,12,-847932,1.68,0.88,51400289,35.4
(주)SH에너지화학,002360,2022/12,123343925,33.11,75.13,15.33,-3253900,2.17,1,160633871,1.97
(주)SIMPAC,009160,2022/12,784010055,51.63,65.95,2.77,22908530,1.21,0.57,504474738,33.18
(주)SNT에너지,100840,2022/12,385516446,56.02,64.09,10.4,19337049,0.84,0.44,182667959,70.2
(주)SNT홀딩스,036530,2022/12,434669253,0.2,99.8,12.06,19194843,0.83,0.51,21175696,69.25
(주)STX,011810,2022/12,376964000,784.41,11.31,35.8,-12635000,5.85,2.05,879729000,0
(주)TCC스틸,002710,2022/12,433842077,149.87,40.02,29.31,-11763879,2.24,1.15,527359655,11.86
(주)강원랜드,035250,2022/12,4157624144,21.86,82.06,61.22,419875334,1.84,1.45,1269418094,66.33
(주)갤럭시아에스엠,011420,2022/12,57863012,73.59,57.61,4.13,871656,2.68,1.27,30093883,0
(주)경농,002100,2022/12,342108581,51.44,66.03,15.92,26521071,1.38,0.77,202589425,65.89
(주)경동나비엔,009450,2022/12,716145017,75.88,56.86,2.99,28496999,2.47,1.25,979557978,49.6
(주)경동도시가스,267290,2022/12,1064615087,171.22,36.87,58.22,52246135,0.58,0.31,2304288140,34.97
(주)경동인베스트,012320,2022/12,296772228,0.47,99.54,29.52,2162438,1.13,0.23,11483708,13.83
(주)경방,000050,2022/12,1140221654,50.19,66.58,-0.71,56746199,0.64,0.38,269780478,22.72
(주)경보제약,214390,2022/12,240544942,67.39,59.74,15,10126731,1.91,0.84,196264902,10
(주)경인양행,012610,2022/12,397711513,86.51,53.62,-10.95,21293145,1.55,0.81,245973699,9.98
(주)광명전기,017040,2022/12,153664335,46.33,68.34,6.09,-611291,1.84,0.79,130228176,1.96
(주)광주신세계,037710,2022/12,913454051,15.64,86.48,8.77,68461740,2.05,0.32,184873955,218.82
(주)국동,005320,2022/12,117757753,48.11,67.52,56.57,6634143,2.01,0.7,174902260,0
(주)국보,001140,2022/12,84758718,97.75,50.57,9.05,1233382,3.9,1.35,58254032,0
(주)금비,008870,2022/09,154959481,92.38,51.98,-0.98,-13001827,1.35,0.71,81469430,14.57
(주)금양,001570,2022/12,249083247,162.53,38.09,3.51,37707192,25.66,2.64,181688142,0
(주)금호에이치티,214330,2022/12,392135777,23.84,80.75,5.97,7373683,1.83,0.56,209082333,0
(주)까뮤이앤씨,013700,2022/12,195489394,146.99,40.49,19.22,-12329059,2.89,0.94,195140487,3
(주)나이스홀딩스,034310,2022/12,480427525,60.93,62.14,10.14,27082041,2.35,1.56,47635806,76.7
(주)남선알미늄,008350,2022/12,291323169,36.36,73.34,11.03,-6606352,2.62,0.91,255740300,0
(주)남성,004270,2022/12,223160819,86.46,53.63,-24.19,-16869170,1.05,0.51,62240594,4.32
(주)넥센,005720,2022/12,736767227,16.71,85.69,45.42,53259004,0.48,0.3,737876931,20.86
(주)노루페인트,090350,2022/12,593723438,89.03,52.9,3.23,35275072,1.04,0.5,667825639,55.02
(주)노루홀딩스,000320,2022/12,393560433,18.36,84.49,-7.89,3307125,0.71,0.41,20027915,61.43
(주)녹십자,006280,2022/12,1943161484,55.41,64.35,6.38,82575739,2.4,1.21,1244928840,34.18
(주)녹십자홀딩스,005250,2022/12,1082659486,66.02,60.23,-9.69,11476283,2.31,1.17,66770118,51.25
