회사명,거래소코드,회계년도,[공통]자산(*)(IFRS),[공통]부채비율(IFRS),[공통]자기자본구성비율(IFRS),[공통]매출액증가율(IFRS),[공통]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS),[공통]매출액(영업수익)(*),[공통]평균배당률(IFRS)
(주)BNK금융지주,138930,2017/12,5868328826,26.96,78.77,42.36,192132861,0.83,0.61,185726334,4.6
(주)DB하이텍,000990,2017/12,977575054,121.4,45.17,-12.08,182244045,2.58,1.24,679737744,4.93
(주)HJ중공업,097230,2017/12,3312303000,487.9,17.01,-9.91,368798000,0.99,0.54,1737428000,0
(주)JB금융지주,175330,2017/12,1964715000,31.92,75.8,49.22,94490000,0.74,0.58,91927000,1.97
(주)KB금융지주,105560,2017/12,25102834000,31.25,76.19,2.72,570143000,1.46,0.96,727087000,36.68
(주)MH에탄올,023150,2017/12,107437079,66.06,60.22,-1.28,10755779,0.99,0.7,48270464,52.54
(주)SH에너지화학,002360,2017/12,123261552,16.59,85.77,-13.86,16292838,2.03,1.48,184672638,8.56
(주)SIMPAC,009160,2017/12,343005145,53.28,65.24,-5.88,-13628628,0.68,0.52,203150228,13.68
(주)SNT에너지,100840,2017/12,300266693,28.42,77.87,-27.55,-5579426,0.64,0.41,184091945,3
(주)SNT홀딩스,036530,2017/12,425435423,0.07,99.93,-24.45,6184231,0.69,0.54,7417869,41.84
(주)STX,011810,2017/12,520393000,1063.93,8.59,8.87,93844000,89.15,6.26,1595494000,0
(주)TCC스틸,002710,2017/12,248896237,177.7,36.01,5.21,-7248002,0.71,0.47,333762378,0
(주)강원랜드,035250,2017/12,4182527382,19.47,83.7,-5.41,465968987,2.56,2.1,1602901764,187.63
(주)갤럭시아에스엠,011420,2017/12,48958128,20.9,82.71,-19.16,-7384193,2.63,1.43,36917656,0
(주)경농,002100,2017/12,268967010,47.01,68.02,-0.02,14393946,0.85,0.68,143175105,48.59
(주)경동나비엔,009450,2017/12,391400492,76.28,56.73,12.59,13453817,3.32,1.83,569819524,19.82
(주)경동도시가스,267290,2017/12,707917077,,,,18774744,,,870828897,
(주)경동인베스트,012320,2017/12,318031347,2.66,97.41,-99.94,49566809,0.73,0.34,612436,9.61
(주)경방,000050,2017/12,1199063663,68.65,59.29,-8.21,51272565,0.66,0.51,288103985,36
(주)경보제약,214390,2017/12,204869399,44.77,69.07,2.64,25805146,2.66,1.94,191661374,50
(주)경인양행,012610,2017/12,296909084,55.58,64.28,8.2,652491,1.49,0.8,193975818,9.82
(주)광명전기,017040,2017/12,128881408,50.86,66.29,8.41,5270038,1.86,1.21,105083042,0
(주)광주신세계,037710,2017/12,655018971,13.06,88.45,-0.37,51294766,0.75,0.61,209647360,25
(주)국동,005320,2017/12,75154254,94.5,51.41,2.15,-3177835,3.78,0.97,130016453,0
(주)국보,001140,2017/12,69819240,335.3,22.97,-4,-2767209,3.6,1.14,74662255,0
(주)금비,008870,2017/09,148196313,83.1,54.61,-19.88,8977361,1.84,0.95,80379261,16.19
(주)금양,001570,2017/12,167120998,434.75,18.7,-6.33,11500511,4.17,2.87,150809075,0
(주)금호에이치티,214330,2017/12,146407321,50.07,66.64,-12.78,7280265,0.83,0.47,165485490,15
(주)까뮤이앤씨,013700,2017/12,139937930,136.76,42.24,23.24,8151089,1.32,0.76,172176860,2.94
(주)나이스홀딩스,034310,2017/12,384843529,18.19,84.61,11.18,15886450,2.32,1.63,37458486,24.34
(주)남선알미늄,008350,2017/12,284649401,92.58,51.93,-0.02,30268216,1.05,0.72,400667879,0
(주)남성,004270,2017/12,170016707,94.1,51.52,10.53,16435033,1.17,0.75,78335735,1.77
(주)넥센,005720,2017/12,653953608,21.63,82.21,10.01,-16381605,1.13,0.76,212026557,15.01
(주)노루페인트,090350,2017/12,541017214,91.73,52.16,11.06,31427537,0.73,0.59,479767969,50.02
(주)노루홀딩스,000320,2017/12,360020678,18.58,84.33,-47.96,22096391,0.88,0.64,42261655,55.17
(주)녹십자,006280,2017/12,1575759046,52.6,65.53,6.33,46441288,3.02,1.69,1098478748,24.41
(주)녹십자홀딩스,005250,2017/12,958660032,62.88,61.39,17.32,61226404,3.79,1.83,115366471,51.25
(주)농심,004370,2017/12,2317377704,25.46,79.71,-0.37,83178233,1.28,0.98,1855364121,76.05
