회사명,거래소코드,회계년도,[공통]자산(*)(IFRS),[공통]부채비율(IFRS),[공통]자기자본구성비율(IFRS),[공통]매출액증가율(IFRS),[공통]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS),[공통]매출액(영업수익)(*),[공통]평균배당률(IFRS)
(주)BNK금융지주,138930,2011/12,3249906091,,,,124598364,,,135049839,
(주)DB하이텍,000990,2011/12,1183957429,305.87,24.64,-9.96,61642286,3.66,1.21,534317238,0
(주)HJ중공업,097230,2011/12,5857119000,212.4,32.01,-15.3,-297988000,1.13,0.38,2316017000,0
(주)KB금융지주,105560,2011/12,18510690000,4.48,95.71,-79.46,-68061000,1.38,0.76,26999000,14.4
(주)MH에탄올,023150,2011/12,135927085,142.03,41.32,-0.23,4202371,0.5,0.22,43206995,0
(주)SH에너지화학,002360,2011/12,102383199,58.74,63,14.9,6995359,0.73,0.42,172752632,0
(주)SIMPAC,009160,2011/12,296953131,90.56,52.48,18.43,18174973,1.54,0.78,213867522,18.58
(주)SNT에너지,100840,2011/12,276511841,72.18,58.08,-8.7,-17274075,0.99,0.54,195318747,0
(주)SNT홀딩스,036530,2011/12,388123974,0.07,99.93,9.15,9351556,0.64,0.39,2257851,76.79
(주)STX,011810,2011/12,3302248000,183.54,35.27,30.76,-108220000,1.94,0.59,4173397000,9.78
(주)TCC스틸,002710,2011/12,407743559,98.3,50.43,10.88,-8210627,0.69,0.34,456928069,19.97
(주)강원랜드,035250,2011/12,2730283806,19.84,83.44,-3.79,428912416,3.25,2.37,1263651213,172.7
(주)갤럭시아에스엠,011420,2011/12,40711969,65.9,60.28,-25.23,3957763,5.08,2.12,31931418,0
(주)경농,002100,2011/12,176741869,21.04,82.62,-15.6,14271710,0.66,0.41,120728258,13.53
(주)경동나비엔,009450,2011/12,224373470,56.61,63.85,14.37,12393396,3.2,0.41,318269213,9.79
(주)경동인베스트,012320,2011/12,941176098,127.94,43.87,40.11,90136711,0.5,0.36,1806174764,21.99
(주)경방,000050,2011/12,1331930968,96.85,50.8,-0.71,-11592653,0.45,0.26,275746943,0
(주)경보제약,214390,2011/12,,,,,,,,140390500,
(주)경인양행,012610,2011/12,245825940,54.72,64.63,-13.62,10022891,1.06,0.45,128707611,9.84
(주)광명전기,017040,2011/12,99992644,75.46,56.99,-15.07,1814521,3.07,1.14,57967857,0
(주)광주신세계,037710,2011/12,380753715,22.74,81.47,5.69,58007847,1.04,0.78,219613514,25
(주)국동,005320,2011/12,42291817,1469.67,6.37,-9.5,-547564,3.26,0.25,100097439,0
(주)국보,001140,2011/12,97415381,187.58,34.77,8.94,2837703,0.68,0.39,118304924,0.98
(주)금비,008870,2011/09,134828296,75.94,56.84,24.66,3797084,0.77,0.39,90614774,12.8
(주)금양,001570,2011/12,124086392,188.41,34.67,11.24,1114958,1.2,0.54,100918699,4.27
(주)금호에이치티,214330,2011/12,,,,,,,,85311420,
(주)까뮤이앤씨,013700,2011/12,248885092,440.08,18.52,-58.95,-20322130,0.63,0.19,90048208,0
(주)나이스홀딩스,034310,2011/12,329687222,27.9,78.18,98.29,4364308,0.96,0.64,27906675,11.38
(주)남선알미늄,008350,2011/12,224292636,413.17,19.49,11.64,-2094516,3.49,1.17,302410988,0
(주)남성,004270,2011/12,185361070,130.41,43.4,-15.71,197740,0.4,0.27,55212184,4.63
(주)넥센,005720,2011/12,428934662,66.15,60.19,-3.24,17008153,1.07,0.67,239883610,7.07
(주)노루페인트,090350,2011/12,473071190,116.11,46.27,19.63,23786392,0.39,0.24,360300788,30
(주)노루홀딩스,000320,2011/12,253906367,37.02,72.98,3.22,4414019,0.67,0.4,24611009,49.05
(주)녹십자,006280,2011/12,814582371,31.61,75.98,-11.65,53233256,3.22,1.95,698866474,29.94
(주)녹십자홀딩스,005250,2011/12,880446935,71.74,58.23,5.12,8858618,15.07,1.15,34013200,41.21
(주)농심,004370,2011/12,2170397253,46.81,68.11,3.98,112393944,1.18,0.85,1970686353,76.05
(주)농심홀딩스,072710,2011/12,570464078,12.06,89.24,22.21,14359491,0.6,0.44,19810280,40
(주)다우기술,023590,2011/12,581257334,37.83,72.55,8.04,17163938,1.38,0.81,167578702,24.74
(주)다이나믹디자인,145210,2011/12,181460933,120.26,45.4,27.13,28607334,0,0,127684012,0
(주)대교,019680,2011/12,829834807,28.73,77.68,3.31,41760421,1.33,0.89,818473835,27.34
(주)대구백화점,006370,2011/03,504984223,32.86,75.27,9.28,42424149,0.4,0.27,179114661,5.84
(주)대덕,008060,2011/12,512463968,32.99,75.19,23.55,82291490,1.64,0.79,655724203,51.21
(주)대동,000490,2011/12,469760509,121.71,45.1,14.08,30245296,0.75,0.38,503098278,4.37
(주)대양금속,009190,2011/12,216928733,540.67,15.61,-32.09,7941415,2.56,1.2,146017854,0
(주)대우건설,047040,2011/12,8984781744,167.37,37.4,4.66,-61856669,1.98,1,7031863672,0
(주)대웅,003090,2011/12,288431000,7.18,93.3,0,8715145,0.79,0.56,45481287,15.81
(주)대웅제약,069620,2011/12,493208780,37.33,72.82,0,80115580,1.59,0.86,706643347,28.32
(주)대유에이텍,002880,2011/12,246556552,280.7,26.27,60.69,-21918663,3.91,1.05,402876552,4
(주)대유플러스,000300,2011/12,250262905,191.53,34.3,33.38,8963713,2.55,0.86,269816158,3.6
(주)대창,012800,2011/12,467584792,167.07,37.44,7.08,8679416,1.43,0.52,847602152,0
(주)대한항공,003490,2011/12,20222503363,824.92,10.81,4.67,1820213439,3.1,1.5,11805281564,0
(주)대현,016090,2011/12,173743262,81.65,55.05,6.03,-2585299,2.03,0.49,196209581,3.62
(주)대호에이엘,069460,2011/12,124276183,190.4,34.44,3.06,8625782,3.02,1.27,172103915,0
(주)더메디팜,118000,2011/12,58089712,250.91,28.5,15.04,1267777,4.23,1.37,34386312,0
(주)더존비즈온,012510,2011/12,165343120,137.43,42.12,-4.25,28768811,9.47,2.9,112382349,0
(주)덕성,004830,2011/12,83985122,49.31,66.97,-16.26,-905584,1.26,0.45,80029454,3.71
(주)덴티움,145720,2011/12,81600885,120.8,45.29,29.75,3268247,0,0,68380129,0
(주)도화엔지니어링,002150,2011/12,371823838,64.7,60.72,-12.39,-1375422,1.59,1.01,282096884,29.52
(주)동남합성,023450,2011/12,62255155,40.66,71.09,19.76,-4105945,1.32,0.44,59784516,3.18
(주)동방,004140,2011/12,496216353,261.16,27.69,8.99,34171405,0.89,0.32,472871652,2.65
(주)동방아그로,007590,2011/12,149311372,32.73,75.34,2.11,15090082,0.92,0.77,104135497,33.7
(주)동서,026960,2011/12,861895481,12.26,89.08,16.51,94756946,0,0,407145531,266.16
(주)동성케미컬,102260,2011/12,183396990,41.46,70.69,41.45,1111591,2.3,0.32,12065936,0
(주)동아지질,028100,2011/12,199886907,57.63,63.44,-19.74,-10213610,1.58,0.84,251872404,34.39
(주)동양,001520,2011/12,1776093594,633.72,13.63,29.22,-97654036,3.51,0.9,877037698,0
(주)동양고속,084670,2011/12,243463463,130.77,43.33,3.32,17106592,0.55,0.35,113116958,22.32
(주)동원에프앤비,049770,2011/12,687821589,83.94,54.37,9.49,-11955456,0.83,0.45,1099094841,50
