회사명,거래소코드,회계년도,[공통]자산(*)(IFRS),[공통]부채비율(IFRS),[공통]자기자본구성비율(IFRS),[공통]매출액증가율(IFRS),[공통]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS),[공통]매출액(영업수익)(*),[공통]평균배당률(IFRS)
(주)BNK금융지주,138930,2014/12,4539500075,27.84,78.22,284.69,352535447,1.08,0.86,404433169,4
(주)DB하이텍,000990,2014/12,1001959816,636.17,13.58,14.98,47362460,5.25,2.02,567718224,0
(주)HJ중공업,097230,2014/12,5469810000,210.45,32.21,-6.66,-101009000,0.68,0.2,1799016000,0
(주)JB금융지주,175330,2014/12,1620866000,28.34,77.92,0,15169000,0.67,0.49,31514000,2
(주)KB금융지주,105560,2014/12,19210521000,5.05,95.19,78.71,146397000,0.93,0.73,510920000,15.6
(주)MH에탄올,023150,2014/12,85253876,62.36,61.59,5.8,5125822,1.63,0.41,48983781,32.1
(주)SH에너지화학,002360,2014/12,109098264,30.81,76.45,-1.22,24219262,3.07,1.02,226971465,8.95
(주)SIMPAC,009160,2014/12,329325876,61.51,61.92,11.23,29061253,1.11,0.72,227491803,14.86
(주)SNT에너지,100840,2014/12,304511816,46.6,68.21,20.92,-24774316,0.65,0.52,242746888,0
(주)SNT홀딩스,036530,2014/12,399244416,0.1,99.9,-12.74,6847661,0.83,0.55,7701882,41.78
(주)STX,011810,2014/12,1070433000,1850,5.13,-31.86,-78562000,28.64,1.7,1291351000,0
(주)TCC스틸,002710,2014/12,461297588,119.57,45.54,-4.33,13870764,0.37,0.24,401323585,9.91
(주)강원랜드,035250,2014/12,3380461682,24.46,80.35,9.98,516728788,3.09,2.35,1492291312,161.1
(주)갤럭시아에스엠,011420,2014/12,40528250,73.18,57.74,6.87,-1937620,3.78,1.6,33027933,0
(주)경농,002100,2014/12,230870852,36.61,73.2,-3.18,14226137,0.88,0.47,134806677,19.47
(주)경동나비엔,009450,2014/12,331089242,97.1,50.74,2.9,-24009203,2.62,1.35,382392117,9.91
(주)경동인베스트,012320,2014/12,1101071366,96.34,50.93,-9.93,16430931,0.85,0.61,2399450987,24.99
(주)경방,000050,2014/12,1275008413,95.68,51.1,-2.95,29566345,0.85,0.45,256979444,10
(주)경인양행,012610,2014/12,267331084,43.39,69.74,3.98,15097174,1.79,0.84,190395047,9.66
(주)광명전기,017040,2014/12,119791644,77.36,56.38,28.18,8403184,1.8,1.36,115801471,0
(주)광주신세계,037710,2014/12,652758688,45.5,68.73,-0.86,50217757,1.21,0.83,204820461,25
(주)국동,005320,2014/12,53392996,272.43,26.85,23.14,-1689994,4.52,0.52,117861978,0
(주)국보,001140,2014/12,87597909,317.44,23.96,-17.56,54417,1.03,0.72,89859741,0.98
(주)금비,008870,2014/09,138058582,86.69,53.57,-1.6,7112570,0.58,0.39,80715556,11.33
(주)금양,001570,2014/12,145135554,212.24,32.03,4.47,20006548,1.53,0.9,137946044,10.25
(주)까뮤이앤씨,013700,2014/12,129647729,263.19,27.53,47.86,12949303,0.98,0.42,123567918,1.48
(주)나이스홀딩스,034310,2014/12,374466879,15.32,86.72,1.09,9552606,2.23,1.35,24855128,20.59
(주)남선알미늄,008350,2014/12,240321965,174.75,36.4,-3.42,13619840,1.98,0.74,341293036,0
(주)남성,004270,2014/12,170614606,112.77,47,4.67,-7544776,0.63,0.36,59274363,2.07
(주)넥센,005720,2014/12,568520715,28.56,77.79,-3.99,27276838,1.25,0.94,214828028,11.03
