회사명,거래소코드,회계년도,[공통]자산(*)(IFRS),[공통]부채비율(IFRS),[공통]자기자본구성비율(IFRS),[공통]매출액증가율(IFRS),[공통]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS),[공통]매출액(영업수익)(*),[공통]평균배당률(IFRS)
(주)BNK금융지주,138930,2012/12,3403623051,24.19,80.52,0,80796302,1.07,0.76,115745769,6.6
(주)DB하이텍,000990,2012/12,1149069244,318.52,23.89,9.28,68047966,2.49,1.35,583901597,0
(주)HJ중공업,097230,2012/12,5938108000,218.65,31.38,-14.48,-227250000,0.62,0.28,1980761000,0
(주)KB금융지주,105560,2012/12,18390028000,1.69,98.34,2470.25,662904000,0.97,0.7,693943000,12
(주)MH에탄올,023150,2012/12,139200817,137.09,42.18,5.28,2788992,0.71,0.31,45488675,0
(주)SH에너지화학,002360,2012/12,102492810,57.95,63.31,11.09,363577,2.74,0.54,191907628,0
(주)SIMPAC,009160,2012/12,307366684,72.84,57.86,4.67,12986618,1.37,0.77,223854758,18.58
(주)SNT에너지,100840,2012/12,292802033,59.73,62.6,18.12,26635237,0.97,0.56,230707564,40
(주)SNT홀딩스,036530,2012/12,388964716,0.09,99.91,286.13,8670824,0.56,0.34,8718270,75.84
(주)STX,011810,2012/12,3226878000,187.21,34.82,-1.36,159192000,0.94,0.41,4116767000,4.83
(주)TCC스틸,002710,2012/12,438642951,109.12,47.82,-3.58,10878979,0.49,0.35,440568155,16.93
(주)강원랜드,035250,2012/12,2915385756,22.33,81.74,2.31,458412852,3.06,2.14,1292896121,143.09
(주)갤럭시아에스엠,011420,2012/12,40169876,59.7,62.62,17.12,2596523,3.12,1.48,37398255,0
(주)경농,002100,2012/12,203467698,34.3,74.46,8.53,12031973,0.53,0.41,131021366,11.95
(주)경동나비엔,009450,2012/12,254627468,67.3,59.77,7.25,22554949,1.17,0.48,341339118,9.91
(주)경동인베스트,012320,2012/12,1168400020,149.17,40.13,33.09,154970428,0.62,0.4,2403814656,24.99
(주)경방,000050,2012/12,1301719900,94.36,51.45,-3.75,27341666,0.43,0.26,265409209,0
(주)경인양행,012610,2012/12,241045608,48.69,67.25,9.79,14914670,1.05,0.54,141304459,9.58
(주)광명전기,017040,2012/12,104218586,89.02,52.9,36.83,1183806,3.83,1.84,79318302,0
(주)광주신세계,037710,2012/12,430662968,19.09,83.97,-2.65,56319963,1.09,0.75,213803173,25
(주)국동,005320,2012/12,35813125,1190.51,7.75,-8.56,2881390,3.8,1.52,91524436,0
(주)국보,001140,2012/12,93953021,196.8,33.69,-7.71,-3331024,1.12,0.48,109183947,0.98
(주)금비,008870,2012/09,131454531,72.32,58.03,-8.08,130614,0.68,0.42,83296660,9.94
(주)금양,001570,2012/12,127197484,181.03,35.58,7.29,3020423,1.51,0.71,108275608,5.98
(주)까뮤이앤씨,013700,2012/12,203481478,399.18,20.03,1.03,3105839,0.4,0.19,90976586,0
(주)나이스홀딩스,034310,2012/12,326573175,3.25,96.85,16.39,16095924,0.76,0.53,32479387,25.19
(주)남선알미늄,008350,2012/12,236720122,285.96,25.91,2.03,-3855861,1.65,0.66,308547177,0
(주)남성,004270,2012/12,189440992,132.89,42.94,0.73,-4199539,0.42,0.31,55616541,2.9
(주)넥센,005720,2012/12,553189087,36.07,73.49,-8.79,31717846,1.12,0.63,218800500,8.04
(주)노루페인트,090350,2012/12,511877762,134.05,42.73,7.82,-6315034,0.95,0.28,388476033,40.02
(주)노루홀딩스,000320,2012/12,264856913,34.94,74.1,4.75,6996088,0.73,0.46,25779927,42.92
(주)녹십자,006280,2012/12,904287417,34.1,74.57,2.39,49808775,2.81,1.82,715596640,24.95
(주)녹십자홀딩스,005250,2012/12,699470921,29.71,77.1,-9.32,2091107,1.7,1.14,30842528,75.02
(주)농심,004370,2012/12,2075419644,44.02,69.43,-0.6,27987328,1.29,0.88,1958917740,76.05
(주)농심홀딩스,072710,2012/12,570463412,11.02,90.08,0.93,14241318,0.6,0.46,19995280,40
(주)다우기술,023590,2012/12,652777396,44.23,69.33,19.61,22369981,1.82,1.03,200446345,25.07
(주)대교,019680,2012/12,791840254,25.09,79.94,-5.74,41035476,1.37,1.01,771528017,18.08
(주)대구백화점,006370,2012/03,497635407,25.85,79.46,-2.94,3620650,0.49,0.29,173901618,6.67
(주)대덕,008060,2012/12,542695146,27.36,78.52,14.53,99624958,1.55,1.06,750970215,51.21
(주)대동,000490,2012/12,456743836,114.68,46.58,-5.83,23467393,0.93,0.41,473786013,4.37
(주)대양금속,009190,2012/12,104782647,515.16,16.26,-31.63,10911868,4.26,0.38,99832132,0
(주)대우건설,047040,2012/12,9357599738,175.57,36.29,16.33,-1210053585,1.51,1,8180269589,0
(주)대웅,003090,2012/12,303932331,6.07,94.28,-2.59,15864254,0.98,0.58,44303202,15.94
(주)대웅제약,069620,2012/12,477119010,24.07,80.6,-5.94,45346634,1.65,0.66,664648217,28.41
(주)대유에이텍,002880,2012/12,277360120,213.52,31.9,3.06,44824936,3.19,1.26,415218564,6
(주)대유플러스,000300,2012/12,243422865,141.79,41.36,11.64,-10119647,3.31,0.98,301224599,0
(주)대창,012800,2012/12,467913418,147.95,40.33,-10.27,18630694,0.89,0.5,760552549,5.34
(주)대한항공,003490,2012/12,20678036299,771.14,11.48,3.88,2065535825,2.08,1.49,12263866637,0
(주)대현,016090,2012/12,198840460,98.99,50.25,10.54,8191451,0.85,0.48,216891532,2.63
(주)대호에이엘,069460,2012/12,126523794,181.03,35.58,-21.6,6639767,2.27,1.12,134927509,0
(주)더메디팜,118000,2012/12,30389424,35.64,73.72,-35.11,1493407,16.73,2.4,22314788,0
(주)더존비즈온,012510,2012/12,193006584,119.76,45.51,9.43,19150945,5.64,2.83,122977105,36.7
(주)덕성,004830,2012/12,92392977,56,64.1,-1.15,3823815,1.08,0.52,79107828,8.24
(주)도화엔지니어링,002150,2012/12,346747778,60.11,62.46,0.22,-28340280,1.14,0.7,282716150,30
(주)동남합성,023450,2012/12,54686376,14.38,87.43,3.65,4367698,2.35,0.88,61964194,0
(주)동방,004140,2012/12,555093358,287.58,25.8,2.59,-2540181,1.31,0.41,485103227,2.38
(주)동방아그로,007590,2012/12,151813628,33.86,74.71,1.25,1548510,0.95,0.77,105441229,32.88
(주)동성케미컬,102260,2012/12,189743529,30.1,76.86,-8.13,-571408,1.32,0.65,11085455,10
(주)동아지질,028100,2012/12,225113684,67.34,59.76,9.99,35039018,1.13,0.75,277031753,34.39
(주)동양,001520,2012/12,1744452583,589.31,14.51,19.82,-32016073,1.8,0.66,1050903621,0
(주)동양고속,084670,2012/12,201016268,87.05,53.46,2.06,14326563,0.62,0.43,115450487,25
(주)동원에프앤비,049770,2012/12,755773972,97,50.76,8.38,29216253,0.82,0.6,1191223606,30
(주)두산,000150,2012/12,3090083028,61.08,62.08,-4.61,207441940,2.69,1.78,1841080714,48
(주)디비아이엔씨,012030,2012/12,671558435,141.36,41.43,6.68,-33526667,0.77,0.31,545150378,1.89
(주)디아이,003160,2012/12,149804529,40.71,71.07,-28.07,-3752509,4.04,0.38,32555358,0
(주)디아이씨,092200,2012/12,424232003,203.72,32.93,2.71,-11967592,1.19,0.59,332305763,10
(주)디알비동일,004840,2012/12,223432593,80.39,55.44,-57.99,21042054,1.81,0.83,142337360,10.84
(주)디엔오토모티브,007340,2012/12,576754932,19.37,83.78,8.72,52625712,0.82,0.52,410243496,13.07
(주)디지비금융지주,139130,2012/12,2527097957,17.49,85.11,0,-235091463,1.11,0.77,72314728,6.6
(주)락앤락,115390,2012/12,645153134,24.95,80.03,-20.26,20528320,4.18,2.18,171024165,15.83
(주)마니커,027740,2012/12,227524009,184.53,35.15,-7.16,-275867,0.93,0.39,290691836,0
(주)메리츠금융지주,138040,2012/03,780457645,38.55,72.18,0,7474556,1.34,0.39,20542154,0
(주)메타랩스,090370,2012/12,145398780,173.82,36.52,-6.3,-3616438,1.6,0.83,121930756,5.89
(주)모나리자,012690,2012/12,63959812,30.97,76.36,8.91,8257512,5.03,1.97,132796075,0
(주)모나미,005360,2012/12,169875598,204.53,32.84,-8.59,8832929,2.44,0.63,184847316,5
(주)모토닉,009680,2012/12,388016191,13.14,88.39,-2,20779097,1.35,0.66,232982933,34.46
(주)무학,033920,2012/12,376629191,27.54,78.41,7.97,34908892,1.32,0.9,211279950,26.31
(주)미래아이앤지,007120,2012/12,36577462,46.81,68.11,35.05,-206442,4.64,0.55,29093225,0
(주)방림,003610,2012/09,255099137,36.45,73.29,-24.45,30296898,0.38,0.22,173738959,5.56
(주)백산,035150,2012/12,151758463,75.78,56.89,10.98,12187055,1.35,0.61,161779184,10.11
