회사명,거래소코드,회계년도,[공통]자산(*)(IFRS),[공통]부채비율(IFRS),[공통]자기자본구성비율(IFRS),[공통]매출액증가율(IFRS),[공통]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS),[공통]매출액(영업수익)(*),[공통]평균배당률(IFRS)
(주)BNK금융지주,138930,2016/12,5808093984,26.83,78.84,99.25,87325088,0.71,0.55,130466924,4.6
(주)DB하이텍,000990,2016/12,1006370876,176.13,36.21,15.98,247018873,2.75,1.54,773140180,0
(주)HJ중공업,097230,2016/12,3921561000,333.73,23.06,-5.52,78719000,0.55,0.33,1928591000,0
(주)JB금융지주,175330,2016/12,1910239000,30.51,76.62,20,8303000,0.67,0.53,61606000,1
(주)KB금융지주,105560,2016/12,23369959000,22.86,81.39,121.01,595720000,0.93,0.58,707800000,23.82
(주)MH에탄올,023150,2016/12,72025138,13.86,87.83,-2.96,12230065,1.06,0.8,48897025,47.05
(주)SH에너지화학,002360,2016/12,122956894,19.28,83.84,0.23,11581159,2.52,1.32,214380015,10.94
(주)SIMPAC,009160,2016/12,366245273,59.96,62.52,1.26,30470575,0.77,0.56,215839356,18.23
(주)SNT에너지,100840,2016/12,348042346,51.45,66.03,-2.31,35017765,0.93,0.52,254089906,0
(주)SNT홀딩스,036530,2016/12,427001710,0.07,99.93,15.85,761622,1.16,0.54,9818190,68.11
(주)STX,011810,2016/12,627686000,0,0,7.59,31638000,0,0,1465561000,0
(주)TCC스틸,002710,2016/12,250878191,170.86,36.92,-9.38,-34206656,0.85,0.46,317235565,0
(주)강원랜드,035250,2016/12,3975979890,22.23,81.81,3.9,600686651,3.13,2.48,1694575212,187.63
(주)갤럭시아에스엠,011420,2016/12,55825556,24.48,80.33,-15.1,-1876676,2.34,1.03,45665676,0
(주)경농,002100,2016/12,266622289,50.87,66.28,4.07,8683420,1.04,0.61,143209666,43.65
(주)경동나비엔,009450,2016/12,347643876,65.39,60.46,12.89,54602640,4.13,1.68,506082201,14.86
(주)경동인베스트,012320,2016/12,903818865,62.48,61.54,-24.51,32578235,0.58,0.38,1021002691,23.82
(주)경방,000050,2016/12,1237024388,79.22,55.8,1.99,61707854,0.88,0.06,313876822,36
(주)경보제약,214390,2016/12,203735980,57.44,63.51,4.88,25328803,4.49,2.3,186726170,40
(주)경인양행,012610,2016/12,290035389,51.83,65.86,2.43,8421999,1.53,0.68,179267850,9.79
(주)광명전기,017040,2016/12,125405290,45.25,68.85,4.23,2813219,2.29,0.86,96931493,0
(주)광주신세계,037710,2016/12,655502726,22.69,81.51,2.48,50122658,0.86,0.7,210423594,25
(주)국동,005320,2016/12,86116813,114.92,46.53,24.26,-2263482,2.58,1.1,127275873,0
(주)국보,001140,2016/12,77487791,487,17.04,-8.79,175508,3.77,1.79,77773715,0
(주)금비,008870,2016/09,155344926,93.49,51.68,7.15,6739915,2.42,0.67,100327539,19.43
(주)금양,001570,2016/12,174953809,686.69,12.71,5.61,1940653,8.81,3.01,161001876,0
(주)금호에이치티,214330,2016/12,151786975,63.71,61.08,4.38,18418054,1.3,0.6,189733826,20
