회사명,거래소코드,회계년도,[공통]자산(*)(IFRS),[공통]부채비율(IFRS),[공통]자기자본구성비율(IFRS),[공통]매출액증가율(IFRS),[공통]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS),[공통]매출액(영업수익)(*),[공통]평균배당률(IFRS)
(주)BNK금융지주,138930,2015/12,5244359795,28.35,77.91,-83.81,-6511313,1.07,0.52,65479194,3
(주)DB하이텍,000990,2015/12,1005673854,262.19,27.61,17.42,150510354,3.53,0.77,666594987,0
(주)HJ중공업,097230,2015/12,4638381000,236.72,29.7,13.47,109406000,0.55,0.26,2041347000,0
(주)JB금융지주,175330,2015/12,1800041000,24.38,80.4,62.91,25903000,0.66,0.48,51340000,1
(주)KB금융지주,105560,2015/12,20016171000,9.81,91.07,-37.32,547869000,0.93,0.72,320252000,19.6
(주)MH에탄올,023150,2015/12,78691328,36.69,73.16,2.86,13354086,2.24,0.95,50386203,39.59
(주)SH에너지화학,002360,2015/12,114048206,25.69,79.56,-5.77,24557427,3.3,1.59,213882181,8.75
(주)SIMPAC,009160,2015/12,369348917,67.82,59.59,-6.3,10489830,1.08,0.63,213152303,22.34
(주)SNT에너지,100840,2015/12,316196096,36.64,73.18,7.15,2204846,1.03,0.48,260094045,0
(주)SNT홀딩스,036530,2015/12,430584006,2.05,97.99,10.04,7958287,1.18,0.7,8475099,51.54
(주)STX,011810,2015/12,1057543000,1362.39,6.84,5.48,28936000,3.09,0.17,1362127000,0
(주)TCC스틸,002710,2015/12,330651742,331.91,23.15,-12.77,36353152,0.98,0.49,350074629,0
(주)강원랜드,035250,2015/12,3688060027,23.04,81.27,9.29,581804341,3.51,2.28,1630976696,185.74
(주)갤럭시아에스엠,011420,2015/12,67196553,32.63,75.4,62.85,3007845,2.23,0.75,53784932,0
(주)경농,002100,2015/12,265109291,53.19,65.28,2.08,-9444978,0.82,0.61,137609256,23.06
(주)경동나비엔,009450,2015/12,324848990,75.4,57.01,17.24,36531813,3.04,1.57,448302084,9.91
(주)경동인베스트,012320,2015/12,926392697,68.89,59.21,-43.63,-32486622,0.85,0.57,1352478311,24.99
(주)경방,000050,2015/12,1259512344,87.49,53.34,19.75,44076364,1.09,0.63,307744480,25
(주)경보제약,214390,2015/12,195488457,59.17,62.83,4.86,4240142,7.64,2.51,178032632,55
(주)경인양행,012610,2015/12,273778266,47.27,67.9,-8.08,-1240907,1.39,0.71,175006703,9.66
(주)광명전기,017040,2015/12,107719518,51.13,66.17,-19.69,13723720,1.74,1.28,93000177,0
(주)광주신세계,037710,2015/12,659495158,34.21,74.51,0.25,52123039,1.26,0.85,205331892,25
(주)국동,005320,2015/12,66242141,195.78,33.81,-13.09,1327414,5.12,1.79,102431161,0
(주)국보,001140,2015/12,80158667,368.4,21.35,-5.11,-691347,2.18,1.07,85267457,0.98
(주)금비,008870,2015/09,142267212,88.44,53.07,16,8190642,1.28,0.43,93629076,16.19
(주)금양,001570,2015/12,157467543,237.17,29.66,10.51,5231896,1.85,1.09,152450369,10.25
(주)금호에이치티,214330,2015/12,109367040,33.18,75.08,3.74,9740384,1.18,1.02,181779820,25
(주)까뮤이앤씨,013700,2015/12,129465385,182.76,35.37,7.12,7869800,1.91,0.61,132370311,2.49
(주)나이스홀딩스,034310,2015/12,379918653,22.17,81.85,22.14,7860176,3.81,1.79,30358130,22.47
