,업종명,종목명,2013_E,2013_S,2013_G,2014_E,2014_S,2014_G,Diff_E,Diff_S,Diff_G,2013_종가,2014_종가,등락률,연도
0,1차 산업,동원,3.0,2.5,2.5,2.0,2.5,2.5,-1.0,0.0,0.0,4310,3550,-0.1763341067285382,"13,14년"
1,1차 산업,동원산업,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,284000,328000,0.1549295774647887,"13,14년"
2,1차 산업,동원수산,2.0,2.5,2.5,2.0,2.5,2.5,0.0,0.0,0.0,14900,7180,-0.5181208053691275,"13,14년"
3,1차 산업,사조산업,2.0,2.5,2.5,2.0,2.5,2.5,0.0,0.0,0.0,29550,37550,0.2707275803722504,"13,14년"
4,1차 산업,사조오양,3.0,2.5,2.5,2.0,2.5,2.5,-1.0,0.0,0.0,7450,8900,0.1946308724832214,"13,14년"
5,1차 산업,신라교역,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,29250,19900,-0.3196581196581196,"13,14년"
6,건설업,GS건설,5.0,5.0,5.0,4.0,5.0,5.0,-1.0,0.0,0.0,35800,28100,-0.2150837988826815,"13,14년"
7,건설업,경남기업,2.0,2.5,2.5,2.0,2.5,2.5,0.0,0.0,0.0,3400,4430,0.3029411764705882,"13,14년"
8,건설업,고려개발,2.0,2.5,2.5,2.0,2.5,2.5,0.0,0.0,0.0,1880,2965,0.5771276595744681,"13,14년"
9,건설업,금호산업,2.0,4.0,2.5,3.0,4.0,4.0,1.0,0.0,1.5,10500,12000,0.1428571428571428,"13,14년"
10,건설업,대림산업,5.0,4.0,4.0,5.0,5.0,5.0,0.0,1.0,1.0,98400,70900,-0.2794715447154471,"13,14년"
11,건설업,대우건설,4.0,5.0,5.0,1.0,5.0,5.0,-3.0,0.0,0.0,8590,6550,-0.2374854481955762,"13,14년"
12,건설업,동부건설,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,3340,1185,-0.6452095808383234,"13,14년"
13,건설업,동아지질,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,8730,7910,-0.0939289805269186,"13,14년"
15,건설업,삼부토건,2.0,2.5,2.5,3.0,2.5,2.5,1.0,0.0,0.0,5260,5020,-0.0456273764258555,"13,14년"
17,건설업,삼호개발,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,2410,3330,0.3817427385892116,"13,14년"
18,건설업,성지건설,2.0,2.5,2.5,2.0,2.5,2.5,0.0,0.0,0.0,6580,5220,-0.2066869300911854,"13,14년"
19,건설업,신세계건설,2.0,4.0,2.5,2.0,5.0,2.5,0.0,1.0,0.0,9950,21300,1.1407035175879396,"13,14년"
20,건설업,신한,2.0,2.5,2.5,2.0,2.5,2.5,0.0,0.0,0.0,2095,3865,0.8448687350835322,"13,14년"
21,건설업,일성건설,2.0,2.5,2.5,2.0,2.5,2.5,0.0,0.0,0.0,5680,6450,0.1355633802816901,"13,14년"
22,건설업,진흥기업,3.0,4.0,4.0,1.0,2.5,4.0,-2.0,-1.5,0.0,1640,1375,-0.1615853658536585,"13,14년"
23,건설업,코오롱글로벌,4.0,2.5,2.5,3.0,2.5,2.5,-1.0,0.0,0.0,3870,7420,0.917312661498708,"13,14년"
24,건설업,태영건설,4.0,2.5,2.5,4.0,4.0,4.0,0.0,1.5,1.5,5720,4245,-0.2578671328671328,"13,14년"
25,건설업,한신공영,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,11200,12150,0.0848214285714285,"13,14년"
26,건설업,한전KPS,3.0,5.0,2.5,3.0,4.0,4.0,0.0,-1.0,1.5,53800,87700,0.6301115241635687,"13,14년"
27,건설업,현대건설,4.0,4.0,4.0,4.0,4.0,5.0,0.0,0.0,1.0,60900,48550,-0.202791461412151,"13,14년"
28,건설업,화성산업,4.0,2.5,2.5,4.0,2.5,2.5,0.0,0.0,0.0,5580,11950,1.1415770609318996,"13,14년"
29,금융 및 보험업,DGB금융지주,5.0,2.5,4.0,5.0,5.0,5.0,0.0,2.5,1.0,17000,15250,-0.1029411764705882,"13,14년"
30,금융 및 보험업,KB금융,6.0,6.0,6.0,5.0,4.0,5.0,-1.0,-2.0,-1.0,42000,42000,0.0,"13,14년"
31,금융 및 보험업,KTB투자증권,4.0,2.5,2.5,3.0,2.5,2.5,-1.0,0.0,0.0,2380,2150,-0.0966386554621848,"13,14년"
32,금융 및 보험업,NH농협증권,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,4800,7990,0.6645833333333333,"13,14년"
