,업종명,종목명,2012_E,2012_S,2012_G,2013_E,2013_S,2013_G,Diff_E,Diff_S,Diff_G,2012_종가,2013_종가,등락률,연도
45,금융 및 보험업,삼성증권,5.0,6.0,4.0,5.0,4.0,2.5,0.0,-2.0,-1.5,48850,47050,-0.0368474923234391,"12,13년"
46,금융 및 보험업,삼성카드,4.0,4.0,2.5,3.0,4.0,2.5,-1.0,0.0,0.0,42200,39300,-0.0687203791469194,"12,13년"
47,금융 및 보험업,신영증권,4.0,2.5,2.0,4.0,2.5,2.5,0.0,0.0,0.5,30300,41800,0.3795379537953795,"12,13년"
48,금융 및 보험업,신한지주,6.0,5.0,4.0,6.0,6.0,5.0,0.0,1.0,1.0,37450,46350,0.2376502002670227,"12,13년"
49,금융 및 보험업,아주캐피탈,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,4390,4940,0.1252847380410023,"12,13년"
50,금융 및 보험업,유화증권,3.0,2.5,2.0,3.0,2.5,2.5,0.0,0.0,0.5,12900,11850,-0.0813953488372093,"12,13년"
51,금융 및 보험업,코리안리,4.0,2.5,2.5,5.0,2.5,2.5,1.0,0.0,0.0,10700,11900,0.1121495327102803,"12,13년"
52,금융 및 보험업,키움증권,4.0,2.5,2.0,4.0,2.5,2.5,0.0,0.0,0.5,55200,55600,0.0072463768115942,"12,13년"
53,금융 및 보험업,하나금융지주,6.0,5.0,2.5,6.0,4.0,4.0,0.0,-1.0,1.5,31750,40900,0.2881889763779527,"12,13년"
54,금융 및 보험업,한국금융지주,5.0,2.5,2.5,5.0,2.5,2.5,0.0,0.0,0.0,37300,41350,0.1085790884718498,"12,13년"
55,금융 및 보험업,한양증권,4.0,4.0,2.5,4.0,2.5,2.5,0.0,-1.5,0.0,6830,6220,-0.089311859443631,"12,13년"
56,금융 및 보험업,한화손해보험,4.0,2.5,2.5,3.0,2.5,2.5,-1.0,0.0,0.0,7400,4195,-0.4331081081081081,"12,13년"
57,금융 및 보험업,한화투자증권,3.0,2.5,2.5,4.0,2.5,2.5,1.0,0.0,0.0,3915,3585,-0.0842911877394636,"12,13년"
58,금융 및 보험업,현대해상,5.0,5.0,2.5,5.0,5.0,2.5,0.0,0.0,0.0,35250,30350,-0.1390070921985815,"12,13년"
59,금융 및 보험업,흥국화재,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,4990,4525,-0.0931863727454909,"12,13년"
60,서비스업,CJ,3.0,2.5,2.5,3.0,5.0,2.5,0.0,2.5,0.0,106500,111000,0.0422535211267605,"12,13년"
61,서비스업,CJ CGV,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,33800,49950,0.4778106508875739,"12,13년"
62,서비스업,CS홀딩스,2.0,2.5,2.0,2.0,2.5,2.5,0.0,0.0,0.5,35550,37300,0.0492264416315049,"12,13년"
63,서비스업,GKL,4.0,4.0,2.0,4.0,4.0,2.5,0.0,0.0,0.5,30700,38700,0.260586319218241,"12,13년"
64,서비스업,GS,4.0,2.5,2.5,4.0,2.5,2.5,0.0,0.0,0.0,68600,58500,-0.1472303206997084,"12,13년"
65,서비스업,JW홀딩스,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,2410,2680,0.1120331950207468,"12,13년"
67,서비스업,KISCO홀딩스,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,37400,41800,0.1176470588235294,"12,13년"
68,서비스업,KPX홀딩스,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,40400,48050,0.1893564356435643,"12,13년"
69,서비스업,KTcs,3.0,2.5,2.0,3.0,2.5,2.5,0.0,0.0,0.5,2170,3100,0.4285714285714285,"12,13년"
70,서비스업,LG,3.0,2.5,2.5,5.0,4.0,2.5,2.0,1.5,0.0,66600,62700,-0.0585585585585585,"12,13년"
71,서비스업,LS,4.0,2.5,2.5,4.0,2.5,2.5,0.0,0.0,0.0,89200,79300,-0.1109865470852018,"12,13년"
72,서비스업,NICE,3.0,2.5,2.0,3.0,2.5,2.5,0.0,0.0,0.5,57900,12950,-0.7763385146804835,"12,13년"
73,서비스업,S&T홀딩스,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,9410,19800,1.104144527098831,"12,13년"
74,서비스업,SBS,4.0,2.5,2.5,4.0,2.5,2.5,0.0,0.0,0.0,40700,40050,-0.0159705159705159,"12,13년"
75,서비스업,SBS미디어홀딩스,3.0,2.5,2.5,2.0,2.5,2.5,-1.0,0.0,0.0,6600,4620,-0.3,"12,13년"
76,서비스업,SK,4.0,5.0,5.0,3.0,4.0,2.5,-1.0,-1.0,-2.5,152000,192500,0.2664473684210526,"12,13년"
77,서비스업,SK이노베이션,5.0,4.0,5.0,3.0,5.0,5.0,-2.0,1.0,0.0,160500,149000,-0.0716510903426791,"12,13년"
78,서비스업,강원랜드,4.0,5.0,4.0,4.0,5.0,4.0,0.0,0.0,0.0,25400,29150,0.1476377952755905,"12,13년"
79,서비스업,노루홀딩스,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,8260,19500,1.360774818401937,"12,13년"
80,서비스업,녹십자홀딩스,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,17000,13200,-0.2235294117647059,"12,13년"
81,서비스업,농심홀딩스,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,62000,76100,0.2274193548387096,"12,13년"
82,서비스업,다우기술,2.0,2.5,2.0,2.0,2.5,2.5,0.0,0.0,0.5,15500,14550,-0.0612903225806451,"12,13년"
83,서비스업,대교,4.0,2.5,2.5,5.0,2.5,2.5,1.0,0.0,0.0,6020,6710,0.1146179401993355,"12,13년"
84,서비스업,대상홀딩스,3.0,2.5,2.5,2.0,2.5,2.5,-1.0,0.0,0.0,5890,7470,0.2682512733446519,"12,13년"
85,서비스업,대성합동지주,4.0,2.5,2.5,3.0,2.5,2.5,-1.0,0.0,0.0,37200,25950,-0.3024193548387097,"12,13년"
86,서비스업,대성홀딩스,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,6960,8600,0.2356321839080459,"12,13년"
87,서비스업,대웅,3.0,2.5,2.5,2.0,2.5,2.5,-1.0,0.0,0.0,20900,37350,0.7870813397129187,"12,13년"
88,서비스업,더존비즈온,2.0,2.5,2.0,2.0,2.5,2.5,0.0,0.0,0.5,11000,9960,-0.0945454545454545,"12,13년"
89,서비스업,도화엔지니어링,4.0,2.5,2.5,4.0,2.5,2.5,0.0,0.0,0.0,9790,5200,-0.4688457609805924,"12,13년"
90,서비스업,두산,6.0,6.0,6.0,6.0,5.0,6.0,0.0,-1.0,0.0,126000,142000,0.1269841269841269,"12,13년"
91,서비스업,비상교육,3.0,2.5,2.0,3.0,2.5,2.5,0.0,0.0,0.5,13000,12400,-0.0461538461538461,"12,13년"
92,서비스업,삼성엔지니어링,4.0,4.0,2.5,4.0,5.0,4.0,0.0,1.0,1.5,142500,74700,-0.4757894736842105,"12,13년"
93,서비스업,삼성출판사,3.0,2.5,2.0,3.0,2.5,2.5,0.0,0.0,0.5,4240,5640,0.330188679245283,"12,13년"
94,서비스업,삼양홀딩스,3.0,2.5,4.0,3.0,2.5,2.5,0.0,0.0,-1.5,71500,88500,0.2377622377622377,"12,13년"
95,서비스업,성창기업지주,3.0,2.5,2.5,2.0,2.5,2.5,-1.0,0.0,0.0,23900,17700,-0.2594142259414226,"12,13년"
96,서비스업,세기상사,2.0,2.5,2.0,3.0,2.5,2.5,1.0,0.0,0.5,31100,28250,-0.0916398713826366,"12,13년"
97,서비스업,세아홀딩스,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,94000,98300,0.0457446808510638,"12,13년"
98,서비스업,신세계푸드,2.0,4.0,2.5,2.0,2.5,2.5,0.0,-1.5,0.0,109000,88900,-0.1844036697247706,"12,13년"
99,서비스업,에스원,3.0,4.0,2.5,3.0,4.0,2.5,0.0,0.0,0.0,65800,63300,-0.0379939209726443,"12,13년"
100,서비스업,에쓰씨엔지니어링,2.0,2.5,2.5,2.0,2.5,2.5,0.0,0.0,0.0,2240,1940,-0.1339285714285714,"12,13년"
101,서비스업,엔씨소프트,5.0,2.5,2.5,4.0,2.5,2.5,-1.0,0.0,0.0,209000,205500,-0.0167464114832535,"12,13년"
102,서비스업,영원무역홀딩스,3.0,2.5,2.5,2.0,2.5,2.5,-1.0,0.0,0.0,60700,64500,0.0626029654036243,"12,13년"
103,서비스업,웅진씽크빅,3.0,4.0,4.0,2.0,4.0,4.0,-1.0,0.0,0.0,6370,6060,-0.0486656200941915,"12,13년"
104,서비스업,유엔젤,3.0,2.5,2.0,3.0,2.5,2.5,0.0,0.0,0.5,5900,4355,-0.261864406779661,"12,13년"
105,서비스업,이스타코,2.0,2.5,2.0,2.0,2.5,2.5,0.0,0.0,0.5,759,1770,1.33201581027668,"12,13년"
106,서비스업,이월드,2.0,2.5,2.5,2.0,2.5,2.5,0.0,0.0,0.0,791,903,0.1415929203539823,"12,13년"
107,서비스업,일진홀딩스,2.0,2.5,2.5,2.0,2.5,2.5,0.0,0.0,0.0,1680,2430,0.4464285714285714,"12,13년"
108,서비스업,제일기획,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,21000,26150,0.2452380952380952,"12,13년"
109,서비스업,진양홀딩스,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,1630,2080,0.2760736196319018,"12,13년"
110,서비스업,케이티스,3.0,2.5,2.0,4.0,2.5,2.5,1.0,0.0,0.5,2750,4050,0.4727272727272727,"12,13년"
111,서비스업,코오롱,3.0,4.0,2.5,3.0,2.5,2.5,0.0,-1.5,0.0,17200,19850,0.1540697674418604,"12,13년"
112,서비스업,콤텍시스템,3.0,2.5,2.0,3.0,2.5,2.5,0.0,0.0,0.5,1150,1310,0.1391304347826087,"12,13년"
113,서비스업,텔코웨어,3.0,2.5,2.0,3.0,2.5,2.5,0.0,0.0,0.5,8110,10350,0.2762022194821208,"12,13년"
114,서비스업,평화홀딩스,3.0,2.5,2.0,3.0,2.5,2.5,0.0,0.0,0.5,2800,2935,0.0482142857142857,"12,13년"
115,서비스업,풍산홀딩스,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,23250,28100,0.2086021505376344,"12,13년"
116,서비스업,하나투어,4.0,2.5,2.5,3.0,2.5,2.5,-1.0,0.0,0.0,61400,69100,0.1254071661237785,"12,13년"
117,서비스업,하이트진로홀딩스,3.0,2.5,2.5,4.0,2.5,2.5,1.0,0.0,0.0,14000,11550,-0.175,"12,13년"
118,서비스업,한국전자홀딩스,3.0,2.5,2.0,2.0,2.5,2.5,-1.0,0.0,0.5,1215,1060,-0.1275720164609053,"12,13년"
119,서비스업,한미글로벌,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,7080,6920,-0.0225988700564971,"12,13년"
121,서비스업,한세예스24홀딩스,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,7400,4795,-0.352027027027027,"12,13년"
122,서비스업,한전기술,3.0,5.0,2.5,3.0,2.5,4.0,0.0,-2.5,1.5,64200,56300,-0.1230529595015576,"12,13년"
123,서비스업,한전산업,2.0,2.5,4.0,2.0,2.5,2.5,0.0,0.0,-1.5,5440,4395,-0.1920955882352941,"12,13년"
124,서비스업,한진중공업홀딩스,4.0,2.5,2.5,4.0,2.5,2.5,0.0,0.0,0.0,6970,9150,0.3127690100430416,"12,13년"
125,서비스업,현대에이치씨엔,3.0,2.5,2.0,3.0,2.5,2.5,0.0,0.0,0.5,5200,4760,-0.0846153846153846,"12,13년"
126,에너지업,경남에너지,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,4245,5460,0.2862190812720848,"12,13년"
127,에너지업,대성에너지,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,5610,5710,0.017825311942959,"12,13년"
128,에너지업,삼천리,4.0,4.0,2.5,4.0,4.0,2.5,0.0,0.0,0.0,97300,131000,0.3463514902363823,"12,13년"
129,에너지업,예스코,4.0,4.0,2.5,4.0,4.0,2.5,0.0,0.0,0.0,30050,34950,0.1630615640599001,"12,13년"
130,에너지업,인천도시가스,3.0,2.5,2.5,2.0,2.5,2.5,-1.0,0.0,0.0,23150,26900,0.161987041036717,"12,13년"
131,에너지업,지역난방공사,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,71300,99200,0.391304347826087,"12,13년"
132,에너지업,한국가스공사,4.0,4.0,4.0,4.0,5.0,4.0,0.0,1.0,0.0,76600,63900,-0.1657963446475195,"12,13년"
133,운수 및 창고업,CJ대한통운,3.0,4.0,2.5,4.0,5.0,4.0,1.0,1.0,1.5,113500,92300,-0.186784140969163,"12,13년"
134,운수 및 창고업,E1,3.0,4.0,2.5,3.0,2.5,2.5,0.0,-1.5,0.0,62100,76100,0.2254428341384863,"12,13년"
135,운수 및 창고업,GS글로벌,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,13800,9680,-0.2985507246376812,"12,13년"
136,운수 및 창고업,KSS해운,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,7000,10250,0.4642857142857143,"12,13년"
137,운수 및 창고업,LG상사,4.0,2.5,2.5,4.0,4.0,4.0,0.0,1.5,1.5,39600,29800,-0.2474747474747475,"12,13년"
138,운수 및 창고업,LS네트웍스,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,4320,4820,0.1157407407407407,"12,13년"
139,운수 및 창고업,SG세계물산,2.0,2.5,2.5,2.0,2.5,2.5,0.0,0.0,0.0,649,700,0.0785824345146379,"12,13년"
140,운수 및 창고업,SK가스,2.0,4.0,2.5,4.0,4.0,2.5,2.0,0.0,0.0,79000,74900,-0.0518987341772151,"12,13년"
141,운수 및 창고업,SK네트웍스,5.0,5.0,2.5,5.0,4.0,2.5,0.0,-1.0,0.0,9550,6660,-0.3026178010471204,"12,13년"
142,운수 및 창고업,STX,3.0,4.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,8000,1785,-0.776875,"12,13년"
143,운수 및 창고업,광주신세계,3.0,4.0,2.5,3.0,4.0,2.5,0.0,0.0,0.0,236000,262000,0.1101694915254237,"12,13년"
144,운수 및 창고업,국동,3.0,2.5,2.5,2.0,2.5,2.5,-1.0,0.0,0.0,1460,1605,0.0993150684931506,"12,13년"
145,운수 및 창고업,국보,2.0,2.5,2.5,2.0,2.5,2.5,0.0,0.0,0.0,14100,11800,-0.1631205673758865,"12,13년"
146,운수 및 창고업,남성,3.0,2.5,2.5,2.0,2.5,2.5,-1.0,0.0,0.0,7400,7830,0.0581081081081081,"12,13년"
147,운수 및 창고업,대구백화점,3.0,4.0,2.5,3.0,2.5,2.5,0.0,-1.5,0.0,13600,16400,0.2058823529411764,"12,13년"
148,운수 및 창고업,대성산업,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,18050,4300,-0.7617728531855956,"12,13년"
149,운수 및 창고업,대한항공,3.0,5.0,6.0,4.0,5.0,5.0,1.0,0.0,-1.0,48950,34050,-0.3043922369765066,"12,13년"
