,업종명,종목명,2015_E,2015_S,2015_G,2016_E,2016_S,2016_G,Diff_E,Diff_S,Diff_G,2015_종가,2016_종가,등락률,연도
1,1차 산업,동원산업,3.0,4.0,2.5,3.0,2.5,2.5,0.0,-1.5,0.0,320000,308000,-0.0375,"15,16년"
2,1차 산업,동원수산,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,9900,8490,-0.1424242424242424,"15,16년"
3,1차 산업,사조산업,3.0,2.5,2.5,2.0,2.5,2.5,-1.0,0.0,0.0,68500,62500,-0.0875912408759124,"15,16년"
4,1차 산업,사조오양,2.0,2.5,2.5,2.0,2.5,2.5,0.0,0.0,0.0,12350,11250,-0.0890688259109311,"15,16년"
5,1차 산업,신라교역,2.0,2.5,2.5,3.0,2.5,2.5,1.0,0.0,0.0,17350,14050,-0.1902017291066282,"15,16년"
6,건설업,GS건설,3.0,5.0,5.0,4.0,4.0,5.0,1.0,-1.0,0.0,23300,26800,0.1502145922746781,"15,16년"
7,건설업,고려개발,2.0,4.0,2.5,2.0,4.0,2.5,0.0,0.0,0.0,4240,7210,0.7004716981132075,"15,16년"
8,건설업,금호산업,3.0,2.5,2.5,3.0,2.5,4.0,0.0,0.0,1.5,17450,9580,-0.4510028653295129,"15,16년"
9,건설업,대림산업,3.0,4.0,5.0,3.0,2.5,5.0,0.0,-1.5,0.0,74800,81700,0.0922459893048128,"15,16년"
10,건설업,대우건설,1.0,4.0,5.0,3.0,5.0,5.0,2.0,1.0,0.0,6510,6330,-0.0276497695852534,"15,16년"
11,건설업,동아지질,2.0,2.5,2.5,3.0,2.5,2.5,1.0,0.0,0.0,7960,8250,0.0364321608040201,"15,16년"
12,건설업,두산건설,5.0,4.0,4.0,5.0,4.0,5.0,0.0,0.0,1.0,6690,3875,-0.4207772795216741,"15,16년"
13,건설업,범양건영,2.0,2.5,2.5,2.0,2.5,2.5,0.0,0.0,0.0,14400,13250,-0.0798611111111111,"15,16년"
14,건설업,삼호,3.0,2.5,4.0,3.0,2.5,2.5,0.0,0.0,-1.5,17600,17500,-0.0056818181818181,"15,16년"
15,건설업,삼호개발,2.0,2.5,2.5,3.0,2.5,2.5,1.0,0.0,0.0,3410,3250,-0.0469208211143695,"15,16년"
16,건설업,성지건설,2.0,2.5,2.5,2.0,2.5,2.5,0.0,0.0,0.0,5000,1875,-0.625,"15,16년"
17,건설업,신세계건설,3.0,4.0,2.5,3.0,4.0,4.0,0.0,0.0,1.5,49500,40200,-0.1878787878787878,"15,16년"
18,건설업,신한,2.0,2.5,2.5,2.0,2.5,2.5,0.0,0.0,0.0,4155,4945,0.1901323706377858,"15,16년"
19,건설업,에쓰씨엔지니어링,2.0,2.5,2.5,2.0,2.5,2.5,0.0,0.0,0.0,6080,3305,-0.4564144736842105,"15,16년"
20,건설업,일성건설,2.0,2.5,2.5,2.0,2.5,2.5,0.0,0.0,0.0,11400,9100,-0.2017543859649122,"15,16년"
21,건설업,진흥기업,2.0,2.5,4.0,3.0,2.5,4.0,1.0,0.0,0.0,2240,1755,-0.2165178571428571,"15,16년"
22,건설업,코오롱글로벌,3.0,2.5,2.5,4.0,4.0,2.5,1.0,1.5,0.0,17000,13350,-0.2147058823529411,"15,16년"
23,건설업,태영건설,4.0,2.5,4.0,4.0,4.0,2.5,0.0,1.5,-1.5,5890,4875,-0.1723259762308998,"15,16년"
24,건설업,한라,2.0,2.5,2.5,4.0,4.0,2.5,2.0,1.5,0.0,3865,4600,0.1901681759379042,"15,16년"
25,건설업,한신공영,3.0,2.5,2.5,2.0,2.5,2.5,-1.0,0.0,0.0,18800,17800,-0.0531914893617021,"15,16년"
26,건설업,한전KPS,3.0,4.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,104000,54900,-0.4721153846153846,"15,16년"
27,건설업,한진중공업,3.0,2.5,2.5,2.0,2.5,4.0,-1.0,0.0,1.5,4460,3900,-0.1255605381165919,"15,16년"
28,건설업,현대건설,3.0,4.0,5.0,3.0,4.0,5.0,0.0,0.0,0.0,34600,41450,0.1979768786127167,"15,16년"
29,건설업,화성산업,4.0,4.0,2.5,4.0,2.5,2.5,0.0,-1.5,0.0,17200,12600,-0.2674418604651162,"15,16년"
30,금융 및 보험업,BNK금융지주,6.0,5.0,2.5,6.0,4.0,2.5,0.0,-1.0,0.0,14000,9290,-0.3364285714285714,"15,16년"
31,금융 및 보험업,DGB금융지주,6.0,4.0,5.0,6.0,6.0,5.0,0.0,2.0,0.0,10600,9600,-0.0943396226415094,"15,16년"
32,금융 및 보험업,JB금융지주,6.0,2.5,2.5,6.0,2.5,2.5,0.0,0.0,0.0,5940,5940,0.0,"15,16년"
