,업종명,종목명,2011_E,2011_S,2011_G,2012_E,2012_S,2012_G,Diff_E,Diff_S,Diff_G,2011_종가,2012_종가,등락률,연도
0,1차 산업,동원,2.0,2.0,2.0,2.0,2.5,2.5,0.0,0.5,0.5,5350,4825,-0.0981308411214953,"11,12년"
1,1차 산업,동원산업,2.0,2.5,2.0,3.0,2.5,2.5,1.0,0.0,0.5,166000,285000,0.7168674698795181,"11,12년"
2,1차 산업,동원수산,2.0,2.0,2.0,3.0,2.5,2.5,1.0,0.5,0.5,22700,14000,-0.3832599118942731,"11,12년"
3,1차 산업,사조산업,3.0,2.5,2.0,2.0,2.5,2.5,-1.0,0.0,0.5,54000,56300,0.0425925925925925,"11,12년"
4,1차 산업,사조오양,3.0,2.0,2.0,3.0,2.5,2.5,0.0,0.5,0.5,16600,13700,-0.1746987951807229,"11,12년"
5,1차 산업,신라교역,3.0,2.0,2.0,3.0,2.5,2.5,0.0,0.5,0.5,11750,24300,1.0680851063829788,"11,12년"
6,건설업,GS건설,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,98400,61400,-0.3760162601626016,"11,12년"
7,건설업,경남기업,3.0,2.5,2.5,2.0,2.5,2.5,-1.0,0.0,0.0,8550,5830,-0.3181286549707602,"11,12년"
8,건설업,고려개발,3.0,4.0,2.5,3.0,4.0,2.5,0.0,0.0,0.0,2450,1750,-0.2857142857142857,"11,12년"
9,건설업,금호산업,2.0,4.0,2.5,3.0,4.0,2.5,1.0,0.0,0.0,7900,2175,-0.7246835443037974,"11,12년"
10,건설업,남광토건,2.0,2.5,2.5,3.0,2.5,2.5,1.0,0.0,0.0,1295,1360,0.0501930501930501,"11,12년"
11,건설업,대림산업,4.0,5.0,5.0,4.0,5.0,4.0,0.0,0.0,-1.0,98000,75900,-0.2255102040816326,"11,12년"
12,건설업,대우건설,3.0,2.5,2.5,4.0,2.5,2.5,1.0,0.0,0.0,10350,9280,-0.1033816425120772,"11,12년"
13,건설업,동부건설,4.0,2.5,2.5,4.0,2.5,2.5,0.0,0.0,0.0,4820,3400,-0.2946058091286307,"11,12년"
14,건설업,동아지질,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,10700,9060,-0.1532710280373831,"11,12년"
15,건설업,두산건설,6.0,4.0,4.0,4.0,5.0,4.0,-2.0,1.0,0.0,3930,2350,-0.4020356234096692,"11,12년"
16,건설업,삼호,3.0,2.5,2.5,3.0,4.0,2.5,0.0,1.5,0.0,1925,1935,0.0051948051948051,"11,12년"
17,건설업,삼호개발,3.0,2.5,2.0,3.0,2.5,2.5,0.0,0.0,0.5,1950,2100,0.0769230769230769,"11,12년"
18,건설업,삼환기업,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,5440,2085,-0.6167279411764706,"11,12년"
19,건설업,신세계건설,3.0,2.5,2.5,2.0,2.5,2.5,-1.0,0.0,0.0,14500,11200,-0.2275862068965517,"11,12년"
20,건설업,신일건업,3.0,2.5,2.0,3.0,2.5,2.5,0.0,0.0,0.5,3180,2640,-0.1698113207547169,"11,12년"
21,건설업,신한,2.0,2.0,2.5,2.0,2.5,2.5,0.0,0.5,0.0,5820,4375,-0.2482817869415807,"11,12년"
22,건설업,일성건설,2.0,2.5,2.5,3.0,2.5,2.5,1.0,0.0,0.0,4950,5210,0.0525252525252525,"11,12년"
23,건설업,중앙건설,3.0,2.5,2.0,3.0,2.5,2.5,0.0,0.0,0.5,1310,623,-0.5244274809160305,"11,12년"
24,건설업,진흥기업,3.0,2.5,2.5,2.0,2.5,2.5,-1.0,0.0,0.0,170,647,2.8058823529411763,"11,12년"
25,건설업,태영건설,4.0,2.0,2.5,3.0,2.5,2.5,-1.0,0.5,0.0,5970,5480,-0.0820770519262981,"11,12년"
26,건설업,한신공영,3.0,2.0,2.5,3.0,4.0,2.5,0.0,2.0,0.0,7970,7120,-0.1066499372647427,"11,12년"
27,건설업,한일건설,2.0,2.0,2.5,2.0,2.5,2.5,0.0,0.5,0.0,3450,1240,-0.6405797101449275,"11,12년"
28,건설업,한전KPS,3.0,5.0,2.5,3.0,5.0,2.5,0.0,0.0,0.0,30950,60000,0.938610662358643,"11,12년"
29,건설업,현대건설,4.0,5.0,5.0,4.0,5.0,4.0,0.0,0.0,-1.0,71900,65700,-0.086230876216968,"11,12년"
30,건설업,화성산업,4.0,4.0,2.0,4.0,2.5,2.5,0.0,-1.5,0.5,2780,3610,0.2985611510791366,"11,12년"
31,금융 및 보험업,KB금융,6.0,6.0,5.0,6.0,6.0,5.0,0.0,0.0,0.0,43400,37100,-0.1451612903225806,"11,12년"
32,금융 및 보험업,KTB투자증권,4.0,2.5,2.5,4.0,2.5,2.0,0.0,0.0,-0.5,2270,2065,-0.0903083700440528,"11,12년"
33,금융 및 보험업,SK증권,4.0,4.0,2.0,5.0,5.0,2.5,1.0,1.0,0.5,1410,1160,-0.1773049645390071,"11,12년"
34,금융 및 보험업,골든브릿지증권,2.0,2.0,2.0,3.0,2.5,2.0,1.0,0.5,0.0,1280,1010,-0.2109375,"11,12년"
35,금융 및 보험업,교보증권,2.0,2.5,2.0,3.0,2.5,2.5,1.0,0.0,0.5,4945,4610,-0.0677451971688574,"11,12년"
36,금융 및 보험업,기업은행,4.0,4.0,2.0,4.0,4.0,2.5,0.0,0.0,0.5,14850,12000,-0.1919191919191919,"11,12년"
37,금융 및 보험업,대신증권,5.0,2.5,2.0,5.0,2.5,2.5,0.0,0.0,0.5,10300,8690,-0.1563106796116505,"11,12년"
38,금융 및 보험업,동양생명,4.0,2.5,2.0,4.0,2.5,2.5,0.0,0.0,0.5,13400,11800,-0.1194029850746268,"11,12년"
39,금융 및 보험업,롯데손해보험,3.0,2.5,2.0,5.0,5.0,2.5,2.0,2.5,0.5,6030,3995,-0.3374792703150912,"11,12년"
40,금융 및 보험업,메리츠종금증권,3.0,2.5,2.0,4.0,2.5,2.5,1.0,0.0,0.5,704,1305,0.8536931818181818,"11,12년"
41,금융 및 보험업,메리츠화재,5.0,4.0,2.5,5.0,4.0,2.5,0.0,0.0,0.0,10700,14800,0.3831775700934579,"11,12년"
42,금융 및 보험업,미래에셋증권,3.0,2.5,2.0,4.0,4.0,2.5,1.0,1.5,0.5,35900,29600,-0.1754874651810584,"11,12년"
43,금융 및 보험업,부국증권,3.0,2.5,2.0,3.0,2.5,2.0,0.0,0.0,0.0,16900,17550,0.0384615384615384,"11,12년"
44,금융 및 보험업,삼성증권,5.0,5.0,4.0,5.0,6.0,4.0,0.0,1.0,0.0,58500,48850,-0.1649572649572649,"11,12년"
45,금융 및 보험업,삼성카드,4.0,4.0,2.0,4.0,4.0,2.5,0.0,0.0,0.5,41950,42200,0.0059594755661501,"11,12년"
46,금융 및 보험업,신영증권,4.0,2.5,2.0,4.0,2.5,2.0,0.0,0.0,0.0,27200,30300,0.1139705882352941,"11,12년"
47,금융 및 보험업,신한지주,5.0,5.0,5.0,6.0,5.0,4.0,1.0,0.0,-1.0,44650,37450,-0.1612541993281075,"11,12년"
48,금융 및 보험업,아주캐피탈,4.0,2.5,2.0,3.0,2.5,2.5,-1.0,0.0,0.5,4940,4390,-0.1113360323886639,"11,12년"
49,금융 및 보험업,유화증권,4.0,2.5,2.0,3.0,2.5,2.0,-1.0,0.0,0.0,12800,12900,0.0078125,"11,12년"
