,업종명,종목명,2014_E,2014_S,2014_G,2015_E,2015_S,2015_G,Diff_E,Diff_S,Diff_G,2014_종가,2015_종가,등락률,연도
0,1차 산업,동원,2.0,2.5,2.5,2.0,2.5,2.5,0.0,0.0,0.0,3550,5390,0.5183098591549296,"14,15년"
1,1차 산업,동원산업,3.0,2.5,2.5,3.0,4.0,2.5,0.0,1.5,0.0,328000,320000,-0.024390243902439,"14,15년"
2,1차 산업,동원수산,2.0,2.5,2.5,3.0,2.5,2.5,1.0,0.0,0.0,7180,9900,0.3788300835654596,"14,15년"
3,1차 산업,사조산업,2.0,2.5,2.5,3.0,2.5,2.5,1.0,0.0,0.0,37550,68500,0.8242343541944075,"14,15년"
4,1차 산업,사조오양,2.0,2.5,2.5,2.0,2.5,2.5,0.0,0.0,0.0,8900,12350,0.3876404494382022,"14,15년"
5,1차 산업,신라교역,3.0,2.5,2.5,2.0,2.5,2.5,-1.0,0.0,0.0,19900,17350,-0.1281407035175879,"14,15년"
6,건설업,GS건설,4.0,5.0,5.0,3.0,5.0,5.0,-1.0,0.0,0.0,28100,23300,-0.1708185053380783,"14,15년"
7,건설업,고려개발,2.0,2.5,2.5,2.0,4.0,2.5,0.0,1.5,0.0,2965,4240,0.4300168634064081,"14,15년"
8,건설업,금호산업,3.0,4.0,4.0,3.0,2.5,2.5,0.0,-1.5,-1.5,12000,17450,0.4541666666666666,"14,15년"
9,건설업,대림산업,5.0,5.0,5.0,3.0,4.0,5.0,-2.0,-1.0,0.0,70900,74800,0.0550070521861777,"14,15년"
10,건설업,대우건설,1.0,5.0,5.0,1.0,4.0,5.0,0.0,-1.0,0.0,6550,6510,-0.0061068702290076,"14,15년"
11,건설업,동아지질,3.0,2.5,2.5,2.0,2.5,2.5,-1.0,0.0,0.0,7910,7960,0.0063211125158027,"14,15년"
12,건설업,두산건설,4.0,5.0,4.0,5.0,4.0,4.0,1.0,-1.0,0.0,10600,6690,-0.3688679245283018,"14,15년"
13,건설업,삼부토건,3.0,2.5,2.5,2.0,2.5,2.5,-1.0,0.0,0.0,5020,5290,0.0537848605577689,"14,15년"
