종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2410","15","0.63","2375","2430","2375","117499","281783650","111514346330","46271513"
"095570","AJ네트웍스","KOSPI",,"5870","-10","-0.17","5880","5910","5690","63020","365549090","274846871650","46822295"
"006840","AK홀딩스","KOSPI",,"11300","-50","-0.44","11600","11600","11100","18246","204491750","149697439300","13247561"
"054620","APS홀딩스","KOSDAQ","중견기업부","12000","-400","-3.23","12700","12700","11450","105946","1263286800","244730652000","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","17250","350","2.07","17100","17400","16950","25617","439648350","263604512250","15281421"
"211270","AP위성","KOSDAQ","벤처기업부","9000","200","2.27","8920","9060","8860","61321","550986270","135740736000","15082304"
"027410","BGF","KOSPI",,"3265","-10","-0.31","3305","3305","3240","61359","200154630","312515322615","95716791"
"282330","BGF리테일","KOSPI",,"186500","2500","1.36","184500","188000","180500","36985","6846103000","3223448469000","17283906"
"032790","BNGT","KOSDAQ","벤처기업부","3305","-230","-6.51","3510","3530","3300","995625","3374283135","97611010225","29534345"
"138930","BNK금융지주","KOSPI",,"6410","-40","-0.62","6500","6510","6380","927156","5955346710","2089244926860","325935246"
"001460","BYC","KOSPI",,"367500","500","0.14","367000","372500","367000","107","39500000","229546012500","624615"
"001465","BYC우","KOSPI",,"139500","0","0.00","142000","142000","137500","278","38451500","30046207500","215385"
"013720","CBI","KOSDAQ","벤처기업부","357","1","0.28","361","363","352","2077925","740647016","96511624902","270340686"
"001040","CJ","KOSPI",,"71800","-1000","-1.37","73700","73700","71600","27725","2002931600","2094908456400","29176998"
"079160","CJ CGV","KOSPI",,"13500","50","0.37","13600","13600","13350","63003","848716000","644101551000","47711226"
"035760","CJ ENM","KOSDAQ","우량기업부","73400","-700","-0.94","74900","74900","72200","81176","5929017500","1609599903600","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","26000","0","0.00","25950","26600","25900","1206","31470550","152845472000","5878672"
"00104K","CJ4우(전환)","KOSPI",,"67600","600","0.90","67700","67700","66300","6121","410263400","285712211200","4226512"
"000120","CJ대한통운","KOSPI",,"87900","1000","1.15","87800","87900","84800","62078","5400226600","2005205037600","22812344"
"011150","CJ씨푸드","KOSPI",,"2655","20","0.76","2650","2670","2625","32799","86833015","95396202315","35930773"
"011155","CJ씨푸드1우","KOSPI",,"27300","400","1.49","26550","27300","26400","53","1402950","5460000000","200000"
"001045","CJ우","KOSPI",,"47300","450","0.96","46850","47450","46800","271","12806550","106908547900","2260223"
"097950","CJ제일제당","KOSPI",,"414000","-500","-0.12","415500","422500","410000","38844","16117890500","6232433004000","15054186"
"097955","CJ제일제당 우","KOSPI",,"165500","500","0.30","167000","168500","164500","1773","294308000","219690161500","1327433"
"051500","CJ프레시웨이","KOSDAQ","중견기업부","31950","750","2.40","31500","32350","31100","29104","928773950","379297172700","11871586"
"058820","CMG제약","KOSDAQ","중견기업부","2125","25","1.19","2140","2145","2105","207357","440742440","295146018500","138892244"
"023460","CNH","KOSDAQ","중견기업부","2340","-15","-0.64","2365","2400","2285","29512","69528450","87048000000","37200000"
"056730","CNT85","KOSDAQ","관리종목(소속부없음)","3100","0","0.00","0","0","0","0","0","110511763600","35648956"
"065770","CS","KOSDAQ","벤처기업부","1495","-15","-0.99","1510","1510","1460","30206","44738475","29019639350","19411130"
