종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","4220","-30","-0.71","4270","4350","4180","275292","1173024270","195265784860","46271513"
"095570","AJ네트웍스","KOSPI",,"5590","130","2.38","5470","5590","5460","69242","381559830","261736629050","46822295"
"006840","AK홀딩스","KOSPI",,"26500","-550","-2.03","27150","27250","26250","20592","545276200","351060366500","13247561"
"054620","APS홀딩스","KOSDAQ","중견기업부","17900","-200","-1.10","18300","18300","17650","47351","845147250","365056555900","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","23700","-600","-2.47","24600","24600","23700","116183","2792840900","362169677700","15281421"
"211270","AP위성","KOSDAQ","벤처기업부","12950","-250","-1.89","13350","13350","12950","134369","1763072800","195315836800","15082304"
"027410","BGF","KOSPI",,"5540","-210","-3.65","5780","5800","5530","305508","1721658700","530271022140","95716791"
"282330","BGF리테일","KOSPI",,"161500","-1000","-0.62","163500","164000","160000","25297","4083406500","2791350819000","17283906"
"138930","BNK금융지주","KOSPI",,"8800","-110","-1.23","9000","9030","8720","1815497","16045476770","2868230164800","325935246"
"001460","BYC","KOSPI",,"436000","-5000","-1.13","441000","441000","435500","131","57268000","272332140000","624615"
"001465","BYC우","KOSPI",,"178000","0","0.00","176500","178000","176000","86","15260000","38338530000","215385"
"013720","CBI","KOSDAQ","중견기업부","3240","-10","-0.31","3235","3300","3100","183604","587082360","171102893400","52809535"
"001040","CJ","KOSPI",,"95800","-1000","-1.03","97200","97600","95600","82655","7950783000","2795156408400","29176998"
"079160","CJ CGV","KOSPI",,"31950","-250","-0.78","32350","32800","31450","433309","13859185700","1203723310950","37675221"
"035760","CJ ENM","KOSDAQ","우량기업부","176400","-100","-0.06","178000","179000","174800","122711","21718968500","3868302765600","21929154"
"00104K","CJ4우(전환)","KOSPI",,"81400","-500","-0.61","81900","82100","80800","6925","562816800","344038076800","4226512"
"000120","CJ대한통운","KOSPI",,"142000","-3500","-2.41","145500","146500","142000","45515","6538932500","3239352848000","22812344"
"011150","CJ씨푸드","KOSPI",,"3885","-40","-1.02","3935","3955","3870","67301","262920955","139591053105","35930773"
"011155","CJ씨푸드1우","KOSPI",,"39600","1100","2.86","38900","39600","36850","354","13390000","7920000000","200000"
"001045","CJ우","KOSPI",,"61100","-200","-0.33","61300","61600","60800","878","53617500","138099625300","2260223"
"097950","CJ제일제당","KOSPI",,"380000","-6500","-1.68","386500","389000","378000","72829","27762473500","5720590680000","15054186"
"097955","CJ제일제당 우","KOSPI",,"194000","-1500","-0.77","194500","196500","192500","4474","866319000","257522002000","1327433"
"051500","CJ프레시웨이","KOSDAQ","중견기업부","32900","-700","-2.08","33600","33800","32700","27730","916242300","390575179400","11871586"
"058820","CMG제약","KOSDAQ","우량기업부","3845","-180","-4.47","4035","4040","3815","1242359","4831474380","534040678180","138892244"
"023460","CNH","KOSDAQ","벤처기업부","3255","-70","-2.11","3290","3325","3230","56339","183800545","121086000000","37200000"
"056730","CNT85","KOSDAQ","관리종목(소속부없음)","1550","0","0.00","0","0","0","0","0","109591063600","70703912"
"056000","COWON","KOSDAQ","투자주의환기종목(소속부없음)","2860","0","0.00","0","0","0","0","0","56399843500","19720225"
"065770","CS","KOSDAQ","벤처기업부","3635","-85","-2.28","3700","3715","3570","205563","746055220","70559457550","19411130"
"083660","CSA 코스믹","KOSDAQ","관리종목(소속부없음)","1450","-95","-6.15","1500","1550","1450","367585","546241120","55004465300","37934114"
"000590","CS홀딩스","KOSPI",,"64900","-1100","-1.67","65900","65900","64900","1352","88165900","74925881800","1154482"
"012030","DB","KOSPI",,"1020","5","0.49","1025","1035","1015","744549","763829710","205197411660","201173933"
"367340","DB금융스팩8호","KOSDAQ","SPAC(소속부없음)","2135","5","0.23","2145","2145","2130","3110","6637570","12916750000","6050000"
"367360","DB금융스팩9호","KOSDAQ","SPAC(소속부없음)","2125","5","0.24","2130","2130","2100","4636","9809715","10285000000","4840000"
"016610","DB금융투자","KOSPI",,"7060","-70","-0.98","7140","7190","7010","76464","542026550","299671506340","42446389"
"005830","DB손해보험","KOSPI",,"59200","-1600","-2.63","60700","61500","58400","302475","17969920400","4191360000000","70800000"
"000990","DB하이텍","KOSPI",,"57500","0","0.00","58200","59000","57500","720090","41835726000","2552918810000","44398588"
"000995","DB하이텍1우","KOSPI",,"104000","-500","-0.48","105500","105500","102500","557","57756500","11680864000","112316"
"139130","DGB금융지주","KOSPI",,"10350","-200","-1.90","10600","10650","10300","493882","5152292750","1750659371550","169145833"
"001530","DI동일","KOSPI",,"287000","-4500","-1.54","292000","294500","285500","12452","3601886000","720557985000","2510655"
"000210","DL","KOSPI",,"65700","-1000","-1.50","66800","67400","65500","92449","6117335200","1376801578800","20955884"
"001880","DL건설","KOSPI",,"29450","-500","-1.67","30000","30050","29450","12501","370833800","649469213800","22053284"
"000215","DL우","KOSPI",,"40400","-300","-0.74","41000","41100","40200","4750","192475950","68119046000","1686115"
"375500","DL이앤씨","KOSPI",,"135000","2500","1.89","134500","140000","133500","170121","23291461000","2613429630000","19358738"
"37550K","DL이앤씨우","KOSPI",,"77400","300","0.39","77100","78400","77000","6013","467137600","163614699000","2113885"
"068790","DMS","KOSDAQ","우량기업부","6420","-90","-1.38","6520","6570","6390","89186","577096440","157759051620","24573061"
"004840","DRB동일","KOSPI",,"5570","-110","-1.94","5650","5710","5550","20696","115655220","111010100000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","벤처기업부","5980","70","1.18","5960","6100","5850","588516","3531879250","166312189940","27811403"
"155660","DSR","KOSPI",,"6950","-150","-2.11","7100","7330","6900","230570","1627275260","111200000000","16000000"
"069730","DSR제강","KOSPI",,"6560","-220","-3.24","6750","6980","6560","287059","1928777240","94464000000","14400000"
"017940","E1","KOSPI",,"52400","-800","-1.50","53300","53600","51700","18969","996377900","359464000000","6860000"
"245620","EDGC","KOSDAQ","기술성장기업부","3235","-35","-1.07","3300","3305","3220","156344","507780890","270746453860","83692876"
"037370","EG","KOSDAQ","중견기업부","17950","900","5.28","18150","18650","17250","1427582","25659533900","145933141000","8129980"
"278990","EMB","KONEX","일반기업부","9600","-850","-8.13","9600","9990","9400","216","2045040","34830931200","3628222"
"079190","EMW","KOSDAQ","벤처기업부","1855","-5","-0.27","1860","1930","1800","333304","617532145","58959685435","31784197"
"365550","ESR켄달스퀘어리츠","KOSPI",,"6810","10","0.15","6770","6860","6750","223144","1521144950","975593790000","143259000"
"050120","ES큐브","KOSDAQ","중견기업부","4625","105","2.32","4520","4625","4435","48757","220435705","62733897750","13564086"
"383220","F&F","KOSPI",,"868000","-5000","-0.57","876000","883000","865000","20925","18307001000","6650108220000","7661415"
"007700","F&F홀딩스","KOSPI",,"39000","-350","-0.89","39500","40800","38550","126103","4988438050","1525460313000","39114367"
"214270","FSN","KOSDAQ","중견기업부","987","0","0.00","0","0","0","0","0","128871161811","130568553"
"130500","GH신소재","KOSDAQ","중견기업부","5220","-210","-3.87","5440","5490","5150","85934","454797250","75925171440","14545052"
"114090","GKL","KOSPI",,"16350","-200","-1.21","16600","16650","16200","309394","5067637250","1011340204500","61855670"
"900290","GRT","KOSDAQ","관리종목(소속부없음)","951","0","0.00","0","0","0","0","0","64073625000","67375000"
"078930","GS","KOSPI",,"42250","-450","-1.05","42700","42950","42100","196217","8315107200","3925674720500","92915378"
"083450","GST","KOSDAQ","우량기업부","28850","-550","-1.87","29750","30250","28700","328256","9666710300","268816943250","9317745"
"006360","GS건설","KOSPI",,"41350","100","0.24","42000","42100","41200","419899","17470914100","3538794611500","85581490"
"001250","GS글로벌","KOSPI",,"2575","-55","-2.09","2630","2645","2565","572382","1489740050","212524442300","82533764"
"007070","GS리테일","KOSPI",,"32200","-150","-0.46","32350","32600","32150","190032","6128828750","3371917088400","104717922"
"078935","GS우","KOSPI",,"36900","50","0.14","36850","37050","36800","3155","116303550","65860079400","1784826"
"045890","GV","KOSDAQ","관리종목(소속부없음)","240","0","0.00","0","0","0","0","0","20823884880","86766187"
"297890","HB솔루션","KOSDAQ","벤처기업부","21400","800","3.88","20600","21650","20450","234072","4984348900","356851184600","16675289"
"078150","HB테크놀러지","KOSDAQ","우량기업부","2535","-95","-3.61","2615","2625","2535","503500","1294103770","200240729910","78990426"
"012630","HDC","KOSPI",,"10550","-150","-1.40","10700","10800","10500","195053","2065023350","630275156550","59741721"
"039570","HDC아이콘트롤스","KOSPI",,"11850","100","0.85","11750","12000","11550","20525","240217050","195051000000","16460000"
"089470","HDC현대EP","KOSPI",,"5870","-160","-2.65","6000","6060","5870","219868","1300457720","187253000000","31900000"
"294870","HDC현대산업개발","KOSPI",,"25550","0","0.00","25800","25850","25350","264780","6774402650","1683932281500","65907330"
"195940","HK이노엔","KOSDAQ","중견기업부","62800","-800","-1.26","64300","65700","62700","1626749","104383305500","1815202537200","28904499"
"011200","HMM","KOSPI",,"26650","0","0.00","26700","27150","26500","3682478","98513143150","10803709778550","405392487"
"036640","HRS","KOSDAQ","중견기업부","9270","-280","-2.93","9520","9650","9190","872894","8185008880","151608996000","16354800"
"082740","HSD엔진","KOSPI",,"9230","100","1.10","9210","9370","9050","1356172","12508367870","431237100580","46721246"
"335870","IBKS제12호스팩","KOSDAQ","SPAC(소속부없음)","2305","15","0.66","2280","2305","2280","18184","41631055","7191600000","3120000"
"351340","IBKS제13호스팩","KOSDAQ","SPAC(소속부없음)","2170","5","0.23","2170","2170","2155","5711","12311315","11218900000","5170000"
"351320","IBKS제14호스팩","KOSDAQ","SPAC(소속부없음)","4370","250","6.07","4120","4380","4050","173797","734162280","18922100000","4330000"
"373200","IBKS제15호스팩","KOSDAQ","SPAC(소속부없음)","2390","0","0.00","2390","2390","2355","22905","54445890","8412800000","3520000"
"388790","IBKS제16호스팩","KOSDAQ","SPAC(소속부없음)","2185","-20","-0.91","2210","2245","2185","41136","90124125","7450850000","3410000"
"003560","IHQ","KOSPI",,"1850","25","1.37","1830","1890","1800","6837647","12645358125","270536133800","146235748"
"095340","ISC","KOSDAQ","우량기업부","26350","-300","-1.13","27200","27500","25850","406481","10880230550","435947996600","16544516"
"099520","ITX-AI","KOSDAQ","관리종목(소속부없음)","1285","0","0.00","0","0","0","0","0","37652662655","29301683"
"175330","JB금융지주","KOSPI",,"8870","-90","-1.00","8980","9010","8830","434668","3865455950","1747238269780","196982894"
"950170","JTC","KOSDAQ","외국기업(소속부없음)","5120","40","0.79","5070","5140","4990","52970","267252590","179228247040","35005517"
"234080","JW생명과학","KOSPI",,"16200","-250","-1.52","16200","16650","15900","29585","476001000","256519774800","15834554"
"067290","JW신약","KOSDAQ","중견기업부","3860","-50","-1.28","3915","3950","3835","56088","217116065","169596271880","43936858"
"001060","JW중외제약","KOSPI",,"23350","-500","-2.10","24050","24250","23100","54727","1287663350","502957272100","21539926"
"001067","JW중외제약2우B","KOSPI",,"55900","-400","-0.71","57000","57000","55100","195","10972600","5200265200","93028"
"001065","JW중외제약우","KOSPI",,"32850","-50","-0.15","34000","34000","32850","80","2655950","5830415100","177486"
"096760","JW홀딩스","KOSPI",,"3910","25","0.64","3885","3965","3865","25412","98925460","267605021620","68441182"
"035900","JYP Ent.","KOSDAQ","우량기업부","52400","100","0.19","52700","53200","51100","584619","30531303500","1860068580800","35497492"
"024840","KBI메탈","KOSDAQ","우량기업부","2025","-60","-2.88","2085","2095","2010","174195","354898340","66725467200","32950848"
