종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"025860","남해화학","KOSPI",,"8150","-80","-0.97","8180","8260","8140","39954","326641080","404882570450","49678843"
"091590","남화토건","KOSDAQ","우량기업부","5940","-160","-2.62","6140","6150","5800","64810","384261050","69735600000","11740000"
"168330","내츄럴엔도텍","KOSDAQ","우량기업부","19250","-1550","-7.45","20450","20650","19000","973464","19105304800","374921316000","19476432"
"072770","네오디안테크놀로지","KOSDAQ","중견기업부","1380","-30","-2.13","1410","1445","1355","173318","239430520","41827362540","30309683"
"212560","네오오토","KOSDAQ","중견기업부","10450","-50","-0.48","10550","10550","10150","9671","100013150","54862500000","5250000"
"095660","네오위즈게임즈","KOSDAQ","우량기업부","10800","-350","-3.14","11150","11150","10750","113035","1227304400","236682086400","21915008"
"042420","네오위즈홀딩스","KOSDAQ","우량기업부","15750","-100","-0.63","15850","15850","15550","22739","357046350","144220639500","9156866"
"085910","네오티스","KOSDAQ","중견기업부","5220","40","0.77","5190","5270","5140","69372","361615070","57491399160","11013678"
"092730","네오팜","KOSDAQ","벤처기업부","28650","-500","-1.72","29500","29500","28200","26046","741543450","213764440050","7461237"
"101400","네오피델리티","KOSDAQ","벤처기업부","2950","-80","-2.64","3030","3030","2900","10978","32237350","39641917100","13437938"
"153460","네이블","KOSDAQ","벤처기업부","5630","-370","-6.17","6000","6000","5410","49937","286495800","27713933980","4922546"
"007390","네이처셀","KOSDAQ","중견기업부","4145","-105","-2.47","4250","4370","4115","244567","1034341440","210604759895","50809351"
"086220","네추럴FNP","KONEX","일반기업부","3600","150","4.35","3600","3600","3600","1","3600","26583390000","7384275"
"033640","네패스","KOSDAQ","중견기업부","7050","-110","-1.54","7080","7290","6870","79511","559557200","153867476700","21825174"
"087730","네패스신소재","KOSDAQ","벤처기업부","9560","-330","-3.34","9720","10000","9500","11569","111997400","27341600000","2860000"
"005720","넥센","KOSPI",,"7990","-50","-0.62","7870","8020","7870","28066","223126290","406532558300","50880170"
"005725","넥센우","KOSPI",,"4445","35","0.79","4370","4460","4370","3044","13395655","16004667000","3600600"
"002350","넥센타이어","KOSPI",,"13150","-350","-2.59","13350","13500","13100","103161","1359384700","1267868782550","96415877"
"002355","넥센타이어1우B","KOSPI",,"5530","-30","-0.54","5530","5530","5530","11","60830","35945000000","6500000"
"073070","넥센테크","KOSDAQ","벤처기업부","4455","-15","-0.34","4420","4540","4410","5766","25644260","64597500000","14500000"
"110570","넥솔론","KOSPI",,"480","-2","-0.41","486","497","478","932428","452189786","77229555360","160894907"
"089140","넥스턴","KOSDAQ","중견기업부","36500","800","2.24","35700","36700","35400","48728","1759311700","248200000000","6800000"
"065170","넥스트BT","KOSDAQ","중견기업부","1930","-140","-6.76","2075","2090","1915","383785","752971930","76702718130","39742341"
