기업명,업종명,평가연도,총자산규모,부채비율,자기자본비율,매출액증가율,현금흐름,PBR,ESG_-,ESG_A,ESG_A+,ESG_B,ESG_B+,ESG_B이하,ESG_C,ESG_D,E_-,E_A,E_A+,E_B,E_B+,E_B+이하,E_C,E_D,S_-,S_A,S_A+,S_B,S_B+,S_B이하,S_C,S_D,G_-,G_A,G_A+,G_B,G_B+,G_B이하,G_C,G_D,배당기업구분
삼양식품,음식료품,2016,26.51229575266048,-0.3373921424644063,0.059846346249964724,0.8063963309561699,0.5587327308977611,0.13614417631891565,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,일반배당기업
풍산,철강금속,2018,28.612394306354492,-0.28378838479458623,-0.06406002776033816,-0.6636131758095792,-0.12872100707420572,-0.5097768318369109,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,일반배당기업
키움증권,증권,2017,29.970261377436525,2.834210889547908,-1.85788639695495,0.733722829939793,-3.961676653243167,-0.14397462823845802,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
삼양통상,기타제조업,2013,26.334449506696977,-0.6581620306200742,1.1881452974649949,-0.25062721141306465,-1.2868407813401814,-0.7931911517420185,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
한국철강,철강금속,2015,27.521850686200885,-0.6840828296629564,1.3247239142718066,-0.7934230845215906,1.0180423265031793,-0.6185288383121266,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,일반배당기업
동아지질,건설업,2015,26.28177889522994,-0.31772416775204393,0.012912113670304549,-0.5207721565704936,0.10775202317988591,-0.5723916234438533,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
한국화장품제조,화학,2021,25.061153406177343,-0.37121423770676365,0.14526664954494592,0.09720320034807749,1.319675828117958,1.2632104252438785,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,무배당기업
삼화전기,전기전자,2012,25.68739609497812,0.7160382256555363,-1.219580833871572,-0.20702311080323854,-0.5973892111079488,-0.44057100953450096,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
한솔홈데코,종이목재,2017,26.4521781424203,-0.24843150539837405,-0.14009348453938786,0.03054405803650414,0.14496101352902213,-0.4998902857937095,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,일반배당기업
삼성엔지니어링,서비스업,2017,29.254920871379614,1.5708561554951486,-1.5875452172961078,-1.443475021199114,-0.6251636751976954,1.147867388073195,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,무배당기업
