,업종명,평가연도,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,현금흐름(CF),PBR,ESG_A,ESG_A+,ESG_B,ESG_B+,ESG_C,ESG_D,E_A,E_A+,E_B,E_B+,E_C,E_D,S_A,S_A+,S_B,S_B+,S_C,S_D,G_A,G_A+,G_B,G_B+,G_C,G_D,배당기업구분
동원수산,"농업, 임업 및 어업",2021,25.33781194131966,0.006014360133919649,0.7243121841661988,0.0023232055529417996,0.6992175769933043,0.07346008392477853,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,무배당기업
서원,철강금속,2011,26.686315631638212,0.013662115230861482,0.5830993823694555,0.002711305425283175,0.6835934247655057,0.07625757654250634,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
평화산업,운수장비,2017,25.90669188591333,0.012616648760743554,0.5961538461538463,0.0023170763698662886,0.6940371445413307,0.0756359115163446,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,무배당기업
진도,유통업,2011,25.916757039489788,0.010490580651609035,0.627316114542392,0.0029054779451153723,0.6616704755751839,0.07309744599285085,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,고배당기업
아남전자,전기전자,2014,25.778659043266654,0.009983072656406156,0.6358787198203257,0.002560037186979556,0.6643516949684868,0.07491063565248925,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
한화투자증권,증권,2022,30.038839167355345,0.04691950454727163,0.4279898933183605,0.0025973026200786647,0.7256097538751632,0.07175050510283375,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,무배당기업
웅진씽크빅,서비스업,2012,27.075448757303796,0.013144457075754547,0.5894160583941607,0.0019449123735212428,0.705709888110809,0.09397502978811584,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,무배당기업
현대백화점,유통업,2022,30.121681982991262,0.0069918986108335,0.6981330713082539,0.003325449569449406,0.7062415675568023,0.06905662332279956,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,일반배당기업
미래아이앤지,서비스업,2017,24.954791681168956,0.0003708712272636418,0.9978944413250983,0.0018068831706607286,0.6472910695129594,0.07553230067865098,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
풀무원,기타금융,2018,27.82541816955252,0.013755809014591246,0.5819764177428413,0.0023729745195149514,0.6971208102312134,0.08003937211832357,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,일반배당기업
롯데손해보험,보험,2016,30.037739066286257,0.16500646487107734,0.35955923638405396,0.002535520454677511,0.761836005374775,0.0728902243174636,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,일반배당기업
영풍제지,종이목재,2021,26.0684493226377,0.004586310713571857,0.7700028074115666,0.0028968970888096565,0.7158074857963475,0.08159353468372792,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,일반배당기업
영풍,철강금속,2012,28.694517000804122,0.0025601826404157506,0.8564008983717013,0.002706647246145786,0.7437967583254367,0.07895145832254054,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,고배당기업
MH에탄올,음식료품,2015,25.092663713481112,0.002847510243853688,0.8420830993823696,0.002406072108122712,0.7591703574222026,0.08164534010257474,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
금강공업,철강금속,2021,27.490216190035127,0.009732441784929043,0.6402302077484561,0.0026710979843078205,0.6811780220863798,0.07382272185670621,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,일반배당기업
