회사명,거래소코드,회계년도,[공통]자산(*)(IFRS),[공통]부채비율(IFRS),[공통]자기자본구성비율(IFRS),[공통]매출액증가율(IFRS),[공통]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS),[공통]매출액(영업수익)(*),[공통]평균배당률(IFRS)
(주)BNK금융지주,138930,2018/12,6080732702,26.58,79,-45.03,29123398,0.78,0.51,102094339,6
(주)DB하이텍,000990,2018/12,1050696487,93.66,51.64,-1.54,182780278,1.84,0.88,669279136,4.88
(주)HJ중공업,097230,2018/12,2388369000,0,0,0.78,182116000,0,0,1750954000,0
(주)JB금융지주,175330,2018/12,2346094000,23.27,81.12,9.72,63237000,0.58,0.45,100858000,3.55
(주)KB금융지주,105560,2018/12,25623074000,34.35,74.43,53.39,924662000,1.58,1.01,1115279000,36.34
(주)MH에탄올,023150,2018/12,109656889,60.15,62.44,-2.75,6668746,0.78,0.51,46943080,51.08
(주)SH에너지화학,002360,2018/12,120895795,16.17,86.08,-2.12,4284684,2.06,0.9,180753289,4.57
(주)SIMPAC,009160,2018/12,628334175,52.83,65.43,32.35,36290248,0.38,0.14,268863854,11.1
(주)SNT에너지,100840,2018/12,280991534,21.5,82.31,-24.21,14435813,0.55,0.33,139516396,2.87
(주)SNT홀딩스,036530,2018/12,422804813,0.05,99.95,-1.7,6691516,0.62,0.42,7292112,75.52
(주)STX,011810,2018/12,446758000,618.11,13.93,-16.65,-51274000,11.95,3.36,1329890000,0
(주)TCC스틸,002710,2018/12,268135677,172.63,36.68,5.26,13968719,0.64,0.39,351301866,7.64
(주)강원랜드,035250,2018/12,4229630541,17.93,84.79,-10.41,366067885,2.15,1.59,1436042435,170.58
(주)갤럭시아에스엠,011420,2018/12,33337692,24.41,80.38,-40.33,-2638766,3.72,1.31,22030258,0
(주)경농,002100,2018/12,285031873,52.37,65.63,2.12,4624400,1.97,0.68,146216658,41.18
(주)경동나비엔,009450,2018/12,440513661,83.28,54.56,8.47,-9553832,4.09,1.94,618058456,24.77
(주)경동도시가스,267290,2018/12,775880913,143.41,41.08,0,120320145,0.82,0.5,1605687067,34.97
(주)경동인베스트,012320,2018/12,318776653,2.69,97.38,1118.23,1728544,0.58,0.27,7460898,9.61
(주)경방,000050,2018/12,1226545382,68.21,59.45,-3.13,29443002,0.65,0.39,279085217,24.6
(주)경보제약,214390,2018/12,221622993,48.73,67.24,5.05,-1138159,2.91,1.57,201343596,40
(주)경인양행,012610,2018/12,344908257,73.99,57.48,14.79,911833,1.57,0.99,222659442,9.94
(주)광명전기,017040,2018/12,124159091,41.11,70.87,-7.74,-4019510,2.81,1.09,96949804,0
(주)광주신세계,037710,2018/12,696204982,12.17,89.15,-35.5,53868560,0.64,0.43,135213362,60
(주)국동,005320,2018/12,80727956,93.3,51.73,5.23,-4000973,1.79,0.67,136811631,0
