회사명,거래소코드,회계년도,[공통]자산(*)(IFRS),[공통]부채비율(IFRS),[공통]자기자본구성비율(IFRS),[공통]매출액증가율(IFRS),[공통]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS),[공통]매출액(영업수익)(*),[공통]평균배당률(IFRS)
(주)유수홀딩스,000700,2013/12,906384134,103.2,49.21,-5.4,20429481,0.63,0.38,38517492,0
(주)유유제약,000220,2013/03,85197350,23.35,81.07,3.38,5996443,1.08,0.47,56155165,12.7
(주)유한양행,000100,2013/12,1390058380,18.29,84.54,22.13,86600144,2.14,1.67,931612328,27.45
(주)이마트,139480,2013/12,12031101223,84.83,54.1,-1.45,884349744,1.2,0.8,10780080909,29.99
(주)이수페타시스,007660,2013/12,295930858,58.87,62.94,14.15,21032386,1.9,0.97,340260404,9.85
(주)이수화학,005950,2013/12,1060730296,93.17,51.77,-3.98,-9766569,0.64,0.34,1774728433,8.71
(주)이스타코,015020,2013/12,92310260,71.17,58.42,600.83,47803427,1.89,0.4,41227100,0
(주)이아이디,093230,2013/12,45588742,134.35,42.67,-61.46,-7534876,4.93,1.54,6063800,0
(주)이엔플러스,074610,2013/12,9979351,54.07,64.9,-0.66,1142761,4.63,0.68,15417376,0
(주)이원,017940,2013/12,2817244128,156.84,38.93,-4.88,64888837,0.53,0.39,6405853167,33.71
(주)이월드,084680,2013/12,183273811,98.81,50.3,11.54,-2635937,1.27,0.54,19824592,0
(주)인디에프,014990,2013/12,198667210,120.88,45.27,-8.27,6453839,1.06,0.32,197156607,0
(주)인바이오젠,101140,2013/12,10004093,172.58,36.69,-21.66,-1132493,5.3,2.58,7966362,0
(주)인스코비,006490,2013/12,26363993,14.18,87.58,53.24,-6304284,7.23,2.96,12235606,0
(주)인팩,023810,2013/12,119462092,81.03,55.24,9.37,11456943,1.16,0.54,144272639,26
(주)일신석재,007110,2013/12,82370066,47.3,67.89,-3.94,1202465,2.5,1.09,37998958,0
(주)제일기획,030000,2013/12,1077774669,91.73,52.16,8.54,7001347,6.32,4.48,926525014,0
(주)제주은행,006220,2013/12,3185568000,990.59,9.17,-8.94,165239000,0.45,0.34,175794000,2
(주)조비,001550,2013/12,81378985,164.87,37.76,26.56,1946237,1.94,1.21,61373438,0
(주)조흥,002600,2013/12,118038382,21.11,82.57,3.57,15502621,0.79,0.44,99637034,30
(주)종근당,185750,2013/12,521951175,,,,9959709,,,86318152,
(주)종근당바이오,063160,2013/12,175499039,41.68,70.58,-11.77,10924090,0.78,0.49,100370797,3.92
(주)종근당홀딩스,001630,2013/12,141264293,7.15,93.32,-99.3,21474138,7.45,3.31,3248846,62.68
(주)주연테크,044380,2013/12,32224379,22.5,81.63,-19.45,-1923929,2.28,0.78,60198133,0
(주)지에스,078930,2013/12,5380295000,13.32,88.25,96.07,273070000,1.56,0.99,330061000,27.01
(주)지에스글로벌,001250,2013/12,661014462,150.36,39.94,-21.38,20405181,1.08,0.76,2111241260,4.99
(주)지에스리테일,007070,2013/12,2827722506,75.21,57.07,4.52,292759980,1.84,1.39,4705551543,45
(주)지투알,035000,2013/12,98945423,2.42,97.64,-29.4,-70320,1.7,1.18,10057374,18.45
(주)진도,088790,2013/12,184327904,165.89,37.61,-4.97,11573084,0.71,0.46,152534448,0
(주)진양홀딩스,100250,2013/12,181856232,0.7,99.3,30.06,11009293,0.73,0.47,11666930,19.61
(주)천일고속,000650,2013/12,60338619,35.36,73.88,3.3,2366687,1.98,0.85,57109333,0
