종목명,ESG 통합등급,2013_E,2013_S,2013_G,평가연도
녹십자,B이하,C,B이하,B이하,2013
녹십자홀딩스,B이하,B,B이하,B이하,2013
농심,B이하,B,B이하,B+,2013
농심홀딩스,B이하,B,B이하,B이하,2013
다우기술,B이하,C,B이하,B이하,2013
대경기계기술,B이하,B,B이하,B이하,2013
대교,B이하,A,B이하,B이하,2013
대구백화점,B이하,B,B이하,B이하,2013
대덕GDS,B이하,B,B이하,B+,2013
대덕전자,B+,B,B+,B+,2013
대동공업,B이하,B,B이하,B이하,2013
대동전자,B이하,C,B이하,B이하,2013
대림비앤코,B이하,B,B이하,B이하,2013
대림산업,B+,A,B+,B+,2013
대림통상,B이하,C,B이하,B이하,2013
대상,B이하,C,B이하,B+,2013
대상홀딩스,B이하,C,B이하,B이하,2013
대성산업,B이하,B,B이하,B이하,2013
대성에너지,B이하,B,B이하,B이하,2013
대성합동지주,B이하,B,B이하,B이하,2013
대성홀딩스,B이하,B,B이하,B이하,2013
대신증권,B이하,A,B이하,B이하,2013
대양금속,B이하,D,B이하,B이하,2013
대영포장,B이하,C,B이하,B이하,2013
대우건설,A,B+,A,A,2013
대우부품,B이하,C,B이하,B이하,2013
대우조선해양,B+,B+,B+,B+,2013
대웅,B이하,C,B이하,B이하,2013
대웅제약,B이하,B,B이하,B이하,2013
대원강업,B이하,B,B이하,B이하,2013
대원전선,B이하,C,B이하,B이하,2013
대원제약,B이하,B,B이하,B이하,2013
대원화성,B이하,C,B이하,B이하,2013
대유에이텍,B이하,C,B이하,B이하,2013
대유플러스,B이하,C,B이하,B이하,2013
대창,B이하,C,B이하,B+,2013
대창단조,B이하,B,B이하,B이하,2013
대한방직,B이하,B,B이하,B이하,2013
대한유화,B이하,C,B이하,B이하,2013
대한전선,B이하,C,B이하,B+,2013
대한제강,B이하,B,B이하,B+,2013
대한제당,B이하,B,B이하,B이하,2013
대한제분,B이하,B,B이하,B이하,2013
대한항공,A,B+,A,A,2013
대한화섬,B이하,C,B이하,B이하,2013
대현,B이하,B,B이하,B이하,2013
대호에이엘,B이하,C,B이하,B이하,2013
더존비즈온,B이하,C,B이하,B이하,2013
덕성,B이하,B,B이하,B이하,2013
덕양산업,B이하,C,B이하,B이하,2013
도레이케미칼,B이하,C,B+,B+,2013
도화엔지니어링,B이하,B+,B이하,B이하,2013
동국실업,B이하,C,B이하,B이하,2013
동국제강,B+,B+,B이하,B+,2013
동남합성,B이하,C,B이하,B이하,2013
동방,B이하,B,B이하,B이하,2013
동방아그로,B이하,B,B이하,B이하,2013
동부건설,B이하,B,B이하,B이하,2013
동부제철,B이하,C,B+,B+,2013
동성제약,B이하,C,B이하,B이하,2013
동성코퍼레이션,B이하,B,B이하,B이하,2013
동성화학,B이하,C,B이하,B이하,2013
동아쏘시오홀딩스,B이하,B+,B이하,B이하,2013
동아에스텍,B이하,B,B이하,B이하,2013
동아지질,B이하,B,B이하,B이하,2013
동양,B이하,B,B이하,B이하,2013
동양고속,B이하,B,B이하,B이하,2013
동양네트웍스,B이하,C,B이하,B이하,2013
동양물산기업,B이하,B,B이하,B이하,2013
동양생명,B이하,B+,B이하,B이하,2013
동양철관,B이하,C,B이하,B이하,2013
동원,B이하,B,B이하,B이하,2013
동원F&B,B이하,C,B이하,B이하,2013
동원금속,B이하,C,B이하,B이하,2013
동원산업,B이하,B,B이하,B이하,2013
동원수산,B이하,C,B이하,B이하,2013
동원시스템즈,B이하,C,B이하,B이하,2013
동일방직,B이하,B,B이하,B이하,2013
동일산업,B이하,B,B이하,B이하,2013
동일제지,B이하,C,B이하,B이하,2013
동화약품,B이하,B,B이하,B이하,2013
두산,A+,A+,A,A+,2013
두산건설,B+,B+,A,B+,2013
두산엔진,A,A,A,B+,2013
두산인프라코어,A,A,A+,A,2013
두산중공업,A+,A,A+,A+,2013
디씨엠,B이하,B,B이하,B이하,2013
디아이,B이하,C,B이하,B이하,2013
디아이씨,B이하,B,B이하,B이하,2013
디와이,B이하,B,B이하,B이하,2013
디티알오토모티브,B이하,C,B이하,B이하,2013
디피씨,B이하,B,B이하,B이하,2013
락앤락,B이하,B+,B이하,B이하,2013
로케트전기,B이하,B,B이하,B이하,2013
롯데손해보험,B이하,B+,B+,B이하,2013
롯데쇼핑,B+,B+,B+,A,2013
롯데정밀화학,B이하,B,B이하,B이하,2013
롯데지주,B+,B+,B+,B+,2013
롯데칠성음료,B+,B,A,B+,2013
롯데케미칼,A,B+,A,A,2013
롯데푸드,B이하,C,B이하,B+,2013
롯데하이마트,B+,A,B+,B이하,2013
마니커,B이하,D,B이하,B이하,2013
만호제강,B이하,B,B이하,B이하,2013
메디플란트,B이하,C,B이하,B이하,2013
메리츠금융지주,B이하,B+,B이하,B이하,2013
메리츠종금증권,B이하,B+,B이하,B이하,2013
메리츠화재,B+,A,B이하,B이하,2013
명문제약,B이하,B,B이하,B이하,2013
모나리자,B이하,C,B이하,B+,2013
모나미,B이하,C,B이하,B이하,2013
모토닉,B이하,B,B이하,B이하,2013
무림P&P,B이하,B,B이하,B+,2013
무림페이퍼,B이하,C,B이하,B+,2013
무학,B이하,B,B이하,B이하,2013
문배철강,B이하,C,B이하,B이하,2013
미래산업,B이하,B,B이하,B이하,2013
미래아이앤지,B이하,B,B이하,B이하,2013
미래에셋대우,B이하,B+,B이하,B이하,2013
