종목명,ESG 통합등급,2015_E,2015_S,2015_G,평가연도
AJ렌터카,B이하,C,B이하,B이하,2015
AK홀딩스,B이하,C,B이하,B이하,2015
BNK금융지주,A,A+,A,B이하,2015
BYC,B이하,C,B이하,B이하,2015
CJ,B+,B,A,B+,2015
CJ CGV,B이하,B,B이하,B이하,2015
CJ대한통운,B+,B+,B+,B+,2015
CJ씨푸드,B이하,B,B이하,B+,2015
CJ제일제당,B+,B,B+,A,2015
CJ헬로,B이하,B,B이하,B이하,2015
CS홀딩스,B이하,B,B이하,B이하,2015
DB,B이하,C,B이하,B이하,2015
DB금융투자,B+,A,B이하,B이하,2015
DB손해보험,A,A,A,B+,2015
DB하이텍,B이하,C,B+,B+,2015
DGB금융지주,A,A+,B+,A,2015
DRB동일,B이하,C,B이하,B이하,2015
DSR,B이하,C,B이하,B이하,2015
DSR제강,B이하,C,B이하,B이하,2015
E1,B이하,B,B+,B이하,2015
F&F,B이하,B,B이하,B이하,2015
GKL,B이하,B+,B+,B이하,2015
GS,B이하,B,B이하,B이하,2015
GS건설,B+,B,A,A,2015
GS글로벌,B이하,B,B이하,B이하,2015
GS리테일,B이하,B,B이하,B이하,2015
JB금융지주,B이하,A+,B이하,B이하,2015
JW중외제약,B이하,C,B이하,B이하,2015
JW홀딩스,B이하,B,B이하,B이하,2015
KB금융,B+,A,B+,B+,2015
KB손해보험,B이하,B+,B+,B이하,2015
KB캐피탈,B이하,A,B이하,B이하,2015
KC그린홀딩스,B이하,B,B이하,B이하,2015
KC코트렐,B이하,B,B이하,B이하,2015
KEC,B이하,C,B이하,B+,2015
KGP,B이하,C,B이하,B이하,2015
KG케미칼,B이하,B,B이하,B이하,2015
KISCO홀딩스,B이하,B+,B이하,B이하,2015
KPX그린케미칼,B이하,B,B이하,B+,2015
KPX케미칼,B이하,B,B이하,B이하,2015
KPX홀딩스,B이하,B,B이하,B이하,2015
KR모터스,B이하,C,B이하,B이하,2015
KSS해운,B이하,B,B이하,B이하,2015
KTB투자증권,B이하,C,B이하,B이하,2015
KTcs,B이하,B+,B이하,B이하,2015
LF,B이하,B,B이하,B이하,2015
LG,B+,A,B+,B이하,2015
LG디스플레이,B+,B+,B+,A,2015
LG상사,B+,B+,B+,B+,2015
LG생명과학,B+,B+,B+,B+,2015
LG생활건강,A,B+,A+,A,2015
LG유플러스,B+,B+,B+,A,2015
LG이노텍,A,A,A,A,2015
LG전자,B+,C,A,A,2015
LG하우시스,B+,B,A,A,2015
LG화학,B+,B+,B+,B+,2015
LS,B이하,B,B이하,B이하,2015
LS네트웍스,B이하,D,B이하,B이하,2015
LS산전,B+,B+,A,B+,2015
MH에탄올,B이하,B,B이하,B이하,2015
NAVER,B이하,B+,B이하,B이하,2015
NHN엔터테인먼트,B이하,B+,B이하,B이하,2015
NH투자증권,B+,A,B+,B이하,2015
NICE,B이하,B+,B이하,B이하,2015
NI스틸,B이하,C,B이하,B이하,2015
OCI,B+,B,A,B이하,2015
S&TC,B이하,B,B이하,B이하,2015
S&T모티브,B이하,B,B이하,B+,2015
S&T중공업,B이하,B,B이하,B+,2015
S&T홀딩스,B이하,B,B이하,B이하,2015
S-Oil,A,A,A+,A,2015
SBS,B이하,B+,B이하,B이하,2015
SBS미디어홀딩스,B이하,B,B이하,B이하,2015
SG세계물산,B이하,C,B이하,B이하,2015
SG충방,B이하,C,B이하,B이하,2015
SH에너지화학,B이하,B,B이하,B이하,2015
SIMPAC,B이하,B,B이하,B이하,2015
SK,A,A,A,A,2015
SK(합병소멸),B이하,B+,B+,B이하,2015
SKC,A,B+,A,A,2015
SK가스,B이하,B+,B이하,B이하,2015
SK네트웍스,B이하,B+,B+,B이하,2015
SK디스커버리,B+,B+,B+,B+,2015
SK이노베이션,A,B+,A,A,2015
SK증권,B이하,B+,B+,B이하,2015
SK텔레콤,A,A,A,A,2015
SK하이닉스,B+,B+,B+,B+,2015
SPC삼립,B이하,C,B이하,B이하,2015
TCC동양,B이하,C,B이하,B+,2015
WISCOM,B이하,B,B이하,B이하,2015
가온전선,B이하,B+,B이하,B이하,2015
강남제비스코,B이하,C,B이하,B이하,2015
강원랜드,B+,A,B+,B+,2015
갤럭시아에스엠,B이하,C,B이하,B이하,2015
경남에너지,B이하,B,B이하,B이하,2015
경농,B이하,C,B이하,B이하,2015
경동나비엔,B이하,C,B이하,B이하,2015
경동인베스트,B이하,B,B이하,B이하,2015
경방,B이하,B,B이하,B이하,2015
경인양행,B이하,B,B이하,B이하,2015
경인전자,B이하,B,B이하,B이하,2015
계룡건설산업,B이하,B,B이하,B이하,2015
계양전기,B이하,B,B이하,B이하,2015
고려개발,B이하,C,B+,B이하,2015
고려산업,B이하,B,B이하,B이하,2015
고려아연,B+,B,B+,B+,2015
고려제강,B이하,B,B이하,B+,2015
골든브릿지증권,B이하,B,B이하,B이하,2015
광동제약,B이하,B,B이하,B이하,2015
광명전기,B이하,B,B이하,B이하,2015
광전자,B이하,B,B이하,B이하,2015
광주신세계,B이하,B+,B이하,B이하,2015
교보증권,B+,A,B+,B이하,2015
국도화학,B이하,C,B이하,B+,2015
국동,B이하,B,B이하,B이하,2015
국보,B이하,C,B이하,B이하,2015
국제약품,B이하,B,B이하,B이하,2015
극동유화,B이하,B,B이하,B이하,2015
금강공업,B이하,C,B이하,B이하,2015
금비,B이하,C,B이하,B이하,2015
금양,B이하,C,B이하,B이하,2015
금호산업,B이하,B,B이하,B이하,2015
금호석유화학,B이하,C,B이하,B+,2015
금호전기,B이하,C,B이하,B이하,2015
금호타이어,B이하,C,B+,B+,2015
기신정기,B이하,B,B이하,B이하,2015
기아자동차,B+,B,A,B+,2015
기업은행,B+,A,B+,B이하,2015
까뮤이앤씨,B이하,B,B이하,B이하,2015
깨끗한나라,B이하,B,B이하,B+,2015
나노메딕스,B이하,C,B이하,B이하,2015
남선알미늄,B이하,C,B+,B이하,2015
남성,B이하,C,B이하,B이하,2015
남양유업,B이하,C,B이하,B이하,2015
남영비비안,B이하,C,B이하,B이하,2015
남해화학,B이하,C,B이하,B+,2015
넥센,B이하,B,B이하,B이하,2015
넥센타이어,B이하,C,B이하,B+,2015
노루페인트,B이하,B,B이하,B이하,2015
노루홀딩스,B이하,B,B이하,B이하,2015
녹십자,B이하,B,B+,B이하,2015
녹십자홀딩스,B이하,C,B+,B이하,2015
농심,B이하,C,B이하,B+,2015
농심홀딩스,B이하,B,B이하,B이하,2015
다우기술,B이하,B,B이하,B이하,2015
다우인큐브,B이하,B,B이하,B이하,2015
대경기계기술,B이하,B,B이하,B이하,2015
대교,B이하,A,B이하,B이하,2015
대구백화점,B이하,B,B이하,B이하,2015
대덕GDS,B이하,C,B이하,B+,2015
대덕전자,B이하,B,B이하,B이하,2015
대동공업,B이하,C,B이하,B이하,2015
대동전자,B이하,C,B이하,B이하,2015
대림비앤코,B이하,C,B이하,B이하,2015
대림산업,B+,B,B+,A,2015
대림통상,B이하,C,B이하,B이하,2015
대상,B이하,C,B이하,B이하,2015
대상홀딩스,B이하,C,B이하,B이하,2015
대성산업,B이하,B,B이하,B+,2015
대성에너지,B이하,C,B이하,B이하,2015
대성합동지주,B이하,B,B이하,B이하,2015
대성홀딩스,B이하,B,B이하,B이하,2015
대신증권,B+,A,B이하,B이하,2015
대양금속,B이하,C,B이하,B이하,2015
대영포장,B이하,C,B이하,B이하,2015
