,업종명,종목명,2016_E,2016_S,2016_G,2017_E,2017_S,2017_G,Diff_E,Diff_S,Diff_G,2016_종가,2017_종가,등락률,연도
0,1차 산업,동원,2.0,2.5,2.5,2.0,2.5,2.5,0.0,0.0,0.0,46850,4085,-0.9128068303094984,"16,17년"
1,1차 산업,동원산업,3.0,2.5,2.5,3.0,5.0,2.5,0.0,2.5,0.0,308000,285500,-0.073051948051948,"16,17년"
2,1차 산업,동원수산,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,8490,8920,0.0506478209658421,"16,17년"
3,1차 산업,사조산업,2.0,2.5,2.5,2.0,2.5,2.5,0.0,0.0,0.0,62500,73100,0.1696,"16,17년"
4,1차 산업,사조오양,2.0,2.5,2.5,3.0,2.5,2.5,1.0,0.0,0.0,11250,14650,0.3022222222222222,"16,17년"
5,1차 산업,신라교역,3.0,2.5,2.5,2.0,2.5,2.5,-1.0,0.0,0.0,14050,15350,0.092526690391459,"16,17년"
6,건설업,GS건설,4.0,4.0,5.0,4.0,5.0,5.0,0.0,1.0,0.0,26800,26000,-0.0298507462686567,"16,17년"
7,건설업,고려개발,2.0,4.0,2.5,2.0,4.0,2.5,0.0,0.0,0.0,7210,5450,-0.2441054091539528,"16,17년"
8,건설업,금호산업,3.0,2.5,4.0,3.0,4.0,2.5,0.0,1.5,-1.5,9580,9660,0.0083507306889352,"16,17년"
9,건설업,까뮤이앤씨,4.0,2.5,2.5,3.0,2.5,2.5,-1.0,0.0,0.0,10700,10050,-0.0607476635514018,"16,17년"
10,건설업,남광토건,2.0,2.5,2.5,3.0,2.5,2.5,1.0,0.0,0.0,8000,6700,-0.1625,"16,17년"
11,건설업,대림산업,3.0,2.5,5.0,4.0,2.5,4.0,1.0,0.0,-1.0,81700,83400,0.0208078335373317,"16,17년"
12,건설업,대우건설,3.0,5.0,5.0,4.0,5.0,5.0,1.0,0.0,0.0,6330,7350,0.1611374407582938,"16,17년"
13,건설업,동아지질,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,8250,13050,0.5818181818181818,"16,17년"
14,건설업,두산건설,5.0,4.0,5.0,4.0,6.0,5.0,-1.0,2.0,0.0,3875,3070,-0.2077419354838709,"16,17년"
15,건설업,범양건영,2.0,2.5,2.5,3.0,2.5,2.5,1.0,0.0,0.0,13250,11600,-0.1245283018867924,"16,17년"
16,건설업,삼호,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,17500,16300,-0.0685714285714285,"16,17년"
